Death_of_a_Gossip,Marion_Chesney
Worlds_of_When,Groff_Conklin
Mom_&_Me_&_Mom,Maya_Angelou
Sapna_Babul_Ka...Bidaai,Zama_Habib
Covering_Islam,Edward_Said
Pyu_to_Fuku!_Jaguar,Kyosuke_Usuta
Half_Gone,Jeremy_Leggett
"The_Channel_of_Gravelines,_Petit_Fort_Philippe",Georges_Seurat
Rock_Profile,Catherine_Tate
The_Book_of_Sulaym_ibn_Qays,Sulaym_ibn_Qays
"Middle_School,_Get_Me_Out_of_Here!",James_Patterson
Surprised_by_Joy,C._S._Lewis
The_Artist's_Mother_Ane_Hedvig_Brøndum_in_the_Blue_Room,Anna_Ancher
Pebble_in_the_Sky,Isaac_Asimov
Two_Venetian_Ladies,Vittore_Carpaccio
Never_Forget_(musical),Danny_Brocklehurst
For_One_More_Day,Mitch_Albom
An_Triail,Máiréad_Ní_Ghráda
Auschwitz_Report_(book),Primo_Levi
Pierre_et_Luce,Romain_Rolland
Antea_(Parmigianino),Parmigianino
Cold_Sassy_Tree,Olive_Ann_Burns
Gardner_(Cassatt)_Held_by_His_Mother,Mary_Cassatt
Biochemical_Predestination,Dean_H._Kenyon
Zen_(TV_series),Michael_Dibdin
Ubuntu_Hacks,Jonathan_Oxer
Sharpe's_Fury,Bernard_Cornwell
The_Wild_Blue,Stephen_E._Ambrose
Shanakht,Amna_Nawaz_Khan
The_Jordan_Rules_(book),Sam_Smith_(sportswriter)
A_Story_of_the_Days_to_Come,H._G._Wells
Amber_and_Blood,Margaret_Weis
Beyond_a_Boundary,C._L._R._James
The_Rise_of_Magic_in_Early_Medieval_Europe,Valerie_Flint
Operation_Underworld_(novel),Paddy_Kelly_(writer)
The_Rootkit_Arsenal:_Escape_and_Evasion_in_the_Dark_Corners_of_the_System,Bill_Blunden_(author)
Splendor:_A_Luxe_Novel,Anna_Godbersen
All_the_Colours_of_Darkness,Peter_Robinson_(novelist)
Mouseterpiece_Theater,Mitchell_Kriegman
Staying_Fat_for_Sarah_Byrnes,Chris_Crutcher
"Happy_New_Year,_Charlie_Brown!",Charles_M._Schulz
The_Last_Session,Jim_Brochu
Magical_Mystery_Tour_(film),Paul_McCartney
Ozzie's_Girls,Ozzie_Nelson
Factotum_(novel),Charles_Bukowski
Redwall_Map_&_Riddler,Brian_Jacques
"Three_Upbuilding_Discourses,_1843",Søren_Kierkegaard
The_Great_Wall_of_China_(short_story),Franz_Kafka
Mahnoor,Zafar_Mairaj
Los_Angeles_Stories,Ry_Cooder
The_Dot,Peter_H._Reynolds
The_Mad_Man,Samuel_R._Delany
The_Art_of_Seeing,Aldous_Huxley
Fear_and_Loathing_on_the_Campaign_Trail_'72,Hunter_S._Thompson
Parents_(TV_series),Joe_Tucker
Footprints_on_Sand,Catherine_Crook_de_Camp
Unknown_Man_No._89,Elmore_Leonard
Short_Trips:_Seven_Deadly_Sins,David_Bailey_(writer)
Gamerz_Heaven,Maki_Murakami
The_Shards_of_Heaven,Michael_Livingston
Energy_and_American_Society:_Thirteen_Myths,Marilyn_A._Brown
"Agony_in_the_Garden_(Mantegna,_London)",Andrea_Mantegna
Sexy_(novel),Joyce_Carol_Oates
Dyskolos,Menander
Isaac_Asimov_Presents_The_Great_SF_Stories_9_(1947),Martin_H._Greenberg
Sister_San_Sulpicio_(novel),Armando_Palacio_Valdés
The_Last_Dream,Gordon_R._Dickson
A_New_Brain,James_Lapine
Last_Supper_(Fernandes),Grão_Vasco
Annie_Warbucks,Thomas_Meehan_(writer)
In_the_Eyes_of_Mr._Fury,Philip_Ridley
The_Roulin_Family,Vincent_van_Gogh
Bano_(novel),Razia_Butt
The_Adventures_of_Tom_Sawyer_(musical),Ken_Ludwig
In_Defense_of_Anarchism,Robert_Paul_Wolff
The_Madwoman_in_the_Volvo,Sandra_Tsing_Loh
Bare:_A_Pop_Opera,Damon_Intrabartolo
Avatar:_The_Last_Airbender,Michael_Dante_DiMartino
The_Savage_Girl_(novel),Alex_Shakar
The_Collected_Books_of_Jack_Spicer,Jack_Spicer
The_Sea_Around_Us,Rachel_Carson
The_Ballad_of_Peckham_Rye,Muriel_Spark
The_Year's_Best_Science_Fiction:_Twentieth_Annual_Collection,Gardner_Dozois
Spirit_of_the_Border,Zane_Grey
The_Doge_on_the_Bucintoro_near_the_Riva_di_Sant'Elena_(painting),Francesco_Guardi
The_Reach,Stephen_King
"Portrait_of_Catherine,_Duchess_of_Cambridge",Paul_Emsley
The_Garden_of_Pan,Edward_Burne-Jones
California_Girls_(film),Charles_Rosin
El_pecado_de_Oyuki_(telenovela),Yolanda_Vargas_Dulché
"I,_Robot",Isaac_Asimov
The_Thanksgiving_Visitor,Truman_Capote
Christina's_Ghost,Betty_Ren_Wright
"Fine_Wind,_Clear_Morning",Hokusai
Two_Crabs,Vincent_van_Gogh
Pulitzer_Prize_Playhouse,Sidney_Howard
Watson_&_Oliver,Lorna_Watson
Zuma_Beach_(film),John_Carpenter
The_Advocates,Bruno_Heller
The_Emperor's_Tomb,Joseph_Roth
Mindhunter_(TV_series),Joe_Penhall
Muteki_Kanban_Musume,Jun_Sadogawa
Lincoln_the_Mystic,James_Earle_Fraser_(sculptor)
Akhnaton_(play),Agatha_Christie
Forbidden_Colors,Yukio_Mishima
Jonah_(miniseries),Eleanor_Witcombe
The_Guardian_(TV_series),Nick_Santora
Adventures_in_Solitude,Grant_Lawrence
