sid,sub,obj,class,score
307,Second_Thoughts_(TV_series)__Second_Thoughts__1,Gavin_Petrie,0,10.0
274,Head_Shots,Dawn_Prestwich,0,13.0
379,Mr._Monk_Goes_to_the_Firehouse__Monk__1,Lee_Goldberg,0,14.0
275,Mother_Machree,Rida_Johnson_Young,0,15.5
338,Moby_Presents:_Alien_Sex_Party,Paul_Yates,0,16.5
310,Sharpe's_Mission,James_Laurenson,0,17.5
323,Women_Who_Play,Frederick_Lonsdale,0,18.0
239,The_Stick_Up,Jeffrey_Bloom,0,18.5
384,Deep_Jwele_Jaai,Anil_Gupta,0,19.0
368,Michael_Strogoff,Jules_Férat,0,19.5
271,Make_the_Grade,Lew_Schneider,0,20.5
325,I_Whistle_a_Happy_Tune,Richard_Rodgers,0,20.5
394,Don't_Lose_Your_Head,Talbot_Rothwell,0,21.0
280,National_Velvet_(TV_series),Frank_McDonald_(director),0,22.0
348,Priest_(1994_film),Jimmy_McGovern,0,22.0
235,Younger_Than_Springtime,Oscar_Hammerstein_II,0,22.5
296,The_Estate_Agents,Dan_Clark,0,22.5
333,It's_a_Scandal!_It's_a_Outrage!,Oscar_Hammerstein_II,0,22.5
205,"Hallelujah,_Baby!",Adolph_Green,0,23.0
386,"Hallelujah,_Baby!",Adolph_Green,0,23.0
318,Our_Day_Out,Willy_Russell,0,23.5
372,1994_Baker_Street:_Sherlock_Holmes_Returns,Kenneth_Johnson_(producer),0,23.5
245,A_Walking_Tour_of_the_Shambles,Gahan_Wilson,0,24.0
254,"Bastards_from_the_Bush,_A_Journey_with_Bob_Ellis_and_Les_Murray",Bob_Ellis,0,24.0
287,Darling_of_the_Day,Arnold_Bennett,0,24.5
309,Sunrise_at_Campobello,Dore_Schary,0,24.5
378,The_Craic,Jimeoin,0,24.5
316,World's_Best_Science_Fiction:_1968,Jack_Gaughan,0,25.0
337,Puppet_Master_vs_Demonic_Toys,Corey_Feldman,0,25.0
218,Pilot_(V),Kenneth_Johnson_(producer),0,25.5
229,Double_Act_(film),Jacqueline_Wilson,0,25.5
233,The_Coat_Hanger,Jennifer_Salt,0,25.5
293,Book_of_Blood,Clive_Barker,0,25.5
308,Spaghetti_Western_and_Meatballs,Brian_Posehn,0,25.5
374,Jamaica_Inn_(1983_TV_series),Jane_Seymour_(actress),0,25.5
247,Wild_Hearts,Nancy_McKeon,0,26.0
281,The_Legend_of_Valentino,Aaron_Spelling,0,26.0
315,Saint_Sinner_(film),Mary_Mara,0,26.0
383,Bill_&_Ted's_Excellent_Comic_Book,Evan_Dorkin,0,26.0
395,Darna_(2009_TV_series),Don_Michael_Perez,0,26.5
237,Inferno_(1997_film),Fred_Olen_Ray,0,27.0
285,Fire_and_Ice:_The_Dragon_Chronicles,Evan_Jacobs,0,27.0
291,Lulu_on_the_Bridge,Paul_Auster,0,27.0
