1989_(Ryan_Adams_album),Ryan_Adams
Live_in_Manchester_(Slash_album),Jimmy_Page
"Statue_of_William_Shakespeare,_Leicester_Square",William_Shakespeare
The_Sandbaggers,Ian_Mackintosh
Electronic_Sound,George_Harrison
Alex_in_Wonderland,Larry_Tucker_(screenwriter)
Valentina_(1993_telenovela),Juan_Ferrara
Thunderbirds_(TV_series),Reg_Hill
A_Christmas_Carol_(1997_film),Charles_Dickens
To_Serve_Man_(The_Twilight_Zone),Rod_Serling
Robot_Chicken:_Star_Wars,Abraham_Benrubi
Öyle_Bir_Geçer_Zaman_Ki,Meral_Çetinkaya
The_Heaven_Sword_and_Dragon_Saber_(2003_TV_series),Alyssa_Chia
Final_Examination_(film),Fred_Olen_Ray
As_You_Like_It_(1936_film),William_Shakespeare
Sherlock_Holmes_(2013_TV_series),Arthur_Conan_Doyle
It_Happened_Here,Kevin_Brownlow
Python_Night_–_30_Years_of_Monty_Python,Michael_Palin
Dæmonicus,Frank_Spotnitz
About_Time_(2013_film),Richard_Curtis
The_Paradine_Case,Ben_Hecht
Batman:_The_Animated_Series,Tom_Ruegger
The_Weapon_(film),Fred_Freiberger
Haggard:_The_Movie,Bam_Margera
Climb_Ev'ry_Mountain,Richard_Rodgers
The_Stand:_Captain_Trips,Stephen_King
"One_Jug_of_Wine,_Two_Vessels",Robert_Christgau
The_Space_Kidettes,Joseph_Barbera
Kidnapped_(2005_miniseries),Robert_Louis_Stevenson
Cass_Timberlane,Sinclair_Lewis
Westworld,Michael_Crichton
The_Desert_Song_(1943_film),Robert_Buckner
Family_Flight,Fred_Steiner
Don_Dracula__tv_series__1,Osamu_Tezuka
The_Sonny_Side_of_Chér,Oscar_Hammerstein_II
Westworld,Michael_Crichton
Arms_and_the_Man_(film),George_Bernard_Shaw
From_the_Earth_to_the_Moon_(film),Jules_Verne
Crazy_(2007_film),Larry_Klein
Dead_Ringer_for_Love,Jim_Steinman
Jeremy_Clarkson's_Motorworld,Jeremy_Clarkson
Dying_Room_Only,Richard_Matheson
H.P._Lovecraft's:_Necronomicon,H._P._Lovecraft
The_Stand_(miniseries),Stephen_King
When_You_Dance_I_Can_Really_Love,Neil_Young
Till_the_Clouds_Roll_By,Guy_Bolton
List_of_The_Late_Show_with_Stephen_Colbert_episodes_(2015),Guillermo_del_Toro
Dance_Me_This,Frank_Zappa
Gallipoli_(1981_film),David_Williamson
Macbeth_(1916_film),William_Shakespeare
It_Started_with_Eve,Norman_Krasna
A_Wild_and_Crazy_Guy,Steve_Martin
The_Bacchae_(film),Euripides
The_Condemned_of_Altona_(film),Jean-Paul_Sartre
