Hornet's_Nest_(novel),Patricia_Cornwell
Framley_Parsonage,Anthony_Trollope
The_Maze_(novel),Panos_Karnezis
That_Peter_Kay_Thing,Dave_Spikey
A.I._Love_You,Ken_Akamatsu
Bombay_Dreams,Thomas_Meehan_(writer)
Three_of_the_Players,John_Brack
Late_Night_with_David_Letterman,Rob_Burnett_(producer)
Friends_of_God:_A_Road_Trip_with_Alexandra_Pelosi,Alexandra_Pelosi
She:_A_History_of_Adventure,H._Rider_Haggard
The_Good_Life_(1994_TV_series),Kevin_Curran_(writer)
No_One_Gets_Out_Alive,Adam_Nevill
The_Watchman_(Crais_novel),Robert_Crais
The_Fox_and_the_Hound_(novel),Daniel_P._Mannix
Inside_the_Neolithic_Mind,David_Lewis-Williams
Homicide_Trinity,Rex_Stout
Prétear,Junichi_Sato
Ecology_of_Fear,Mike_Davis_(scholar)
"No_Coins,_Please",Gordon_Korman
A_Martian_Odyssey,Stanley_G._Weinbaum
Sky_Fence,Linda_Howard_(artist)
A_Family_for_Joe,Philip_Rosenthal
My_Inventions:_The_Autobiography_of_Nikola_Tesla,Nikola_Tesla
Tiny:_Streetwise_Revisited,Mary_Ellen_Mark
The_Celts_(BBC_documentary),Frank_Delaney
Ice_Station_Zebra_(novel),Alistair_MacLean
Citizen_Baines,Will_Scheffer
Catwalk_(Australian_TV_series),Tony_Morphett
Fa_yan,Yang_Xiong_(author)
The_ABC_of_Communism,Yevgeni_Preobrazhensky
The_Last_of_the_Winnebagos,Connie_Willis
The_Line_of_Beauty_(TV_series),Andrew_Davies_(writer)
"Still_Life_with_Lemons,_Oranges_and_a_Rose",Francisco_de_Zurbarán
Sci_Fiction,Ellen_Datlow
A_Map_of_the_World,Jane_Hamilton
Kamen_Rider_Decade,Shōji_Yonemura
Beijing_Coma,Ma_Jian_(writer)
Beau_Geste_(TV_series),Terrance_Dicks
The_Calcutta_Quran_Petition,Sita_Ram_Goel
Happy_Hunting,Howard_Lindsay
Home_for_the_Holidays_(1972_film),Joseph_Stefano
Tekkonkinkreet,Taiyō_Matsumoto
Alif_Laila,Ramanand_Sagar
Surfeit_of_Lampreys,Ngaio_Marsh
The_Target_(Baldacci_novel),David_Baldacci
Stone_and_Sun,Graham_Edwards_(writer)
The_Patty_Duke_Show,William_Asher
1000_Families:_das_Familienalbum_des_Planeten_Erde,Uwe_Ommer
The_Face_on_the_Milk_Carton,Caroline_B._Cooney
A_Princess_in_Berlin,Arthur_R.G._Solmssen
The_World_Wreckers,Marion_Zimmer_Bradley
The_Gregory_Hines_Show,Michael_Carrington_(voice_actor)
They_Burn_the_Thistles,Yaşar_Kemal
Cashiers_du_Cinemart,Mike_White_(writer;_filmmaker)
The_Decorator_(TV_pilot),Mart_Crowley
The_Saint_(novel),Jonathan_Hensleigh
Requiem_for_a_Nun,William_Faulkner
Buddies_(TV_series),Peter_Tolan
Firebird_(Pirotta_picture_book),Saviour_Pirotta
Little_Red_Cap_(poem),Carol_Ann_Duffy
Divided_Kingdom,Rupert_Thomson
The_Man_Who_Never_Missed,Steve_Perry_(author)
A_Judgement_in_Stone,Ruth_Rendell
Panama_Hattie,Herbert_Fields
A_Small_Family_Business,Alan_Ayckbourn
Three_Days_(TV_series),Kim_Eun-hee
The_Book_of_Dave,Will_Self
The_Pagan_Christ,Tom_Harpur
The_Lost_World_of_British_Communism,Raphael_Samuel
A_City_in_Winter,Mark_Helprin
The_Forgotten_(Baldacci_novel),David_Baldacci
Ground_Control_to_Psychoelectric_Girl,Hitoma_Iruma
The_Vampire_Prince,Darren_Shan
Still_Life_with_Spherical_Mirror,M._C._Escher
The_Lute_Player_(Hals),Frans_Hals
Sharpe's_Company_(TV_programme),Bernard_Cornwell
Things_My_Girlfriend_and_I_Have_Argued_About,Mil_Millington
God_of_War_(2005_video_game)__God_of_War__1,Robert_E._Vardeman
To_the_Last_Man_(Grey_novel),Zane_Grey
Shadows_in_Bronze,Lindsey_Davis
Horton_Hears_a_Who!,Dr._Seuss
Red_Harvest,Dashiell_Hammett
Robotech_(TV_series),Gregory_Snegoff
Die_Feuerzangenbowle,Heinrich_Spoerl
The_Surgeon's_Mate,Patrick_O'Brian
Damnation_Alley,Roger_Zelazny
The_Good_House,Tananarive_Due
The_Accidental_Prime_Minister,Sanjaya_Baru
America_by_Heart,Sarah_Palin
Yamada_Tarō_Monogatari,Ai_Morinaga
The_Miscast_Barbarian,L._Sprague_de_Camp
The_Wreck_of_the_Zanzibar,Michael_Morpurgo
Making_a_Murderer,Laura_Ricciardi
The_Diary_of_Anne_Frank_(2009_miniseries),Deborah_Moggach
Age_of_Science,Ahmed_Zewail
Pax_Britannica_Trilogy,Jan_Morris
Yam_Hain_Hum,Amit_Senchoudhary
For_Cause_and_Comrades:_Why_Men_Fought_in_the_Civil_War,James_M._McPherson
Something_to_Live_for:_The_Alison_Gertz_Story,Deborah_Joy_LeVine
Grindl,Burt_Styler
1066_and_All_That,W._C._Sellar
Mr._Adams_and_Eve,Collier_Young
Dreams_in_Flower,Louise_Mack
All_My_Children,Marlene_Clark_Poulter
Anohana:_The_Flower_We_Saw_That_Day,Mari_Okada
What_is_Living_and_What_is_Dead_in_Indian_Philosophy,Debiprasad_Chattopadhyaya
A_Second_Chance_at_Eden,Peter_F._Hamilton
Seedfolks,Paul_Fleischman
Theodore_Boone:_The_Accused,John_Grisham
Web_of_the_City,Harlan_Ellison
The_Dragon_Lord,David_Drake
Children_Playing_Before_a_Statue_of_Hercules,David_Sedaris
Fury_from_the_Deep__Fury_from_the_Deep__1,Victor_Pemberton
Mr_Darwin's_Shooter,Roger_McDonald
Genocide:_Its_Political_Use_in_the_Twentieth_Century,Leo_Kuper
Park's_Quest,Katherine_Paterson
Fry's_Planet_Word,Stephen_Fry
Call_the_Midwife_(book),Jennifer_Worth
Living_Proof_(film),Robert_Bazell
Switched_On_(book),John_Elder_Robison
The_Thanksgiving_Story,Alice_Dalgliesh
Active_Directory_Explorer,Mark_Russinovich
La_Négresse,Henri_Matisse
Shaun_Micallef's_Mad_as_Hell,Tony_Moclair
Sounds_Like_London,Lloyd_Bradley
Crossfire_(novel),Miyuki_Miyabe
7_Stories,Morris_Panych
Animalia_(TV_series),John_P._McCann
The_Madwoman_in_the_Attic,Susan_Gubar
Paranoia_(Hermans_book),Willem_Frederik_Hermans
Magical_Mystery_Tour_(film),Ringo_Starr
The_Kiss_(Hayez),Francesco_Hayez
Job_History,Annie_Proulx
Dinotopia_(miniseries),James_Gurney
Eleanor_and_Franklin:_The_White_House_Years,James_Costigan
Isaac_Asimov_Presents_The_Great_SF_Stories_15_(1953),Isaac_Asimov
Danny_Dunn_and_the_Swamp_Monster,Raymond_Abrashkin
Incognito:_The_Secret_Lives_of_the_Brain,David_Eagleman
Mirror_Dance,Lois_McMaster_Bujold
The_Aztecs_(Doctor_Who)__The_Aztecs__1,John_Lucarotti
The_Great_and_the_Good,Michel_Déon
"Compilers:_Principles,_Techniques,_and_Tools",Ravi_Sethi
Dinosaurs!,Jack_Dann
Arab_Labor,Sayed_Kashua
Black_Colossus,Robert_E._Howard
Back_to_the_Secret_Garden,Frances_Hodgson_Burnett
Raven:_A_Trickster_Tale_From_The_Pacific_Northwest,Gerald_McDermott
The_Robber_Bridegroom_(musical),Alfred_Uhry
Five_Go_Down_to_the_Sea,Enid_Blyton
The_Maid_of_Arran,L._Frank_Baum
The_Siege_of_Krishnapur,J._G._Farrell
Tomcat_in_Love,Tim_O'Brien_(author)
Mindwarp__Mindwarp__1,Philip_Martin_(screenwriter)
The_New_Scooby_and_Scrappy-Doo_Show,Glenn_Leopold
Red_Mask,E._V._Timms
"Your_Turn,_Mr._Moto",John_P._Marquand
La_Reine_Margot_(novel),Alexandre_Dumas
Moe_Howard_and_the_Three_Stooges,Moe_Howard
Avarice_and_Lust,Auguste_Rodin
"The_Madonna_and_Child_with_the_Infant_St._John_the_Baptist,_Leonardo_da_Vinci",Leonardo_da_Vinci
Point_of_Origin_(novel),Patricia_Cornwell
The_Children_of_Prescott_Hall_Butler,Augustus_Saint-Gaudens
Player's_Handbook,Gary_Gygax
Magician_(Feist_novel),Raymond_E._Feist
The_Young_Ones_(TV_series),Ben_Elton
The_Glory_of_Living,Rebecca_Gilman
Crown_(manga),Shinji_Wada
In_the_Company_of_Heroes,Steven_Hartov
The_Forgotten_Garden,Kate_Morton
Consent_of_the_Networked,Rebecca_MacKinnon
Woman_Hating,Andrea_Dworkin
Straight_White_Men,Young_Jean_Lee
Daughter_of_the_Empire,Janny_Wurts
Geeks_Bearing_Gifts,Ted_Nelson
The_Pet_Girl_of_Sakurasou,Hajime_Kamoshida
Seiyu's_Life!,Masumi_Asano
Velocity_(novel),Dean_Koontz
Lonely_Road_(novel),Nevil_Shute
Red_Lights_(novel),Georges_Simenon
The_Buddhism_Palm_Strikes_Back,Wong_Yuk-long
Garo:_Makai_Senki,Yasuko_Kobayashi
Planet_of_Twilight,Barbara_Hambly
The_Amish_(film),David_Belton
The_Glittering_Prizes,Frederic_Raphael
Wild_Minds,Michael_Swanwick
Bal_du_moulin_de_la_Galette,Pierre-Auguste_Renoir
Dynamism_of_a_Speeding_Horse_+_Houses,Umberto_Boccioni
The_Orchid_Thief,Susan_Orlean
Le_Cid,Pierre_Corneille
China_Misperceived,Steven_W._Mosher
"Drums,_Girls,_and_Dangerous_Pie",Jordan_Sonnenblick
Drama_(graphic_novel),Raina_Telgemeier
Comedy_World_Cup,Dan_Swimer
Mr._President_(musical),Russel_Crouse
Women_Painters_of_the_World,Walter_Shaw_Sparrow
Bozo:_The_World's_Most_Famous_Clown,Larry_Harmon
That_Used_to_Be_Us,Thomas_Friedman
Water_on_the_Table,Liz_Marshall
Forgotten_Tales_of_Love_and_Murder,Edgar_Rice_Burroughs
The_Drowsy_Chaperone,Bob_Martin_(comedian)
Encounters_with_Civilizations:_From_Alexander_the_Great_to_Mother_Teresa,Gëzim_Alpion
About_Time_(book),Paul_Davies
Fanny's_First_Play,George_Bernard_Shaw
The_Rear_Guard,Arthur_Julian
Dwitiyo_Manob,Humayun_Ahmed
The_First_Death,Dimitris_Lyacos
Tenshi_no_Frypan,Etsushi_Ogawa
Sharpe's_Company,Bernard_Cornwell
Two_Circle_Sentinel,David_Smith_(sculptor)
The_Ghost_Drum,Susan_Price
Initial_D,Shuichi_Shigeno
An_Assembly_Such_as_This,Pamela_Aidan
Robotech_(TV_series),Steve_Kramer_(actor)
Blooded,Christopher_Golden
Tatvaviveka,Vidyaranya
Ibid:_A_Life,Mark_Dunn
Second_Genesis_(novel),Donald_Moffitt
Katy_Brand's_Big_Ass_Show,Nick_Tanner_(actor)
The_Knight_(novel),Gene_Wolfe
The_Fair_Jilt,Aphra_Behn
Bloodlines:_The_Story_of_Urza's_Destiny,Loren_L._Coleman
The_High_Fructose_Adventures_of_Annoying_Orange,Neil_Swaab
Atlantis_(anthology),Isaac_Asimov
Collected_Poems_in_English,Joseph_Brodsky
Pure_Mule,Eugene_O'Brien_(playwright)
The_Prisoner_of_Zenda,Anthony_Hope
Delta_(Australian_TV_series),Tony_Morphett
Gears_of_War:_Anvil_Gate,Karen_Traviss
Shoot_to_Kill_(1990_film),Michael_Eaton
Codex_(novel),Lev_Grossman
"Christ_Driving_the_Money_Changers_from_the_Temple_(El_Greco,_New_York)",El_Greco
NYPD_Red_3,James_Patterson
The_Chronology_of_Ancient_Kingdoms_Amended,Isaac_Newton
When_You_Ride_Alone_You_Ride_with_bin_Laden,Bill_Maher
Encyclopedia_of_the_Consumer_Movement,Stephen_Brobeck
Not_on_Our_Watch,John_Prendergast_(activist)
Conan_the_Champion,John_Maddox_Roberts
Search_the_Sky,Frederik_Pohl
Wikitravel,Evan_Prodromou
One_Hundred_Years_of_Homosexuality,David_M._Halperin
Bloody_Nasty_People:_The_Rise_of_Britain's_Far_Right,Daniel_Trilling
Basic_Chess_Endings,Reuben_Fine
Woman_with_a_Parrot,Gustave_Courbet
Ravished_Armenia,Aurora_Mardiganian
The_Sands_of_Ammon,Valerio_Massimo_Manfredi
New_Nepenthes,Stewart_McPherson_(geographer)
The_Masks_of_Time,Robert_Silverberg
Trollied,Ben_Charles_Edwards
Mackenzie's_Raiders,Richard_Carlson_(actor)
Nonviolent_Soldier_of_Islam,Eknath_Easwaran
Virgins_(novel),Caryl_Rivers
Acid2,Ian_Hickson
The_Wrecker_(Stevenson_novel),Robert_Louis_Stevenson
Ancient_Thunder,Leo_Yerxa
Winter's_King,Ursula_K._Le_Guin
The_Year_of_Intelligent_Tigers,Kate_Orman
Omeros,Derek_Walcott
Senja_di_Jakarta,Mochtar_Lubis
Sons_(novel),Pearl_S._Buck
A_Soldier's_Daughter_Never_Cries_(novel),Kaylie_Jones
South_of_Broad,Pat_Conroy
The_Book_and_the_Sword,Jin_Yong
Sunset_Express,Robert_Crais
