Chafurin,Saitama_Prefecture
Edward_FitzGerald_(poet),"Woodbridge,_Suffolk"
Josef_Svatopluk_Machar,Kingdom_of_Bohemia
Robert_D._Parker,New_Jersey
Patrick_Mölleken,Germany
Muhammad_Bayu_Pangisthu,Medan
Samuel_John_Fox,Bowmanville
Jaroslav_Beneš,Plzeň
Mau_Piailug,Satawal
Saioa_González,Spain
Leo_Hönigsberg,Zagreb
Kenta_Fujii,Japan
Magno_Alves,Aporá
Célio_Codó,Brazil
Declan_McKenna,Hertfordshire
Jay_Ramras,"Fairbanks,_Alaska"
Lantz_Womack,Louisiana
Mira_Bryunina,Moscow
Enzo_Ferrari,Modena
Amin_Babak,Afghanistan
Zachary_McCord,Baltimore
Pauline_Flanagan,County_Sligo
Ivaylo_Zafirov,Bulgaria
Sam_Shepard,"Fort_Sheridan,_Illinois"
Joanne_Simpson,Boston
Red_Haircrow,Frankfurt
Zohreh_Mojabi,Iran
Kathleen_Flinn,"Davison,_Michigan"
Nils_Granfelt,Stockholm
Herbert_Schildt,Chicago
Virginia_Held,"Mendham_Borough,_New_Jersey"
John_F._Baddeley,Oxford
Kevin_Maguire_(ice_hockey),Toronto
Boban_Jančevski,Vienna
William_L._Shirer,Illinois
Hikmet_Çetin,"Lice,_Turkey"
Alex_Smith_(ice_hockey),Liverpool
Tack_Wilson,"Shreveport,_Louisiana"
Panangipalli_Venugopal,Andhra_Pradesh
Stepfret_Williams,"Minden,_Louisiana"
Edythe_Kirchmaier,"Springfield,_Ohio"
Saülo_Mercader,Spain
Russell_Ellington,United_States
Kate_Cayley,Toronto
Elisabetta_Manfredini-Guarmani,Bologna
Rostislav_Vovkushevsky,Vitebsk_Governorate
Matthew_Mochary,United_States
Kent_Desormeaux,"Maurice,_Louisiana"
Phoebe_Strole,"Fort_Worth,_Texas"
Guy_Marchand,Paris
William_James_Bennett,London
Mudassar_Kapur,Oslo
Rachid_Ferrahi,Algeria
Hermann_Wilhelm_Ebel,Berlin
David_Tavaré,Pollença
Jean-Baptiste_Languet_de_Gergy,Dijon
Charles_Stanislas_Marion,"Charmes,_Vosges"
Vera_Gemma,Lazio
Cristy_Spencer,Cape_Verde
Andrew_Odom,"Denham_Springs,_Louisiana"
Aleksandras_Stulginskis,Kovno_Governorate
José_David_de_Gea,Spain
Elina_Partõka,Soviet_Union
Roberto_Tavola,Pescate
Parastou_Forouhar,Tehran
Stephen_Kiogora,"Meru,_Kenya"
Craig_Nitti,Van_Nuys
Shawn_Barry,"Miramar,_Florida"
Elvis_Reifer,Barbados
Karol_Kossok,Katowice
Antony_James,Plymouth
Udayakantha_Warnasuriya,Colombo
Marisol_González,Coahuila
John_Ake,"Altoona,_Pennsylvania"
Kemy_Agustien,Willemstad
Jirawat_Kaewboran,Loei
Michael_Hunter_(American_boxer),California
Angela_Down,Hampstead
Wayne_Belardi,"St._Helena,_California"
Harold_Sakata,"Holualoa,_Hawaii"
Zaur_Kaziev,Soviet_Union
Yoshiya_Nishizawa,"Iruma,_Saitama"
Olivier_Keller,Switzerland
Mohamed_Hilal,Egypt
Adam_Ryczkowski,Poland
Stefan_Pavlov,Godech
Lisa_McDonald,Republic_of_Ireland
Rob_Carpenter_(running_back),"Lancaster,_Ohio"
Larry_Fedora,"College_Station,_Texas"
Long_Boret,French_Protectorate_of_Cambodia
Sudjadnan_Parnohadiningrat,Yogyakarta
Sarah_Natochenny,New_York_City
Zola_Taylor,Los_Angeles
Chrysta_Bell,"Austin,_Texas"
Ray_Eichenlaub,"Columbus,_Ohio"
Shawn_Michael_Howard,"Newark,_New_Jersey"
Del_Bissonette,"Winthrop,_Maine"
Yohann_Boulic,France
Atefeh_Sahaaleh,Neka
William_Gollan,"Woodburn,_New_South_Wales"
Köprülü_Numan_Pasha,Istanbul
Roy_J._Turner,"Lincoln_County,_Oklahoma"
Michael_Okpara,Abia_State
Chris_Old,Middlesbrough
Ernest_Frank_Richardson,Birmingham
Susan_Denham,Dublin
Nils_Einar_Vinjor,Øvre_Årdal
Jesper_Johansson,Sweden
Prince_Stefan_of_Liechtenstein,Austria
Benton_Jennings,"El_Paso,_Texas"
Xu_Lin_(born_1963),Shanghai
Yulian_Popovich,"Rudny,_Kazakhstan"
Steve_Tucker_(rower),"Mooresville,_Indiana"
Selita_Ebanks,"George_Town,_Cayman_Islands"
Alex_Tokarczyk,Hammersmith
Marion_H._Crank,"Bearden,_Arkansas"
Wout_van_Aert,Herentals
Nezu_Kaichirō,Yamanashi_Prefecture
Zack_Evans,"Regina,_Saskatchewan"
Gabriel_Péri,Toulon
Heather_Angel_(actress),Oxford
Markus_Lösch,Stuttgart
Paul_Harrington_(musician),Dublin
Carman_(singer),"Trenton,_New_Jersey"
Teoman_(singer),Turkey
Teri_Shields,"Newark,_New_Jersey"
Charles_Freer_Andrews,Newcastle_upon_Tyne
Cédrick_Desjardins,Edmundston
Raffaele_Ametrano,Castellammare_di_Stabia
Jean_Pommat,Aubervilliers
Jaime_Aguilar_Álvarez,Tlaxcala
Ahmad_Brooks,"Fairfax,_Virginia"
Adorcelino_Wesley_Gomes_da_Silva,Rio_de_Janeiro
Nick_Tanner_(footballer),"Kingswood,_South_Gloucestershire"
Gary_Leeman,Toronto
Nicola_Black,Glasgow
Amal_Allana,Mumbai
Keen'V,France
Ljubomir_Jovanović,Kotor
Kenta_Suga,"Edogawa,_Tokyo"
Milan_Kadlec_(pentathlete),Czechoslovakia
Rick_West,"Rising_Fawn,_Georgia"
Gilbert_Esau,"Mountain_Lake,_Minnesota"
Mathieu_Hamel,France
Keng_Vannsak,Kampong_Chhnang_Province
Aleksandar_Mitrović_(volleyball),Socialist_Federal_Republic_of_Yugoslavia
Robert_Gorodetsky,Saint_Petersburg
Clinton_Gilbert_Abbott,Liverpool
Paul_Arano,Santa_Cruz_de_la_Sierra
Jeremiah_Murphy_(piper),County_Galway
Mathéo_Jacquemoud,Lus-la-Croix-Haute
Helga_Haase,Free_City_of_Danzig
Zakaria_Aboub,Morocco
Matt_Houston_(singer),"Sainte-Anne,_Guadeloupe"
Wanda_Rothgardt,Stockholm
Rob_Gaudreau,United_States
Tsuneo_Gōda,Tokyo
Peter_Carey_(historian),Yangon
Francis_J._Myers,Pennsylvania
Frank_Jericho_Nagbe,Liberia
Jalal-ud-Din_(cricketer),Karachi
Emanuel_Raasch,Burg_bei_Magdeburg
Jose_L._Espinoza,Mexico
Erika_Sutton,Colorado
Subhas_Datta,Howrah
Stefan_Obermaier,St._Johann_im_Pongau_District
Vlatko_Lazić,Bodegraven
Harry_McGee,County_Galway
Jamie_Baker_(tennis),Glasgow
Carlos_Saladrigas_Zayas,Cuba
Megdet_Rahimkulov,Moscow
Doug_Fisher_(politician),Sioux_Lookout
Owen_Tudor_Burne,Plymouth
Salvador_Márquez_Lozornio,Mexico
G._F._Newman,Kent
Brooke_Wyckoff,"Lake_Forest,_Illinois"
Daniel_Hoelgaard,Stavanger
August_Geiger_(architect),"New_Haven,_Connecticut"
Ivan_Ahčin,Domžale
Enrico_Valentini,Nuremberg
Montague_Druitt,Wimborne_Minster
"George_Smith_(footballer,_born_1936)",Nottingham
Balendu_Prakash,Uttar_Pradesh
Torsten_Bréchôt,Schwerin
Ian_Kirkham,"Preston,_Lancashire"
Veturi_Prabhakara_Sastri,Andhra_Pradesh
Peter_McPherson,"Newcastle,_New_South_Wales"
Robin_Raphel,"Vancouver,_Washington"
Wilhelm_Roser,Stuttgart
Khajera_Chirapradidha,Thailand
Joe_Robinson_(musician),New_South_Wales
Aqeel_Abbas_Jafari,Karachi
Salom_Rizk,Syria
Francisco_Dagohoy,Bohol
Aditi_Sharma,Uttar_Pradesh
Louise_Minchin,British_Hong_Kong
