0.91  birthPlace(A ,F)  :-  location(F ,F)   ,  placeOfBurial(F ,B).
0.72  birthPlace(A ,F)  :-  country(F ,F)   ,  sportCountry(F ,B).
0.59  birthPlace(A ,B)  :-  deathPlace(B ,A)   ,  billed(A ,B).
0.52  birthPlace(A ,B)  :-  deathPlace(B ,A)   ,  placeOfBurial(A ,B).
0.50  birthPlace(A ,F)  :-  largestCity(F ,B)   ,  sportCountry(B ,F).
0.49  birthPlace(A ,B)  :-  hometown(B ,A).
0.47  birthPlace(A ,B)  :-  residence(B ,A)   ,  billed(A ,B).
0.33  birthPlace(A ,B)  :-  billed(B ,A).
0.31  birthPlace(A ,B)  :-  sportCountry(B ,A).
0.26  birthPlace(A ,B)  :-  deathPlace(B ,A).
0.26  birthPlace(B ,F)  :-  ceremonialCounty(F ,F)   ,  memberOfParliament(F ,A).
0.26  birthPlace(A ,B)  :-  residence(B ,A).
0.24  birthPlace(E ,B)  :-  parent(B ,E)   ,  placeOfBurial(E ,A).
0.24  birthPlace(A ,B)  :-  placeOfBurial(B ,A).
0.20  birthPlace(E ,B)  :-  predecessor(B ,E)   ,  placeOfBurial(E ,A).
0.18  birthPlace(A ,B)  :-  stateOfOrigin(B ,A).
0.18  birthPlace(A ,B)  :-  citizenship(B ,A).
0.18  birthPlace(F ,B)  :-  predecessor(B ,A)   ,  placeOfBurial(A ,F).
0.18  birthPlace(F ,B)  :-  parent(B ,A)   ,  placeOfBurial(A ,F).
0.16  birthPlace(A ,B)  :-  nationality(B ,A).
0.16  birthPlace(F ,B)  :-  successor(B ,A)   ,  placeOfBurial(A ,F).
0.16  birthPlace(E ,B)  :-  successor(B ,E)   ,  placeOfBurial(E ,A).
0.15  birthPlace(A ,E)  :-  country(E ,E)   ,  billed(E ,B).
0.15  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  ceremonialCounty(E ,B).
0.15  birthPlace(E ,B)  :-  spouse(B ,E)   ,  placeOfBurial(E ,A).
0.13  birthPlace(A ,E)  :-  country(E ,E)   ,  placeOfBurial(E ,B).
0.12  birthPlace(E ,B)  :-  trainer(B ,E)   ,  billed(E ,A).
0.11  birthPlace(A ,F)  :-  largestCity(F ,B)   ,  billed(B ,F).
0.11  birthPlace(A ,E)  :-  largestCity(E ,E)   ,  billed(E ,B).
0.11  birthPlace(E ,B)  :-  trainer(B ,A)   ,  billed(A ,E).
0.10  birthPlace(E ,A)  :-  birthPlace(A ,E)   ,  lieutenancyArea(E ,B).
0.10  birthPlace(A ,F)  :-  capital(F ,F)   ,  placeOfBurial(F ,B).
0.10  birthPlace(F ,B)  :-  leader(B ,A)   ,  jurisdiction(A ,F).
0.10  birthPlace(A ,B)  :-  restingPlace(B ,A).
0.09  birthPlace(A ,E)  :-  isPartOf(E ,E)   ,  billed(E ,B).
