sub,obj,class,sid
Abkhazia,Sukhumi,1,
Afghanistan,Kabul,1,
Albania,Tirana,1,
Algeria,Algiers,1,
American_Samoa,Pago_Pago,1,
Andorra,Andorra_la_Vella,1,
Angola,Luanda,1,
Anguilla,"The_Valley,_Anguilla",1,
Argentina,Buenos_Aires,1,
Armenia,Yerevan,1,
Aruba,"Oranjestad,_Aruba",1,
Ascension_Island,"Georgetown,_Ascension_Island",1,
Australia,Canberra,1,
Austria,Vienna,1,
Azerbaijan,Baku,1,
Bahrain,Manama,1,
Bangladesh,Dhaka,1,
Barbados,Bridgetown,1,
Belarus,Minsk,1,
Belgium,Brussels,1,
Belize,Belmopan,1,
Benin,Porto-Novo,1,
Bermuda,"Hamilton,_Bermuda",1,
Bhutan,Thimphu,1,
Bolivia,Sucre,1,
Bolivia,La_Paz,1,
Bosnia_and_Herzegovina,Sarajevo,1,
Botswana,Gaborone,1,
British_Virgin_Islands,Road_Town,1,
Brunei,Bandar_Seri_Begawan,1,
Bulgaria,Sofia,1,
Burkina_Faso,Ouagadougou,1,
Burundi,Bujumbura,1,
Cambodia,Phnom_Penh,1,
Canada,Ottawa,1,
Cayman_Islands,"George_Town,_Cayman_Islands",1,
Central_African_Republic,Bangui,1,
Chile,Santiago,1,
Comoros,"Moroni,_Comoros",1,
Cook_Islands,Avarua,1,
Croatia,Zagreb,1,
Cuba,Havana,1,
Republic_of_Cyprus,Nicosia,1,
Czech_Republic,Prague,1,
Ivory_Coast,Yamoussoukro,1,
The_Democratic_Republic_Of_Congo,Kinshasa,1,
Denmark,Copenhagen,1,
Djibouti,Djibouti,1,
Dominica,Roseau,1,
Dominican_Republic,Santo_Domingo,1,
East_Timor,Dili,1,
Ecuador,Quito,1,
Egypt,Cairo,1,
El_Salvador,San_Salvador,1,
Equatorial_Guinea,Malabo,1,
Eritrea,Asmara,1,
Estonia,Tallinn,1,
Ethiopia,Addis_Ababa,1,
Falkland_Islands,"Stanley,_Falkland_Islands",1,
Federated_States_of_Micronesia,Palikir,1,
Fiji,Suva,1,
France,Paris,1,
French_Guiana,Cayenne,1,
Gabon,Libreville,1,
The_Gambia,Banjul,1,
Georgia,Tbilisi,1,
Germany,Berlin,1,
Ghana,Accra,1,
Gibraltar,Gibraltar,1,
Greece,Athens,1,
Greenland,Nuuk,1,
Guatemala,Guatemala_City,1,
Guernsey,Saint_Peter_Port,1,
Guinea,Conakry,1,
Guinea-Bissau,Bissau,1,
Guyana,"Georgetown,_Guyana",1,
Haiti,Port-au-Prince,1,
Honduras,Tegucigalpa,1,
Hungary,Budapest,1,
India,New_Delhi,1,
Indonesia,Jakarta,1,
Iran,Tehran,1,
Iraq,Baghdad,1,
Ireland,Dublin,1,
Israel,Jerusalem,1,
Italy,Rome,1,
Jamaica,"Kingston,_Jamaica",1,
Japan,Tokyo,1,
