Kresty_Prison,Saint_Petersburg
Ronnenberg,Hanover
Candler_Almshouses,London
Beniarbeig,Spain
Baghdada,Baghdad
State_Highway_19_(Tamil_Nadu),Coimbatore
"Tetonia,_Idaho",United_States
Palestinian_territories,Gaza_City
São_João_do_Triunfo,Brazil
Cantavieja,Spain
"Jamalabad,_Sarchehan",Fars_Province
"Presidential_Mansion,_Athens",Athens
Pran_Buri_District,Thailand
Olympic_Hockey_Centre_(Rio_de_Janeiro),Rio_de_Janeiro
"Rockdale_County,_Georgia",United_States
"Domingo_García,_Segovia",Spain
Palacio_de_Deportes_de_la_Comunidad_de_Madrid,Belgrade
"Palazzo_delle_Poste,_Naples",Naples
725_Amanda,Vienna
Model_Town_(Delhi),Delhi
Cairo_Marriott_Hotel,Cairo
One_Nine_Elms,London
"Brookings,_South_Dakota",United_States
"Shia_Jama_Mosque,_Delhi",Delhi
Seyyed_mosque_(Isfahan),Isfahan
Blacos,Spain
"Antioch,_Covington_County,_Alabama",United_States
Tehran_Metro_Line_2,Tehran
"Australia,_Mississippi",United_States
"Liudian_Township,_Kaifeng_County",Kaifeng
Galleria_Borghese,Rome
"Guilford,_Indiana",United_States
Batura_III,Pakistan
Werleshausen,Kassel
"Berlin,_Pennsylvania",United_States
"Willing,_New_York",United_States
"Barrington_Township,_Cook_County,_Illinois",United_States
Utkela_Airstrip,Bhawanipatna
Motorway_5_(Greece),Ioannina
Pointe-aux-Trembles,Montreal
"Milford,_Pennsylvania",United_States
"Fremont_Township,_Lake_County,_Illinois",United_States
Engenho_de_Dentro,Rio_de_Janeiro
"Rensselaer_County,_New_York",United_States
Sakkaramallur,Kanchipuram
Sahiwal,Pakistan
Marlborough_Apartments,Montreal
Valderrubio,Granada
"St._Lucie_Village,_Florida",United_States
Tremuzo,Spain
Church_of_Santa_María_de_la_Varga,Spain
"Calico,_West_Virginia",West_Virginia
Valdelcubo,Spain
Calden,Kassel
"Piedmont_Avenue_(Oakland,_California)",California
Lavras,Brazil
Pol-e_Abgineh,Fars_Province
"Beal,_Indiana",United_States
