Alabama,"Montgomery,_Alabama"
Alaska,"Juneau,_Alaska"
Arizona,"Phoenix,_Arizona"
Arkansas,"Little_Rock,_Arkansas"
California,"Sacramento,_California"
Colorado,"Denver"
Connecticut,"Hartford,_Connecticut"
Delaware,"Dover,_Delaware"
Florida,"Tallahassee,_Florida"
Georgia,"Atlanta"
Hawaii,"Honolulu"
Idaho,"Boise,_Idaho"
Illinois,"Springfield,_Illinois"
Indiana,"Indianapolis"
Iowa,"Des_Moines,_Iowa"
Kansas,"Topeka,_Kansas"
Kentucky,"Frankfort,_Kentucky"
Louisiana,"Baton_Rouge,_Louisiana"
Maine,"Augusta,_Maine"
Maryland,"Annapolis,_Maryland"
Massachusetts,"Boston"
Michigan,"Lansing,_Michigan"
Minnesota,"Saint_Paul,_Minnesota"
Mississippi,"Jackson,_Mississippi"
Missouri,"Jefferson_City,_Missouri"
Montana,"Helena,_Montana"
Nebraska,"Lincoln,_Nebraska"
Nevada,"Carson_City,_Nevada"
New_Hampshire,"Concord,_New_Hampshire"
New_Jersey,"Trenton,_New_Jersey"
New_Mexico,"Santa_Fe,_New_Mexico"
New_York,"Albany,_New_York"
North_Carolina,"Raleigh,_North_Carolina"
North_Dakota,"Bismarck,_North_Dakota"
Ohio,"Columbus,_Ohio"
Oklahoma,"Oklahoma_City"
Oregon,"Salem,_Oregon"
Pennsylvania,"Harrisburg,_Pennsylvania"
Rhode_Island,"Providence,_Rhode_Island"
