Abkhazia,Sukhumi
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American_Samoa,Pago_Pago
Andorra,Andorra_la_Vella
Angola,Luanda
Anguilla,"The_Valley,_Anguilla"
Argentina,Buenos_Aires
Armenia,Yerevan
Aruba,"Oranjestad,_Aruba"
Ascension_Island,"Georgetown,_Ascension_Island"
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bermuda,"Hamilton,_Bermuda"
Bhutan,Thimphu
Bolivia,Sucre
Bolivia,La_Paz
Bosnia_and_Herzegovina,Sarajevo
Botswana,Gaborone
British_Virgin_Islands,Road_Town
Brunei,Bandar_Seri_Begawan
Bulgaria,Sofia
Burkina_Faso,Ouagadougou
Burundi,Bujumbura
Cambodia,Phnom_Penh
Canada,Ottawa
Cayman_Islands,"George_Town,_Cayman_Islands"
Central_African_Republic,Bangui
Chile,Santiago
Comoros,"Moroni,_Comoros"
Cook_Islands,Avarua
Croatia,Zagreb
Cuba,Havana
Republic_of_Cyprus,Nicosia
Czech_Republic,Prague
Ivory_Coast,Yamoussoukro
The_Democratic_Republic_Of_Congo,Kinshasa
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
Dominican_Republic,Santo_Domingo
East_Timor,Dili
Ecuador,Quito
Egypt,Cairo
El_Salvador,San_Salvador
Equatorial_Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Ethiopia,Addis_Ababa
Falkland_Islands,"Stanley,_Falkland_Islands"
Federated_States_of_Micronesia,Palikir
Fiji,Suva
France,Paris
French_Guiana,Cayenne
Gabon,Libreville
The_Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Guatemala,Guatemala_City
Guernsey,Saint_Peter_Port
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,"Georgetown,_Guyana"
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
India,New_Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,"Kingston,_Jamaica"
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa
Kosovo,Pristina
Kuwait,Kuwait_City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala_Lumpur
Mali,Bamako
Malta,Valletta
Mauritania,Nouakchott
Mauritius,Port_Louis
Mexico,Mexico_City
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,"Plymouth,_Montserrat"
Morocco,Rabat
Mozambique,Maputo
Myanmar,Naypyidaw
Namibia,Windhoek
Nepal,Kathmandu
Netherlands,Amsterdam
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
North_Korea,Pyongyang
Northern_Cyprus,Nicosia
Northern_Ireland,Belfast
Norway,Oslo
Oman,"Muscat,_Oman"
Pakistan,Islamabad
Panama,Panama_City
Papua_New_Guinea,Port_Moresby
Peru,Lima
Pitcairn_Islands,"Adamstown,_Pitcairn_Islands"
Poland,Warsaw
Portugal,Lisbon
Puerto_Rico,"San_Juan,_Puerto_Rico"
Qatar,Doha
Republic_of_the_Congo,Brazzaville
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Saint_Helena,"Jamestown,_Saint_Helena"
Saint_Kitts_and_Nevis,Basseterre
Saint_Lucia,Castries
Saint_Vincent_and_the_Grenadines,Kingstown
Samoa,Apia
San_Marino,San_Marino
Saudi_Arabia,Riyadh
Scotland,Edinburgh
Senegal,Dakar
Serbia,Belgrade
Seychelles,"Victoria,_Seychelles"
Sierra_Leone,Freetown
Singapore,Singapore
Sint_Maarten,"Philipsburg,_Sint_Maarten"
Slovakia,Bratislava
Slovenia,Ljubljana
