Duchy_of_Ferrara,Ferrara
Principality_of_Waldeck_and_Pyrmont,"Waldeck,_Hesse"
Augustamnica,Pelusium
Veszprém_County_(former),Veszprém
Trust_Territory_of_the_Pacific_Islands,Saipan
State_of_Aleppo,Aleppo
Sud-Bandama,"Divo,_Ivory_Coast"
Samma_dynasty,Thatta
Nakhchivan_Autonomous_Republic,Nakhchivan_(city)
Bechuanaland_Protectorate,Gaborone
Western_Ganga_dynasty,Kolar
Zamboanga_(province),"Molave,_Zamboanga_del_Sur"
County_of_Sargans,Sargans
Gau_Cologne-Aachen,Cologne
Kansas_Territory,Fort_Leavenworth
Savanes_Region_(Ivory_Coast),Korhogo
Torgay_Region,Arkalyk
Tiberina_Republic,Perugia
Dacia_Ripensis,Bulgaria
Viceroyalty_of_the_Río_de_la_Plata,Buenos_Aires
Catepanate_of_Ras,Stari_Ras
Dubrovnik_Republic_(1991),Cavtat
Una-Sana_Canton,Bihać
Northwest_Territory,"Chillicothe,_Ohio"
Free_City_of_Kraków,Kraków
North_Dakota,"Bismarck,_North_Dakota"
Sanjak_of_Tirhala,Trikala
Samanid_Empire,Bukhara
Gunma_Prefecture,Maebashi
Reddy_dynasty,Addanki
Provisional_People's_Committee_for_North_Korea,Pyongyang
Wahidi_Bir_Ali,Bi'r_%60Ali
Kingdom_of_Cochin,Thrissur
British_Solomon_Islands,Honiara
State_of_Palestine,Ramallah
Taifa_of_Dénia,Dénia
Banu_Ifran,Tlemcen
Serbian_Vojvodina,Zrenjanin
History_of_Portugal_(1640–1777),Lisbon
Swedish_Wismar,Wismar
Bukharan_People's_Soviet_Republic,Bukhara
Nieder-Isenburg,"Isenburg,_Rhineland-Palatinate"
O'Kennedy,Ennis
Valtos_Province,Amfilochia
Province_of_Saxony,Magdeburg
Ajuran_Sultanate,Kelafo
Arkhangelsk_Governorate,Arkhangelsk
Government_of_National_Unity_(Hungary),Budapest
Duchy_of_Schleswig,"Schleswig,_Schleswig-Holstein"
County_of_Baden,"Baden,_Switzerland"
British_Central_Africa_Protectorate,"Zomba,_Malawi"
Bushmanland_(South-West_Africa),Tsumkwe
Vermont_Republic,"Castleton,_Vermont"
Ukraine,Kiev
Trinity_Palmetto_Point_Parish,Palmetto_Point
Salm-Horstmar,Horstmar
Smolensk_Governorate,Smolensk
Dominion_of_New_England,Massachusetts
Principality_of_Chernigov,Chernihiv
State_of_Buryat-Mongolia,"Chita,_Zabaykalsky_Krai"
German_Confederation,Free_City_of_Frankfurt
Kingdom_of_Araucanía_and_Patagonia,Chile
Norwegian_expansion_during_the_Middle_Ages,Trondheim
Terra_Mariana,Riga
United_Nations_Interim_Administration_Mission_in_Kosovo,Pristina
Ural_Oblast,Yekaterinburg
French_Polynesia,Papeete
Nicopolis_(theme),"Arta,_Greece"
Ascension_Island,"Georgetown,_Ascension_Island"
Kingdom_of_Hungary,Budapest
Kahuripan,Pasuruan
Colorado_Territory,Denver
Wisconsin,"Madison,_Wisconsin"
Palatinate-Simmern_and_Zweibrücken,Zweibrücken
First_Mexican_Empire,Mexico_City
Grand_Duchy_of_Lithuania,Senieji_Trakai
Kiev_Governorate_(1708–64),Kiev
Western_Samoa_Trust_Territory,Apia
Adana_Vilayet,Adana
Tsardom_of_Bulgaria,Sofia
Saint_Christopher-Nevis-Anguilla,Basseterre
Qatar,Doha
Lakes_(state),Rumbek
Singhbhum_district,Chaibasa
Aydınids,Selçuk
Socialist_Republic_of_Croatia,Zagreb
Grand_Duchy_of_Posen,Poznań
Lordship_of_Biscay,Bermeo
Požega_County,"Požega,_Croatia"
State_of_Katanga,Lubumbashi
Landgraviate_of_Hesse,Kassel
House_of_Henneberg,"Henneberg,_Thuringia"
Venda,Thohoyandou
Härnösand_County,Härnösand
Annam_(French_protectorate),Huế
Later_Liang_(Five_Dynasties),Luoyang
Crete,Heraklion
Federal_Capital_Territory_(Pakistan),Karachi
Bishopric_of_Constance,Meersburg
March_of_Istria,Poreč
Ifni,Sidi_Ifni
Bulgarian_Empire,Vidin
Principality_of_Wales,Abergwyngregyn
British_Cyprus,Nicosia
Coahuila_y_Tejas,Saltillo
Justanids,Rudbar
Manipur_(princely_state),Imphal
Turkmen_Soviet_Socialist_Republic,Ashgabat
Pandalam_dynasty,Pandalam
Rhenish_Republic,Aachen
Maku_Khanate,"Maku,_Iran"
Grey_League,Ilanz
Białystok_Voivodeship_(1975–98),Białystok
Tsardom_of_Bulgaria,Skopje
Sanjak_of_Üsküp,Skopje
Dutch_Suratte,Surat
Republic_of_Zamboanga,Zamboanga_City
Karamanids,Konya
Danish_Estonia,Tallinn
Republic_of_Yucatán,"Mérida,_Yucatán"
Duchy_of_Brunswick-Lüneburg,Lüneburg
Electorate_of_Mainz,Mainz
Kingdom_of_Aragon,Huesca
Lower_Aulaqi_Sultanate,Ahwar
Augustów_Governorate,Suwałki
Kano_Emirate,Takai
Principality_of_Lüneburg,Lüneburg
Volhynian_Governorate,Zhytomyr
Former_Qin,Taiyuan
North-Western_Provinces,Agra
Lacs_Region,Yamoussoukro
Regional_Defence_Council_of_Aragon,Fraga
"SAO_Eastern_Slavonia,_Baranja_and_Western_Syrmia",Vukovar
Bahmani_Sultanate,Gulbarga
Later_Jin_(Five_Dynasties),Kaifeng
Ottoman_Empire,Söğüt
Bishopric_of_Minden,Minden
Zanzan_Region,Bondoukou
Moyen-Comoé,Abengourou
Medieval_Cholas,Gangaikonda_Cholapuram
Diocese_of_Egypt,Alexandria
Nijrab_District,Nijrab
Turkmenistan,Ashgabat
Malerkotla_State,Malerkotla
New_Hampshire,"Concord,_New_Hampshire"
Karelo-Finnish_Soviet_Socialist_Republic,Petrozavodsk
Sanjak_of_Gelibolu,Gelibolu
Yin_(Five_Dynasties_period),Nanping
Song_dynasty,Hangzhou
Lan_Na,Saraphi_District
Bahrain,Manama
Sultanate_of_Sulu,"Maimbung,_Sulu"
Alabama,"Montgomery,_Alabama"
Aidin_Eyalet,Aydın
Electorate_of_Bavaria,Munich
First_Bulgarian_Empire,Skopje
Former_Zhao,Linfen
Natalia_Republic,Pietermaritzburg
Norfolk_Island,"Kingston,_Norfolk_Island"
Glywysing,Cardiff
Electorate_of_Cologne,Bonn
Kingdom_of_Poland_(1025–1385),Poznań
Karli-Eli,"Angelokastro,_Aetolia-Acarnania"
Kingdom_of_Hejaz_and_Nejd,Mecca
Phoenice_(Roman_province),"Tyre,_Lebanon"
SAO_Romanija,"Pale,_Bosnia_and_Herzegovina"
Kushan_Empire,Bagram
Sanjak_of_Herzegovina,Pljevlja
Province_of_Maryland,"St._Mary's_City,_Maryland"
Saxe-Altenburg,Altenburg
Mutasarrifate_of_Jerusalem,Jerusalem
Zagwe_dynasty,Lalibela
Khamag_Mongol,Kherlen_River
Canton_of_Fricktal,Rheinfelden
Sandomierz_Voivodeship,Sandomierz
Rumelia_Eyalet,Sofia
Marshall_Islands,Majuro
British_Togoland,"Ho,_Ghana"
Italian_Republic_(Napoleonic),Milan
Republic_of_Madawaska,"Fort_Kent,_Maine"
Adil_Shahi_dynasty,"Bijapur_district,_Karnataka"
Taifa_of_Toledo,"Toledo,_Spain"
Governorate_of_Livonia,Riga
Vladimir-Suzdal,"Vladimir,_Russia"
Panama,Panama_City
Duchy_of_Trakai,Trakai
San_Pedro_de_Macorís_Province,San_Pedro_de_Macorís
Viceroyalty_of_New_Granada,Bogotá
Ōita_Prefecture,"Ōita,_Ōita"
Landgraviate_of_Hesse-Kassel,Kassel
Banu_Qasi,"Tudela,_Navarre"
Dutch_Republic,Amsterdam
Government_General_of_Warsaw,Warsaw
San_José_de_Ocoa_Province,San_José_de_Ocoa
Prince-Bishopric_of_Augsburg,Dillingen_an_der_Donau
Kaga_ikki,Kanazawa
County_of_Tyrol,Innsbruck
Colony_of_Fiji,Suva
Japanese_occupation_of_Malaya,Kuala_Lumpur
Bishopric_of_Metz,Vic-sur-Seille
Marri-Bugti_Country,Sibi
North_Region_(Cameroon),Garoua
Lordship_of_Gower,Swansea
Belz_Voivodeship,Belz
Samaná_Province,Samaná_(town)
Vermont_Republic,"Windsor,_Vermont"
Lý_dynasty,Hoa_Lư
Magyar_Autonomous_Region,Târgu_Mureș
Carpatho-Ukraine,Khust
Mayo-Kébbi_Prefecture,Bongor
Ukrainian_national_government_(1941),Lviv
Vilayet_of_the_Archipelago,Chios_(town)
Sanjak_of_Serfiğe,"Servia,_Greece"
Tarumanagara,Jakarta
Wallachia,Curtea_de_Argeș
Livadeia_Province,Livadeia
Provisional_National_Government_of_the_Southwestern_Caucasus,Kars
Maitraka,Vallabhi
North-Eastern_Rhodesia,Chipata
Wu_(state),Suzhou
Pandyan_dynasty,Madurai
Kingdom_of_Coorg,Madikeri
Fugger,Weißenhorn
Himyarite_Kingdom,Sana'a
Federation_of_Arab_Republics,Damascus
Silla,Gyeongju
Tatar_Autonomous_Soviet_Socialist_Republic,Kazan
Sanjak_of_Ioannina,Ioannina
Kanem_Prefecture,"Mao,_Chad"
Ouest_Department_(Ivory_Coast),"Man,_Ivory_Coast"
Wadi_al_Shatii_District,"Brak,_Libya"
Danube_Banovina,Novi_Sad
Wari_Empire,"Huari,_Peru"
Principality_of_Achaea,Mystras
Electoral_Palatinate,Düsseldorf
International_Committee_on_Intellectual_Cooperation,Geneva
Principality_of_Bulgaria,Veliko_Tarnovo
Salm-Salm,"Senones,_Vosges"
Duchy_of_Carniola,Ljubljana
Angevin_Empire,Angers
Csongrád_County_(former),Szentes
United_Nations_Temporary_Executive_Authority,Jayapura
Sena_dynasty,Nabadwip
Kingdom_of_Gampola,Gampola
Liga_Federal,Montevideo
Saint_Peter_Basseterre_Parish,Monkey_Hill
Saratov_Governorate,Saratov
Swedish_Livonia,Riga
Ghurid_dynasty,Lahore
Osijek_Oblast,Osijek
