id,sub,obj,class
1,Abkhazia,Sukhumi,1
2,Afghanistan,Kabul,1
3,Albania,Tirana,1
4,Algeria,Algiers,1
5,American_Samoa,Pago_Pago,1
6,Andorra,Andorra_la_Vella,1
7,Angola,Luanda,1
8,Anguilla,"The_Valley,_Anguilla",1
9,Argentina,Buenos_Aires,1
10,Armenia,Yerevan,1
11,Aruba,"Oranjestad,_Aruba",1
12,Ascension_Island,"Georgetown,_Ascension_Island",1
13,Australia,Canberra,1
14,Austria,Vienna,1
15,Azerbaijan,Baku,1
16,Bahrain,Manama,1
17,Bangladesh,Dhaka,1
18,Barbados,Bridgetown,1
19,Belarus,Minsk,1
20,Belgium,Brussels,1
21,Belize,Belmopan,1
22,Benin,Porto-Novo,1
23,Bermuda,"Hamilton,_Bermuda",1
24,Bhutan,Thimphu,1
25,Bolivia,Sucre,1
26,Bolivia,La_Paz,1
27,Bosnia_and_Herzegovina,Sarajevo,1
28,Botswana,Gaborone,1
29,British_Virgin_Islands,Road_Town,1
30,Brunei,Bandar_Seri_Begawan,1
31,Bulgaria,Sofia,1
32,Burkina_Faso,Ouagadougou,1
33,Burundi,Bujumbura,1
34,Cambodia,Phnom_Penh,1
35,Canada,Ottawa,1
36,Cayman_Islands,"George_Town,_Cayman_Islands",1
37,Central_African_Republic,Bangui,1
38,Chile,Santiago,1
39,Comoros,"Moroni,_Comoros",1
40,Cook_Islands,Avarua,1
41,Croatia,Zagreb,1
42,Cuba,Havana,1
43,Republic_of_Cyprus,Nicosia,1
44,Czech_Republic,Prague,1
45,Ivory_Coast,Yamoussoukro,1
46,The_Democratic_Republic_Of_Congo,Kinshasa,1
47,Denmark,Copenhagen,1
48,Djibouti,Djibouti,1
49,Dominica,Roseau,1
50,Dominican_Republic,Santo_Domingo,1
51,East_Timor,Dili,1
52,Ecuador,Quito,1
53,Egypt,Cairo,1
54,El_Salvador,San_Salvador,1
55,Equatorial_Guinea,Malabo,1
56,Eritrea,Asmara,1
57,Estonia,Tallinn,1
58,Ethiopia,Addis_Ababa,1
59,Falkland_Islands,"Stanley,_Falkland_Islands",1
60,Federated_States_of_Micronesia,Palikir,1
61,Fiji,Suva,1
62,France,Paris,1
63,French_Guiana,Cayenne,1
64,Gabon,Libreville,1
65,The_Gambia,Banjul,1
66,Georgia,Tbilisi,1
67,Germany,Berlin,1
68,Ghana,Accra,1
69,Gibraltar,Gibraltar,1
70,Greece,Athens,1
71,Greenland,Nuuk,1
72,Guatemala,Guatemala_City,1
73,Guernsey,Saint_Peter_Port,1
74,Guinea,Conakry,1
75,Guinea-Bissau,Bissau,1
76,Guyana,"Georgetown,_Guyana",1
77,Haiti,Port-au-Prince,1
78,Honduras,Tegucigalpa,1
79,Hungary,Budapest,1
80,India,New_Delhi,1
81,Indonesia,Jakarta,1
82,Iran,Tehran,1
83,Iraq,Baghdad,1
84,Ireland,Dublin,1
85,Israel,Jerusalem,1
86,Italy,Rome,1
87,Jamaica,"Kingston,_Jamaica",1
88,Japan,Tokyo,1
89,Jordan,Amman,1
90,Kazakhstan,Astana,1
91,Kenya,Nairobi,1
92,Kiribati,Tarawa,1
93,Kosovo,Pristina,1
94,Kuwait,Kuwait_City,1
95,Kyrgyzstan,Bishkek,1
96,Laos,Vientiane,1
97,Latvia,Riga,1
98,Lebanon,Beirut,1
99,Lesotho,Maseru,1
100,Liberia,Monrovia,1
101,Libya,Tripoli,1
102,Liechtenstein,Vaduz,1
103,Lithuania,Vilnius,1
104,Luxembourg,Luxembourg,1
105,Macedonia,Skopje,1
106,Madagascar,Antananarivo,1
107,Malawi,Lilongwe,1
108,Malaysia,Kuala_Lumpur,1
109,Mali,Bamako,1
110,Malta,Valletta,1
111,Mauritania,Nouakchott,1
112,Mauritius,Port_Louis,1
113,Mexico,Mexico_City,1
114,Monaco,Monaco,1
115,Mongolia,Ulaanbaatar,1
116,Montenegro,Podgorica,1
117,Montserrat,"Plymouth,_Montserrat",1
118,Morocco,Rabat,1
119,Mozambique,Maputo,1
120,Myanmar,Naypyidaw,1
121,Namibia,Windhoek,1
122,Nepal,Kathmandu,1
123,Netherlands,Amsterdam,1
124,Nicaragua,Managua,1
125,Niger,Niamey,1
126,Nigeria,Abuja,1
127,North_Korea,Pyongyang,1
128,Northern_Cyprus,Nicosia,1
129,Northern_Ireland,Belfast,1
130,Norway,Oslo,1
131,Oman,"Muscat,_Oman",1
132,Pakistan,Islamabad,1
133,Panama,Panama_City,1
134,Papua_New_Guinea,Port_Moresby,1
135,Peru,Lima,1
136,Pitcairn_Islands,"Adamstown,_Pitcairn_Islands",1
137,Poland,Warsaw,1
138,Portugal,Lisbon,1
139,Puerto_Rico,"San_Juan,_Puerto_Rico",1
140,Qatar,Doha,1
141,Republic_of_the_Congo,Brazzaville,1
142,Romania,Bucharest,1
143,Russia,Moscow,1
144,Rwanda,Kigali,1
145,Saint_Helena,"Jamestown,_Saint_Helena",1
146,Saint_Kitts_and_Nevis,Basseterre,1
147,Saint_Lucia,Castries,1
148,Saint_Vincent_and_the_Grenadines,Kingstown,1
149,Samoa,Apia,1
150,San_Marino,San_Marino,1
151,Saudi_Arabia,Riyadh,1
152,Scotland,Edinburgh,1
153,Senegal,Dakar,1
154,Serbia,Belgrade,1
155,Seychelles,"Victoria,_Seychelles",1
156,Sierra_Leone,Freetown,1
157,Singapore,Singapore,1
158,Sint_Maarten,"Philipsburg,_Sint_Maarten",1
159,Slovakia,Bratislava,1
160,Slovenia,Ljubljana,1
161,Solomon_Islands,Honiara,1
162,Somalia,Mogadishu,1
163,Somaliland,Hargeisa,1
164,South_Africa,Pretoria,1
165,South_Georgia_and_the_South_Sandwich_Islands,Grytviken,1
166,South_Korea,Seoul,1
167,South_Sudan,Juba,1
168,Spain,Madrid,1
169,Sri_Lanka,Colombo,1
170,Sudan,Khartoum,1
171,Suriname,Paramaribo,1
172,Swaziland,Mbabane,1
173,Sweden,Stockholm,1
174,Switzerland,Bern,1
175,Syria,Damascus,1
176,Tajikistan,Dushanbe,1
177,Tanzania,Dodoma,1
178,Thailand,Bangkok,1
179,Trinidad_and_Tobago,Port_of_Spain,1
180,Tristan_da_Cunha,Edinburgh_of_the_Seven_Seas,1
181,Tunisia,Tunis,1
182,Turkey,Ankara,1
183,Turkmenistan,Ashgabat,1
184,Turks_and_Caicos_Islands,Cockburn_Town,1
185,Tuvalu,Funafuti,1
186,Uganda,Kampala,1
187,Ukraine,Kiev,1
188,United_Arab_Emirates,Abu_Dhabi,1
189,United_Kingdom,London,1
190,United_States_Virgin_Islands,"Charlotte_Amalie,_U.S._Virgin_Islands",1
191,Uruguay,Montevideo,1
192,Uzbekistan,Tashkent,1
193,Vanuatu,Port_Vila,1
194,Vatican_City,Vatican_City,1
195,Venezuela,Caracas,1
196,Vietnam,Hanoi,1
197,Wallis_and_Futuna,Mata-Utu,1
198,Zambia,Lusaka,1
199,Zimbabwe,Harare,1
200,British_Virgin_Islands,"Jamestown,_Saint_Helena",0
201,Iran,Guatemala_City,0
202,Belarus,Windhoek,0
203,North_Korea,Moscow,0
204,Israel,Libreville,0
205,Turkey,Bamako,0
206,Latvia,Edinburgh_of_the_Seven_Seas,0
207,Mauritius,Naypyidaw,0
208,Puerto_Rico,Amsterdam,0
209,Croatia,Accra,0
210,Syria,Nicosia,0
211,Qatar,"George_Town,_Cayman_Islands",0
212,Iran,Bern,0
213,Samoa,Canberra,0
214,Malawi,Stockholm,0
215,Tunisia,Doha,0
216,Belarus,Port_Moresby,0
217,Malta,Abu_Dhabi,0
218,Switzerland,Bissau,0
219,Chile,Harare,0
220,Solomon_Islands,Hargeisa,0
221,United_States_Virgin_Islands,"The_Valley,_Anguilla",0
222,Puerto_Rico,"Victoria,_Seychelles",0
223,Burundi,Tehran,0
224,Senegal,Doha,0
225,Tajikistan,Sofia,0
226,Guinea-Bissau,"Kingston,_Jamaica",0
227,Kosovo,Jakarta,0
228,Vanuatu,Kiev,0
229,Niger,Doha,0
230,Tristan_da_Cunha,Ulaanbaatar,0
231,Guatemala,Basseterre,0
232,United_States_Virgin_Islands,Funafuti,0
233,Anguilla,Maputo,0
234,The_Democratic_Republic_Of_Congo,Cairo,0
235,Singapore,Ankara,0
236,Mauritius,Havana,0
237,South_Africa,Niamey,0
238,Qatar,Porto-Novo,0
239,Papua_New_Guinea,Bern,0
240,Uruguay,Hanoi,0
241,Latvia,Antananarivo,0
242,Sierra_Leone,Monrovia,0
243,Andorra,Cayenne,0
244,Somalia,"Moroni,_Comoros",0
245,Lesotho,Pretoria,0
246,Samoa,Luxembourg,0
247,Monaco,Kabul,0
248,Slovakia,Sarajevo,0
249,Liberia,Jerusalem,0
250,Saudi_Arabia,Ouagadougou,0
251,Nigeria,Panama_City,0
252,Equatorial_Guinea,"Georgetown,_Guyana",0
253,The_Gambia,Podgorica,0
254,Bolivia,Palikir,0
255,Jamaica,"Philipsburg,_Sint_Maarten",0
256,Tajikistan,Nicosia,0
257,Argentina,Pristina,0
258,Republic_of_the_Congo,"Georgetown,_Guyana",0
259,Austria,Algiers,0
260,Uganda,Nouakchott,0
261,Poland,Tegucigalpa,0
262,Turks_and_Caicos_Islands,Belfast,0
263,Morocco,Asmara,0
264,Rwanda,Antananarivo,0
265,Eritrea,"Moroni,_Comoros",0
266,Romania,Dublin,0
267,Benin,Freetown,0
268,Armenia,Mata-Utu,0
269,Senegal,Rome,0
270,Ghana,Copenhagen,0
271,Belarus,Yamoussoukro,0
272,South_Korea,Lima,0
273,Pakistan,Basseterre,0
