sid,sub,obj,pred,class
1,"Abkhazia","Sukhumi","countryCapital",1
2,"Afghanistan","Kabul","countryCapital",1
3,"Akrotiri_and_Dhekelia","Episkopi_Cantonment","countryCapital",1
4,"Albania","Tirana","countryCapital",1
5,"Algeria","Algiers","countryCapital",1
6,"American_Samoa","Pago_Pago","countryCapital",1
7,"Andorra","Andorra_la_Vella","countryCapital",1
8,"Angola","Luanda","countryCapital",1
9,"Anguilla","The_Valley,_Anguilla","countryCapital",1
10,"Antigua_and_Barbuda","Saint_John's","countryCapital",1
11,"Argentina","Buenos_Aires","countryCapital",1
12,"Armenia","Yerevan","countryCapital",1
13,"Aruba","Oranjestad,_Aruba","countryCapital",1
14,"Ascension_Island","Georgetown,_Ascension_Island","countryCapital",1
15,"Australia","Canberra","countryCapital",1
16,"Austria","Vienna","countryCapital",1
17,"Azerbaijan","Baku","countryCapital",1
18,"Bahamas","Nassau","countryCapital",1
19,"Bahrain","Manama","countryCapital",1
20,"Bangladesh","Dhaka","countryCapital",1
21,"Barbados","Bridgetown","countryCapital",1
22,"Belarus","Minsk","countryCapital",1
23,"Belgium","Brussels","countryCapital",1
24,"Belize","Belmopan","countryCapital",1
25,"Benin","Porto-Novo","countryCapital",1
26,"Bermuda","Hamilton,_Bermuda","countryCapital",1
27,"Bhutan","Thimphu","countryCapital",1
28,"Bolivia","Sucre","countryCapital",1
29,"Bolivia","La_Paz","countryCapital",1
30,"Bosnia_and_Herzegovina","Sarajevo","countryCapital",1
31,"Botswana","Gaborone","countryCapital",1
32,"Brazil","Brasília","countryCapital",1
33,"British_Virgin_Islands","Road_Town","countryCapital",1
34,"Brunei","Bandar_Seri_Begawan","countryCapital",1
35,"Bulgaria","Sofia","countryCapital",1
36,"Burkina_Faso","Ouagadougou","countryCapital",1
37,"Burundi","Bujumbura","countryCapital",1
38,"Cambodia","Phnom_Penh","countryCapital",1
39,"Cameroon","Yaoundé","countryCapital",1
40,"Canada","Ottawa","countryCapital",1
41,"Cape_Verde","Praia","countryCapital",1
42,"Cayman_Islands","George_Town,_Cayman_Islands","countryCapital",1
43,"Central_African_Republic","Bangui","countryCapital",1
44,"Chad","N'Djamena","countryCapital",1
45,"Chile","Santiago","countryCapital",1
46,"China","Beijing","countryCapital",1
47,"Christmas_Island","Flying_Fish_Cove","countryCapital",1
