sid,sub,obj,class,score
372,"Henry_de_Bohun,_1st_Earl_of_Hereford",Humphrey_III_de_Bohun,0,10.0
212,Nathaniel_Micklem_(politician),Arnold_Ward,0,12.0
342,Abd_Manaf_ibn_Qusai,Abd-al-Dar_ibn_Qusai,0,15.5
390,Rebecca_Frayn,Andy_Harries,0,16.5
307,Opochtli_Iztahuatzin,Atotoztli_I,0,18.0
320,Morgan_le_Fay,King_Arthur,0,18.0
314,Alice_Walker,Robert_L._Allen,0,20.0
356,Šurhaci,Taksi,0,21.5
266,Rutger_von_Ascheberg,Otto_Vellingk,0,23.0
295,Barry_O'Keefe,Irene_Moss,0,23.0
387,Yukio_Tomioka,Hirofumi_Nakasone,0,24.5
288,Dominique_Davalos,Alexa_Davalos,0,25.0
395,Kirito_(Sword_Art_Online),Bryce_Papenbrook,0,25.5
319,"Thomas_F._Frist,_III",William_R._Frist,0,26.5
328,Sam_E._Rork,Gordon_Getty,0,27.0
378,Tripuraneni_Ramaswamy,Pitcheswara_Rao_Atluri,0,27.0
324,Romo_Lampkin,Mark_Sheppard,0,27.5
393,Richard_Yuengling_Jr.,Richard_Yuengling_Sr.,0,27.5
305,Priscilla_Presley,Riley_Keough,0,28.5
333,Richard_Davalos,Alexa_Davalos,0,29.0
352,Edward_R._Ladew,"Joseph_Harvey_Ladew,_Sr.",0,29.5
219,Jenji_Kohan,David_Kohan,0,30.5
239,Adrian_Swire,John_Kidston_Swire,0,30.5
382,Petyr_Baelish,Aidan_Gillen,0,30.5
206,Suzanne_Mubarak,Naglaa_Mahmoud,0,31.0
222,David_Troughton,Harry_Melling_(actor),0,31.0
237,William_D._Orthwein,Charles_F._Orthwein,0,31.0
315,Huitzilihuitl,Huehue_Zaca,0,31.0
321,Deepak_Chopra,Sanjiv_Chopra,0,31.0
238,Ivan_Sergeyevich_Obolensky,Ava_Alice_Muriel_Astor,0,31.5
269,Keith_Allen_(actor),Alison_Owen,0,31.5
332,Lee_Bass,Sid_Bass,0,32.0
240,"Thomas_Parkyns,_1st_Baron_Rancliffe",Samuel_Smith_(1754–1834),0,32.5
338,Michael_Kocáb,Jiří_Dienstbier_Jr.,0,33.0
258,William_Hayden_English,Cyrus_L._Dunham,0,33.5
226,"Frederick_Hervey,_4th_Earl_of_Bristol",Mary_Hervey,0,34.5
302,Erin_Foster,Brody_Jenner,0,34.5
360,Felix_Cassel,"Francis_Jeune,_1st_Baron_St_Helier",0,34.5
217,DJ_Cassidy,Robin_Thicke,0,35.0
243,John_D._Rockefeller_Jr.,Laura_Spelman_Rockefeller,0,35.0
261,Isabel_Preysler,Julio_Iglesias,0,35.0
334,Humayun_Faridi,Suborna_Mustafa,0,35.0
201,Zuhrah_ibn_Kilab,Muhammad,0,35.5
276,Sheila_Sim,Sheila_Burrell,0,35.5
310,Hetephernebti,Djoser,0,35.5
306,Rimantas_Sinkevičius,Eligijus_Masiulis,0,36.0
313,Uday_Chopra,Aditya_Chopra,0,37.0
350,Ludwig_Scotty,Marcus_Stephen,0,37.5
368,Mark_Twain,Orion_Clemens,0,37.5
289,Walter_White_(Breaking_Bad),Bryan_Cranston,0,38.0
268,Thorvald_Astrup,Eivind_Astrup,0,38.5
386,Göran_Tunström,Leonard_Cohen,0,38.5
263,"Charles-François_Lebrun,_duc_de_Plaisance",Jean_Jacques_Régis_de_Cambacérès,0,39.5
242,Éleuthère_Irénée_du_Pont,Pierre_Samuel_du_Pont_de_Nemours,0,40.5
346,Lee_Radziwill,Janet_Lee_Bouvier,0,40.5
254,Lady_Augusta_Murray,"John_Murray,_4th_Earl_of_Dunmore",0,42.0
203,Whipple_Jones_(The_Bold_and_the_Beautiful),Bradley_Bell,0,42.5
383,James_Marshall_Tory,John_Tory,0,42.5
241,"Robert_Grosvenor,_5th_Duke_of_Westminster",Philip_Clarke_(politician),0,43.0
339,Guru_Gobind_Singh,Guru_Tegh_Bahadur,0,43.0
316,Roy_D._Chapin,Robert_P._Lamont,0,43.5
293,Emerson_Carlos,Benigno_Aquino_III,0,44.0
370,Arthur_Sewall,Adlai_Stevenson_I,0,44.5
298,Tarzan,Frank_Merrill_(actor),0,45.0
377,Maryam_Abacha,Sani_Abacha,0,45.0
355,Blanche_DuBois,Natasha_Richardson,0,45.5
250,James_J._Couzens,Prentiss_M._Brown,0,46.0
318,Saadat_Hasan_Manto,Oscar_Wilde,0,46.0
322,Zillur_Rahman,Abdul_Hamid_(politician),0,46.0
213,Charles_Darnay,Charles_Dickens,0,47.0
396,John_Eager_Howard,George_Plater,0,47.0
216,Jonathan_Hunt_(Vermont_congressman),John_Webster_(governor),0,47.5
