sid,sub,obj,class,score
297,Melanne_Verveer,Barack_Obama,0,56.5
299,Bonnie_Jenkins,Barack_Obama,0,56.5
282,"David_Eccles,_1st_Viscount_Eccles","Geoffrey_Lloyd,_Baron_Geoffrey-Lloyd",0,57.0
364,Tal_Henry,Mary_Pickford,0,57.0
394,Alexa_L._Wesner,Barack_Obama,0,57.0
251,Eleanor_Roosevelt,Esther_Peterson,0,57.5
348,Winthrop_M._Crane,John_L._Bates,0,57.5
379,Leondra_Kruger,Barack_Obama,0,58.0
210,Nelson_Taylor,John_Morrissey,0,58.5
230,"Edward_Fitzalan-Howard,_18th_Duke_of_Norfolk","Miles_Fitzalan-Howard,_17th_Duke_of_Norfolk",0,58.5
280,John_Foster_Dulles,Dean_Acheson,0,58.5
286,Phillip_Carter_(ambassador),Barack_Obama,0,58.5
330,John_Foster_Dulles,Dean_Acheson,0,58.5
349,Charles_T._Cross,Richard_Nixon,0,58.5
392,Lisa_Monaco,Barack_Obama,0,58.5
265,Anniken_Huitfeldt,Jens_Stoltenberg,0,60.0
296,"Lyndon_Lowell_Olson,_Jr.",Bill_Clinton,0,60.0
259,Ernest_L._Boyer,Jimmy_Carter,0,60.5
281,Kgalema_Motlanthe,Thabo_Mbeki,0,60.5
361,Judy_Foote,Justin_Trudeau,0,60.5
236,Barbara_Follett_(politician),Sarah_McCarthy-Fry,0,61.0
224,Janice_Rogers_Brown,George_W._Bush,0,61.5
233,Frank_Church,Bethine_Clark_Church,0,61.5
345,Louis_Stokes,Dennis_E._Eckart,0,61.5
373,John_S._Pistole,Barack_Obama,0,61.5
227,Murali_Pillai,Lee_Hsien_Loong,0,62.5
309,Theodore_Olson,George_W._Bush,0,62.5
353,Diego_C._Asencio,Jimmy_Carter,0,62.5
278,Ralph_Recto,Jinggoy_Estrada,0,63.5
208,Ron_Klain,Barack_Obama,0,64.0
274,Benazir_Bhutto,Khan_Abdul_Wali_Khan,0,65.0
399,Lisa_P._Jackson,Barack_Obama,0,65.5
285,Margaret_Whitlam,Gough_Whitlam,0,66.0
287,Charles_Taylor_Manatt,Bill_Clinton,0,66.0
248,Cormac_J._Carney,George_W._Bush,0,66.5
279,"Curtin_Winsor,_Jr.",Ronald_Reagan,0,66.5
374,Raúl_Héctor_Castro,Richard_Nixon,0,66.5
