Henry_Hadaway,Marvin_Gaye
Harold_D._Smith,Franklin_D._Roosevelt
Sekeletu,Mamochisane
Byron_Howard,Ron_Howard
Michael_Redgrave,Rachel_Kempson
David_Troughton,Harry_Melling_(actor)
Charles_Abel_Buffum,Mike_Chandler
Frederick_Theodore_Frelinghuysen,John_R._McPherson
Amha_Selassie,Haile_Selassie
Riad_Ismat,Bashar_al-Assad
Necmettin_Erbakan,Recai_Kutan
"Sidney_Godolphin,_1st_Earl_of_Godolphin",Francis_Godolphin_(1605–1667)
Betty_Hemings,Eston_Hemings
John_Price_(diplomat),George_W._Bush
Margaret_Sullavan,William_Wyler
Fatima_bint_Mubarak_Al_Ketbi,Hamdan_bin_Zayed_bin_Sultan_Al_Nahyan
Rosamond_Pinchot,Mary_Pinchot_Meyer
Ralph_Izard,Jacob_Read
Richard_Olmsted_(settler),Nathaniel_Richards_(settler)
"Arthur_Wellesley,_1st_Duke_of_Wellington",William_IV_of_the_United_Kingdom
David_Pryor,Joe_Purcell
Bill_Blaikie,Jennifer_Howard_(Canadian_politician)
Kim_Jong-il,Kim_Yong-ju
Jonathan_Sturges,Roger_Sherman
Kenesaw_Mountain_Landis,Frederick_Landis
Alphonso_Taft,Ulysses_S._Grant
Bill_France_Sr.,Roy_Hall_(racing_driver)
Kailash_Purryag,Navin_Ramgoolam
Inge_von_Wangenheim,Gustav_von_Wangenheim
Max_Kennedy,Robert_F._Kennedy
Ali_al-Hadi,Muhammad_al-Jawad
Epainette_Mbeki,Govan_Mbeki
Om_Shivpuri,Sudha_Shivpuri
Christopher_Hitchens,Martin_Amis
Spike_Maynard,Jay_Rockefeller
Irene_Fenwick,Lionel_Barrymore
Cyrus_Vance,Henry_Kissinger
Tom_Hayden,Jane_Fonda
George_H._W._Bush,William_Bennett
Eric_Stewart,Paul_McCartney
Samuel_Hanford,Matthew_Seymour
Colleen_Howe,Gordie_Howe
Thomas_F._Bayard,James_G._Blaine
Majid_bin_Mohammed_bin_Rashid_Al_Maktoum,Mohammed_bin_Rashid_Al_Maktoum
Bobby_Keys,John_Lennon
Nicky_Oppenheimer,Harry_Frederick_Oppenheimer
Quincy_Jones,Frank_Sinatra
Joseph_Cabell_Breckinridge_Sr.,Roger_Jones_(Inspector_General)
"Frederick_Stanley,_16th_Earl_of_Derby","John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair"
Kim_Kuk-tae,Kim_Jong-un
Anne_Buydens,Joel_Douglas
Brian_Mulroney,John_Turner
John_Redpath,George_Alexander_Drummond
"Baptist_Hicks,_1st_Viscount_Campden","Sir_William_Hicks,_1st_Baronet"
Rose_Kennedy,John_F._Fitzgerald
Konstantinos_Mitsotakis,Michalis_Papakonstantinou
Prudence_Murdoch,James_Murdoch
Robert_Peel,"Charles_Grant,_1st_Baron_Glenelg"
Yegor_Gaidar,Oleg_Lobov
William_H._T._Bush,Prescott_Bush
Fred_W._Friendly,Ed_Friendly
Jonathan_S._Bush,Jonathan_Bush
Hun_Many,Hun_Sen
Michael_Eisner,Ron_W._Miller
Gerald_Ford,Richard_Nixon
Vinod_Mehra,Bindiya_Goswami
Ned_Stark,Jon_Snow_(character)
Nikita_Khrushchev,Leonid_Brezhnev
Sandra_Dickinson,Peter_Davison
Nicetas_(cousin_of_Heraclius),Heraclius
Henry_Mills_(Once_Upon_a_Time),Mary_Margaret_Blanchard
