sid,sub,obj,class,score
54,Guerrino_De_Luca,Chiara_de_Luca,1,13.0
11,Qusai_ibn_Kilab,Abd-al-Dar_ibn_Qusai,1,15.0
114,Vinay_Chandra_Maudgalya,Mukul_Mudgal,1,15.0
58,George_Herbert_Walker_III,George_Herbert_Walker_IV,1,17.0
164,William_Smith_(Ordnance),James_Webber_Smith,1,17.0
197,Gerda_Ring,Bab_Christensen,1,17.5
187,Raf_Vallone,Eleonora_Vallone,1,18.0
67,Elisabeth_Furse,John_Furse_(director),1,18.5
115,Adnan,Ma'ad_ibn_Adnan,1,18.5
3,Jonathan_Fast,Molly_Jong-Fast,1,19.0
196,Estelle_Reiner,Annie_Reiner,1,19.0
145,Jan_Jacobszoon_Hinlopen,Jacob_J._Hinlopen,1,19.5
171,Conrad_Svendsen,Conrad_Bonnevie-Svendsen,1,19.5
45,Diana_Lynn,Dolly_Hall,1,20.0
47,Matthew_Boulton,Matthew_Robinson_Boulton,1,20.0
92,Elizabeth_Cromwell,"Mary_Cromwell,_Countess_Fauconberg",1,20.5
188,Natasha_Parry,Irina_Brook,1,20.5
189,Nizam_al-Mulk,Ahmad_ibn_Nizam_al-Mulk,1,20.5
7,Margaret_McCain,Michael_McCain,1,21.0
77,William_James_Whipper,Leigh_Whipper,1,21.0
125,Muslehuddin_Ahmad,Junaid_Ahmad,1,21.0
38,Aja_(Hindu_mythology),Dasharatha,1,21.5
81,Nicholas_Bacon_(Lord_Keeper),Edward_Bacon_(died_1618),1,21.5
155,William_Penn,"Richard_Penn,_Sr.",1,21.5
8,Nefermaat_II,Sneferukhaf,1,22.0
66,Vanessa_Bell,Quentin_Bell,1,22.0
86,Kunti,Bhima,1,22.0
89,Catherine_Dickens,Edward_Dickens,1,22.0
133,Subhadra,Abhimanyu,1,22.0
104,R._Umanath,U._Vasuki,1,22.5
183,John_Dunn_(miller),John_Dunn_Jr.,1,22.5
143,William_Rogers_Coe,Michael_D._Coe,1,23.0
37,Imogene_Powers_Johnson,Helen_Johnson-Leipold,1,23.5
41,Pappukutty_Bhagavathar,Mohan_Jose,1,23.5
72,Isaiah_L._Kenen,Peter_Kenen,1,24.0
88,Happy_Rockefeller,Mark_Rockefeller,1,24.0
141,Margaret_Taylor,Mary_Elizabeth_Bliss,1,24.0
51,Wojciech_Waglewski,Emade,1,24.5
190,Mary_Jo_Slater,Christian_Slater,1,24.5
14,Kingsley_Amis,Sally_Amis,1,25.0
20,Gregory_Blaxland,John_Blaxland_(politician),1,25.0
44,"William_Cavendish,_2nd_Earl_of_Devonshire",Charles_Cavendish_(general),1,25.0
22,Kelsey_Grammer,Greer_Grammer,1,25.5
36,Edward_Highmore,Freddie_Highmore,1,25.5
105,Walter_Raleigh,Carew_Raleigh_(1605–1666),1,26.0
142,Terry_Marcel,Kelly_Marcel,1,26.0
30,"Sarah_Lyttelton,_Baroness_Lyttelton","George_Lyttelton,_4th_Baron_Lyttelton",1,26.5
61,Gary_George_(Oregon_politician),Larry_George,1,26.5
68,Norman_Gunewardene,Otara_Gunewardene,1,26.5
98,Bill_Cardille,Lori_Cardille,1,26.5
116,Dexter_M._Ferry,"Dexter_M._Ferry,_Jr.",1,26.5
40,Adrienne_Ellis,Christopher_Holden,1,27.0
43,Edmund_Hillary,Peter_Hillary,1,27.0
152,John_Nelson_Goulty,Horatio_Nelson_Goulty,1,27.0
23,Abraham_Hirschfeld,Elie_Hirschfeld,1,27.5
46,Christopher_Wordsworth_(Trinity),Christopher_Wordsworth,1,27.5
118,Louisa_Collings,William_Frederick_Collings,1,27.5
158,Jeff_Yang,Hudson_Yang,1,27.5
161,Frank_Sobotka,Ziggy_Sobotka,1,27.5
127,Hope_Lange,Christopher_Murray_(actor),1,28.0
163,Chris_Elliott,Abby_Elliott,1,28.0
56,A._Vincent,Ajayan_Vincent,1,28.5
146,Camille_Cosby,Murder_of_Ennis_Cosby,1,28.5
198,Margaret_Mead,Mary_Catherine_Bateson,1,28.5
12,Alfred_Ely_Beach,Frederick_Converse_Beach,1,29.0
50,David_Lubin,Simon_J._Lubin,1,29.0
169,Jacqueline_Mars,Stephen_M._Badger,1,29.0
34,Atia_of_the_Julii,Octavia_of_the_Julii,1,29.5
156,Dennis_Waterman,Hannah_Waterman,1,29.5
175,Bill_Richards_(musician),Judi_Richards,1,29.5
191,Marcellus_Hartley_Dodge_Sr.,Marcellus_Hartley_Dodge_Jr.,1,29.5
192,Enid_Hammerman,Robert_S._Rivkin,1,29.5
193,David_Negrete_Fernández,Jorge_Negrete,1,29.5
195,Shahid_Nadeem,Savera_Nadeem,1,29.5
53,Nick_Adams_(actor),Jeb_Stuart_Adams,1,30.0
176,Robert_Mackay,Cairine_Wilson,1,30.0
179,Garry_Weston,George_G._Weston,1,30.0
10,Cornelius_Gurlitt_(art_historian),Wilibald_Gurlitt,1,30.5
29,Liu_Yongqing,Hu_Haifeng,1,30.5
31,Lakshmi_Sahgal,Subhashini_Ali,1,30.5
60,Maria_Franca_Fissolo,Giovanni_Ferrero,1,30.5
69,Robert_Goelet,Robert_Walton_Goelet,1,30.5
124,William_Bernard_Ziff_Jr.,Robert_D._Ziff,1,30.5
150,Hagorn,Pirena,1,30.5
6,William_Rice_(Methodist_minister),William_North_Rice,1,31.0
70,Bracha_Peli,Alexander_Peli,1,31.0
165,Herbert_Standing,Jack_Standing,1,31.0
185,Antal_Stašek,Ivan_Olbracht,1,31.0
80,Larry_Ellison,Megan_Ellison,1,31.5
107,Henry_Rainsford_Hulme,Anne_Perry,1,31.5
122,Joanne_Campbell_(politician),Joe_Cressy,1,31.5
134,Mark_Fiennes,Sophie_Fiennes,1,31.5
153,Claire_Shulman,Ellen_S._Baker,1,31.5
159,Thomas_King_(New_Zealand_politician),Truby_King,1,31.5
173,"James_Hamilton,_Duke_of_Châtellerault","John_Hamilton,_1st_Marquess_of_Hamilton",1,31.5
1,Peter_Grubb_(mason),"Peter_Grubb,_Jr.",1,32.0
4,Bert_Coote,Robert_Coote,1,32.0
13,Joan_Crawford,Christina_Crawford,1,32.0
65,Herbert_Aptheker,Bettina_Aptheker,1,32.0
138,Elwy_Yost,Graham_Yost,1,32.0
