sid,sub,obj,class,score
149,Marietta_de_Patras,James_II_of_Cyprus,1,32.0
28,Nalini_Prava_Deka,Jim_Ankan_Deka,1,32.5
121,Gebran_Tueni_(journalist),Ghassan_Tueni,1,32.5
135,Katia_Mann,Klaus_Mann,1,32.5
174,Carmela_Soprano,Meadow_Soprano,1,32.5
82,Lars_Ekborg,Anders_Ekborg,1,33.0
97,John_W._Nordstrom,Elmer_Nordstrom,1,33.0
101,Angela_Montenegro,Jack_Hodgins_(Bones),1,33.0
129,Louis_Alphonse_Gassion,Édith_Piaf,1,33.0
147,Simon_Larned,Charles_Larned,1,33.0
180,Matt_Robinson_(actor),Holly_Robinson_Peete,1,33.0
24,Yazathingyan_of_Pagan,Yanda_Pyissi,1,33.5
85,Quincy_Adams_Shaw,Robert_Gould_Shaw_II,1,33.5
113,Lawrence_Pyke,John_Pyke,1,33.5
184,Oona_O'Neill,Geraldine_Chaplin,1,33.5
194,James_Alfred_Ernest_Corea,Ivan_Corea,1,33.5
21,Catherine_Gladstone,William_Henry_Gladstone,1,34.0
71,Franklin_Benjamin_Sanborn,Victor_Channing_Sanborn,1,34.0
90,Vanessa_Bell,Angelica_Garnett,1,34.0
99,Mayeum_Choying_Wangmo_Dorji,Kesang_Choden_(born_1930),1,34.0
139,Newman_Haynes_Clanton,Billy_Clanton,1,34.0
76,Joe_Appiah,Kwame_Anthony_Appiah,1,34.5
83,John_H._Addams,Jane_Addams,1,34.5
137,Eston_Hemings,John_Wayles_Jefferson,1,34.5
79,Dina_Pathak,Ratna_Pathak,1,35.0
93,Magnus_von_Braun_(senior),Magnus_von_Braun,1,35.0
170,Elisabeth_von_Rapperswil,Johann_I_(Habsburg-Laufenburg),1,35.0
199,Theodorus_W._Brevard,"Theodore_W._Brevard,_Jr.",1,35.0
52,George_Mason_VI,George_Thomson_Mason,1,35.5
91,Emilio_Botín,Ana_Patricia_Botín,1,35.5
96,Muhammad_Abdullah_Ghazi,Abdul_Rashid_Ghazi,1,35.5
110,Charles_Caesar,Henry_Caesar,1,35.5
112,Emma_Minnie_Boyd,Merric_Boyd,1,35.5
120,Ramon_Mitra_Jr.,Abraham_Kahlil_Mitra,1,35.5
178,Elizabeth_Schuyler_Hamilton,John_Church_Hamilton,1,35.5
154,Chiang_Hsiao-yung,Demos_Chiang,1,36.0
111,August_Coppola,Christopher_Coppola,1,36.5
117,Eleanor_Coppola,Sofia_Coppola,1,36.5
131,James_G._Birney,William_Birney,1,36.5
136,Lori_Grimes,Carl_Grimes,1,36.5
200,Rommel_Padilla,Daniel_Padilla,1,36.5
27,Todd_Hunter,James_Hunter_(basketball),1,37.0
128,Valmore_A._Whitaker,Ezra_D._Whitaker,1,37.0
162,Bun_Rany,Hun_Manet,1,37.0
167,Otto_Hjersing_Munthe-Kaas,Hugo_Munthe-Kaas,1,37.0
35,Jeremiah_Watkins_Clapp,W._L._Clapp,1,37.5
84,Ang_Lee,Mason_Lee,1,37.5
95,"Bob_Jones,_Jr.",Bob_Jones_III,1,37.5
55,William_D._Hare,Joseph_C._Hare,1,38.0
5,David_Rockefeller,Richard_Rockefeller,1,38.5
9,Peggy_Lipton,Rashida_Jones,1,38.5
48,Ashikaga_Takauji,Ashikaga_Motouji,1,38.5
74,Charles-Eugène_Pouliot,Jean-François_Pouliot_(politician),1,38.5
33,William_S._Peck_Sr.,William_S._Peck_Jr.,1,39.0
100,Coretta_Scott_King,Bernice_King,1,39.5
130,"Winifred_Cavendish-Bentinck,_Duchess_of_Portland","William_Cavendish-Bentinck,_7th_Duke_of_Portland",1,39.5
106,Roald_Dahl,Lucy_Dahl,1,40.0
16,"Arthur_Capell,_1st_Baron_Capell_of_Hadham","Arthur_Capell,_1st_Earl_of_Essex",1,40.5
39,John_Mortimer,Emily_Mortimer,1,40.5
108,Hughie_Green,Paula_Yates,1,41.0
119,Donatella_Versace,Allegra_Versace,1,41.0
64,Philomena_Lynott,Phil_Lynott,1,42.5
73,William_Drew_Robeson_I,Paul_Robeson,1,43.0
94,Henry_Matthews_(judge),"Henry_Matthews,_1st_Viscount_Llandaff",1,44.0
42,Giuseppe_Garibaldi,Ricciotti_Garibaldi,1,44.5
123,John_Lennon,Julian_Lennon,1,44.5
126,Hans_Sloane_(MP),William_Sloane-Stanley,1,44.5
172,John_Menard_Jr.,Paul_Menard,1,44.5
181,Benjamin_Pickman_Jr.,Benjamin_T._Pickman,1,44.5
19,Tom_McVeigh,John_McVeigh_(politician),1,45.0
26,William_Dodd_(ambassador),Martha_Dodd,1,45.0
2,"Charles_Brandon,_1st_Duke_of_Suffolk","Henry_Brandon,_2nd_Duke_of_Suffolk",1,46.0
87,Frank_Crean,David_Crean,1,46.0
57,Vince_McMahon_Sr.,Vince_McMahon,1,46.5
177,George_Weah,"George_Weah,_Jr.",1,46.5
59,George_Theodore_Mickelson,Mark_Mickelson,1,47.0
18,Robert_C._Culpepper,William_A._Culpepper,1,50.0
49,Margaret_Trudeau,Justin_Trudeau,1,51.5
166,Erik_Benzelius_the_Elder,Henric_Benzelius,1,51.5
63,Hasan_al-Askari,Muhammad_al-Mahdi,1,52.5
102,Juan_Manuel_de_Rosas,Manuela_Rosas,1,52.5
144,Ramon_Mitra_Jr.,Raul_Mitra,1,53.0
132,Adelbert_Ames,"Adelbert_Ames,_Jr.",1,53.5
62,Roger_Clinton_Sr.,Bill_Clinton,1,54.5
186,William_Cargill,John_Cargill_(politician),1,54.5
32,Bill_Borthwick,David_Borthwick_(public_servant),1,55.0
75,Jimmy_Carter,Jack_Carter_(politician),1,58.5
160,Arthur_Hobhouse,Henry_Hobhouse_(author),1,58.5
15,Dick_Cheney,Mary_Cheney,1,59.5
103,Nusrat_Bhutto,Benazir_Bhutto,1,62.0
151,Joe_Ghiz,Robert_Ghiz,1,62.5
17,Lee_Kuan_Yew,Lee_Hsien_Yang,1,63.0
168,Paul_Joseph_James_Martin,Paul_Martin,1,67.0
182,Nancy_Pelosi,Alexandra_Pelosi,1,68.0
25,Joseph_Stalin,Svetlana_Alliluyeva,1,70.0
78,Paul_Sarbanes,John_Sarbanes,1,73.0
157,Jane_Randolph_Jefferson,Thomas_Jefferson,1,73.0
109,Matthew_Marvin_Jr.,Thomas_Betts,1,78.5
140,Huey_Long,Russell_B._Long,1,83.0
148,James_Maitland_Balfour,Arthur_Balfour,1,86.0
