Christina_de_Valognes,Sir_Thomas_Maule
Aung_San,Aung_San_Suu_Kyi
Lucrezia_Landriani,Caterina_Sforza
Emmeline_Pankhurst,Sylvia_Pankhurst
David_Green_(entrepreneur),Mart_Green
Daniel_O'Connell,John_O'Connell_(MP)
Luis_Vigoreaux,Roberto_Vigoreaux
Charles_Fleetford_Sise,Edward_Fleetford_Sise
Abdul_Razak_Hussein,Najib_Razak
"Eugène_Schneider,_II",Charles_Schneider_(businessman)
Colleen_Dewhurst,Campbell_Scott
John_Gregory_(settler),John_Benedict
Anna_Hall_Roosevelt,Eleanor_Roosevelt
David_Kahalepouli_Piikoi,David_Kawānanakoa
Ebilun,Empress_Xiaozhaoren
J._D._Salinger,Matt_Salinger
"James_Douglas,_Jr.",Lewis_Williams_Douglas
"Nahor,_son_of_Serug",Terah
Jerry_Hardin,Melora_Hardin
Ted_Arison,Micky_Arison
Michele_Dotrice,Peter_Woodward
Janice_H._Levin,Susan_L._Tepper
"William_Larimer_Mellon,_Sr.","William_Larimer_Mellon,_Jr."
Edmond_James_de_Rothschild,James_de_Rothschild_(politician)
Kaoru_Hatoyama,Iichirō_Hatoyama
"Katherine_Villiers,_Duchess_of_Buckingham","George_Villiers,_2nd_Duke_of_Buckingham"
Liam_Cosgrave,Liam_T._Cosgrave
Moshe_Feinstein,Dovid_Feinstein
Richard_Schaal,Wendy_Schaal
John_Decore,Laurence_Decore
Gustave_Ramaciotti,Vera_Ramaciotti
Pearl_Slaghoople,Wilma_Flintstone
Remi_Fani-Kayode,Rotimi_Fani-Kayode
Matthew_Marvin_Jr.,Samuel_Marvin
Aivars_Leimanis,Elza_Leimane
George_Alexander_Currie,Neil_Currie
Mark_Fiennes,Martha_Fiennes
William_Gannaway_Brownlow,James_Patton_Brownlow
Dehl_Berti,Derya_Arbaş
Joseph_P._Kennedy_Sr.,Eunice_Kennedy_Shriver
Salmaan_Taseer,Aatish_Taseer
Bun_Rany,Hun_Many
Pompey,Pompeia_Magna
Joseph_Octave_Mousseau,Joseph-Octave_Mousseau
"Charlotte_Cavendish,_Marchioness_of_Hartington",Lord_Richard_Cavendish_(1752–1781)
Zhou_Xinfang,Tsai_Chin_(actress)
Charles_Colson,Emily_Colson
Giorgio_Bulgari,Gianni_Bulgari
William_Hutton_(historian),Catherine_Hutton
Betty_Ford,Susan_Ford
Elisha_Warfield,Catherine_Anne_Warfield
Richard_Benjamin_Harrison,Rick_Harrison
Edward_St_John,Madeleine_St_John
E._P._Taylor,Charles_P._B._Taylor
Ali_al-Hadi,Hasan_al-Askari
"Antony_Armstrong-Jones,_1st_Earl_of_Snowdon",Lady_Sarah_Chatto
Meyer_Guggenheim,Benjamin_Guggenheim
Luc_Harvey,Magali_Harvey
John_Hays_Hammond,Richard_Pindle_Hammond
L._L._Zamenhof,Adam_Zamenhof
Gonzalo_Vega,Zuria_Vega
Elliott_Fitch_Shepard,Elliott_Shepard
Conrad_Hilton,Conrad_Hilton_Jr.
Barbara_Henrickson,Ben_Henrickson
Edith_Roosevelt,Ethel_Roosevelt_Derby
Richard_DeVos,Dan_DeVos
Bill_Myrick,Bellinda_Myrick
Anirul,Wensicia
Charles_August_Lindbergh,Charles_Lindbergh
Edward_Baigent,Henry_Baigent
Dan_Kelly_(sportscaster),John_Kelly_(sportscaster)
William_W._Irwin,John_Irwin_(admiral)
Moss_Kent_Dickinson,George_Lemuel_Dickinson
Birger_Jarl,"Benedict,_Duke_of_Finland"
Yllka_Mujo,"Elia,_Crown_Princess_of_Albania"
Eliza_Poe,William_Henry_Leonard_Poe
Tapas_Paul,Sohini_Paul
Kwok_Tak-Seng,Walter_Kwok
Walter_Haefner,Martin_Haefner
Thane_Campbell,Alex_Campbell_(politician)
Orrin_Henry_Ingram,Erskine_B._Ingram
Jean_Kasem,Kerri_Kasem
Fatimah_bint_Sa'd,Qusai_ibn_Kilab
Kawab,Meresankh_III
Tony_Belcourt,Shane_Belcourt
María_Luisa_Piraquive,Alexandra_Moreno_Piraquive
John_Minson,Lawrie_Minson
Peter_Griffin,Meg_Griffin
Dinah_Sheridan,Jeremy_Hanley
Felipe_Agoncillo,Lorenza_Agoncillo
Catherine_Deneuve,Chiara_Mastroianni
Steve_Christian,Shawn_Christian_(mayor)
Pat_Robertson,Gordon_P._Robertson
James_Ross_(Canadian_businessman),J._K._L._Ross
Lurene_Tuttle,Barbara_Ruick
Jeanette_Nolan,Tim_McIntire
Anuradha_(actress),Abhinayashree
Jim_Clyburn,Mignon_Clyburn
Lachlan_Bronneach_Maclean,Lachlan_Og_Maclean
Loretta_Young,Judy_Lewis
Linda_McCartney,Mary_McCartney
"Frederick_Hervey,_1st_Marquess_of_Bristol","Frederick_Hervey,_2nd_Marquess_of_Bristol"
John_Walter_Scott,Walter_Stone_Scott
Steve_Doocy,Peter_Doocy
Robert_Coldwell_Wood,Maggie_Hassan
Edwin_Henry_Mason_Smith,Edwin_Smith_(rower)
James_Mayer_de_Rothschild,Alphonse_James_de_Rothschild
Benigno_Aquino_Jr.,Kris_Aquino
Dean_Acheson,David_Campion_Acheson
Leslie_Stemmons,John_M._Stemmons
Diana_Douglas,Michael_Douglas
Michał_Hieronim_Radziwiłł,Michał_Gedeon_Radziwiłł
Mark_Twain,Susy_Clemens
Jocelyn_Newman,Campbell_Newman
Shakuni,Uluka
Wang_Yeping,Jiang_Mianheng
Pauline_Mole,Adrian_Mole
Alex_Timpson,Edward_Timpson
He_Zizhen,Yang_Yuehua
"Raine_Spencer,_Countess_Spencer","William_Legge,_10th_Earl_of_Dartmouth"
Benjamin_Franklin,William_Franklin
Parvathy_Jayaram,Kalidas_Jayaram
Jean-Henry-Louis_Greffulhe,Henri_Greffulhe
Birger_Jarl,Ingeborg_Birgersdotter_of_Bjelbo
Daniel_Coit_Gilman,Elisabeth_Gilman
Teresa_Carpio,T.V._Carpio
John_Pippy,Katelyn_Pippy
Joseph_Pallache,Isaac_Pallache
Bing_Crosby,Mary_Crosby
Tina_Green,Brett_Palos
Ka'b_ibn_Lu'ayy,Murrah_ibn_Ka'b
Saeed_Jaffrey,Sakina_Jaffrey
James_William_Freshfield,Henry_Ray_Freshfield
"Emma,_Lady_Hamilton",Horatia_Nelson
Indu_Jain,Vineet_Jain
Ratna_Pathak,Imaad_Shah
"Vere_Fane,_4th_Earl_of_Westmorland",Mildmay_Fane
S._W._R._D._Bandaranaike,Sunethra_Bandaranaike
Serge_Obolensky,Ivan_Sergeyevich_Obolensky
Tingting_Cojuangco,Mikee_Cojuangco-Jaworski
Johanna_Quandt,Stefan_Quandt
Shahidullah_Kaiser,Shomi_Kaiser
John_D._Rockefeller_Jr.,David_Rockefeller
Lyman_Abbott,Lawrence_Fraser_Abbott
Patrick_Brontë,Maria_Brontë
Charles_L._Webster,Jean_Webster
Tahir_Hussain,Nikhat_Khan
John_D._Rockefeller_III,Hope_Aldrich_Rockefeller
Charles_S._von_Stade,Frederica_von_Stade
Amy_Van_Nostrand,Sam_Daly
Richard_D._Zanuck,Dean_Zanuck
Halime_Hatun,Osman_I
Joel_Adams,Joel_Adams_II
Katharine_Smith_Reynolds,Zachary_Smith_Reynolds
James_Mayer_de_Rothschild,Charlotte_de_Rothschild
Merryle_Rukeyser,William_S._Rukeyser
Nancy_Walker_Bush_Ellis,Joe_Ellis
Gemma_Cuervo,Cayetana_Guillén_Cuervo
Zaynab_bint_Ali,Ali
John_C._New,Harry_Stewart_New
Sharif_Imam,Shafi_Imam_Rumi
Cheng_Shewo,Cheng_Siwei
Mary_Jo_Deschanel,Zooey_Deschanel
Charles_Lathrop_Pack,Randolph_Greene_Pack
Hacı_Sabancı,Ömer_Sabancı
Harold_Nicolson,Nigel_Nicolson
Shelby_Corcoran,Rachel_Berry
Prospero_Colonna_di_Paliano,Pietro_Colonna
Geoffrey_Davies,Emma_Davies_(actress)
Robert_H._Smith_(philanthropist),David_Bruce_Smith
Isaac_Stevens,Hazard_Stevens
Ian_James_Corlett,Claire_Corlett
"Katharine_Macmillan,_Viscountess_Macmillan_of_Ovenden","Alexander_Macmillan,_2nd_Earl_of_Stockton"
Alois_Hitler,Angela_Hitler
"Ryan_DeGraffenried,_Sr.",Ryan_DeGraffenried
Moses_Taylor_Pyne,Percy_Rivington_Pyne_2nd
Meresankh_IV,Raemka
George_Mason_III,George_Mason
"John_Marmion,_3rd_Baron_Marmion_of_Winteringham","John_Marmion,_4th_Baron_Marmion_of_Winteringham"
