Shobha_Mohan,Anu_Mohan
Roberto_Arlt,Mirta_Arlt
Matthew_Lyon,Chittenden_Lyon
"Anne_Cecil,_Countess_of_Oxford","Susan_de_Vere,_Countess_of_Montgomery"
"Gerald_Legge,_9th_Earl_of_Dartmouth","William_Legge,_10th_Earl_of_Dartmouth"
Richard_Arkwright,Richard_Arkwright_junior
Jane_Birkin,Charlotte_Gainsbourg
Thelma_Leeds,Albert_Brooks
Henry_A._P._Carter,George_R._Carter
Tokugawa_Iemitsu,Tokugawa_Ietsuna
Jaime_Zobel_de_Ayala,Fernando_Zobel_de_Ayala
Savitri_Jindal,Sajjan_Jindal
Bernard_Gorcey,David_Gorcey
Angela_Petrelli,Nathan_Petrelli
Henry_Luce,Ann_Clare_Brokaw
Jon_Tenney,Emerson_Tenney
Lachlan_Bronneach_Maclean,Lachlan_Og_Maclean
"George_Thomson,_Baron_Thomson_of_Monifieth",Caroline_Thomson
Kiran_Choudhry,Shruti_Choudhry
Ellen_G._White,William_C._White
Paul_J._Sorg,Paul_Arthur_Sorg
Abdul_Ghafoor_Bhurgri,Abdul-Majid_Bhurgri
Árpád_Göncz,Kinga_Göncz
Rafael_Ángel_Calderón_Guardia,Rafael_Ángel_Calderón_Fournier
Henrik_Dedichen,Aimée_Sommerfelt
John_Verney_(judge),"John_Peyto-Verney,_14th_Baron_Willoughby_de_Broke"
Pran_(actor),Sunil_Sikand
Seymour_Durst,Robert_Durst
Kurt_Katch,Vic_Katch
Nadine_de_Rothschild,Benjamin_de_Rothschild
Liu_Shaoqi,Liu_Yuan_(general)
Austin_Phelps,Moses_Stuart
Theodore_Roosevelt,Theodore_Roosevelt_Jr.
Tatsuo_Umemiya,Anna_Umemiya
John_Postgate_(food_safety_campaigner),John_Percival_Postgate
Minnie_Lichtenstein_Marcus,Stanley_Marcus
Barbara_Alyn_Woods,Emily_Alyn_Lind
Josiah_Quincy_III,"Josiah_Quincy,_Jr."
Evabritt_Strandberg,Matti_Berenett
Najam_Sethi,Mira_Sethi
John_Jacob_Astor_IV,Vincent_Astor
Gandhari_(character),Dushasana
William_A._Ashbrook,John_M._Ashbrook
Edward_Porter_Humphrey,Edward_William_Cornelius_Humphrey
Jitendra_Prasada,Jitin_Prasada
J._E._Jumonville_Sr.,J._E._Jumonville_Jr.
Meylişah_Hatun,Şehzade_Ömer
Joseph_Pallache,David_Pallache
Thomas_Jefferson,Mary_Jefferson_Eppes
Madelyn_Dunham,Ann_Dunham
Norma_MacMillan,Stefan_Arngrim
Frederick_Dent_Grant,Ulysses_S._Grant_III
Andie_MacDowell,Margaret_Qualley
Lammot_du_Pont_I,Lammot_du_Pont_II
Stanley_Baldwin,"Oliver_Baldwin,_2nd_Earl_Baldwin_of_Bewdley"
Loi_Ejercito,Jinggoy_Estrada
Robert_Hay_Drummond,Edward_Hay-Drummond
Red_McCombs,John_Shields_(Texas_politician)
"Charles_Brandon,_1st_Duke_of_Suffolk","Henry_Brandon,_2nd_Duke_of_Suffolk"
Frank_Mancuso_Sr.,Frank_Mancuso_Jr.
Fidel_Castro,Alina_Fernández
Kalvakuntla_Chandrashekar_Rao,K._Kavitha
Charles_Henry_Robb,Roger_Robb
Carl_Friedrich_Wilhelm_Duncker,Franz_Duncker
Luis_Cabrera_Lobato,Malú_Block
Ahmed_Khadr,Omar_Khadr
Lynn_Carlin,Dan_Carlin
Madeline_Westen,Michael_Westen
Norodom_Marie,Norodom_Rattana_Devi
Alexander_Tom_Cussons,Alexander_Stockton_Cussons
"William_Westwood,_1st_Baron_Westwood","William_Westwood,_2nd_Baron_Westwood"
Khadija_bint_Khuwaylid,Umm_Kulthum_bint_Muhammad
Henry_Matthews_(judge),"Henry_Matthews,_1st_Viscount_Llandaff"
Fred_Phelps,Shirley_Phelps-Roper
José_Eduardo_dos_Santos,José_Filomeno_dos_Santos
Georges_Mora,Philippe_Mora
Austin_Phelps,Elizabeth_Stuart_Phelps_Ward
Richard_Waldron_(Colonel),Richard_Waldron_(Secretary)
Phil_Robertson,Jase_Robertson
Jesse_C._Deen,Larry_Deen
Percival_Savage,Percy_Savage
Robert_A._Schwartz,Edmund_Janniger
She_Saihua,Yang_Yanzhao
