Maryam_Abacha,Mohammed_Abacha
Prince_Louis_of_Battenberg,"George_Mountbatten,_2nd_Marquess_of_Milford_Haven"
Thea_Altaras,Adriana_Altaras
Edvard_Isak_Hambro_Bull,Theodor_Bull
"Barbara_Palmer,_1st_Duchess_of_Cleveland","George_FitzRoy,_1st_Duke_of_Northumberland"
John_Tyler_Sr.,John_Tyler
John_Johnston_(New_Zealand_politician),Charles_John_Johnston
Magnus_von_Braun_(senior),Sigismund_von_Braun
Ray_Dolby,Tom_Dolby
Massoud_Nawabi,Hakan_Massoud_Navabi
Aristotle_Onassis,Caroline_Kennedy
"Patrick_Jenkin,_Baron_Jenkin_of_Roding",Bernard_Jenkin
Meryl_Streep,Louisa_Gummer
Dennis_Cross,Randy_Cross
William_Bell_Dinsmoor,"William_Bell_Dinsmoor,_Jr."
Henry_le_Scrope,"Richard_le_Scrope,_1st_Baron_Scrope_of_Bolton"
Jonathan_L._Austin,James_T._Austin
Frank_Stanfield,Frank_Thomas_Stanfield
Victor_Robert,Joseph-Edmond_Robert
Ulysses_S._Grant,Ulysses_S._Grant_Jr.
Abby_Aldrich_Rockefeller,John_D._Rockefeller_III
Shakereh_Khaleeli,Rehane_Yavar_Dhala
Alfred_Ely_Beach,Frederick_Converse_Beach
Lana_Turner,Cheryl_Crane
Stevens_Thomson_Mason_(Virginia),Stevens_T._Mason
T._P._Madhavan,Raja_Krishna_Menon
"Sir_Gilbert_Elliot,_2nd_Baronet,_of_Minto",John_Elliot_(Royal_Navy_officer)
Roman_Vishniac,Wolf_V._Vishniac
Katja_Riemann,Paula_Riemann
George_Washington_Martin_II,Walter_Ralston_Martin
Al_Delvecchio,Chachi_Arcola
Silvio_Berlusconi,Marina_Berlusconi
Elyse_Knox,Kelly_Harmon
Hubert_Humphrey,Skip_Humphrey
John_Albion_Andrew,John_F._Andrew
Mayer_Amschel_Rothschild,Nathan_Mayer_Rothschild
Samuel_S._Phelps,Edward_John_Phelps
Gudbrand_Helenus_Hartmann,Edle_Hartmann
Marie_Breen,Jeannette_Patrick
Richard_Bartholomew,Pablo_Bartholomew
Norman_Stone,Nick_Stone_(author)
Richard_Davalos,Dominique_Davalos
Kirk_Douglas,Joel_Douglas
Andrew_Jackson_Turner,Frederick_Jackson_Turner
Gangadhar_Nehru,Motilal_Nehru
Pierre_Peugeot,Thierry_Peugeot
Pál_Harrer,Ferenc_Harrer
Joseph-Marie_Godefroy_de_Tonnancour,Léonard_Godefroy_de_Tonnancour
Adrianne_Allen,Anna_Massey
George_Butler_(headmaster),Montagu_Butler
"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",Lady_Gwendolen_Gascoyne-Cecil
Katharine_Sergeant_Angell_White,Joel_White
Janet_Sheen,Renée_Estevez
Nathaniel_Hawthorne,Mother_Mary_Alphonsa
Alexandre_Baréty,Léon_Baréty
Gordon_Westcott,Helen_Westcott
Leonid_Brezhnev,Galina_Brezhneva
Bharatkumar_Raut,Om_Raut
Reu,Serug
George_Huntington_Hartford,George_Ludlum_Hartford
Edsel_Ford,Henry_Ford_II
