William_Robert_Spencer,Aubrey_Spencer
Biswajit_Chatterjee,Prosenjit_Chatterjee
Carlo_Gambino,Thomas_Gambino
Julie_Cooper_(The_O.C.),Marissa_Cooper
Elizabeth_Jarvis_Colt,Caldwell_Hart_Colt
Michael_Catt,Erin_Bethea
Alice_Walker,Rebecca_Walker
John_Young_(Hawaii),James_Kānehoa
Susana_Higuchi,Keiko_Fujimori
Lyubov_Sirota,Alexander_Sirota
Mutemwiya,Amenhotep_III
John_Shaffer_Phipps,Margaret_Phipps_Boegner
Othman_A._Abbott,Grace_Abbott
Anil_Kapoor,Rhea_Kapoor
John_Aspinall_(zoo_owner),Damian_Aspinall
Martin_Garbus,Liz_Garbus
Philippe_Cousteau,Alexandra_Cousteau
Alfred_de_Rothschild,"Almina_Herbert,_Countess_of_Carnarvon"
Walter_Sisulu,Lindiwe_Sisulu
Charles_A._Woodward,William_Culham_Woodward
Johanna_Schopenhauer,Adele_Schopenhauer
William_Henry_Vanderbilt,Eliza_Osgood_Vanderbilt_Webb
Adolf_Müller_(industrialist),Alfred_Müller_(entrepreneur)
Anthony_Denis_Maurice_George_de_Worms,Charles_de_Worms
Jacques_Baby,François_Baby_(politician)
Herbert_W._Armstrong,Garner_Ted_Armstrong
Rosalynn_Carter,Amy_Carter
Tom_Bull,Richard_Bull_(politician)
Edward_Hutchinson_(captain),Susanna_Cole
Chase_A._Clark,Bethine_Clark_Church
Dillon_Bell,Francis_Bell_(New_Zealand_politician)
Jonathan_Fast,Molly_Jong-Fast
Ethel_Kennedy,Joseph_P._Kennedy_II
Lina_Prokofiev,Oleg_Prokofiev
William_Moon,Robert_Charles_Moon
James_Wilson_(Indiana),Henry_Lane_Wilson
Kay_Johnson,James_Cromwell
Blackie_Dammett,Anthony_Kiedis
Maurice_Costello,Dolores_Costello
"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury","James_Gascoyne-Cecil,_4th_Marquess_of_Salisbury"
J._C._Watts,Trey_Watts
Pieter_de_Graeff,Johan_de_Graeff
Bhrigu,Chyavana
"Francis_Fane,_1st_Earl_of_Westmorland","Francis_Fane,_1st_Earl_of_Westmorland"
T._R._Pachamuthu,P._Sathyanarayanan
Mary_French_Rockefeller,Laura_Rockefeller_Chasin
Helena_Bergström,Molly_Nutley
Augustine_Washington,George_Washington
Karamana_Janardanan_Nair,Sudheer_Karamana
Frank_Bunker_Gilbreth_Sr.,Frank_Bunker_Gilbreth_Jr.
Tirey_L._Ford,Byington_Ford
Trygve_Bratteli,Ola_Bratteli
Brendan_Gleeson,Domhnall_Gleeson
David_Hunter_Riddle,Matthew_Brown_Riddle
Gary_Bender,Trey_Bender
Kenan,Mahalalel
Solomon_Dias_Bandaranaike,S._W._R._D._Bandaranaike
Govan_Mbeki,Moeletsi_Mbeki
Eliza_Osgood_Vanderbilt_Webb,William_Seward_Webb
R._D._Blumenfeld,John_Elliot_(railway_manager)
Nissanka_Wijeyeratne,Anuradha_Dullewe_Wijeyeratne
Meng_Ge,Li_Tianyi
Meyer_Guggenheim,Simon_Guggenheim
Matthew_Marvin_Jr.,Joseph_Platt
Esther_Hart_(Titanic_survivor),Eva_Hart
David_Hasselhoff,Hayley_Hasselhoff
Janusz_Radziwiłł_(1880–1967),Stanisław_Albrecht_Radziwiłł
Tokugawa_Hidetada,Tokugawa_Tadanaga
Richard_Dawson,Mark_Dawson
James_A._King,Samuel_Wilder_King
Joe_Yule,Mickey_Rooney
Keith_Wilson_(politician),Ian_Wilson_(politician)
James_I._Brownson,James_I._Brownson_(judge)
Jyoti_Subhash,Amruta_Subhash
