Lawrence_Saint,Rachel_Saint
Fernando_Ocampo,Ed_Ocampo
"William_Cavendish,_5th_Duke_of_Devonshire","Harriet_Leveson-Gower,_Countess_Granville"
Jonathan_Trumbull,John_Trumbull
Samuel_S._Phelps,Edward_John_Phelps
Gillean_of_the_Battle_Axe,Malise_mac_Gilleain
Ladislav_Pejačević,Teodor_Pejačević
George_Dunton_Widener,Harry_Elkins_Widener
Solange_Gemayel,Nadim_Gemayel
Bill_Landeryou,Andrew_Landeryou
John_Wayles,Sally_Hemings
Odette_de_Champdivers,"Marguerite,_bâtarde_de_France"
Franz_Boas,Franziska_Boas
"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma",Lady_Pamela_Hicks
Chimaji_Appa,Sadashivrao_Bhau
Dorothy_Walker_Bush,Jonathan_Bush
Godfrey_Lowell_Cabot,Thomas_Dudley_Cabot
Shanti_Bhushan,Prashant_Bhushan
Arturo_Peniche,Brandon_Peniche
Michael_Hodgman,Will_Hodgman
John_Foreman_(producer),Amanda_Foreman_(actress)
Joel_McCrea,Jody_McCrea
Glen_Corbett,Laurie_Holden
Juan_Manuel_de_Rosas,Manuela_Rosas
Martha_Jefferson,Martha_Jefferson_Randolph
Anne-Aymone_Giscard_d'Estaing,Louis_Giscard_d'Estaing
Patrick_Tse,Jennifer_Tse
Bertie_Ahern,Cecelia_Ahern
John_Darling_Sr.,Joe_Darling
Leonard_Bacon,Thomas_Rutherford_Bacon
Feʻao_Vunipola,Billy_Vunipola
Tirey_L._Ford,Byington_Ford
Bairam_Khan,Abdul_Rahim_Khan-I-Khana
Tabitha_King,Joe_Hill_(writer)
Zbigniew_Brzezinski,Mark_Brzezinski
Alan_Eppes,Charlie_Eppes
Holly_Hoffman,Alexandra_Hoffman
Molly_Drake,Gabrielle_Drake
Bess_Truman,Margaret_Truman
Henry_Beveridge,William_Beveridge
Ruby_Dee,Guy_Davis_(musician)
George_Mercer_(merchant),John_Mercer_(Australian_pastoralist)
Paul_Waterhouse,Michael_Waterhouse
Mordecai_Barbour,John_S._Barbour
Monford_Orloff,Jon_Orloff
Robert_Keith_(actor),Brian_Keith
"Marcus_Wallenberg,_Sr.","Marcus_Wallenberg,_Jr."
R._Umanath,U._Vasuki
Kunti,Yudhishthira
Paul_McCartney,James_McCartney
P._Lankesh,Indrajit_Lankesh
Patrick_Troughton,Michael_Troughton
William_Hutchinson_(Rhode_Island),Susanna_Cole
Martha_Rivers_Ingram,John_R._Ingram_(businessman)
"Walter_R._Tucker,_Jr.",Walter_R._Tucker_III
Marcus_Licinius_Crassus,Publius_Licinius_Crassus_(son_of_triumvir)
Henry_Clews,Henry_Clews_Jr.
Julio_Iglesias_Sr.,Julio_Iglesias
Carl_David_af_Wirsén,Einar_af_Wirsén
Sándor_Hatvany-Deutsch,Ferenc_Hatvany
James_Cox_Aikins,James_Albert_Manning_Aikins
William_Ewart_Gladstone,"Herbert_Gladstone,_1st_Viscount_Gladstone"
Miyahuaxochtzin,Huehue_Zaca
Tokugawa_Hidetada,Tokugawa_Masako
Osvaldo_Domínguez_Dibb,Alejandro_Dominguez_(football_executive)
John_Beckett_(politician),Francis_Beckett
Georgiana_Drew,Ethel_Barrymore
Barry_Van_Dyke,Shane_Van_Dyke
Dnyaneshwar_Agashe,Ashutosh_Agashe
Cindy_Robbins,Kimberly_Beck
Imee_Marcos,TJ_Manotoc
Sam_Lucchese,Josephine_Lucchese
Rhoda_Haas_Goldman,Douglas_E._Goldman
Aristotle_Onassis,Christina_Onassis
Dorothy_Kitson,Robert_Pakington
Alfred_Allee,Alfred_Young_Allee
Bruno_Freindlich,Alisa_Freindlich
Mohammed_Yusuf_Khatri,Mohammed_Bilal_Khatri
Arthur_Hobhouse,Henry_Hobhouse_(author)
Samuel_Hayes_(settler),John_Belding
Bob_Marley,Julian_Marley
Richard_Lawson_(actor),Bianca_Lawson
Thomas_Toft,Thomas_Toft
Samuel_Lightfoot_Flournoy,Samuel_Lightfoot_Flournoy_(West_Virginia_lawyer)
"John_Pitcairn,_Jr.",Raymond_Pitcairn
Louisa_Adams,George_Washington_Adams
Michael_Kocáb,Natálie_Kocábová
K._Subrahmanyam,Sanjay_Subrahmanyam
Roy_Padilla_Sr.,BB_Gandanghari
Harvey_Rexford_Hitchcock,D._Howard_Hitchcock
Uttam_Mohanty,Babushan
Ashok_Kumar_Sarkar,Aveek_Sarkar
Lugene_Sanders,Kimberly_Quinn
Lydia_Shum,Joyce_Cheng
Charles_Dickens,Henry_Fielding_Dickens
Terry_Peck,James_Peck_(artist)
Monique_Evans,Bárbara_Evans
Sun_Yat-sen,Sun_Fo
Rashad_Khalifa,Sam_Khalifa
Daniel_Rose_(real_estate_developer),Gideon_Rose
Younes_Nazarian,Sam_Nazarian
Deng_Xiaoping,Deng_Pufang
Midge_and_Bob_Pinciotti,Donna_Pinciotti
"Lucy_Baldwin,_Countess_Baldwin_of_Bewdley","Oliver_Baldwin,_2nd_Earl_Baldwin_of_Bewdley"
Michael_Corleone,Mary_Corleone
Frances_Ellen_Work,"Maurice_Roche,_4th_Baron_Fermoy"
Hugo_Wolfram,Conrad_Wolfram
Freddie_Webb,Jason_Webb_(basketball)
Kathy_Hilton,Paris_Hilton
John_Gabriel_(actor),Andrea_Gabriel
Benazir_Bhutto,Bilawal_Bhutto_Zardari
Jay_Gould,Howard_Gould
Mark_Fiennes,Sophie_Fiennes
Ted_Hayes,Joanna_Hayes
Herbert_Marshall,Sarah_Marshall_(British_actress)
Eugenio_Derbez,Aislinn_Derbez
Helen_Vela,Princess_Punzalan
T._P._Madhavan,Raja_Krishna_Menon
Marshall_Eriksen,Barney_Stinson
Richard_Harris,Damian_Harris
Thérèse_Dion,Celine_Dion
Sheikh_Fazilatunnesa_Mujib,Sheikh_Jamal
Pauline_LaFon_Gore,Nancy_Gore_Hunger
Pierre_Louis-Dreyfus,Gérard_Louis-Dreyfus
Roxy_LeBlanc,Trevor_LeBlanc
J._B._Jeyaretnam,Kenneth_Jeyaretnam
Anisa_Makhlouf,Maher_al-Assad
Raymond_Audi,Pierre_Audi
Thomas_Wyatt_the_Younger,George_Wyatt_(writer)
Carol_Ann_Abrams,J._J._Abrams
"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma","Patricia_Knatchbull,_2nd_Countess_Mountbatten_of_Burma"
Farooq_Leghari,Awais_Leghari
Clinton_L._Merriam,Clinton_Hart_Merriam
William_W._Cargill,Austen_Cargill
Eigil_Helland-Hansen,Grete_Nash
"Harriet_Sutherland-Leveson-Gower,_Duchess_of_Sutherland",Lord_Ronald_Gower
George_Mason,William_Mason_(1757–1818)
"Hugh_de_Kevelioc,_5th_Earl_of_Chester","Hawise_of_Chester,_1st_Countess_of_Lincoln"
Rosario_DeSimone,Frank_DeSimone
Washington_Atlee_Burpee,David_Burpee
Fred_Waitzkin,Joshua_Waitzkin
Odessa_Grady_Clay,Muhammad_Ali
Girija_Prasad_Koirala,Sujata_Koirala
Jonas_Bloch,Débora_Bloch
Francis_Marbury,Richard_Scott_(settler)
Harris_B._McDowell_Jr.,Harris_McDowell_III
Charlotte_von_Rothschild,Alfred_de_Rothschild
Clu_Gulager,John_Gulager
Frank_Griffiths,Arthur_Griffiths_(businessman)
Dorothy_Hammerstein,Susan_Blanchard_(socialite)
Benjamin_Whitrow,Celia_Imrie
Jeff_Tracy,Scott_Tracy
Pedro_Ferriz_Santacruz,Pedro_Ferriz_de_Con
Joseph-Noël_Bossé,Joseph-Guillaume_Bossé
James_Melvin_Scott,Cathy_Scott
Uday_Shankar,Mamata_Shankar
Edmund_Hillary,Peter_Hillary
E._F._Bleiler,Richard_Bleiler
Sylvester_the_Cat,Sylvester_Jr.
"Alexander_Macmillan,_2nd_Earl_of_Stockton","Daniel_Macmillan,_Viscount_Macmillan_of_Ovenden"
David_Bale,Christian_Bale
Emine_Mihrişah_Kadınefendi,Mustafa_III
Michael_D._Higgins,Alice_Mary_Higgins
Georg_von_Trapp,Hedwig_von_Trapp
Joann_Aalfs,Janet_Aalfs
Cornelius_Newton_Bliss,Lillie_P._Bliss
Buddy_Roemer,Chas_Roemer
Slobodan_Penezić,Relja_Penezic
Zong_Qinghou,Kelly_Zong
Chester_A._Arthur,Chester_Alan_Arthur_II
George_Mason_III,George_Mason
Henry_De_Mel,Lakdasa_De_Mel
Charles_Frost_(politician),Jack_Frost_(politician)
Nossis,Melinno
