"Alpochori,_Elis",Greece
Baranivka_Raion,Ukraine
Hay_Island_(Queensland),Australia
Farnham_Common,Buckinghamshire
Azghar,Morocco
"Mirów,_Silesian_Voivodeship",Poland
Heringen,Germany
"Immaculate_Conception_Cathedral,_Bar",Montenegro
"Bijo,_Azerbaijan",Azerbaijan
Bega_Veche,Serbia
Sangowal,India
"Tusmore,_South_Australia",Australia
Villalago,Italy
Riedholz,Switzerland
Chesakaki,Kenya
Pajęczno,Poland
Ibrahim_al-Khalil_Convent,Syria
Aliabad-e_Khaleseh,Iran
"Aduri,_Faryab",Iran
Fillongley,Warwickshire
Heiss_Island,Russia
"Salas_District,_Lambayeque",Peru
Nkimi,Equatorial_Guinea
Mueang_Surat_Thani_District,Thailand
Mazraeh-ye_Nasrollah_Jafary,Iran
"Leimen,_Rhineland-Palatinate",Germany
Marowijne_District,Suriname
Polstead,Suffolk
Morad_Khani_Siareh_Jagiran,Iran
Lalke,Pakistan
Verdun-sur-Garonne,France
Bondokoro-Dogosse,Burkina_Faso
"Turin_(village),_New_York",United_States
"Washington_Township,_Rush_County,_Indiana",United_States
Château_de_la_Canière,France
"Saint-Just,_Cher",France
McDowell_Lake_First_Nation,Canada
Godzikowo,Poland
Roman_Catholic_Diocese_of_Taiohae_o_Tefenuaenata,French_Polynesia
"Tol,_Mersin",Turkey
Wiłkupie,Poland
Wyszanowo,Poland
Dorothee_Island,Australia
Evertsberg,Sweden
"Ludwinów,_Gmina_Borzechów",Poland
Great_Warley,United_Kingdom
Münsterappel,Germany
Habovka,Slovakia
Heinsen,Germany
"St_Albans,_Victoria",Australia
Webb_Lake_(Maine),United_States
Seaforth_&_Litherland_railway_station,United_Kingdom
Lafur_Rural_District,Iran
"Ahmadkhan,_Lorestan",Iran
"Crystal_Springs,_Mississippi",United_States
Trùng_Khánh_District,Vietnam
Rivalba,Italy
"Highlandville,_Missouri",United_States
"Beverley_Park,_New_South_Wales",Australia
"Shahrak-e_Vahdat,_Ilam",Iran
Pyramid_Peak_(South_Georgia),United_Kingdom
Navalmoralejo,Spain
"Caddo_Mills,_Texas",United_States
"Łady,_Sochaczew_County",Poland
Kozilas,Poland
"Los_Cerritos,_Panama",Panama
"Llanwnda,_Gwynedd",United_Kingdom
"El_Espinal,_Tolima",Colombia
"Forest_Range,_South_Australia",Australia
Garur,India
Charoq,Iran
Tromsdorf,Germany
Rawatpur,India
"Devsar,_Jammu_and_Kashmir",India
Cubjac,France
"Büyükgüve,_Aksaray",Turkey
"Manassas_Park,_Virginia",United_States
Cranleigh,United_Kingdom
"Liberty_Center,_Indiana",United_States
Mickfield,Suffolk
"Bardeh,_Razavi_Khorasan",Iran
Golruiyeh,Iran
Torpaq_Tappeh,Iran
"Byram,_Mississippi",United_States
Sahébo,Ivory_Coast
Archalbot,Nepal
"Pleasant_View,_Wood_County,_West_Virginia",United_States
Frouard,France
Colwyn_Bay,United_Kingdom
"Epes,_Alabama",United_States
Villey-le-Sec,France
Municipality_of_Grad,Slovenia
"Jefferson,_Ohio",United_States
Oterki,Poland
Lac_de_Moiry,Switzerland
Šumadija,Serbia
Čadovina,Bosnia_and_Herzegovina
Barazai,Pakistan
"Khezrabad,_Kerman",Iran
Deyelsdorf,Germany
"Tierra_Bonita,_Texas",United_States
Qaleh-ye_Sheykh_Jasem,Iran
"Sedillo,_New_Mexico",United_States
Morata_de_Jiloca,Spain
Sadilovac,Croatia
La_Sauvetat-de-Savères,France
"Rollins,_Montana",United_States
East_Appleton,United_Kingdom
"Verin_Jrashen,_Yerevan",Armenia
Atoyac_de_Álvarez_(municipality),Mexico
"Ayrshire,_Indiana",United_States
"Lac-des-Lys,_New_Brunswick",Canada
"Piława,_Lower_Silesian_Voivodeship",Poland
Nova_Maringá,Brazil
Acılıqbinə,Azerbaijan
Sankt_Augustin,Germany
Andrews_Rocks,South_Georgia_and_the_South_Sandwich_Islands
Duszatyn,Poland
"Žabnica,_Croatia",Croatia
"Ocate,_New_Mexico",United_States
Osgoode_Ward,Canada
Khardun,Iran
Kowrbidu,Iran
North_Cerney,Gloucestershire
Cheyabel,Iran
Najeeban,Afghanistan
"Middlebury,_New_York",United_States
"Centerton,_Salem_County,_New_Jersey",United_States
Grillon,France
"Fink,_West_Virginia",United_States
Hlabeni,South_Africa
Prinsenland,Netherlands
Pedra_de_Guaratiba,Brazil
"Marshallville,_Ohio",United_States
"Meeteetse,_Wyoming",United_States
Yuzhynets,Ukraine
Kiakanyinga,Kenya
Aarhus_Cathedral,Denmark
Birpur_Barahi,Nepal
"Abbasabad,_Ardabil",Iran
"Chaungtha,_Pathein",Myanmar
"Golbahar,_Khuzestan",Iran
"Rumilly,_Haute-Savoie",France
"Shady_Grove,_Hickman_County,_Tennessee",United_States
Old_Brevard_County_Courthouse,United_States
Sandhoe,United_Kingdom
Ashington_Range,Canada
Le_Folgoët,France
Posuchy,Poland
"Novato,_California",United_States
"Forestport,_New_York",United_States
"Prezid,_Croatia",Croatia
Gâlma_River_(Ialomicioara),Romania
Mid_Suffolk,United_Kingdom
Lac_de_Guiers,Senegal
Zamch,Poland
"Cohagen,_Montana",United_States
Zlagna_River_(Timiș),Romania
Villevêque,France
Radford_and_Timsbury_Halt_railway_station,United_Kingdom
"Hamilton_County,_New_York",United_States
Rudamina_(Vilnius),Lithuania
"Baba_Sheykh_Ali,_Kermanshah",Iran
Karlsdorf,Germany
Dametir-e_Shomali,Iran
Charam-e_Now,Iran
Qusay%60ir,Yemen
Montmin,France
"San_Joaquín,_Santander",Colombia
Rathipally,India
Desertores_Islands,Chile
Caprino_Bergamasco,Italy
"Mosby,_Norway",Norway
Meilen_railway_station,Switzerland
"Ward_No._98,_Kolkata_Municipal_Corporation",India
"Shivpuri,_Patna",India
Saint-Pancré,France
Paso_de_Patria,Paraguay
"Horeb,_Carmarthenshire",United_Kingdom
Rocky_Point_Island,Australia
Mazban,Iran
Wordwell,Suffolk
Thondarampet_East,India
Wenecja,Poland
Greenmount_National_Park,Australia
Håkanstorp,Sweden
"Zuyevka,_Kirov_Oblast",Russia
Oakville_North—Burlington,Canada
Shuraq_Gol,Iran
El_Copé,Panama
"Navo,_Texas",United_States
"Goose_Cove,_Trinity_Bay,_Newfoundland_and_Labrador",Canada
Esfahak,Iran
Płonka-Kolonia,Poland
"Kvaløya,_Finnmark",Norway
Wilson_Rock,South_Georgia_and_the_South_Sandwich_Islands
Latambar,Pakistan
"Samaria,_Idaho",United_States
La_Charme,France
Aly,Russia
Jeviněves,Czech_Republic
Vornic_River,Romania
"Kahnuj,_Sirjan",Iran
Kateel,India
Anchonga_District,Peru
São_Bernardo_(parish),Portugal
Knightsbridge_tube_station,United_Kingdom
"Si_Don_Chai,_Thoeng",Thailand
Garibord,Iran
Goris,Armenia
Bekkestua,Norway
"Hillsboro,_New_Mexico",United_States
"Our_Lady_of_Victories_Cathedral,_Dakar",Senegal
Sudeste_Rio-Grandense,Brazil
Fusagasugá,Colombia
Balta_Nouă_River,Romania
Bellmount,United_Kingdom
Villaverde_de_Medina,Spain
Zarza_de_Granadilla,Spain
Aappilattoq_Island_(Upernavik_Icefjord),Greenland
"Black,_Illinois",United_States
Bogojina,Slovenia
Raková_(Rokycany_District),Czech_Republic
Guairá_Department,Paraguay
Cropredy_railway_station,United_Kingdom
Kefashen,Armenia
Ludányhalászi,Hungary
"Qaysān,_Abdullah_Qeissan",Sudan
"Tüvshinshiree,_Sükhbaatar",Mongolia
Njoko,Central_African_Republic
Holetown,Barbados
Tawfiiq_District,Somalia
Vysoká_(Mělník_District),Czech_Republic
Nagahagoda,Sri_Lanka
Hinksey_Halt_railway_station,United_Kingdom
Arikaree_River,United_States
Debetavan,Armenia
Pachperwa,India
Městečko_Trnávka,Czech_Republic
"Uljaste,_Lääne-Viru_County",Estonia
Tolombeh-ye_Hajj_Fathollah_Mohammady,Iran
Krapivinsky_District,Russia
Kadathur_(Tiruppur),India
Hörnum,Germany
Bugaba_(corregimiento),Panama
Guzara,Afghanistan
Mae_Phrik_District,Thailand
Nyongwon_County,North_Korea
Obořiště,Czech_Republic
Adampam,Sri_Lanka
Kodiga_Timmanapalli,India
Ramsey_Forty_Foot,Cambridgeshire
Collelongo,Italy
Kovilambakkam,India
"West_Burke,_Vermont",United_States
Ath,Belgium
Aq_Chatal,Iran
"La_Crosse_Township,_Jackson_County,_Minnesota",United_States
Vysokovsk,Russia
"Hillesheim,_Mainz-Bingen",Germany
Jupâneasa_River,Romania
Trept,France
Ouled_Khalouf,Algeria
Mi_Mich,Iran
Domingos_Mourão,Brazil
Oštrice,Croatia
"Kampos,_Elis",Greece
Gronowo_Elbląskie,Poland
"Belmont,_Sutton",United_Kingdom
Pavant_Range,United_States
Roman_Catholic_Diocese_of_Salamanca,Spain
Culkein_Drumbeg,United_Kingdom
"Maud,_Texas",United_States
Beh_Kaleh,Iran
"Tazeh_Kand,_Baruq",Iran
Argaki,Cyprus
Chal-e_Siyah_Gelal,Iran
Commune_of_Kiremba,Burundi
Keramoti,Greece
"Jaźwiny,_Gmina_Pilawa",Poland
Quainton,United_Kingdom
Tantonville,France
Solakovići_(Ilijaš),Bosnia_and_Herzegovina
Ruskie_Piaski,Poland
Łążek_Ordynacki,Poland
Charadai,Argentina
Nordmannslågen,Norway
Wulugu,Ghana
Bansulab-e_Hattem,Iran
Ouled_Yaïch_District,Algeria
Berzunți,Romania
Champ-Haut,France
"Arim,_Savadkuh",Iran
Sainte-Marguerite-de-Viette,France
Teal_Ponds,South_Georgia_and_the_South_Sandwich_Islands
"Valen,_Vadsø",Norway
Lavras,Brazil
Scotter,Lincolnshire
Robertowo,Poland
"Eddyville,_Illinois",United_States
Denison_County,Australia
Szeszupka,Poland
Jevoncourt,France
"Hawaiian_Acres,_Hawaii",United_States
Mojki,Poland
Okarpiec,Poland
Andelnans,France
"Wielki_Buczek,_Kępno_County",Poland
"Frenches_Ravine,_California",United_States
"Marine_Drive,_Mumbai",India
Baldwinholme,United_Kingdom
Yafforth,North_Yorkshire
Lorugumu,Kenya
Nerekorosso,Burkina_Faso
"Church_of_St_Peter_and_St_Paul,_Chaldon",United_Kingdom
"Río_Pico,_Chubut",Argentina
Wahgunyah_Conservation_Park,Australia
Lama_(Barcelos),Portugal
"Caldera,_Chiriquí",Panama
Gal_Vihara,Sri_Lanka
"Karnice,_Łódź_Voivodeship",Poland
Tolombeh-ye_Nurizadeh_va_Shorka,Iran
Gąsawa,Poland
Loruth,Kenya
"Kulpi,_Queensland",Australia
Arcis-sur-Aube,France
Ramsgjelvatnet,Norway
"Frontenac,_Kansas",United_States
Lake_Humuhumu,New_Zealand
"Saint-André-des-Eaux,_Côtes-d'Armor",France
"Aulon,_Creuse",France
Radomina,Poland
"Ajax,_West_Virginia",United_States
"Calcot,_Gloucestershire",Gloucestershire
Villeneuve-Saint-Denis,France
Matakana_Island,New_Zealand
"Dax,_Landes",France
Dolbeau-Mistassini,Canada
Roman_Catholic_Diocese_of_Jhabua,India
"Kalyvakia,_Cyprus",Cyprus
Peel_Island,Australia
Bayaz-e_Bala,Iran
Jilț_Slivilești_River,Romania
Savay,Kyrgyzstan
Deh_Rakhda,Iran
West_Bradley,Somerset
Kolonia_Stary_Ratyniec,Poland
Quensel_Glacier,United_Kingdom
"Zimnowoda,_Świętokrzyskie_Voivodeship",Poland
Sadłuki,Poland
"Rokietnica,_Podkarpackie_Voivodeship",Poland
"Gronowo,_Lidzbark_County",Poland
