Happy_(1960_TV_series),William_Loose
Hello_Pop!,Moe_Howard
"Bewitched,_Bothered_and_Bewildered_(Buffy_the_Vampire_Slayer)",Kristine_Sutherland
The_Farmer's_Wife,Leslie_Arliss
How's_Your_News%3F,Trey_Parker
Fly_with_the_Crane,Su_Tong
The_Eye_10,Peter_Chan
Sharkwater,Nina_Simone
"A_House,_A_Home",Mark_Smith_(American_racing_driver)
Inside_No._9,Jon_Plowman
Something_Something..._Unakkum_Enakkum,Manivannan
The_13_Ghosts_of_Scooby-Doo,Joseph_Barbera
Jackpot_(2001_film),Crystal_Bernard
Begum_Jaan,Mahesh_Bhatt
Prisoner_of_the_Volga,Damiano_Damiani
Blood_and_Steel_(film),Gene_Corman
Topper_(film),Hal_Roach
StarStruck_(season_3),Louie_Ignacio
Aferim!,Teodor_Corban
Cougar_Town_(season_1),Michael_Spiller
Harry's_Girls,Susan_Silo
Tail_Spin,Constance_Bennett
Harry_O,Bill_Henderson_(performer)
The_Art_of_McCartney,Roger_Daltrey
Number_Ones_(video),Martin_Scorsese
The_Three_Little_Pigs_(film),Dick_Lundy_(animator)
Meet_Me_at_Dawn,Anatole_Litvak
Villa_Rides,Sam_Peckinpah
South_Park_Is_Gay!,Trey_Parker
Porky's_Revenge!,Bob_Clark
Texas_to_Bataan,S._Roy_Luby
I_Never_Promised_You_a_Rose_Garden_(film),Roger_Corman
Z_Channel:_A_Magnificent_Obsession,Robert_Altman
Wild_Bill_Hickok_Rides,Bryan_Foy
The_Wasp_Woman,Michael_Mark_(actor)
Smashing_Through,Maurice_Elvey
Cool_Blue,Ely_Pouget
The_Oyster_Princess,Victor_Janson
The_Call_(2013_film),Michael_Imperioli
Olympic_Games_(film),F._Richard_Jones
Drishyam_(2015_film),Vishal_Bhardwaj
Lucky_Girl_(2001_film),Louise_Garfield
Pop_Goes_the_Easel,Jules_White
"Facundo,_el_tigre_de_los_llanos",Carlos_F._Borcosque
The_Royal_Bed,J._Walter_Ruben
Shaolin_and_Wu_Tang,Lau_Kar-leung
Feed_the_Kitty,Ben_Washam
List_of_The_Wild_Wild_West_episodes,James_B._Clark_(director)
Pins_Are_Lucky,Arthur_Hotaling
Law_&_Order_(season_18),Jim_McKay_(director)
The_Three_Musketeers_(1916_film),Victor_Schertzinger
Live_Flesh_(film),Ray_Loriga
Help_Me_Help_You,Matthew_Diamond
Weekend_Wives,Monty_Banks
Killer's_Carnival,Rolf_Olsen_(actor)
"Mina,_Wind_of_Freedom",José_Alonso_(actor)
Threat_Matrix,Terrence_O'Hara
The_Love_Bug_(1925_film),Hal_Roach
Empire_of_the_Dead,George_A._Romero
Best_of_You,Dave_Grohl
Delovak_Athara,Tony_Ranasinghe
Gorilla_My_Dreams,Manny_Gould
Night_in_Montmartre,Sydney_Blythe
Mission:_Impossible_(1988_TV_series_season_1),Cliff_Bole
In_the_Season_of_Buds,Mack_Sennett
Bees_in_His_Bonnet,Hal_Roach
Helpmates,Hal_Roach
Pullipulikalum_Aattinkuttiyum,Shiju
Once_and_Again,Steven_Weber_(actor)
Jana_of_the_Jungle,Joseph_Barbera
Timeless_Love_(film),Aloysius_Pang
Dynomutt_Hour,William_Hanna
The_Hell_Cat_(1918_film),Willard_Mack
Her_Right_to_Live,John_S._Robertson
Kidnap_and_Ransom,John_Hannah_(actor)
Cheers,James_Burrows
Geeking_Out,Kevin_Smith
Omkara_(2004_film),Upendra_(actor)
Zelda_The_Great,Barbara_Heller
The_Flintstone_Kids,Joseph_Barbera
Flashback_(1990_film),Dennis_Hopper
After_Darkness,John_Hurt
Band_of_Angels,Sidney_Poitier
