The_Paradise_Suite_(Armchair_Theatre),Sam_Wanamaker
Tomalio,Roscoe_Arbuckle
Mall_(film),Alec_Puro
Before_Sunset,Julie_Delpy
Freaknik:_The_Musical,DJ_Pooh
Longstreet_(TV_series),Leslie_H._Martinson
Riders_of_the_Whistling_Pines,Armand_Schaefer
The_Phantom_Riders,Henry_MacRae
Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood,Keenen_Ivory_Wayans
Ask_Grandma,Hal_Roach
Shaolin_Wooden_Men,Lo_Wei
Three_Smart_Saps,Julie_Gibson
Imagine_(John_Lennon_song),John_Lennon
Police_Cadet_'85,Wai_Ka-fai
Northern_Lights_(1997_film),Kevin_Kane
"At_Your_Orders,_Sergeant",Erich_Engels
Cracking_Up_(TV_series),Chris_Weitz
Continental_Divide_(film),John_Bailey_(cinematographer)
Raththa_Dhanam,Gangai_Amaran
Guilty_as_Sin,Andrzej_Bartkowiak
Changes_(House),Seth_Hoffman
The_Jungle_Book_(1994_film),Cary_Elwes
Should_Ladies_Behave,Ted_Tetzlaff
The_New_Fantastic_Four,Friz_Freleng
Deathstalker_(film),Roger_Corman
Why_Men_Work,Charley_Chase
NightCry,Takashi_Shimizu
"Salome,_Where_She_Danced",Laurence_Stallings
De_Taali,Rimi_Sen
We_Were_Strangers,Russell_Metty
My_Wife's_Enemy,Giuseppe_Moccia
Ants_in_the_Pantry,Jules_White
Nee_(film),Nagesh
Farewell_My_Love,Berry_Gordy
The_Breakfast_Club,Judd_Nelson
Donga_Kollu,Rajendra_Prasad_(actor)
We've_Never_Been_Licked,Richard_Quine
Nick_&_Norah's_Infinite_Playlist,Chris_Weitz
Yabba_Dabba_Doo!_The_Happy_World_of_Hanna-Barbera,Joseph_Barbera
We're_No_Bad_Guys,Andrew_Lau
I'm_Dangerous_Tonight,Anthony_Perkins
Young_and_Willing,Eddie_Bracken
Paithrukam,Kaloor_Dennis
Tanks_a_Million,Hal_Roach
To_Bed_or_Not_to_Bed,Alberto_Sordi
Get_Lost!,David_Cunliffe_(producer_and_director)
Red_(2010_film),Bruce_Willis
Sabrina_Goes_to_Rome,Melissa_Joan_Hart
Bull_Durham,Robert_Wuhl
Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood,Marlon_Wayans
Dinosaurs_(TV_series),Brian_Henson
Poppy_(1936_film),Stuart_Heisler
22_Jump_Street,David_Rennie_(editor)
Jabberjaw,Joseph_Barbera
It_Pays_to_Advertise_(film),Norman_Foster_(director)
Wieners_Out,Trey_Parker
The_Hire,Clifton_Powell
Mohabbat_Ke_Ansu,Nitin_Bose
Hypernauts,Jim_Johnston_(director)
Astro_Boy_(1963_TV_series),Yoshiyuki_Tomino
The_Great_Escape_II:_The_Untold_Story,Charles_Haid
The_Sower_Reaps,Harry_von_Meter
Martian_Successor_Nadesico:_The_Motion_Picture_–_Prince_of_Darkness,Shin-ichiro_Miki
Shadow_Star__tv_series__1,Chiaki_J._Konaka
Operation_Love,Tomohisa_Yamashita
The_Trouble_with_Larry,Robert_Berlinger
Bismarck_(1914_film),Franz_Ludwig
Do_Bigha_Zamin,Hrishikesh_Mukherjee
Three_Tigers_Against_Three_Tigers,Enrico_Montesano
Thoongaa_Vanam,Vairamuthu
Race_(2013_film),Anne_Ravi
The_Lady_and_the_Highwayman,Laurie_Johnson
Ghajini_(2005_film),Pradeep_Rawat_(actor)
Daffy's_Diner,Friz_Freleng
Claudia_(telenovela),Miguel_Córcega
Where's_Huddles%3F,William_Hanna
"Men,_Women,_and_Money",Irving_Cummings
Gangtokey_Gondogol,Satyajit_Ray
The_Jerk,Jack_Elliott_(composer)
Le_Père_Noël_a_les_yeux_bleus,Philippe_Théaudière
Giants_vs._Yanks,Hal_Roach
30_Rock_(season_2),Richard_Shepard
Balaclava_(film),Alf_Goddard
Prosperity_Blues,Preston_Blair
Garfield:_The_Movie,Jennifer_Love_Hewitt
The_Selfish_Giant_(1972_film),Gerald_Potterton
Perfect_Understanding,Laurence_Olivier
NYPD_Blue_(season_2),Mark_Tinker
Life_Unexpected,Allan_Arkush
