The_Best_of_Times_(2002_film),Chang_Tso-chi
Five_Minarets_in_New_York,Mahsun_Kırmızıgül
Mother_and_Child_(2009_film),Rodrigo_García_(director)
Muniyana_Madari,S._K._Bhagavan
Buongiorno_papà,Edoardo_Leo
I'm_a_Man_(film),King_Vidor
Where_the_Pavement_Ends,Rex_Ingram_(director)
Fast_Times,Amy_Heckerling
The_Uncle_from_Peking,Jacques_Darmont
The_Farm_of_Tomorrow,Tex_Avery
Peasants_(film),Kim_Ki-young
Red_in_the_Face,Tim_Hunter_(director)
My_Wrongs_8245–8249_&_117,Chris_Morris_(satirist)
It_Happened_in_Pikesville,Jerold_T._Hevener
The_Runestone,Willard_Carroll
Billy_Frankenstein,Fred_Olen_Ray
Der_Schinderhannes,Helmut_Käutner
Gun_Smugglers,Frank_McDonald_(director)
Everything_but_the_Truth,Jerry_Hopper
The_Black_Rainbow,Michael_Curtiz
Chayam_(2004_film),Biju_C._Kannan
Border_Patrol_(film),Lesley_Selander
The_Widow_(1955_film),Lewis_Milestone
Should_Tall_Men_Marry%3F,Louis_J._Gasnier
Million_Dollar_Eel,Salvatore_Samperi
Penjamo_(film),Juan_Bustillo_Oro
Operation_Avalanche_(film),Matt_Johnson_(Canadian_filmmaker)
World_Crisis,Benito_Perojo
The_Plough_and_the_Stars_(film),John_Ford
The_Story_of_Dida_Ibsen,Richard_Oswald
The_Tunnel_(2011_film),Carlo_Ledesma
Pick-Up_(1933_film),Marion_Gering
Fallout_(video_game),Tim_Cain
Hope_Springs_(2012_film),David_Frankel
Shimkent_hôtel,Charles_de_Meaux
Queen_of_Sports,Sun_Yu_(director)
Bless_This_House_(film),Gerald_Thomas
Little_Lord_Fauntleroy_(1936_film),John_Cromwell_(director)
The_Mysterious_Cities_of_Gold,Hisayuki_Toriumi
Pigs_(1992_film),Władysław_Pasikowski
Immortal_Beloved_(1951_film),Veit_Harlan
Man_Under_Suspicion,Norbert_Kückelmann
"Walk_Softly,_Stranger",Robert_Stevenson_(director)
The_Misfits_(film),John_Huston
Tatakau_Shisho__tv_series__1,Toshiya_Shinohara
Mojave_Phone_Booth,John_Putch
Daleks_–_Invasion_Earth:_2150_A.D.,Gordon_Flemyng
Banking_Hours_10_to_4,K._Madhu
The_Attic_Expeditions,Jeremy_Kasten
Game_(2011_film),Abhinay_Deo
Punky_(TV_series),Simon_Crane
Life_Is_Beautiful_(2012_film),Sekhar_Kammula
Krantikaal,Sekhar_Das
Ghost-Town_Gold,Joseph_Kane
The_Great_Sioux_Massacre,Sidney_Salkow
Blue_Jeans_(1975_film),Mario_Imperoli
Alpha_Man:_The_Brotherhood_of_MLK,Rob_Hardy
Dear_Old_London,Claude_Flemming
Ang_Dalawang_Mrs._Real,Andoy_Ranay
Power_(2016_film),Rajiv_Kumar_Biswas
MSG:_The_Messenger,Gurmeet_Ram_Rahim_Singh
Near_Death_Experience_(film),Benoît_Delépine
Sergio_(film),Greg_Barker
On_Our_Selection_(1932_film),Ken_G._Hall
The_Inugamis_(1976_film),Kon_Ichikawa
Power_Play_(Angel),James_A._Contner
Women_Are_Trouble,Errol_Taggart
Kung_Fu_Master_(film),Agnès_Varda
Sons_of_Liberty_(film),Michael_Curtiz
"Cry,_the_Beloved_Country_(1995_film)",Darrell_Roodt
"Ditte,_Child_of_Man",Bjarne_Henning-Jensen
Isabelle_Eberhardt_(film),Ian_Pringle_(director)
A_House_Divided:_Denmark_Vesey's_Rebellion,Stan_Lathan
Gym_Teacher:_The_Movie,Paul_Dinello
The_Snake_Pit,Anatole_Litvak
S*M*A*S*H_(miniseries),Hannes_Holm
Lady_Whirlwind,Huang_Feng
Bust_Out,John_Patterson_(director)
Range_Defenders,Mack_V._Wright
To_Bina_Mo_Kahani_Adha,Sanjay_Nayak
All_the_King's_Men_(2006_film),Steven_Zaillian
Baron_Blood_(film),Mario_Bava
Hell_(1994_film),Claude_Chabrol
Antima_Teerpu_(1988_film),Joshiy
Thirtysomething,Ken_Olin
Doctor_Who:_Thirty_Years_in_the_TARDIS,Kevin_Davies_(director)
Justin_Bieber:_Never_Say_Never,Jon_M._Chu
Devil_May_Cry_4,Hideaki_Itsuno
Her_Gilded_Cage,Sam_Wood
Have_You_Seen_This_Snail%3F,Alan_Smart
It's_About_Time!_(Phineas_and_Ferb),Dan_Povenmire
Easy_Money_(1936_film),Phil_Rosen
The_Necessary_Evil,George_Archainbaud
Bikini_Girls_from_the_Lost_Planet,Fred_Olen_Ray
Blade_in_Hong_Kong,Reza_Badiyi
Black_Orchid_(1953_film),Charles_Saunders_(director)
Devil's_Feud_Cake,Friz_Freleng
Two_Weeks_Vacation,Jack_Kinney
In_the_Spirit_(film),Sandra_Seacat
Tum_Dena_Saath_Mera_(Life_OK),Fahad_Kashmiri
Mandy_(film),Alexander_Mackendrick
Put_on_Ice,Bernhard_Sinkel
The_Great_De_Gaulle_Stone_Operation,Friz_Freleng
Mississippi_Grind,Anna_Boden
Shackleton_(TV_serial),Charles_Sturridge
Should_Girls_Kiss_Soldiers%3F,P.J._Ramster
Ultraviolet_(film),Kurt_Wimmer
Three_Sundays_to_Live,Ernest_Morris
The_Swordsman_(1990_film),Tsui_Hark
Les_Truands,Carlo_Rim
Pepe_(film),George_Sidney
Scenes_of_City_Life,Yuan_Muzhi
Assassination_Classroom_(film),Eiichirō_Hasumi
Asterix_and_the_Big_Fight_(film),David_N._Weiss
Pithamaha,K._S._L._Swamy
Tukaram_(film),Chandrakant_Kulkarni
Urusei_Yatsura_2:_Beautiful_Dreamer,Mamoru_Oshii
