Murder_Will_Out_(1939_film),Roy_William_Neill
Ford_Star_Jubilee,James_Neilson_(director)
Woman_on_the_Night_Train,Noboru_Tanaka
Suddenly_(2006_film),Johan_Brisinger
Being_Human_(1994_film),Bill_Forsyth
Rock_the_Casbah_(2013_film),Laïla_Marrakchi
X_(manga)__ova__1,Yoshiaki_Kawajiri
The_Stowaway_(1958_film),Lee_Robinson_(director)
Word_of_Mouth_(film),Kevin_Booth
Cómo_duele_callar,Miguel_Córcega
Power_Rangers_Lightspeed_Rescue,Isaac_Florentine
Frk._Vildkat,Alice_O'Fredericks
Those_Magnificent_Men_in_their_Flying_Machines,Ken_Annakin
Night_Zoo,Jean-Claude_Lauzon
Look_After_Your_Daughters,Sidney_M._Goldin
Sub_Rosa_(Star_Trek:_The_Next_Generation),Jonathan_Frakes
The_Second_Hundred_Years_(film),Fred_Guiol
Count_Svensson,Emil_A._Lingheim
Normal_(2007_film),Carl_Bessai
The_Most_Terrible_Time_in_My_Life,Kaizo_Hayashi
Touching_Home,Noah_Miller
Seven_Years_Bad_Luck,Max_Linder
Mahōjin_Guru_Guru__tv_series__1,Nobuaki_Nakanishi
Short_Peace,Shuhei_Morita
Shades_of_Gray_(Heroes),Greg_Beeman
Mother's_Day_(2010_film),Darren_Lynn_Bousman
The_Vanishing_Westerner,Philip_Ford_(film_director)
The_Prodigal_Son_(1981_film),Sammo_Hung
Hurricane_in_Galveston,King_Vidor
Below_the_Surface,Rupert_Kathner
Czechoslovakia_1968,Denis_Sanders
Triple_Cross_(1966_film),Terence_Young_(director)
Mykonos:_LKP_Casting_03,Ettore_Tosi
The_Milky_Waif,William_Hanna
Advanced_Introduction_to_Finality,Tristram_Shapeero
Esterina,Carlo_Lizzani
The_Case_of_Sergeant_Grischa_(film),Herbert_Brenon
New_Order_(Stargate_SG-1),Andy_Mikita
Jaankhilavan_Jasoos,B._P._Singh
In_Love_and_War_(1958_film),Philip_Dunne_(writer)
Our_Lady_of_Fatima_(film),Rafael_Gil
Barefoot_Sultan,Gilberto_Martínez_Solares
The_Scavengers_(1959_film),John_Cromwell_(director)
The_Pick-up_Artist_(film),James_Toback
Lewat_Djam_Malam,Usmar_Ismail
T.M.I._(South_Park),Trey_Parker
Band_Baaja_Baaraat,Maneesh_Sharma
Behind_the_Mask:_The_Rise_of_Leslie_Vernon,Scott_Glosserman
Play_Ball_(film),George_Gordon_(animator)
A_Bit_of_Love,Max_Neufeld
RangiTaranga,Anup_Bhandari
Ayal_Njanalla,Vineeth_Kumar
The_Bill_Poster,Manny_Gould
Competition_(1915_film),Tom_Ricketts
"Elise,_or_Real_Life",Michel_Drach
Nasu:_Summer_in_Andalusia,Kitarō_Kōsaka
Sisters_(2006_film),Douglas_Buck
The_Demons_of_Ludlow,Bill_Rebane
Stage_Struck_(1958_film),Sidney_Lumet
The_Cold_Light_of_Day_(2012_film),Mabrouk_El_Mechri
The_Old_Man_and_the_Sea_(miniseries),Jud_Taylor
Hollywood-Monster,Roland_Emmerich
Arrah-na-Pogue,Sidney_Olcott
Booker's_Place:_A_Mississippi_Story,Raymond_De_Felitta
The_Degraded,Alexander_Sokurov
12_(2007_film),Nikita_Mikhalkov
Between_Friends_(1973_film),Donald_Shebib
Street_Hero,Michael_Pattinson
"We_Love_You,_Conrad",John_Holmquist
Iron_Will,Charles_Haid
Playing_with_Fire_(1921_German_film),Robert_Wiene
Laughing_Gas_(1914_film),Charlie_Chaplin
Crude_(2009_film),Joe_Berlinger
Always_and_Forever_(film),Kevin_Connor_(director)
We_Are_No_Angels_(1975_film),Gianfranco_Parolini
Better_a_Widow,Duccio_Tessari
The_Wicker_Tree,Robin_Hardy_(film_director)
The_Great_White_Way_(1924_film),E._J._Babille
Dharavi_(film),Sudhir_Mishra
Kaadhal,Balaji_Sakthivel
Muhammad:_The_Last_Prophet,Richard_Rich_(director)
Strange_Days_(film),Kathryn_Bigelow
Villain_(2013_film),Tota_Roy_Chowdhury
Charlie_Chan_at_Treasure_Island,Norman_Foster_(director)
Gangster_(2006_film),Anurag_Basu
Mister_Roberts_(TV_series),Gene_Reynolds
Maytime_in_Mayfair,Herbert_Wilcox
Much_Ado_About_Nixi,Erich_Engel
The_Changeling_(TV_drama),Anthony_Page
Curse_of_the_Fly,Don_Sharp
Party_Girl_(2014_film),Samuel_Theis
Attack_Force_Z,Tim_Burstall
When_Knowledge_Conquered_Fear,Brannon_Braga
Highway_to_Dhampus,Rick_McFarland
Paris_Plane,John_Paddy_Carstairs
Vishkanya_Ek_Anokhi_Prem_Kahani,Saba_Mumtaz
The_Lineup_(film),Don_Siegel
Every_Secret_Thing_(film),Amy_J._Berg
Joke_Over,Bill_Bain_(director)
Vaali_(film),S._J._Surya
Stag_Night,Peter_A._Dowling
"Bertoldo,_Bertoldino_e_Cacasenno",Mario_Monicelli
The_Doorman,Andy_Ackerman
Love_on_Credit,Leste_Chen
After_Pilkington,Christopher_Morahan
Otto_–_Der_Film,Otto_Waalkes
His_Last_Twelve_Hours,Luigi_Zampa
My_Ex,Piyapan_Choopetch
Moonwalker,Will_Vinton
The_Spaniard_(film),Raoul_Walsh
Night_of_the_Creeps,Fred_Dekker
Fools_for_Scandal,Mervyn_LeRoy
Bad_Day_to_Go_Fishing,Álvaro_Brechner
Anuraga_Devata,Tatineni_Rama_Rao
Roots:_The_Next_Generations,John_Erman
Can't_Hardly_Wait,Deborah_Kaplan
Stealth_Fighter,Jim_Wynorski
Shura_(film),Toshio_Matsumoto
To_Want_to_Fly,Maurizio_Nichetti
The_Enforcer_(1976_film),James_Fargo
The_Nude_Woman_(1932_film),Jean-Paul_Paulin
I'm_No_Angel,Wesley_Ruggles
Live_Feed,Ryan_Nicholson
The_Fantastic_Flying_Books_of_Mr._Morris_Lessmore,William_Joyce_(writer)
Trasgredire,Tinto_Brass
Ocean's_Thirteen,Steven_Soderbergh
"Ed,_Edd_n_Eddy's_Big_Picture_Show",Danny_Antonucci
Bond_of_Strangers,Max_Fraser
Over_the_Waves_(film),Ismael_Rodríguez
The_Star_Maker_(1995_film),Giuseppe_Tornatore
Eeram,Arivazhagan_Venkatachalam
Infernal_Affairs_II,Alan_Mak_(director)
Hoodman_Blind,John_Ford
Family_Dog_(TV_series),Chris_Buck
The_Five_Heartbeats,Robert_Townsend_(actor)
No_Sad_Songs_for_Me,Rudolph_Maté
Moonlight_and_Mistletoe,Karen_Arthur
The_Unfinished_Conversation,John_Akomfrah
Mr._Bond,Raj_N._Sippy
Curse_(The_Secret_Circle),John_Fawcett_(director)
Dr._Dolittle_2,Steve_Carr
Les_Brûlés,Bernard_Devlin_(director)
Shifty_(film),Eran_Creevy
Istanbul_Beneath_My_Wings,Mustafa_Altıoklar
La_doppia_ferita,Augusto_Genina
Personal_Demons_(The_Twilight_Zone),Peter_Medak
Woman_with_Red_Hair,Tatsumi_Kumashiro
Schlußakkord,Douglas_Sirk
Gas_House_Kids,Sam_Newfield
Radical_Dreamers,Masato_Kato
Vietnam_(miniseries),John_Duigan
Vanna_Kanavugal,Ameerjan
Come_September,Robert_Mulligan
A_Drifting_Life__film__1,Eric_Khoo
Perum_Pulli,Vikraman
The_Barefoot_Contessa,Joseph_L._Mankiewicz
When_the_Trees_Were_Tall,Lev_Kulidzhanov
The_Assisi_Underground_(film),Alexander_Ramati
The_Music_Lovers,Ken_Russell
Ashes_of_Vengeance,Frank_Lloyd
Si_Adelita_se_fuera_con_otro,Chano_Urueta
Cops_vs._Thugs,Kinji_Fukasaku
De_turno_con_la_muerte,Julio_Porter
Down_to_the_Sea,Lewis_D._Collins
Sanctuary_for_All,Martin_Wood_(director)
Evidence_(2013_film),Olatunde_Osunsanmi
Schizoid_(film),David_Paulsen
Graduate_First,Maurice_Pialat
Thirayum_Theeravum,K._G._Rajasekharan
El_Pibe_Cabeza,Leopoldo_Torre_Nilsson
Zebraman,Takashi_Miike
A_Hero_Never_Dies,Johnnie_To
Most_Likely_to_Die,Anthony_DiBlasi
Haisiyat,Dasari_Narayana_Rao
Cannibal_Girls,Ivan_Reitman
The_Dollar-a-Year_Man,James_Cruze
The_Xposé,Anant_Mahadevan
La_Ballade_des_Dalton,René_Goscinny
Mr._Novak,Ida_Lupino
House_of_Dark_Shadows,Dan_Curtis
Spring_Fever_(2009_film),Lou_Ye
Camp_Rock_2:_The_Final_Jam,Paul_Hoen
Tugs_(TV_series),Chris_Tulloch
The_Tiger_of_Circus_Farini,Uwe_Jens_Krafft
Never_Trust_a_Ghost,Jeremy_Summers
The_Daughters_of_Helena,Mariano_Ozores
"Sorry,_You_Can't_Get_Through!",Luca_Miniero
Jolly_LLB,Subhash_Kapoor
Dohchay,Sudheer_Varma
Big_School_(TV_series),Tony_Dow
Every_Other_Weekend_(film),Nicole_Garcia
Khandaan_(1979_film),Anil_Ganguly
Royal_Waltz,Jean_Grémillon
Lorna_Doone_(1922_film),Maurice_Tourneur
The_Man_Who_Knew_Too_Little,Jon_Amiel
Boundaries_of_the_Heart,Lex_Marinos
This_Sporting_Life,Lindsay_Anderson
The_Impostors,Stanley_Tucci
Crime_Time,Nassos_Vakalis
Maborosi,Hirokazu_Koreeda
The_Casual_Vacancy_(TV_series),Jonny_Campbell
Pride_and_Prejudice_(1995_TV_series),Simon_Langton_(television_director)
Looney_Tunes_Platinum_Collection:_Volume_1,Friz_Freleng
Mabel_Lost_and_Won,Mabel_Normand
The_Luck_of_Roaring_Camp_(1911_film),W._J._Lincoln
Who_Shaves_the_Barber%3F,Scott_Winant
Absurdistan_(film),Veit_Helmer
Two_O'Clock_Courage,Anthony_Mann
Dr._Jekyll_and_Mr._Hyde_(1913_film),Herbert_Brenon
So_You_Won't_Squawk!,Jules_White
Night_Train_to_Milan,Marcello_Baldi
Code_of_Honor_(Star_Trek:_The_Next_Generation),Russ_Mayberry
The_Final_Hour_(film),D._Ross_Lederman
Baadasssss!,Mario_Van_Peebles
Rest_Stop_(film),John_Shiban
It_Happened_in_the_Park,Vittorio_De_Sica
Tomie_(film_series),Shun_Nakahara
Riders_of_the_Range_(1923_film),Otis_B._Thayer
The_Burglar's_Dilemma,D._W._Griffith
The_Sea_Vultures,Victor_Sjöström
Road_to_Paloma,Jason_Momoa
"Monkeys,_Go_Home!",Andrew_V._McLaglen
The_Transporter_Refueled,Camille_Delamarre
"My_Sister,_My_Love_(film)",Vilgot_Sjöman
First_Orbit,Christopher_Riley
The_Broadway_Melody,Harry_Beaumont
Central_Airport_(film),William_A._Wellman
Date_Night,Shawn_Levy
Inquest_(1931_German_film),Robert_Siodmak
If_I_See_You_in_My_Dreams__ova__1,Hiroshi_Watanabe_(animator)
Black_Sea_(film),Kevin_Macdonald_(director)
Jayikkaanaay_Janichavan,J._Sasikumar
Winter_Kept_Us_Warm,David_Secter
The_Beautiful_Adventure_(1932_German-language_film),Reinhold_Schünzel
Help_Wanted_(1915_film),Hobart_Bosworth
Four_Nights_of_a_Dreamer,Robert_Bresson
Arabian_Nights_(2015_film),Miguel_Gomes_(director)
Shyloo,S._Narayan
Zameen_Aasmaan_(1984_film),Bharat_Rangachary
'Til_There_Was_You,Scott_Winant
En_Swasa_Kaatre,K._S._Ravi
Adventure_(1945_film),Victor_Fleming
Seilergasse_8,Joachim_Kunert
Subah_Ka_Tara,V._Shantaram
The_Lion_King_1½,Bradley_Raymond
Jo_and_the_Boy,Rojin_Thomas
Jack_Smith_and_the_Destruction_of_Atlantis,Mary_Jordan_(filmmaker)
Monarch_Douglas_Bank,Paul_A._Edwards
"The_Long,_Hot_Summer",Martin_Ritt
The_Happy_Time,Richard_Fleischer
The_Sixteen-Millimeter_Shrine,Mitchell_Leisen
The_Last_of_the_Finest,John_Mackenzie_(film_director)
Let_Me_Stand_Next_to_Your_Fire,Brad_Turner_(director)
"Mary_Latimer,_Nun",Bert_Haldane
Shavukaru,L._V._Prasad
The_Story_of_a_Three-Day_Pass,Melvin_Van_Peebles
Forbidden_Paths,Robert_Thornby
What_Is..._Cliff_Clavin%3F,Andy_Ackerman
Battling_Butler,Buster_Keaton
Cousinhood,Daniel_Sánchez_Arévalo
The_Throwback_(1935_film),Ray_Taylor_(director)
El_Topo,Alejandro_Jodorowsky
Hello_Brother_(1994_film),E._V._V._Satyanarayana
Kentucky_Kernels,George_Stevens
Lakshmanrekha,Sunil_Sikand
Black_Caesar_(film),Larry_Cohen
Westler,Wieland_Speck
Closet_Land,Radha_Bharadwaj
The_January_Man,Pat_O'Connor_(director)
Blue_City_(film),Michelle_Manning
Colossal_(film),Nacho_Vigalondo
Innerstate,Chris_Valentino
The_Little_Boy_Scout,Francis_J._Grandon
Xtro,Harry_Bromley_Davenport
Slacker_(film),Richard_Linklater
Mi_marido_y_mi_novio,Carlos_Schlieper
Silence_(2013_film),V._K._Prakash
Bloodline_(1979_film),Terence_Young_(director)
Heart_of_a_Siren,Phil_Rosen
Bolo_Na_Tumi_Aamar,Sujit_Mondal
Top_Secret_(1952_film),Mario_Zampi
Crooks_in_Cloisters,Jeremy_Summers
The_Lure_of_London,Bert_Haldane
Şeytan,Metin_Erksan
Angels_&_Insects,Philip_Haas
The_Orchestra_Conductor,Andrzej_Wajda
Summer_of_Sam,Spike_Lee
The_Accompanist,Claude_Miller
