The_Model_and_the_Marriage_Broker,George_Cukor
The_Swinging_Confessors,Marco_Vicario
Doors_Open_(film),Marc_Evans
Jerry-Go-Round,Chuck_Jones
A_Woman_in_the_Ultimate,Dell_Henderson
Grindhouse_(film),Rob_Zombie
The_Cavalier_(film),Irvin_Willat
Gul-e-Rana,Farooq_Rind
Piker's_Peak,Friz_Freleng
Family_Nest,Béla_Tarr
Stree_(1961_film),V._Shantaram
Poison_Ivy_(1992_film),Katt_Shea
Pig_(1998_film),Nico_B.
With_Beauty_and_Sorrow,Masahiro_Shinoda
Dies_rigorose_Leben,Vadim_Glowna
Your_Favorite_Story,Christian_Nyby
The_Great_Chess_Movie,Gilles_Carle
Death_Rides_the_Range,Sam_Newfield
Christmas_Rematch,Pupi_Avati
Easy_Rider,Dennis_Hopper
The_Yankee_Doodle_Mouse,William_Hanna
The_Moment_(1979_film),Gheorghe_Vitanidis
The_Sea_Wolf_(1941_film),Michael_Curtiz
Lord_Don't_Slow_Me_Down,Baillie_Walsh
Suhaag_Raat,Kidar_Sharma
Blade_Runner,Ridley_Scott
Smooth_as_Satin,Ralph_Ince
The_Recruiter_(2008_film),Edet_Belzberg
Good_Luck!,Aditya_Datt
Reveille_with_Beverly,Charles_Barton_(director)
Rikidōzan_(film),Song_Hae-sung
The_Pharaohs'_Woman,Victor_Tourjansky
Twin_Peaks_(2017_TV_series),David_Lynch
"Lock,_Stock_and_Two_Smoking_Barrels",Guy_Ritchie
Moulin_Rouge!,Baz_Luhrmann
Dandy_Dick,William_Beaudine
Till_Dad_Do_Us_Part,Randall_Miller
One_Last_Ride,Michael_Schur
Il_sogno_di_un_giorno,Augusto_Genina
I'll_Take_Romance_(film),Edward_H._Griffith
Chōriki_Sentai_Ohranger,Ryuta_Tasaki
Don't_Tell_the_Wife_(1927_film),Paul_L._Stein
Trusting_Is_Good..._Shooting_Is_Better,Osvaldo_Civirani
Blondie_Brings_Up_Baby,Frank_R._Strayer
The_Picture_of_Dorian_Gray_(1913_film),Phillips_Smalley
God's_Step_Children,Oscar_Micheaux
