TVP_Seriale,Poland
Fair_Trade_Commission_(Japan),Japan
Community_of_Royalist_People's_Party,Phnom_Penh
Royal_Air_Maroc,Casablanca
America_West_Airlines,"Tempe,_Arizona"
Naturelink_Aviation,South_Africa
Wales_Office,London
The_Electors'_Action_Movement,Vancouver
Qaumi_Watan_Party,Khyber_Pakhtunkhwa
French_Social_Party,Paris
National_Front_for_the_Salvation_of_Bulgaria,Bulgaria
Ministry_of_Civil_Affairs,Beijing
Workers'_Front_of_Catalonia,Barcelona
Naro_Space_Center,South_Jeolla_Province
Canadian_Colonial_Airways,Canada
Transports_Québec,Quebec_City
Marco_Island_Airways,Miami
José_Benito_Vives_de_Andréis_Marine_and_Coastal_Research_Institute,Colombia
John_E._Fogarty_International_Center,"Bethesda,_Maryland"
Jewish_Life_Television,New_York_City
Feel_Air,Bærum
Yilan_County_Government,Yilan_City
China_National_Tourism_Administration,Beijing
Britannia_Airways,United_Kingdom
Focus_News,Noida
Popular_Movement_of_the_Revolution,Kinshasa
Tara_Muzik,Bangladesh
Maurya_Tv,Bihar
Arab_Liberation_Front,State_of_Palestine
Envoy_Air,"Irving,_Texas"
Skai_TV,Greece
Dairy_Development_Authority,Kampala
Air_Tindi,Yellowknife
Kotleba_–_People's_Party_Our_Slovakia,Slovakia
Ministry_of_Foreign_Affairs_(Soviet_Union),Soviet_Union
Clinton_County_Board_(Illinois),"Carlyle,_Illinois"
General_Inspection_of_Security_Forces,Czech_Republic
Waltair_railway_division,Visakhapatnam
Swiftair_Bahrain,Bahrain
Webber_Wentzel,Johannesburg
Sky_Gate_International_Aviation,Jordan
Jaipur_City_Transport_Services_Limited,Rajasthan
Sierra_Leone_Ministry_of_Foreign_Affairs_and_International_Relations,Sierra_Leone
La_Compagnie,France
TV_Gelderland,Arnhem
Adirondack_Railway_(1976–81),"Old_Forge,_New_York"
Tigrayan_People's_Liberation_Front,Tigray_Region
Aeromist-Kharkiv,Ukraine
Oklahoma_Secretary_of_Safety_and_Security,Oklahoma_City
National_Airways_Gabon,Gabon
Movement_of_Democratic_Socialists,Athens
"Department_of_Sustainability,_Environment,_Water,_Population_and_Communities",Canberra
Jordan_Aviation,Jordan
Unis_(TV_channel),Montreal
Bureau_of_Industry_and_Security,United_States
Uganda_Atomic_Energy_Council,Kampala
Flyvista,Tbilisi
Executive_Office_of_the_President,White_House
CapeNature,"Athlone,_Cape_Town"
Navarrese_People's_Union,Pamplona
MountainWest_Sports_Network,"Colorado_Springs,_Colorado"
French_Blue_(airline),Paris
Okay_Airways,Beijing
Ministry_of_Oil_and_Gas_(Oman),"Muscat,_Oman"
Midwest_Connect,"Oak_Creek,_Wisconsin"
Executive_Yuan,Zhongzheng_District
Finncomm_Airlines,Finland
African_Christian_Democratic_Party,"Alberton,_Gauteng"
Aeropostal_Cargo_de_México,Mexico_City
Siem_Reap_Airways_International,Cambodia
UFC_Fight_Pass,Las_Vegas
Ministry_of_Social_Protection_(Colombia),Colombia
VH1_HD,Florida
AirAsia_Zest,Philippines
TOLOnews,Kabul
Fox_Sports_(Brazil),Rio_de_Janeiro
WDR_Fernsehen,Germany
Securities_and_Exchange_Commission_(Poland),Warsaw
Société_de_transport_de_Montréal,Canada
Queensland_Housing_Commission,Brisbane
Leonese_People's_Union,"León,_Spain"
Secret_Intelligence_Service,SIS_Building
4SD,San_Diego
Constitutionalist_Party_of_Iran,United_States
Air_Manchester,Manchester
Emrooz_TV,Kabul
Lake_Tahoe_Railway_and_Transportation_Company,"Truckee,_California"
Aerochile,Chile
RTV_Jablanica,"Jablanica,_Bosnia_and_Herzegovina"
United_States_Department_of_the_Interior,"Washington,_D.C."
SBS_funE,Seoul
Iraqi_National_Accord,London
CityJet,"Swords,_Dublin"
TiJi,Paris
Identity_and_Action,Italy
Sardinian_Action_Party,Sardinia
"Bureau_of_Standards,_Metrology_and_Inspection",Zhongzheng_District
Haiti_in_Action,Haiti
Islami_Jamiat-e-Talaba,Lahore
Zhezkazgan_Air,Kazakhstan
National_Institute_of_Electronics_(Pakistan),Pakistan
Air_Exel,Maastricht
BT_Sport,Queen_Elizabeth_Olympic_Park
Fox_Life_Greece,Greece
A&E_(Spain_and_Portugal),Madrid
BBC_Persian_Television,Broadcasting_House
Tiruchirappalli_BRTS,Tiruchirappalli
Mali_Air_Transport,Mali
Aeronorte,Brazil
