0.75,?a  <dbo:headquarter>  ?b   => ?a  <dbo:location>  ?b
0.72,?a  <dbo:location>  ?b   => ?a  <dbo:headquarter>  ?b
0.38,?a  <dbo:country>  ?b   => ?a  <dbo:headquarter>  ?b
0.36,?a  <dbo:locationCountry>  ?b   => ?a  <dbo:headquarter>  ?b
0.29,?a  <dbo:regionServed>  ?b   => ?a  <dbo:headquarter>  ?b
0.27,?f  <dbo:country>  ?b  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.27,?a  <dbo:headquarter>  ?b   => ?a  <dbo:regionServed>  ?b
0.25,?a  <dbo:headquarter>  ?b   => ?a  <dbo:broadcastArea>  ?b
0.23,?a  <dbo:broadcastArea>  ?b   => ?a  <dbo:headquarter>  ?b
0.22,?a  <dbo:headquarter>  ?b   => ?a  <dbo:locationCountry>  ?b
0.19,?a  <dbo:headquarter>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.13,?a  <dbo:headquarter>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.11,?a  <dbo:headquarter>  ?f  ?f  <dbo:isPartOf>  ?b   => ?a  <dbo:jurisdiction>  ?b
0.10,?b  <dbo:capital>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.09,?a  <dbo:headquarter>  ?b   => ?a  <dbo:jurisdiction>  ?b
0.08,?f  <dbo:country>  ?b  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.07,?a  <dbo:headquarter>  ?b   => ?a  <dbo:hubAirport>  ?b
0.05,?f  <dbo:headquarter>  ?b  ?a  <dbo:parentOrganisation>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.04,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:secretaryGeneral>  ?b
0.02,?b  <dbo:capital>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.02,?a  <dbo:headquarter>  ?f  ?b  <dbo:residence>  ?f   => ?a  <dbo:secretaryGeneral>  ?b
0.02,?a  <dbo:headquarter>  ?b   => ?a  <dbo:parentOrganisation>  ?b
0.01,?a  <dbo:headquarter>  ?b   => ?a  <dbo:targetAirport>  ?b
0.01,?a  <dbo:headquarter>  ?e  ?e  <dbo:leaderName>  ?b   => ?a  <dbo:leader>  ?b
0.01,?a  <dbo:affiliation>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:authority>  ?b
0.01,?b  <dbo:city>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:hubAirport>  ?b
0.01,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:splitFromParty>  ?b
0.01,?a  <dbo:headquarter>  ?f  ?b  <dbo:owner>  ?f   => ?a  <dbo:hubAirport>  ?b
0.01,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.01,?b  <dbo:headquarter>  ?f  ?a  <dbo:location>  ?f   => ?a  <dbo:politicalPartyInLegislature>  ?b
0.00,?b  <dbo:birthPlace>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:secretaryGeneral>  ?b
0.00,?a  <dbo:headquarter>  ?b   => ?a  <dbo:destination>  ?b
0.00,?e  <dbo:capital>  ?b  ?a  <dbo:headquarter>  ?e   => ?a  <dbo:destination>  ?b
0.00,?a  <dbo:country>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:splitFromParty>  ?b
0.00,?a  <dbo:country>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:sisterNewspaper>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:parentCompany>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?f  <dbo:largestCity>  ?b   => ?a  <dbo:destination>  ?b
0.00,?e  <dbo:country>  ?b  ?a  <dbo:headquarter>  ?e   => ?a  <dbo:destination>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?f  <dbo:officialLanguage>  ?a   => ?a  <dbo:languageRegulator>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?a  <dbo:locatedInArea>  ?f   => ?a  <dbo:maintainedBy>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?a  <dbo:location>  ?f   => ?a  <dbo:operatedBy>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?f  <dbo:regionalLanguage>  ?a   => ?a  <dbo:languageRegulator>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:location>  ?f   => ?a  <dbo:destination>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?f  <dbo:language>  ?a   => ?a  <dbo:languageRegulator>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:locationCity>  ?f   => ?a  <dbo:owningCompany>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:residence>  ?f   => ?a  <dbo:leader>  ?b
0.00,?b  <dbo:country>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:destination>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:location>  ?f   => ?a  <dbo:hubAirport>  ?b
0.00,?a  <dbo:country>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:schoolBoard>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:locationCountry>  ?f   => ?a  <dbo:owningCompany>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:europeanParliamentGroup>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?a  <dbo:location>  ?f   => ?a  <dbo:nrhpType>  ?b
0.00,?b  <dbo:birthPlace>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:chairperson>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:alliance>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:location>  ?f   => ?a  <dbo:owningCompany>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?b  <dbo:isPartOf>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.00,?b  <dbo:birthPlace>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:leader>  ?b
0.00,?a  <dbo:country>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:affiliation>  ?b
0.00,?b  <dbo:headquarter>  ?f  ?a  <dbo:spokenIn>  ?f   => ?a  <dbo:languageRegulator>  ?b
0.00,?a  <dbo:country>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:mayor>  ?b
0.00,?b  <dbo:country>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.00,?b  <dbo:country>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:splitFromParty>  ?b
0.00,?a  <dbo:countryOrigin>  ?f  ?b  <dbo:headquarter>  ?f   => ?a  <dbo:launchSite>  ?b
0.00,?b  <dbo:country>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:owningCompany>  ?b
0.00,?b  <dbo:country>  ?f  ?a  <dbo:headquarter>  ?f   => ?a  <dbo:hubAirport>  ?b
