,author,,,,,spouse,,,
,neg_bot100,pos_bot100,neg_top100,pos_top100,,neg_bot100,pos_bot100,neg_top100,pos_top100
Mean,27.345,20.6,65.29,36.155,,35.305,26.1,73.71,41.2
Median,27.75,22,47,30.75,,36.5,26.5,62.25,37
Standard Deviation,5.43,4.75,60.90,36.85,,8.08,3.82,49.96,10.49
Range,25,17.5,397.5,369.5,,37.5,15,469,52.5
Minimum,10,9,35,26.5,,11.5,16.5,49,32
Maximum,35,26.5,432.5,396,,49,31.5,518,84.5
Sum,2734.5,2060,6529,3615.5,,3530.5,2610,7371,4120
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,child,,,,,team,,,
,neg_bot100,pos_bot100,neg_top100,pos_top100,,neg_bot100,pos_bot100,neg_top100,pos_top100
Mean,38.745,25.735,78.965,43.465,,39.47,32.68,65.775,76.08
Median,38.25,26.5,75,38.5,,40.25,32,54,55.25
Standard Deviation,11.48,4.80,19.15,12.28,,4.77,7.25,32.06,53.40
Range,46,19,71,54,,20,24.5,226,260.5
Minimum,10,13,56.5,32,,26.5,20,46.5,44.5
Maximum,56,32,127.5,86,,46.5,44.5,272.5,305
Sum,3874.5,2573.5,7896.5,4346.5,,3947,3268,6577.5,7608
