Clipse,Pharrell_Williams
Metro-Goldwyn-Mayer,Marcus_Loew
V_Australia,Richard_Branson
LaSalle_(automobile),Alfred_P._Sloan
The_Springs_(band),Toby_Keith
Bayer,Friedrich_Bayer
International_Harvester,Benjamin_H._Warder
Victoria_University_Uganda,Martin_Aliker
Black_Flag_(band),Mike_Vallely
"Food_Future,_Inc.",Shen_Tong
Rising_Pune_Supergiants,Sanjiv_Goenka
Social_Democracy_of_the_Republic_of_Poland,Aleksander_Kwaśniewski
Gilas_Pilipinas,Manuel_V._Pangilinan
British_Society_for_Immunology,John_H._Humphrey
Beauty_Brands,Bob_Bernstein
Allen_Institute_for_Cell_Science,Paul_Allen
Brown_Bag_AllStars,50_Cent
Grabyo,Tony_Parker
New_People's_Party_(Hong_Kong),Michael_Tien
San_Miguel-Team_Pilipinas,Chot_Reyes
National_Security_and_Defense_Council_of_Ukraine,Petro_Poroshenko
Norilsk_Nickel,Roman_Abramovich
The_Boys'_Brigade_in_the_United_Kingdom_and_Republic_of_Ireland,Elizabeth_II
N_M_Rothschild_&_Sons,Nathan_Mayer_Rothschild
MSD_Capital,Michael_Dell
Felis_Creations,Sandesh_Kadur
Musashi_Junior_and_Senior_High_School,Nezu_Kaichirō
The_Ataris,Mark_Hoppus
Bangkok_Bank,Chin_Sophonpanich
Scott_Free_Productions,Ridley_Scott
Paradox_Press,Heidi_MacDonald
45th_General_Assembly_of_Newfoundland_and_Labrador,Danny_Williams_(politician)
Linkin_Park,Mike_Shinoda
Karachi_School_for_Business_and_Leadership,Hussain_Dawood
Caroline_Records,Richard_Branson
"3rd_Battalion,_The_Royal_Canadian_Regiment","Prince_Philip,_Duke_of_Edinburgh"
4th_Royal_Tank_Regiment,Elizabeth_II
Facebook,Chris_Hughes
AES_Corporation,Dennis_Bakke
7_Walkers,Willie_Nelson
Handley_Page_Transport,Frederick_Handley_Page
Daiei,Isao_Nakauchi
Frontier_Touring_Company,Michael_Gudinski
Cobra_Starship,Pete_Wentz
World_Wide_Fund_for_Nature,"Prince_Philip,_Duke_of_Edinburgh"
LSI_Corporation,Wilfred_Corrigan
Audio_Playground,Snoop_Dogg
McKinsey_&_Company,Marvin_Bower
"E_Company,_506th_Infantry_Regiment_(United_States)",Norman_Dike
Heatherette,Traver_Rains
Iron_Realms_Entertainment,Matt_Mihaly
American_Seafoods,Kjell_Inge_Røkke
Prometheus_Books,Paul_Kurtz
Unilever,James_Darcy_Lever
Pearl_Street_Films,Ben_Affleck
Fox_Broadcasting_Company,Rupert_Murdoch
Banana_Republic,Mel_Ziegler
Blackboard_Inc.,Stephen_Gilfus
Marvel_Comics,Martin_Goodman_(publisher)
Mindtree,Ashok_Soota
Parliament_of_Victoria,Elizabeth_II
JD_&_The_Straight_Shot,James_L._Dolan
Lurker_Films,H._P._Lovecraft
Fox_Television_Stations,Rupert_Murdoch
Concord_Pacific_Developments,Li_Ka-shing
Minnesota_Timberwolves,Glen_Taylor
Roxy_Music,Brian_Eno
Peach_(band),Justin_Chancellor
BlackBerry_Limited,Mike_Lazaridis
Ainbusk,Benny_Andersson
Al-Karamah_SC,Mohammed_Rahif_Hakmi
1_Field_Ambulance,"Anne,_Princess_Royal"
Svatantra_Microfinance,Kumar_Mangalam_Birla
Znanie_(publishing_company),Konstantin_Pyatnitsky
Maserati,Alfieri_Maserati
Scientific_Games_Corporation,John_Koza
Vertigo_(DC_Comics),Alan_Moore
Emirates_(airline),Ahmed_bin_Saeed_Al_Maktoum
Viacom_Media_Networks,Robert_Pittman_(media_executive)
BioMérieux,Alain_Mérieux
Station_Casinos,Lorenzo_Fertitta
"International_Management_Institute,_New_Delhi",Sanjiv_Goenka
Alcon_Entertainment,Andrew_Kosove
Star_TV_(Turkey),Ferit_Şahenk
Royal_Dragoon_Guards,"Charles,_Prince_of_Wales"
Treasure_Entertainment,Jack_L._Warner
Kumbia_All_Starz,Selena
Max_(comics),Joe_Quesada
Ryan_Adams_&_the_Cardinals,Willie_Nelson
The_Abraaj_Group,Arif_Naqvi
Emirates_(airline),Ahmed_bin_Saeed_Al_Maktoum
Altarea_SCA,Jacques_Nicolet
Royal_Welsh,Elizabeth_II
37_Signal_Regiment,"Anne,_Princess_Royal"
