Rossiya_Bank,Yury_Kovalchuk
Ingenious_Media,Patrick_McKenna_(Ingenious_Media)
Dornier_Flugzeugwerke,Claude_Dornier
Raymond_Ltd,Gautam_Singhania
Lightworkers_Media,Mark_Burnett
Society_for_Science_and_the_Public,Maya_Ajmera
Enjoi,Jerry_Hsu
Maine_Chance_Farm,Elizabeth_Arden
Better_Together_(campaign),Phil_Anderton
Saigol_DDC,Faisal_Saigol
Earthwood,Ernie_Ball
Banco_Continental_(Honduras),Jaime_Rosenthal
Thirrupathi_Brothers,N._Lingusamy
Filmation,Hal_Sutherland
Green_Packet,Puan_Chan_Cheong
Media_Vision,Ken_Nicholson
Hyatt,Mark_Hoplamazian
Post_Carbon_Institute,Debbie_Cook
Ubereats,Travis_Kalanick
Nintendo,Reggie_Fils-Aimé
Pell_Frischmann,Wilem_Frischmann
KPMG,John_B._Veihmeyer
Empire_International_Pictures,Charles_Band
Lackawanna_Steel_Company,William_Walker_Scranton
Clamp_(manga_artists),Satsuki_Igarashi
Haier,Zhang_Ruimin
Western_Heritage_Furniture,Tim_McClellan
Albright_Stonebridge_Group,Carlos_Gutierrez
Blue_Valley_Creamery_Company,Huston_Wyeth
Global_Editors_Network,Paul_Steiger
Ariel_Motorcycles,Jack_Sangster
Omaha_Traction_Company,Gurdon_Wattles
Southern_Company,Thomas_A._Fanning
Ewing_family_(television),Cliff_Barnes
Rossiya_Segodnya,Margarita_Simonyan
Abu_Dhabi_Investment_Authority,Khalifa_bin_Zayed_Al_Nahyan
Steen_&_Strøm,Peter_Arne_Ruzicka
Avidyne_Corporation,Daniel_J._Schwinn
"Palm,_Inc.",Jon_Rubinstein
Azteca_Productions,Richard_Dominguez
Woodham_Brothers,Dai_Woodham
Walt_Disney_Studios_(division),Alan_F._Horn
Sculptured_Software,Bryan_Brandenburg
Jollibee,Tony_Tan_(entrepreneur)
Cadbury,John_Cadbury
Severud_Associates,Hannskarl_Bandel
Aluminum_Corporation_of_China_Limited,Ge_Honglin
Artha_Group,Suresh_Rangarajan
Opsware,John_O'Farrell_(venture_capitalist)
CBS_Corporation,Sumner_Redstone
Koch_Industries,Charles_Koch
GungHo_Online_Entertainment,Taizo_Son
