The_Old_Path_(TOP)_Channel,Daniel_Razon
Abdullah_AlOthaim_Markets,Abdullah_Al-Othaim
Latvijas_Balzams,Aigars_Kalvītis
Provident_Bank_of_New_Jersey,Dudley_S._Gregory
The_Pokémon_Company,Akira_Chiba
June_(company),Nikhil_Bhogal
Alphabet_Inc.,Eric_Schmidt
Standard_Oil,John_D._Rockefeller
Alaska_Native_Arts_Foundation,Mary_Sattler
HSBC_Bank_India,Naina_Lal_Kidwai
Mukta_A2_Cinemas,Subhash_Ghai
DP_World,Sultan_Ahmed_bin_Sulayem
Infosys,Vishal_Sikka
Xiph.Org_Foundation,Jack_Moffitt
Remstar,Maxime_Rémillard
Yahoo!,Maynard_Webb
Saatchi_&_Saatchi,Kevin_Roberts_(businessman)
Sneath_Glass_Company,Henry_Crimmel
Global_Television_Network,Troy_Reeb
Charlton_Comics,Pat_Masulli
Cosgrove_Hall_Films,Brian_Cosgrove
John_Paul_Mitchell_Systems,John_Paul_DeJoria
Bellville_Sassoon,David_Sassoon_(designer)
Snap_Fitness,Peter_Taunton
TJ_Morris,Tom_Morris_(businessman)
Wegelin_&_Co.,Konrad_Hummler
Meggitt,Nigel_Rudd
Oilers_Entertainment_Group,Bob_Nicholson_(ice_hockey)
Radius_(hardware_company),Burrell_Smith
Orkla_Group,Peter_Arne_Ruzicka
Thomas_Weisel_Partners,Thom_Weisel
UKFast,Lawrence_Jones_(businessman)
E._V_.V._Cinema,Allari_Naresh
Zaggora,Dessi_Bell
American_Innovators_for_Patent_Reform,Pat_Choate
Heritage_International_Ministries,Rick_Joyner
Global_Pastors_Network,John_C._Maxwell
Consolidated_Contractors_Company,Said_Khoury
Telecom_Italia,Giuseppe_Recchi
EllisDon,Geoff_Smith_(businessman)
NPR_controversies,Kevin_Klose
British_Motor_Corporation,Leonard_Lord
MedHelp,Francis_deSouza
June_(company),Matt_Van_Horn
Bloggingheads.tv,Will_Wilkinson
Glock_Ges.m.b.H.,Gaston_Glock
Bruegger's,Nordahl_Brue
Hall_Communications,Robert_M._Hall
Abdullah_AlOthaim_Markets,Yousef_Algafari
Admiral_Group,David_Stevens_(businessman)
Netflix,Ted_Sarandos
Hollard_Group,Dick_Enthoven
Jamnica_(company),Ivica_Todorić
THX,Tomlinson_Holman
Legend_Entertainment,Steve_Meretzky
ABRSM,Colette_Bowe
Eaton's,Flora_Eaton
National_Amusements,Shari_Redstone
