0.93,?b  <dbo:keyPerson>  ?f  ?a  <dbo:promotion>  ?f   => ?a  <dbo:promotion>  ?b
0.66,?b  <dbo:keyPerson>  ?a   => ?a  <dbo:employer>  ?b
0.57,?a  <dbo:designer>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:manufacturer>  ?b
0.47,?b  <dbo:occupation>  ?a   => ?a  <dbo:keyPerson>  ?b
0.46,?b  <dbo:keyPerson>  ?f  ?a  <dbo:owningOrganisation>  ?f   => ?a  <dbo:owningOrganisation>  ?b
0.46,?b  <dbo:keyPerson>  ?f  ?a  <dbo:owner>  ?f   => ?a  <dbo:owningOrganisation>  ?b
0.39,?a  <dbo:foundedBy>  ?b   => ?a  <dbo:keyPerson>  ?b
0.28,?a  <dbo:gameArtist>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:gameArtist>  ?b
0.27,?a  <dbo:designer>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:developer>  ?b
0.24,?e  <dbo:keyPerson>  ?b  ?e  <dbo:product>  ?a   => ?a  <dbo:designer>  ?b
0.24,?a  <dbo:gameArtist>  ?f  ?f  <dbo:keyPerson>  ?b   => ?a  <dbo:gameArtist>  ?b
0.15,?a  <dbo:developer>  ?e  ?e  <dbo:keyPerson>  ?b   => ?a  <dbo:designer>  ?b
0.15,?a  <dbo:developer>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:gameArtist>  ?b
0.14,?e  <dbo:keyPerson>  ?b  ?a  <dbo:manufacturer>  ?e   => ?a  <dbo:designer>  ?b
0.14,?a  <dbo:company>  ?e  ?e  <dbo:keyPerson>  ?b   => ?a  <dbo:executiveProducer>  ?b
0.12,?a  <dbo:composer>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:gameArtist>  ?b
0.11,?e  <dbo:keyPerson>  ?b  ?a  <dbo:owner>  ?e   => ?a  <dbo:owningOrganisation>  ?b
0.11,?e  <dbo:keyPerson>  ?b  ?a  <dbo:owningOrganisation>  ?e   => ?a  <dbo:owningOrganisation>  ?b
0.10,?a  <dbo:keyPerson>  ?b   => ?a  <dbo:owningCompany>  ?b
0.09,?b  <dbo:keyPerson>  ?a   => ?a  <dbo:board>  ?b
0.08,?a  <dbo:keyPerson>  ?b   => ?a  <dbo:foundedBy>  ?b
0.08,?a  <dbo:keyPerson>  ?f  ?f  <dbo:occupation>  ?b   => ?a  <dbo:parentCompany>  ?b
0.07,?b  <dbo:keyPerson>  ?f  ?f  <dbo:occupation>  ?a   => ?a  <dbo:subsidiary>  ?b
0.06,?b  <dbo:keyPerson>  ?f  ?a  <dbo:publisher>  ?f   => ?a  <dbo:gameArtist>  ?b
0.05,?f  <dbo:keyPerson>  ?b  ?a  <dbo:publisher>  ?f   => ?a  <dbo:designer>  ?b
0.05,?a  <dbo:developer>  ?f  ?f  <dbo:keyPerson>  ?b   => ?a  <dbo:gameArtist>  ?b
0.04,?f  <dbo:keyPerson>  ?b  ?a  <dbo:manufacturer>  ?f   => ?a  <dbo:designCompany>  ?b
0.02,?a  <dbo:developer>  ?e  ?e  <dbo:keyPerson>  ?b   => ?a  <dbo:developer>  ?b
0.02,?b  <dbo:keyPerson>  ?f  ?a  <dbo:owningCompany>  ?f   => ?a  <dbo:owningCompany>  ?b
0.02,?f  <dbo:keyPerson>  ?b  ?a  <dbo:promotion>  ?f   => ?a  <dbo:promotion>  ?b
0.01,?f  <dbo:keyPerson>  ?b  ?a  <dbo:owningCompany>  ?f   => ?a  <dbo:owningCompany>  ?b
0.01,?f  <dbo:keyPerson>  ?b  ?a  <dbo:publisher>  ?f   => ?a  <dbo:gameArtist>  ?b
0.01,?b  <dbo:foundedBy>  ?f  ?a  <dbo:keyPerson>  ?f   => ?a  <dbo:subsidiary>  ?b
0.00,?a  <dbo:foundedBy>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:subsidiary>  ?b
0.00,?a  <dbo:keyPerson>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:subsidiary>  ?b
0.00,?a  <dbo:keyPerson>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:parentCompany>  ?b
0.00,?a  <dbo:keyPerson>  ?f  ?b  <dbo:keyPerson>  ?f   => ?a  <dbo:owningCompany>  ?b
