1.00,?a  <dbo:deathPlace>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:sportCountry>  ?b
1.00,?a  <dbo:largestCity>  ?b  ?b  <dbo:region>  ?a   => ?a  <dbo:countySeat>  ?b
0.97,?b  <dbo:isPartOf>  ?a  ?a  <dbo:largestCity>  ?b   => ?a  <dbo:countySeat>  ?b
0.97,?a  <dbo:largestCity>  ?b   => ?a  <dbo:countySeat>  ?b
0.70,?a  <dbo:countySeat>  ?b   => ?a  <dbo:largestCity>  ?b
0.50,?a  <dbo:birthPlace>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:sportCountry>  ?b
0.46,?a  <dbo:largestCity>  ?b   => ?a  <dbo:capital>  ?b
0.43,?a  <dbo:capital>  ?b   => ?a  <dbo:largestCity>  ?b
0.35,?b  <dbo:largestCity>  ?f  ?a  <dbo:placeOfBurial>  ?f   => ?a  <dbo:placeOfBurial>  ?b
0.28,?e  <dbo:largestCity>  ?b  ?a  <dbo:premierePlace>  ?e   => ?a  <dbo:premierePlace>  ?b
0.20,?a  <dbo:billed>  ?f  ?f  <dbo:largestCity>  ?b   => ?a  <dbo:billed>  ?b
0.19,?a  <dbo:headquarter>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.19,?b  <dbo:largestCity>  ?f  ?a  <dbo:location>  ?f   => ?a  <dbo:jurisdiction>  ?b
0.18,?f  <dbo:largestCity>  ?b  ?a  <dbo:placeOfBurial>  ?f   => ?a  <dbo:placeOfBurial>  ?b
0.18,?f  <dbo:largestCity>  ?b  ?a  <dbo:region>  ?f   => ?a  <dbo:municipality>  ?b
0.17,?a  <dbo:city>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:mouthCountry>  ?b
0.14,?a  <dbo:deathPlace>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:placeOfBurial>  ?b
0.13,?a  <dbo:headquarter>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:nationalAffiliation>  ?b
0.13,?a  <dbo:assembly>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:assembly>  ?b
0.12,?a  <dbo:billed>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:billed>  ?b
0.11,?a  <dbo:birthPlace>  ?f  ?b  <dbo:largestCity>  ?f   => ?a  <dbo:billed>  ?b
0.11,?a  <dbo:birthPlace>  ?e  ?e  <dbo:largestCity>  ?b   => ?a  <dbo:billed>  ?b
0.06,?a  <dbo:assembly>  ?e  ?e  <dbo:largestCity>  ?b   => ?a  <dbo:assembly>  ?b
0.04,?b  <dbo:largestCity>  ?f  ?a  <dbo:premierePlace>  ?f   => ?a  <dbo:premierePlace>  ?b
0.03,?a  <dbo:country>  ?f  ?f  <dbo:largestCity>  ?b   => ?a  <dbo:garrison>  ?b
0.03,?b  <dbo:region>  ?a   => ?a  <dbo:largestCity>  ?b
0.02,?b  <dbo:isPartOf>  ?a   => ?a  <dbo:largestCity>  ?b
0.00,?a  <dbo:headquarter>  ?f  ?f  <dbo:largestCity>  ?b   => ?a  <dbo:destination>  ?b
0.00,?b  <dbo:country>  ?a   => ?a  <dbo:largestCity>  ?b
0.00,?a  <dbo:deathPlace>  ?f  ?f  <dbo:largestCity>  ?b   => ?a  <dbo:placeOfBurial>  ?b
