TrekkSoft,Switzerland
Hitachi_Maxell,Kyoto_Prefecture
Lightspeed_Venture_Partners,California
Papaya_Studio,California
Michels_Corporation,"Brownsville,_Wisconsin"
WFFP-TV,"Lynchburg,_Virginia"
Mello_Music_Group,"Tucson,_Arizona"
Fresh_TV,Toronto
Advocacy_for_Respect_for_Cyclists,Canada
Sanyo,"Moriguchi,_Osaka"
KMEG,"Sioux_City,_Iowa"
Cournil,Aurillac
Fortis_Insurance_Asia,China
Rock_Port_High_School,"Rock_Port,_Missouri"
Victorian_Legislative_Council,"Parliament_House,_Melbourne"
New_Zealand_Midland_Railway_Company,"Nelson,_New_Zealand"
Mshasho_Clothing,Namibia
Arkansas_Department_of_Parks_and_Tourism,Arkansas
J_&_J_Snack_Foods,United_States
FLMNE,Paris
Boylesports,Dundalk
Semperit,Vienna
Salem_City_School_District_(Ohio),"Salem,_Ohio"
Palo_Alto_Medical_Foundation,United_States
National_Intelligence_Coordinating_Agency,Philippines
Finta,São_Paulo_(state)
Dekra,Germany
Bay_Shipbuilding_Company,Wisconsin
Telenor_Hungary,Hungary
Consortium_on_Financial_Systems_and_Poverty,Chicago
De_La_Salle_College_Dundalk,Dundalk
Exit_International,London
In_Other_Words_Feminist_Community_Center,"Portland,_Oregon"
Team_LeMans,Tokyo
Akershus_Energi,Sørum
B2M_Entertainment,Seoul
EFG-Hermes,Qatar
William_Rast,Los_Angeles
Midway_Austin,"Austin,_Texas"
Hokkaido_Television_Broadcasting,"Toyohira-ku,_Sapporo"
National_Fatherhood_Initiative,Maryland
Brightlands_School,India
Keene_High_School,"Keene,_New_Hampshire"
CJ_GLS,Seoul
Black_Isle_Brewery,Munlochy
Monitor_Deloitte,United_States
Conn-Selmer,"Elkhart,_Indiana"
Metronapoli,Italy
Filmklik,Hungary
1-800-Flowers,United_States
Yio_Chu_Kang_Secondary_School,Ang_Mo_Kio
Sparx_Systems,Victoria_(Australia)
Wescom_Credit_Union,United_States
Salesforce.com,Southern_Pacific_Building
Lusafrica,France
Bloober_Team,Kraków
Olympic_Delivery_Authority,Canary_Wharf
"Vuze,_Inc.",United_States
Unibet_Group,Malta
BusinessObjects,"San_Jose,_California"
Infestdead_Records,India
Visalia_Electric_Railroad,"Tulare_County,_California"
KM_Group,Kent
WBXP-LP,"Memphis,_Tennessee"
Trams_in_Malmö,Sweden
Bay_Ferries,Canada
CDT_'Smyk'_Department_Store,Aleje_Jerozolimskie
Thermax,India
Prattville_High_School,"Prattville,_Alabama"
Unison_Healthcare_Group,Taiwan
TradingScreen,New_York
Internet_Gold_Golden_Lines,Ramat_Gan
"Holy_Cross,_Vellore",Tamil_Nadu
Westbury_(housebuilder),Gloucestershire
Metro_Academic_and_Classical_High_School,Missouri
Ministry_of_Foreign_Affairs_(Estonia),Tallinn
Wayne_Hills_High_School,New_Jersey
BlueLine_Rental,Texas
Brookville_High_School_(Virginia),"Lynchburg,_Virginia"
Mace_(company),London
Banco_Real,Brazil
DeVry_Education_Group,"Downers_Grove,_Illinois"
Franciscan_Montessori_Earth_School_&_Saint_Francis_Academy,"Portland,_Oregon"
Congress_of_the_Republic_of_Peru,Lima_District
Commer,Luton
EZTABLE,Taiwan
BTNH_Worldwide,Cleveland
Mihai_Eminescu_National_College_(Oradea),Bihor_County
New_Rochelle_High_School,"New_Rochelle,_New_York"
E.N.V._Motor_Syndicate,Paris
Half_a_Cow,"Strawberry_Hills,_New_South_Wales"
Ventura_High_School,United_States
Immune_Therapy_Holdings,Stockholm
Armstrong-CCM_Motorcycles,Bolton
Ocimum_Bio_Solutions,Indianapolis
Media-Providence_Friends_School,"Media,_Pennsylvania"
Century_21_(department_store),New_York_City
Mastretta,Mexico_City
Méditel,Morocco
ShuttleCloud,Chicago
Cleveland_Bridge_&_Engineering_Company,Darlington
Phase_3_Telecom,Abuja
"St_Joseph's_College,_Upholland",Upholland
America's_Incredible_Pizza_Company,Missouri
Borealis,Austria
ANEK_Lines,Crete
KPTV,"Portland,_Oregon"
Artemis_(fund_managers),Edinburgh
Lakelands_Park_Middle_School,"Gaithersburg,_Maryland"
Junkers,Germany
Bogatyr_Access_Komir,Ekibastuz
Grasshopper_Manufacture,"Chiyoda,_Tokyo"
Steamboat_Mountain_School,Colorado
Genius_Factor_Games,North_Vancouver_(city)
Maharashtra_Tourism_Development_Corporation,India
WTJP-TV,"Birmingham,_Alabama"
Pallacanestro_Trapani,Sicily
Vente-privee.com,France
Electromagnetic_Geoservices,Norway
CB_Villa_de_Los_Barrios,Andalusia
Shun_Tak_Holdings,China
NAZ_(studio),"Musashino,_Tokyo"
Private_Security_and_Intelligence_Service,Cologne
WDCQ-TV,"Bad_Axe,_Michigan"
Technical_Education_and_Skills_Development_Authority,Philippines
United_Rugby_Club,Coquitlam
"Decentralized_Administration_of_Peloponnese,_Western_Greece_and_the_Ionian",Western_Greece
Hapoel_Eilat_B.C.,Israel
Moonlee_Records,Slovenia
"Loreto_College,_Foxrock",Foxrock
SimplexGrinnell,"Westminster,_Massachusetts"
CPS_Energy,Texas
Hampton_by_Hilton,Tennessee
Unité_permanente_anticorruption,Montreal
KDJT-CD,"Salinas,_California"
DreamBox_(company),"Bellevue,_Washington"
BrightFocus_Foundation,Maryland
Quickplay_Media,Canada
Northumberland_Brewery,Bedlington
SFCG_Co.,"Chūō,_Tokyo"
Dave_Smith_Instruments,San_Francisco
Chimney_Sweep_Records,"Blacksburg,_Virginia"
Advisors_Asset_Management,"Monument,_Colorado"
Nordzucker,Germany
Mininova,Netherlands
Department_of_Social_Security_(United_Kingdom),Leeds
Iobox,London
Nottingham_High_School_(New_Jersey),New_Jersey
KRIS-DT2,"Corpus_Christi,_Texas"
Ardagh_Group,Luxembourg
Feelplus,Tokyo
Santos_Limited,Adelaide
Computer_Automation,"Richardson,_Texas"
RC_Qanot,Uzbekistan
Eitzen_Group,Norway
Izegem_Tribes,Izegem
CT_(company),United_States
The_Hit_House_Music,"Torrance,_California"
Netherlands_Development_Finance_Company,The_Hague
Froebel's_International_School,Rawalpindi
T._C._Roberson_High_School,"Asheville,_North_Carolina"
Taranto_Cras_Basket,Taranto
AdMob,California
AF_Holding,Baku
Glenorchy_Rugby_Union_Football_Club,Tasmania
Office_of_the_Attorney_General_of_Colombia,Colombia
