Brian_Boru,Gormflaith_ingen_Murchada
"Philip_I,_Duke_of_Burgundy","Margaret_III,_Countess_of_Flanders"
"Elisabeth_of_Bavaria,_Queen_of_Germany",Conrad_IV_of_Germany
Stanley_Bruce,George_V
Emperor_Ai_of_Han,Emperor_Ping_of_Han
Jeanne_d'Albret,"William,_Duke_of_Jülich-Cleves-Berg"
Betty_McGlown,Diana_Ross
Bagrat_II_of_Iberia,Gurgen_of_Iberia
Elisabeth_Jerichau-Baumann,Louise_of_Hesse-Kassel
Maria_Antonia_Koháry_de_Csábrág,Prince_Ferdinand_of_Saxe-Coburg_and_Gotha
Laygyun_Mibaya,Shin_Myo_Myat
Kinh_Dương_Vương,Lạc_Long_Quân
Robert_Bergland,Jimmy_Carter
"John_II,_Duke_of_Saxe-Lauenburg","Albert_II,_Duke_of_Saxony"
Fumio_Gotō,Hirohito
Prince_Leopold_of_Bavaria,August_von_Mackensen
John_Sparrow_David_Thompson,"John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair"
Hossein_Marashi,Akbar_Hashemi_Rafsanjani
Princess_Maria_di_Grazia_of_Bourbon-Two_Sicilies,Prince_Luís_of_Orléans-Braganza_(1878–1920)
Mackenzie_Bowell,Queen_Victoria
Charles_Duncan_Griffith,Queen_Victoria
Erik_Erikson,Sigmund_Freud
Attalus_I,Eumenes_II
Keawemauhili,Ululani
"Francis_II,_Duke_of_Lorraine",Christina_of_Salm
Maria_Carolina_of_Austria,Maria_Amalia_of_Saxony
Norodom_Ranariddh,Norodom_Sihanouk
Henry_VII_of_England,Richard_III_of_England
Ang_Mey,Ang_Duong
Luís_I_of_Portugal,Maria_Pia_of_Savoy
Autumn_Phillips,Elizabeth_II
Marie_of_Hesse-Kassel,Caroline_Matilda_of_Great_Britain
Sajjad_Zaheer,Nadira_Babbar
Sancho_I_of_León,Teresa_Ansúrez
"Mary,_Queen_of_Hungary","Sigismund,_Holy_Roman_Emperor"
Henry_Joseph_O'Leary,Louis_James_O'Leary
"Eleanor_of_Aragon,_Queen_of_Castile",Beatrice_of_Portugal
John_II_of_Aragon_and_Navarre,Charles_III_of_Navarre
René-Édouard_Caron,Queen_Victoria
Kapaakea,James_Kaliokalani
Elisabeth_Therese_of_Lorraine,Polyxena_of_Hesse-Rotenburg
"Georg,_Duke_of_Saxe-Altenburg",Duchess_Marie_Louise_of_Mecklenburg-Schwerin
Philip_II_of_Macedon,Philip_III_of_Macedon
"James_Cecil,_1st_Marquess_of_Salisbury",George_IV_of_the_United_Kingdom
Anna_of_Saxe-Wittenberg,"Balthasar,_Landgrave_of_Thuringia"
Princess_Louise_of_Orléans,Princess_Maria_de_la_Esperanza_of_Bourbon-Two_Sicilies
Legacy_of_Pedro_II_of_Brazil,Princess_Leopoldina_of_Brazil
"Valdemar,_King_of_Sweden",Ingeborg_of_Sweden_(1263–1292)
Ivan_Kőszegi,Peter_I_Csák
Isabella_of_Ibelin_(died_1315),Alix_of_Ibelin
Caroline_of_Baden,Therese_of_Saxe-Hildburghausen
Ali,Hasan_ibn_Ali
"John_Henry,_Margrave_of_Moravia","Charles_IV,_Holy_Roman_Emperor"
Mesut_Yılmaz,Ali_Bozer
Karen_L._Henderson,Ronald_Reagan
Taejo_of_Joseon,Taejong_of_Joseon
"Albert_VII,_Archduke_of_Austria",Philip_II_of_Spain
Hoapili,Keōpūolani
