"Prince_Amedeo,_Duke_of_Aosta",Princess_Anne_of_Orléans
Clyde_Tolson,Richard_Nixon
Kathleen_Troia_McFarland,Richard_Nixon
"Lavinia_Spencer,_Countess_Spencer",Ignatius_Spencer
Princess_Dorothea_of_Schleswig-Holstein-Sonderburg-Beck,"George_Frederick_Charles,_Margrave_of_Brandenburg-Bayreuth"
"John,_Margrave_of_Brandenburg-Küstrin",Elisabeth_of_Brandenburg-Küstrin
Geraldine_Rockefeller_Dodge,Marcellus_Hartley_Dodge_Sr.
Bayin_Htwe,Chit_Mi_of_Prome
Nayef_bin_Abdul-Aziz_Al_Saud,Sultan_bin_Abdulaziz
Sumbat_I_of_Iberia,Bagrat_II_of_Iberia
"Charles_Cornwallis,_2nd_Marquess_Cornwallis",George_III_of_the_United_Kingdom
"Beatrice_of_Castile,_Marchioness_of_Montferrat","John_I,_Marquess_of_Montferrat"
Talhah,Muhammad
Margarita_Armstrong-Jones,Elizabeth_II
Cynthia_Efird,George_W._Bush
Tupou_VI,Nanasipauʻu_Tukuʻaho
Irene_of_Hungary,Manuel_I_Komnenos
Juliana_of_the_Netherlands,Beatrix_of_the_Netherlands
"Leopold,_Duke_of_Lorraine","Francis_I,_Holy_Roman_Emperor"
"William_J._Haynes,_II",George_H._W._Bush
Izabela_Czartoryska,Adam_Jerzy_Czartoryski
William_I_of_Württemberg,Pauline_Therese_of_Württemberg
Rudolf_I_of_Germany,Albert_I_of_Germany
Tamar_of_Georgia,George_IV_of_Georgia
Gunnar_Nordström,Albert_Einstein
"Margaret_of_Huntingdon,_Duchess_of_Brittany","Constance,_Duchess_of_Brittany"
Gladys_Mills_Phipps,Ogden_Phipps
"Ernest,_Landgrave_of_Hesse-Rheinfels","William,_Landgrave_of_Hesse-Rotenburg"
Sibylle_of_Brandenburg,Maria_of_Jülich-Berg
John_Black_Aird,Elizabeth_II
"Princess_Louise,_Duchess_of_Argyll","Hariot_Hamilton-Temple-Blackwood,_Marchioness_of_Dufferin_and_Ava"
"Maud,_Countess_of_Huntingdon",Waltheof_of_Melrose
Hugh_X_of_Lusignan,Isabella_of_Lusignan
Bob_Heffron,Elizabeth_II
Pierre_de_Chambrun,Charles_de_Chambrun_(1875–1952)
"Albert,_Duke_of_Schleswig-Holstein","Friedrich_Ferdinand,_Duke_of_Schleswig-Holstein"
Abdullah_bin_Musa'ed_bin_Abdulaziz_Al_Saud,Ibn_Saud
"Przemysław_II,_Duke_of_Cieszyn",Hedwig_of_Cieszyn
Hind_bint_Utbah,Muawiyah_I
Abdullah_ibn_Abdul-Muttalib,Muhammad
Elżbieta_Sieniawska,Maria_Zofia_Czartoryska
"William_I,_Margrave_of_Meissen","Frederick_I,_Elector_of_Saxony"
"Charles_Frederick,_Grand_Duke_of_Saxe-Weimar-Eisenach","Charles_Alexander,_Grand_Duke_of_Saxe-Weimar-Eisenach"
Ludvig_Bergh,Olaf_Mørch_Hansson
Ivan_II_of_Moscow,Simeon_of_Moscow
Catherine_of_Vendôme,"John_I,_Count_of_La_Marche"
"Valentina_Visconti,_Duchess_of_Orléans","Charles,_Duke_of_Orléans"
Ana_Bagration-Gruzinsky,David_Bagration_of_Mukhrani
Constance_of_Castile,Eleanor_of_Aquitaine
"Elizabeth_de_Badlesmere,_Countess_of_Northampton","William_de_Bohun,_1st_Earl_of_Northampton"
"Frederick_III,_Duke_of_Holstein-Gottorp",Frederick_III_of_Denmark
Joseph_Royal,Queen_Victoria
"Maurice_FitzGerald,_18th_Knight_of_Kerry",George_III_of_the_United_Kingdom
Schuyler_Hamilton,Alexander_Hamilton
El_Potro_de_Sinaloa,Jenni_Rivera
"Dorothea_Maria_of_Saxe-Weimar,_Duchess_of_Saxe-Zeitz",Erdmuthe_Dorothea_of_Saxe-Zeitz
Loïc_Wacquant,Pierre_Bourdieu
"Georg_Alexander,_Duke_of_Mecklenburg",Archduchess_Ilona_of_Austria
Richard_I_of_Normandy,Emma_of_Normandy
Ludwig_III_of_Bavaria,Maria_Theresa_of_Austria-Este_(1849–1919)
Maria_Leopoldina_of_Austria,Pedro_II_of_Brazil
"Louis_Victor,_Prince_of_Carignano",Princess_Marie_Louise_of_Savoy
Lucy_H._Koh,Arnold_Schwarzenegger
Henry_William_Stisted,Queen_Victoria
Joe_Clark,Elizabeth_II
Joel_Fredrick_Dubina,Ronald_Reagan
Magdalena_Wilhelmine_of_Württemberg,"Charles_III_William,_Margrave_of_Baden-Durlach"
"Ingeborg_of_Denmark,_Queen_of_France",Blanche_of_Castile
Princess_Marie_of_Hohenzollern-Sigmaringen,Prince_Baudouin_of_Belgium
"Archibald_Montgomerie,_13th_Earl_of_Eglinton",Queen_Victoria
"Henry_Petty-Fitzmaurice,_3rd_Marquess_of_Lansdowne",Queen_Victoria
Sharon_Davis,Maria_Shriver
Thorvald_Astrup,Sigurd_Astrup
"Elizabeth_of_Vermandois,_Countess_of_Leicester","Robert_de_Beaumont,_1st_Earl_of_Leicester"
Carole_Shorenstein_Hays,Joan_Shorenstein
Jill_King,Billy_Ray_Cyrus
