Otto_Christian_Archibald_von_Bismarck,Herbert_von_Bismarck
Geoffrey_II_of_Villehardouin,Geoffrey_I_of_Villehardouin
Ansel_Elgort,Arthur_Elgort
Kilij_Arslan_IV,Kaykhusraw_II
Franz_Karl_of_Auersperg,Johann_Weikhard_of_Auersperg
Margaret_of_Brandenburg_(1450–1489),"Catherine_of_Saxony,_Electress_of_Brandenburg"
Jonathan_Hornblower_(1717),Joseph_Hornblower
Asaf-ud-Daula,Shuja-ud-Daula
Princess_Lalla_Aicha_of_Morocco,Lalla_Abla_bint_Tahar
Edith_Rockefeller_McCormick,Laura_Spelman_Rockefeller
Erling_Lorentzen,Øivind_Lorentzen
Maxime_de_la_Falaise,Oswald_Birley
Lutf_Allah_(Sarbadar),Wajih_ad-Din_Mas'ud
Marina_Hands,Terry_Hands
"Maria_of_Brabant,_Duchess_of_Bavaria","Henry_II,_Duke_of_Brabant"
"Prince_Pieter-Christiaan_of_Orange-Nassau,_van_Vollenhoven",Pieter_van_Vollenhoven
"Simon_VI,_Count_of_Lippe","Bernhard_VIII,_Count_of_Lippe"
"Gerhard_VII,_Duke_of_Jülich-Berg","William_VIII_of_Jülich,_Count_of_Ravensberg"
Shazahn_Padamsee,Alyque_Padamsee
Konstancja_Ligęza,Mikołaj_Spytek_Ligęza
Ali,Abu_Talib_ibn_Abd_al-Muttalib
"Isabella_of_Aragon,_Queen_of_Portugal",Isabella_I_of_Castile
Juraj_IV_Zrinski,Nikola_Šubić_Zrinski
Maria_Clotilde_of_Naples_and_Sicily,Maria_Carolina_of_Austria
Ingeborg_of_Mecklenburg-Schwerin,"Albert_II,_Duke_of_Mecklenburg"
Duchess_Marie_Gabrielle_in_Bavaria,Infanta_Maria_Josepha_of_Portugal
"Frederick_I,_Count_of_Vaudémont","John_I,_Duke_of_Lorraine"
Osvát_Szilágyi,Ladislaus_Szilágyi
Lorinda_de_Roulet,Joan_Whitney_Payson
"Simon_I,_Lord_of_Lippe","Bernard_IV,_Lord_of_Lippe"
Emperor_Taizong_of_Liao,Abaoji
"Eleanor,_Princess_of_Asturias","Maria_of_Aragon,_Queen_of_Castile"
"Charles,_Count_of_Hohenzollern-Haigerloch","Christoph,_Count_of_Hohenzollern-Haigerloch"
Luis_de_la_Cerda,Alfonso_de_la_Cerda
Stephen_Guernsey_Cook_Ensko,Robert_Ensko
Laodice_V,Seleucus_IV_Philopator
"Christina_of_Denmark,_Queen_of_Norway",Canute_Lavard
Adai_Khan,Örüg_Temür_Khan
