Mahmud_I,Saliha_Sultan
Botten_Soot,Eyolf_Soot
Majid_bin_Mohammed_bin_Rashid_Al_Maktoum,Mohammed_bin_Rashid_Al_Maktoum
Lindsay_Lohan,Dina_Lohan
King_Ling_of_Zhou,King_Jian_of_Zhou
Prince_Christian_of_Hesse-Darmstadt,Countess_Palatine_Caroline_of_Zweibrücken
Mayeum_Choying_Wangmo_Dorji,Thutob_Namgyal
Eurotas,Myles
Archil_of_Imereti,Vakhtang_V_of_Kartli
Dmitry_of_Uglich,Maria_Nagaya
"Edward_Plantagenet,_17th_Earl_of_Warwick","Isabel_Neville,_Duchess_of_Clarence"
Amir_Banoo_Karimi,Seyed_Karim_Amiri_Firuzkuhi
"John_II,_Lord_of_Egmond","Arnold_I,_Lord_of_Egmond"
Grand_Duke_Sergei_Alexandrovich_of_Russia,Alexander_II_of_Russia
Phil_Preis,Edwin_G._Preis
Nicholas_Whitlam,Margaret_Whitlam
"Philippa_de_Coucy,_Countess_of_Oxford","Enguerrand_VII,_Lord_of_Coucy"
Abigail_Thaw,John_Thaw
Alyona_Minkovski,Irina_Rodnina
"Arnold_III,_Count_of_Bentheim-Steinfurt-Tecklenburg-Limburg","Eberwin_III,_Count_of_Bentheim-Steinfurt"
Christopher_Buckley_(novelist),William_F._Buckley_Jr.
Naresuan,Wisutkasat
Frederick_William_IV_of_Prussia,Louise_of_Mecklenburg-Strelitz
Joanna_of_Castile,Isabella_I_of_Castile
"Maria_Vladimirovna,_Grand_Duchess_of_Russia",Grand_Duke_Vladimir_Kirillovich_of_Russia
"Otto_V,_Duke_of_Bavaria","Margaret_II,_Countess_of_Hainaut"
Faisal_bin_Khalid_bin_Abdulaziz_Al_Saud,Sita_bint_Fahd_Al_Damir
Julia_the_Younger,Marcus_Vipsanius_Agrippa
"Lambert_II,_Count_of_Louvain",Gerberga_of_Lower_Lorraine
"William_Longsword,_Count_of_Rouen",Rollo
Neil_Bush,George_H._W._Bush
Archduchess_Clementina_of_Austria,"Francis_II,_Holy_Roman_Emperor"
William_FitzEmpress,"Geoffrey_Plantagenet,_Count_of_Anjou"
"Frederick_II,_Holy_Roman_Emperor","Constance,_Queen_of_Sicily"
"Duarte_Nuno,_Duke_of_Braganza",Princess_Maria_Theresa_of_Löwenstein-Wertheim-Rosenberg
Ögedei_Khan,Genghis_Khan
Mirza_Jawan_Bakht,Shah_Alam_II
Stephen_II_Csák,Mark_I_Csák
Charlotte_Bonaparte,Joseph_Bonaparte
Scott_Newman_(actor),Paul_Newman
"John_of_Islay,_Earl_of_Ross","Alexander_of_Islay,_Earl_of_Ross"
Osman_II,Mahfiruz_Hatice_Sultan
Muhammad_al-Mahdi,Narjis
Bruce_Nordstrom,Everett_Nordstrom
Countess_Palatine_Caroline_of_Zweibrücken,Caroline_of_Nassau-Saarbrücken
Khumarawayh_ibn_Ahmad_ibn_Tulun,Ahmad_ibn_Tulun
Bogusław_Leszczyński,Rafał_Leszczyński_(1579–1636)
Prince_Azmet_Jah,Princess_Esra
"Elizabeth_of_Hungary,_Duchess_of_Greater_Poland",Béla_II_of_Hungary
Prince_Joachim_of_Denmark,Margrethe_II_of_Denmark
Thomas_Chabrol,Stéphane_Audran
Joan_of_Kent,"Margaret_Wake,_3rd_Baroness_Wake_of_Liddell"
"Arnulf,_Count_of_Holland","Dirk_II,_Count_of_Holland"
Tlatolqaca,Acamapichtli
"Karl_Christoph,_Duke_of_Münsterberg","John,_Duke_of_Münsterberg-Oels"
Alexander_(Byzantine_emperor),Basil_I
Cottius,Donnus
"Simon_VII,_Count_of_Lippe","Simon_VI,_Count_of_Lippe"
Princess_Lalla_Khadija_of_Morocco,Mohammed_VI_of_Morocco
"Princess_Laetitia_Maria_of_Belgium,_Archduchess_of_Austria-Este","Prince_Lorenz_of_Belgium,_Archduke_of_Austria-Este"
Carly_Simon,Richard_L._Simon
Vasily_Livanov,Boris_Livanov
Henry_the_Navigator,Philippa_of_Lancaster
Spencer_Truman_Olin,Franklin_W._Olin
Sir_Henry_Stafford,"Humphrey_Stafford,_1st_Duke_of_Buckingham"
Ted_Field,Marshall_Field_IV
"Mary_of_Scotland,_Countess_of_Boulogne",Malcolm_III_of_Scotland
Princess_Lātūfuipeka_Tukuʻaho,Tupou_VI
Jan_Zamoyski_(1912–2002),Maurycy_Klemens_Zamoyski
Princess_Marie_of_Hesse_and_by_Rhine,Princess_Alice_of_the_United_Kingdom
Dragana_of_Serbia,Lazar_of_Serbia
Peleuli,Kamanawa
Anmchad_mac_Con_Cherca,Cú_Cherca_mac_Fáeláin
"Heinrich_XX,_Prince_Reuss_of_Greiz","Heinrich_XIII,_Prince_Reuss_of_Greiz"
"Geoffrey,_Count_of_Nantes","Geoffrey_Plantagenet,_Count_of_Anjou"
Maria_Caterina_Farnese,Margherita_Aldobrandini
Saint_Margaret_of_Scotland,"Agatha,_wife_of_Edward_the_Exile"
Willie_Hammerstein,Oscar_Hammerstein_I
Hashim_ibn_Abd_Manaf,Abd_Manaf_ibn_Qusai
Diana_Mitford,"David_Freeman-Mitford,_2nd_Baron_Redesdale"
Marie_Thérèse_of_France,Louis_XVI_of_France
"Eric_II,_Duke_of_Saxe-Lauenburg","Eric_I,_Duke_of_Saxe-Lauenburg"
Varsha_Bhosle,Asha_Bhosle
Gordian_III,Antonia_Gordiana
Daniel_Frank_Gerber,Frank_Daniel_Gerber
Lady_Charlotte_Guest,"Albemarle_Bertie,_9th_Earl_of_Lindsey"
Inwa_Mibaya,Bayinnaung
Zack_Ward,Pam_Hyatt
Thomas_Preljubović,Preljub
John_Addison_Porter_(Secretary_to_the_President),John_Addison_Porter
Mutnedjmet,Ay
Abaoji,Empress_Dowager_Yaonian_Yanmujin
Princess_Iniga_of_Thurn_and_Taxis,Prince_Ludwig_Philipp_of_Thurn_and_Taxis
Christian_Brando,Anna_Kashfi
Annabelle_Attanasio,Katie_Jacobs
Christian_VII_of_Denmark,Louise_of_Great_Britain
"Amadeus_IX,_Duke_of_Savoy","Louis,_Duke_of_Savoy"
"Elizabeth_Stafford,_Duchess_of_Norfolk","Eleanor_Percy,_Duchess_of_Buckingham"
Tehaapapa_II,Tamatoa_IV
John_R._Ingram_(businessman),Martha_Rivers_Ingram
"Leopold_II,_Grand_Duke_of_Tuscany","Ferdinand_III,_Grand_Duke_of_Tuscany"
Clara_de_Hirsch,Jonathan-Raphaël_Bischoffsheim
Maria_Teresa_Felicitas_d'Este,"Francesco_III_d'Este,_Duke_of_Modena"
Sukhumala_Marasri,Mongkut
Anna_Maria_Komorowska,Zofia_Sapieha
Duchess_Anastasia_of_Mecklenburg-Schwerin,"Frederick_Francis_IV,_Grand_Duke_of_Mecklenburg-Schwerin"
Kate_Hobhouse,Garry_Weston
Ali_Yıldırım_Koç,Rahmi_Koç
"Charles,_Duke_of_Berry_(1446–1472)",Marie_of_Anjou
Alessandro_Gassmann,Vittorio_Gassman
"Ranulf_de_Gernon,_4th_Earl_of_Chester",Lucy_of_Bolingbroke
Casimir_II_the_Just,Salomea_of_Berg
Bithiah,Seti_I
Igor_Nak,Vladimir_Nak
Kaʻahumanu,Keeaumoku_Pāpaiahiahi
Princess_Sophie_of_Bavaria,Maximilian_I_Joseph_of_Bavaria
"Thomas_Howard,_21st_Earl_of_Arundel","Philip_Howard,_20th_Earl_of_Arundel"
William_de_Vesci_(d.1297),William_de_Vesci_(d.1253)
"Karl_August,_Grand_Duke_of_Saxe-Weimar-Eisenach","Ernest_Augustus_II,_Duke_of_Saxe-Weimar-Eisenach"
"Elizabeth_of_Hesse-Kassel,_Duchess_of_Mecklenburg","Maurice,_Landgrave_of_Hesse-Kassel"
Nigel_Calder,Peter_Ritchie_Calder
"Berthold_I,_Count_of_Tyrol","Albert_II,_Count_of_Tyrol"
Tyler_Posey,John_Posey_(actor)
Jana_Khayat,Garry_Weston
