Francis_Burdett,Francis_Burdett_(1743)
Wenceslaus_II_of_Bohemia,Ottokar_II_of_Bohemia
"John_VI,_Duke_of_Mecklenburg","Dorothea_of_Brandenburg,_Duchess_of_Saxe-Lauenburg"
Richard_II_of_England,"Edward,_the_Black_Prince"
Farida_of_Egypt,Youssef_Zulficar_Pasha
"Henry_Herbert,_2nd_Earl_of_Pembroke","Anne_Parr,_Countess_of_Pembroke"
Abdul_Jalil_Shah_III,Alauddin_Riayat_Shah_III
Tiberius,Tiberius_Claudius_Nero_(praetor_42_BC)
Marie_Elisabeth_of_Brunswick-Wolfenbüttel,"Augustus_the_Younger,_Duke_of_Brunswick-Lüneburg"
Laurance_Rockefeller_Jr.,Laurance_Rockefeller
Richard_of_Salerno,William_of_the_Principate
Anna_Pavlova,Lazar_Polyakov
"Horace_Heidt,_Jr.",Horace_Heidt
Anna_Freud,Sigmund_Freud
Princess_Milica_of_Serbia,Vratko_Nemanjić
Jean-Louis_Campora,Charles_Campora
James_Yorke_(bishop),"Philip_Yorke,_1st_Earl_of_Hardwicke"
"Thomas_Howard,_3rd_Earl_of_Effingham","Thomas_Howard,_2nd_Earl_of_Effingham"
Georges_Phillipe_Trousseau,Armand_Trousseau
Şah_Sultan_(daughter_of_Selim_II),Selim_II
Sweyn_Forkbeard,Tove_of_the_Obotrites
J._Edwin_Ganong,James_H._Ganong
Dale_Winton,Sheree_Winton
Erdmuthe_of_Brandenburg,Sabina_of_Brandenburg-Ansbach
Frank_Sinatra,Anthony_Martin_Sinatra
Archduchess_Assunta_of_Austria,Infanta_Blanca_of_Spain
"John_Vaughan,_1st_Viscount_Lisburne",Edward_Vaughan_(MP)
"Robert_de_Brus,_6th_Lord_of_Annandale","Robert_de_Brus,_5th_Lord_of_Annandale"
Frederica_of_Mecklenburg-Strelitz,"Charles_II,_Grand_Duke_of_Mecklenburg-Strelitz"
Zara_Phillips,Mark_Phillips
"Julie_Payne_(actress,_born_1940)",John_Payne_(actor)
David_Wallechinsky,Irving_Wallace
Duke_Xiang_of_Qin,Duke_Zhuang_of_Qin
Catherine_Henriette_de_Balzac_d'Entragues,Marie_Touchet
Benedick_Bates,Victoria_Ward
George_II_of_Georgia,Bagrat_IV_of_Georgia
