sub,obj,class,sid
Warren_G._Harding,Florence_Harding,1,1
Calvin_Coolidge,Grace_Coolidge,1,2
Herbert_Hoover,Lou_Henry_Hoover,1,3
Franklin_D._Roosevelt,Eleanor_Roosevelt,1,4
Harry_S._Truman,Bess_Truman,1,5
Dwight_D._Eisenhower,Mamie_Eisenhower,1,6
John_F._Kennedy,Jacqueline_Kennedy_Onassis,1,7
Lyndon_B._Johnson,Lady_Bird_Johnson,1,8
Richard_Nixon,Pat_Nixon,1,9
Gerald_Ford,Betty_Ford,1,10
Jimmy_Carter,Rosalynn_Carter,1,11
Ronald_Reagan,Nancy_Reagan,1,12
George_H._W._Bush,Barbara_Bush,1,13
Bill_Clinton,Hillary_Clinton,1,14
George_W._Bush,Laura_Bush,1,15
Barack_Obama,Michelle_Obama,1,16
