sid,sub,obj,class,score
218,Elisabeth_de_Bar,Marie_de_Namur,0,11.5
213,Hetepheres_II,Neferhetepes,0,15.5
224,Blanchette_Ferry_Rockefeller,Alida_Rockefeller_Messinger,0,17.0
270,Milonia_Caesonia,Lollia_Paulina,0,21.5
384,Empress_Wu_(Song_dynasty),Empress_Xing,0,21.5
219,1930–31_FC_Barcelona_season__Emil_Walter__1,Emil_Walter,0,22.0
282,"Anna,_wife_of_Artabasdos",Tzitzak,0,22.0
281,"William_Parr,_1st_Marquess_of_Northampton",Sir_Thomas_Parr,0,22.5
215,Vibhishana,Vishrava,0,23.0
217,Zuhrah_ibn_Kilab,Qusai_ibn_Kilab,0,23.0
268,Casimir_William_of_Hesse-Homburg,Louise_Elisabeth_of_Courland,0,23.5
228,Rick_Trainor,Arthur_Lucas_(academic),0,24.0
320,"Charles_Günther,_Count_of_Schwarzburg-Rudolstadt",Juliane_of_Nassau-Dillenburg_(1546-1588),0,24.0
352,Margaret_de_Vere,Margaret_de_Loveyne,0,25.0
308,"Agnes,_wife_of_Ramiro_I_of_Aragon","William_VII,_Duke_of_Aquitaine",0,25.5
380,Tudhaliya_I,Ašmu-nikal,0,26.5
267,Anthony_Shaffer_(intelligence_officer),Anthony_Shaffer_(writer),0,27.0
248,Harald_Bluetooth,Haakon_Sigurdsson,0,27.5
390,Adeel_pk,Pervaiz_Kaleem,0,27.5
294,Matsudaira_Naritaka,Matsudaira_Naritami,0,28.0
239,Khawy,Ramesses_II,0,29.0
273,"William_Willoughby,_5th_Baron_Willoughby_de_Eresby","Robert_Willoughby,_6th_Baron_Willoughby_de_Eresby",0,29.0
356,Phyllida_Law,Sophie_Thompson,0,29.0
372,Anne_Valliant_Burnett_Tandy,Anne_Windfohr_Marion,0,29.0
284,Catherine_Doléans-Dade,Paul-André_Meyer,0,29.5
211,Quaquapitzahuac,Tezozomoc_(Azcapotzalco),0,31.0
328,James_Whitelocke_(Roundhead),Charles_Fleetwood,0,31.0
288,"Sir_Walter_St_John,_3rd_Baronet",Thomas_Thynne_(died_1682),0,31.5
203,Selene_(Underworld),Len_Wiseman,0,32.0
223,"Ulrich,_Duke_of_Württemberg","Christoph,_Duke_of_Württemberg",0,32.0
246,Rita_Harradence,Robert_Robinson_(organic_chemist),0,32.0
386,Asiya,Moses,0,32.0
232,Sybil_Fawlty,John_Cleese,0,32.5
283,"Bernard_II,_Duke_of_Saxony","Ordulf,_Duke_of_Saxony",0,32.5
295,"John_II_of_Luxembourg,_Count_of_Ligny","Louis_de_Luxembourg,_Count_of_Saint-Pol",0,32.5
301,Emperor_Go-Reizei,Emperor_Go-Suzaku,0,32.5
394,Leleiohoku_I,Kalanimoku,0,32.5
276,Princess_Irina_Alexandrovna_of_Russia,Irina_Yusupova,0,33.5
313,Yaxun_B'alam_IV,Itzamnaaj_B'alam_II,0,33.5
330,Ali_Bongo_Ondimba,Daniel_Ona_Ondo,0,33.5
340,Sussanne_Khan,Sanjay_Khan,0,33.5
206,Yoh_Asakura,Sebastian_Arcelus,0,34.0
322,Nina_Schenk_Gräfin_von_Stauffenberg,Berthold_Maria_Schenk_Graf_von_Stauffenberg,0,34.0
357,Iris_Weinshall,Janette_Sadik-Khan,0,34.0
252,"Elizabeth_de_Burgh,_4th_Countess_of_Ulster","William_Donn_de_Burgh,_3rd_Earl_of_Ulster",0,34.5
250,Grand_Duke_Paul_Alexandrovich_of_Russia,Natalia_Pavlovna_Paley,0,35.0
262,Prince_Kamal_el_Dine_Hussein,Ayn-al-Hayat_Rifaat,0,35.0
397,Bob_Goen,John_Tesh,0,35.0
241,Adelaide_of_Meissen,Adela_of_Meissen,0,36.0
259,"Nicholas_Francis,_Duke_of_Lorraine","Charles_IV,_Duke_of_Lorraine",0,36.5
280,Eric_Foner,Henry_Foner,0,36.5
311,Usher_(singer),Rozonda_Thomas,0,36.5
207,"Karl_Friedrich,_Prince_of_Hohenzollern",Princess_Margarita_of_Leiningen,0,37.0
278,Maati_Bouabid,Hassan_II_of_Morocco,0,37.0
293,Hso_Khan_Pha,Sao_Shwe_Thaik,0,37.0
314,"William_Cuffe,_4th_Earl_of_Desart","John_Cuffe,_3rd_Earl_of_Desart",0,37.5
258,Stenkil,Halsten_Stenkilsson,0,38.0
296,Gabriel_García_Moreno,Manuel_de_Ascásubi,0,38.0
260,Władysław_II_Jagiełło,Kęstutis,0,38.5
334,Archduke_Franz_Salvator_of_Austria,Archduke_Karl_Salvator_of_Austria,0,38.5
351,Eleanor_of_Castile_(1307–1359),Constance_of_Portugal,0,38.5
251,Archduke_Géza_of_Austria,Archduke_Joseph_Francis_of_Austria,0,39.0
327,Isabel_Martínez_de_Perón,Víctor_Hipólito_Martínez,0,39.0
383,Grand_Duchess_Xenia_Alexandrovna_of_Russia,Prince_Andrei_Alexandrovich_of_Russia,0,39.0
312,"Ercole_II_d'Este,_Duke_of_Ferrara",Lucrezia_Borgia,0,40.0
