sid,sub,obj,class,score
305,Peter_the_Great,Grand_Duchess_Anna_Petrovna_of_Russia,0,49.0
310,"Gaston,_Duke_of_Orléans",Marie_de'_Medici,0,49.0
225,Anna_Jagiellon,Bona_Sforza,0,49.5
344,Zaynab_bint_Ali,Muhammad,0,49.5
349,Adelaide_of_Maurienne,Louis_VII_of_France,0,49.5
229,June_P._(J._P.)_Morgan,Warren_E._Hearnes,0,50.0
240,Norodom_Suramarit,Norodom_Sihanouk,0,50.0
264,Sunjo_of_Joseon,Seonjo_of_Joseon,0,50.0
323,James_I_of_Aragon,James_II_of_Majorca,0,50.0
358,László_Kövér,Pál_Schmitt,0,50.0
368,"Charles_Cornwallis,_1st_Earl_Cornwallis",George_II_of_Great_Britain,0,50.0
333,Juan_Crisóstomo_Falcón,José_Antonio_Páez,0,50.5
395,Empress_Xiaocigao_(Qing_dynasty),Hong_Taiji,0,50.5
205,Raimonds_Vējonis,Valdis_Dombrovskis,0,51.0
247,Raosaheb_Danve,Narendra_Modi,0,51.0
289,Richard_III_of_England,"Cecily_Neville,_Duchess_of_York",0,51.0
336,Stephen_I_of_Hungary,"Géza,_Grand_Prince_of_the_Hungarians",0,51.0
222,Isabel_II_of_Spain,Maria_Christina_of_the_Two_Sicilies,0,51.5
254,Božidar_Purić,Peter_II_of_Yugoslavia,0,51.5
272,Abdullah_Sadiq,Abdus_Salam,0,51.5
274,Joris_in_'t_Veld,Juliana_of_the_Netherlands,0,51.5
362,Narathihapate,Kyawswa_of_Pagan,0,52.0
202,René_of_Anjou,Margaret_of_Anjou,0,52.5
226,Matiu_Rata,Matiu_Ratana,0,52.5
208,Kevin_Nealon,Dennis_Miller,0,53.0
354,Enrique_Gómez_Carrillo,Rubén_Darío,0,53.0
298,Daddy_Yankee,Don_Omar,0,53.5
234,"Rupprecht,_Crown_Prince_of_Bavaria","Albrecht,_Duke_of_Bavaria",0,54.0
329,Peter_the_Great,Ivan_V_of_Russia,0,55.5
361,Liza_Maza,Rodrigo_Duterte,0,55.5
377,Christian_IV_of_Denmark,Ulrik_of_Denmark_(1611–1633),0,55.5
399,Fredrik_Stefan_Eaton,Brian_Mulroney,0,55.5
342,Sofia_Rotaru,Alla_Pugacheva,0,56.0
371,"William_Herbert,_3rd_Earl_of_Pembroke",William_Laud,0,56.0
392,Betty_Unger,Stephen_Harper,0,56.0
277,Stephen_King,Edgar_Allan_Poe,0,56.5
367,Laozi,Carl_Jung,0,57.0
214,Luis_CdeBaca,Barack_Obama,0,57.5
391,Mike_Coffman,Bill_Owens_(Colorado_politician),0,57.5
381,Nazım_Ekren,Abdullah_Gül,0,58.0
382,Miguel_H._Díaz,Barack_Obama,0,58.0
304,George_Wallace,John_Malcolm_Patterson,0,58.5
378,Li_Jing_(Southern_Tang),Li_Yu_(Southern_Tang),0,58.5
309,Harry_Hughes,William_Donald_Schaefer,0,59.0
379,"Francisco_José_de_Ovando,_1st_Marquis_of_Brindisi",Philip_V_of_Spain,0,59.5
393,Henry_VII_of_England,Henry_VIII_of_England,0,59.5
373,Ol'_Dirty_Bastard,Mariah_Carey,0,60.0
339,Joanna_of_Castile,Eleanor_of_Austria,0,61.5
337,Jill_Parrish,Barack_Obama,0,62.0
363,Eduard_Shevardnadze,Boris_Pankin,0,62.0
319,"Frederick_II,_Holy_Roman_Emperor",Margaret_of_Sicily,0,62.5
221,"Ferdinand_I,_Holy_Roman_Emperor","Maximilian_II,_Holy_Roman_Emperor",0,63.0
331,Dan_Quayle,Birch_Bayh,0,63.0
400,"José_Manso_de_Velasco,_1st_Count_of_Superunda",Philip_V_of_Spain,0,63.0
348,Alexander_the_Great,Philip_II_of_Macedon,0,63.5
346,Abdullah_bin_Zayed_Al_Nahyan,Zayed_bin_Sultan_Al_Nahyan,0,64.0
396,Qianlong_Emperor,Imperial_Noble_Consort_Huixian,0,64.5
343,Ray_Sansom,Marco_Rubio,0,65.0
255,"George_Cholmondeley,_2nd_Marquess_of_Cholmondeley",William_IV_of_the_United_Kingdom,0,65.5
376,"John,_King_of_Denmark",Frederick_I_of_Denmark,0,66.0
227,Michelle_Rempel,Stephen_Harper,0,66.5
216,Walter_Augustus_de_Havilland,Olivia_de_Havilland,0,67.5
279,Felipe_González,Juan_Carlos_I_of_Spain,0,68.0
263,Preston_Robert_Tisch,Ronald_Reagan,0,68.5
302,Linda_Burney,Nathan_Rees,0,69.0
347,Edward_I_of_England,Edward_II_of_England,0,69.5
269,Roger_Leland_Wollman,Ronald_Reagan,0,70.0
353,Jack_Kerouac,Ken_Kesey,0,70.5
290,Liu_Bei,Emperor_Xian_of_Han,0,72.0
345,"George_Leveson-Gower,_1st_Duke_of_Sutherland","Granville_Leveson-Gower,_1st_Earl_Granville",0,72.0
204,"Henry_III,_Holy_Roman_Emperor","Henry_IV,_Holy_Roman_Emperor",0,72.5
360,Patrick_Devedjian,Nicolas_Sarkozy,0,72.5
307,Harry_Crookshank,"William_Hare,_5th_Earl_of_Listowel",0,73.5
231,Aníbal_Cavaco_Silva,José_Sócrates,0,74.0
244,"Ferdinand_III,_Holy_Roman_Emperor","Leopold_I,_Holy_Roman_Emperor",0,75.0
335,"William_Lamb,_2nd_Viscount_Melbourne",Nicolson_Calvert_(1764–1841),0,75.5
212,List_of_My_Fair_Princess_characters,Qianlong_Emperor,0,76.0
292,John_McGrath_(judge),Helen_Clark,0,76.5
245,Sarath_Amunugama_(politician),Ranil_Wickremesinghe,0,84.0
316,"Joanna_Shields,_Baroness_Shields",Theresa_May,0,86.5
256,"Sidney_Godolphin,_1st_Earl_of_Godolphin","Francis_Godolphin,_2nd_Earl_of_Godolphin",0,87.0
275,Price_Daniel,Allan_Shivers,0,87.0
324,List_of_Neighbours_characters_(2007),Rachel_Gordon,0,87.5
249,Su_Tseng-chang,Tsai_Ing-wen,0,88.0
375,Gulzarilal_Nanda,Indira_Gandhi,0,88.0
291,Jocelyne_Roy-Vienneau,Elizabeth_II,0,93.0
230,Alexander_Mackenzie_(politician),"Frederick_Hamilton-Temple-Blackwood,_1st_Marquess_of_Dufferin_and_Ava",0,93.5
257,"James_Butler,_2nd_Duke_of_Ormonde","John_Churchill,_1st_Duke_of_Marlborough",0,97.5
350,Chiang_Kai-shek,T._V._Soong,0,102.5
261,"William_Pitt,_1st_Earl_of_Chatham",Henry_Pelham,0,103.5
266,Charles_Arbuthnot,William_Huskisson,0,110.0
253,Gerald_Ford,Richard_Vander_Veen,0,113.5
338,William_Reynolds_Archer_Jr.,George_H._W._Bush,0,119.5
237,Jason_Isaacs_(singer),Frank_Sinatra,0,122.0
243,List_of_The_Bill_characters_(A–D),Moya_Brady,0,125.0
374,H._V._Evatt,Billy_Hughes,0,128.0
235,Anacleto_Díaz,Franklin_D._Roosevelt,0,130.5
388,"Henry_Bathurst,_3rd_Earl_Bathurst","Arthur_Wellesley,_1st_Duke_of_Wellington",0,136.0
369,"Richard_Casey,_Baron_Casey",Joseph_Lyons,0,138.5
387,Arthur_Chaskalson,Nelson_Mandela,0,518.0
