Vernon_Singer,Odoardo_Di_Santo
Naile_Sultan,Abdülmecid_I
Marina_Mniszech,Jadwiga_Tarło-Mniszech
Leszek_II_the_Black,Władysław_I_the_Elbow-high
Brenda_Leigh_Johnson,Kyra_Sedgwick
Bap_Kennedy,Mark_Knopfler
Kaʻahumanu,Kīnaʻu
Eric_the_Victorious,Olof_Skötkonung
Katie_Blair,Alyssa_Campanella
Hyatt_Bass,Anne_Hendricks_Bass
Miguel_I_of_Portugal,Carlota_Joaquina_of_Spain
Péter_Medgyessy,György_Lázár
Gurun_Princess_Rong'an,Xianfeng_Emperor
Sophia_Dorothea_of_Hanover,Louisa_Ulrika_of_Prussia
Edmund_Barton,Sydney_Burdekin
"George_Gordon,_1st_Earl_of_Aberdeen",Charles_II_of_England
Margot_Fonteyn,Peter_Ustinov
Diana_Barrymore,John_Barrymore
Constand_Viljoen,Nelson_Mandela
"Geoffrey_Plantagenet,_Count_of_Anjou","Fulk,_King_of_Jerusalem"
Cleve_Gray,Jackson_Pollock
"Mary,_Queen_of_Scots",James_V_of_Scotland
Campbell_Brown,Soledad_O'Brien
Sandra_Pupatello,Dianne_Cunningham
"Barnim_XI,_Duke_of_Pomerania","Anna_Jagiellon,_Duchess_of_Pomerania"
Thomas_Cromwell,"John_Bourchier,_2nd_Baron_Berners"
Richard_Dawkins,Nikolaas_Tinbergen
Fatos_Nano,Sali_Berisha
Stafford_Cripps,Winston_Churchill
"Ælfthryth,_wife_of_Edgar",Æthelred_the_Unready
"Nino,_Princess_of_Mingrelia",Ketevan_Andronikashvili
Xu_Guangqi,Chongzhen_Emperor
Victor_Amadeus_II_of_Sardinia,Charles_Emmanuel_III_of_Sardinia
James_III_of_Cyprus,Catherine_Cornaro
Aditya_Chopra,Yash_Chopra
"Carlos,_Duke_of_Madrid","Juan,_Count_of_Montizón"
Decline_and_fall_of_Pedro_II_of_Brazil,Pedro_I_of_Brazil
Archduchess_Rosa_of_Austria,"Carl,_Duke_of_Württemberg"
Archduke_Rainer_Joseph_of_Austria,Maria_Luisa_of_Spain
Pamela_Pepper,Barack_Obama
Al_B._Sure!,Faith_Evans
George_A._Jenks,Grover_Cleveland
Pam_Beesly,Roy_Anderson_(The_Office)
Burr_Steers,Michael_Straight
Woodrow_Wilson,Josephus_Daniels
Sheikh_Mujibur_Rahman,Mohammad_Mohammadullah
Ingeborg_of_Norway,Ingeborg_Eriksdottir_of_Norway
"Henry_Herbert,_10th_Earl_of_Pembroke","George_Herbert,_11th_Earl_of_Pembroke"
Rexhep_Meidani,Sali_Berisha
Laura_Regan,Kelly_Regan
"John_Adolf,_Duke_of_Holstein-Gottorp","Philip,_Duke_of_Holstein-Gottorp"
Marie_Armande_de_La_Trémoille,Charles_Belgique_Hollande_de_La_Trémoille
Howard_Baker,Kenneth_Duberstein
Wenceslaus_II_of_Bohemia,Ottokar_II_of_Bohemia
"Philippe_d'Albert,_13th_duc_de_Luynes",Thierry_Roussel
Salamatu_Koroma,Ahmad_Tejan_Kabbah
"Katherine_Stanhope,_Countess_of_Chesterfield","Henry_Bennet,_1st_Earl_of_Arlington"
Hilary_Weston,Adrienne_Clarkson
Brose_Partington,Jean_Tinguely
"Johann_I_Joseph,_Prince_of_Liechtenstein","Aloys_II,_Prince_of_Liechtenstein"
Vincent_Astor,John_Jacob_Astor_IV
Kamaluddin_Ahmed_(physicist),Abdus_Salam
Adelbert_Ames,Hiram_Rhodes_Revels
Kim_Pyong-il,Kim_Jong-il
Władysław_Leon_Sapieha,Adam_Zygmunt_Sapieha
Mary_Ireland_Farnsworth,Laurane_Tanner_Bullock_Boreman
Carolyn_Franklin,Aretha_Franklin
Jean-Claude_Juncker,"Jean,_Grand_Duke_of_Luxembourg"
"William_Plunket,_5th_Baron_Plunket",Edward_VII
Chlothar_I,Chlothsind
Tarabya_of_Ava,Minkhaung_I
"Alexander_Fermor-Hesketh,_3rd_Baron_Hesketh","Frederick_Fermor-Hesketh,_2nd_Baron_Hesketh"
John_B._McNair,Hugh_John_Flemming
Horbaef,Khufu
Jacobo_Árbenz,Juan_José_Arévalo
E._P._Thompson,Edward_Arthur_Thompson
"Marie,_Duchess_of_Auvergne","Louis_I,_Count_of_Montpensier"
Didymus_Mutasa,Robert_Mugabe
Kevin_McAleer,James_Joyce
Frederick_the_Great,Frederick_William_II_of_Prussia
Nicholas_I_of_Russia,Alexander_II_of_Russia
Peter_III_of_Aragon,James_II_of_Aragon
Samuel_Ealy_Johnson_Jr.,Sam_Houston_Johnson
Joy_Page,Don_Alvarado
"Beatrice_I,_Countess_of_Burgundy",Richenza_of_Northeim
Kekuiapoiwa_II,Kamehameha_I
Bob_Pridden,Eric_Clapton
Corky_Ballas,Mark_Ballas
"Henry_Stuart,_Lord_Darnley",James_VI_and_I
Thinkhaya_I_of_Toungoo,Minkhaung_I
Lucy_Coe,Lynn_Herring
James_Harvey_Rogers,Franklin_D._Roosevelt
Lady_Bird_Johnson,Lynda_Bird_Johnson_Robb
Shin_Mi-Nauk,Saw_Taw_Oo_of_Sagaing
"Charles_Alexander,_Margrave_of_Brandenburg-Ansbach",Princess_Friederike_Luise_of_Prussia
Princess_Frederica_Caroline_of_Saxe-Coburg-Saalfeld,Princess_Anna_Sophie_of_Schwarzburg-Rudolstadt
