sid,sub,obj,class,score
68,Rosa_Mayreder,Karl_Mayreder,1,16.5
89,Chuck_Patterson,Cori_Thomas,1,18.0
172,Barbara_Lott,Stuart_Latham,1,18.5
36,Princess_Stéphanie_of_Monaco,Adans_Lopez_Peres,1,19.0
46,"Rene_Ray,_Countess_of_Midleton","George_Brodrick,_2nd_Earl_of_Midleton",1,19.0
196,David_Shaughnessy,Anne_Schoettle,1,19.5
197,"Stephen,_Duke_of_Slavonia","Margaret_of_Bavaria,_Duchess_of_Slavonia",1,19.5
76,Lee_Boardman,Jennifer_James,1,20.0
103,Frederica_Sagor_Maas,Ernest_Maas,1,20.0
55,June_Caprice,Harry_F._Millarde,1,20.5
97,Mary_Osborn,Klaus_Weber,1,20.5
161,Emily_Nussbaum,Clive_Thompson_(journalist),1,20.5
15,Virginia_Bourbon_del_Monte,Edoardo_Agnelli_(industrialist),1,21.0
139,John_Damer,Anne_Seymour_Damer,1,21.0
185,Giselle_Fernández,John_Farrand,1,21.0
118,Mario_Caserini,Maria_Caserini,1,21.5
134,Donald_A._S._Fraser,Nancy_Reid,1,21.5
6,Elof_Ahrle,Birgit_Rosengren,1,22.0
16,Samuel_Bronfman,Saidye_Rosner_Bronfman,1,22.5
74,Nia_Daniati,Farhat_Abbas,1,22.5
163,"Reginald_III,_Count_of_Burgundy",Agatha_of_Lorraine,1,22.5
189,Ada_Cherry_Kearton,Cherry_Kearton,1,22.5
194,David_Bergman_(journalist),Sara_Hossain,1,22.5
4,Setlutlu,Sebetwane,1,23.5
33,Harry_Cortis_Jones,Arthur_Henry_Shakespeare_Lucas,1,23.5
126,Gianella_Neyra,Cristian_Rivero,1,23.5
137,David_E._Shaw,Beth_Kobliner,1,23.5
180,Julia_Sweeney,Stephen_Hibbert,1,23.5
13,Panio_Gianopoulos,Molly_Ringwald,1,24.0
70,Betty_Rollin,Harold_Edwards_(mathematician),1,24.0
174,Clayton_Morris,Natali_Morris,1,24.0
91,Elizabeth_McGovern,Simon_Curtis_(filmmaker),1,24.5
95,Park_Sol-mi,Han_Jae-suk,1,24.5
42,"Christian_Heinrich,_Margrave_of_Brandenburg-Bayreuth-Kulmbach",Sophie_Christiane_of_Wolfstein,1,25.0
43,Jimmy_Iovine,Liberty_Ross,1,25.0
45,Louis_Zorich,Olympia_Dukakis,1,25.0
62,Frederic_C._Howe,Marie_Jenney_Howe,1,25.0
80,Clifton_Hall_(actor),Deedee_Magno,1,25.0
112,Ellis_Baker,Fredric_March,1,25.0
3,Julia_Bacha,Lucas_Welch,1,25.5
96,Yuri_Rasovsky,Lorna_Raver,1,25.5
141,Larry_Sullivan,David_Monahan,1,25.5
153,Marita_Geraghty,Michael_Maguire_(actor),1,25.5
23,Terry_Hands,Josephine_Barstow,1,26.0
150,Michael_Zaslow,Joanne_Dorian,1,26.0
178,Henrietta_FitzJames,"Henry_Waldegrave,_1st_Baron_Waldegrave",1,26.0
2,Lil_Terselius,Lars_Norén,1,26.5
34,Peyman_Ghasem_Khani,Bahareh_Rahnama,1,26.5
65,Kassie_DePaiva,James_DePaiva,1,26.5
73,Nichola_Pease,Crispin_Odey,1,26.5
165,Itay_Tiran,Melanie_Peres,1,26.5
192,Lisa_Davis_(actress),Rudy_Challenger,1,26.5
41,Philip_Green,Tina_Green,1,27.0
113,Gail_O'Grady,Jeffrey_Byron,1,27.0
149,Rajeshwari_Sachdev,Varun_Badola,1,27.0
182,Baldur_von_Schirach,Henriette_von_Schirach,1,27.0
193,Ray_Stevenson_(actor),Ruth_Gemmell,1,27.0
107,Earl_Hindman,Molly_McGreevey,1,27.5
124,Ivor_Forbes_Guest,Ann_Hutchinson_Guest,1,27.5
162,Raghu_Ram,Sugandha_Garg,1,27.5
63,Sunita_Deshpande,Purushottam_Laxman_Deshpande,1,28.0
81,Martino_Zaccaria,Jacqueline_de_la_Roche,1,28.0
104,Joanna_David,Edward_Fox_(actor),1,28.0
5,Ernest_Sachs,Mary_Sachs,1,28.5
78,David_Lander,Kathy_Fields,1,28.5
88,Marianne_Leone_Cooper,Chris_Cooper,1,28.5
168,Purnima_Sinha,Surajit_Chandra_Sinha,1,28.5
9,Helena_Rojo,Juan_Ferrara,1,29.0
24,Maria_Furtwängler,Hubert_Burda,1,29.0
99,Rachel_Miner,Macaulay_Culkin,1,29.0
101,Daggubati_Purandeswari,Daggubati_Venkateswara_Rao,1,29.0
125,Darussalam_(actor),Netty_Herawaty,1,29.0
132,"Moritz_Wilhelm,_Duke_of_Saxe-Zeitz",Marie_Amalie_of_Brandenburg,1,29.0
146,Jane_Keckley,Roy_Watson,1,29.0
152,"Peter_II,_Count_of_Saint-Pol","Margaret_of_Savoy,_Countess_of_Saint-Pol",1,29.0
87,Jean_Dujardin,Alexandra_Lamy,1,29.5
106,"Margaret_I,_Countess_of_Burgundy","Louis_I,_Count_of_Flanders",1,29.5
130,Rita_Wilson,Tom_Hanks,1,29.5
166,Mario_Vargas_Llosa,Julia_Urquidi,1,29.5
184,Raquel_Torres,Jon_Hall_(actor),1,29.5
188,Calista_Flockhart,Harrison_Ford,1,29.5
71,Lorraine_Bracco,Edward_James_Olmos,1,30.0
156,Peter_Birrel,Stephanie_Cole,1,30.0
10,Edmond_Safra,Lily_Safra,1,30.5
28,Sohrab_Modi,Mehtab_(actress),1,30.5
61,Alex_Hyde-White,Karen_Dotrice,1,30.5
93,Bella_Akhmadulina,Yuri_Nagibin,1,30.5
105,Lee_Beyer,Terry_Beyer,1,30.5
187,Alan_Rickman,Rima_Horton,1,30.5
44,Chiquinquirá_Delgado,Daniel_Sarcos,1,31.0
54,Aimery_of_Cyprus,Eschiva_of_Ibelin_(died_1196),1,31.0
60,Geoffrey_Kerr,June_Walker,1,31.0
114,Poornima_Bhagyaraj,K._Bhagyaraj,1,31.0
120,Frances_Cashel_Hoey,John_Cashel_Hoey,1,31.0
170,Artur_Adson,Marie_Under,1,31.0
176,"Michel,_14th_Prince_of_Ligne","Eleanora,_Princess_of_Ligne",1,31.0
32,Natasha_Gregson_Wagner,Barry_Watson_(actor),1,31.5
35,Patrick_d'Udekem_d'Acoz,Anna_Maria_Komorowska,1,31.5
66,Norman_Foster_(director),Sally_Blane,1,31.5
84,Mary_Hemingway_Rees,John_Rawlings_Rees,1,31.5
