sid,sub,obj,class,score
17,Anita_Page,Nacio_Herb_Brown,1,32.0
25,John_Claudius_Loudon,Jane_C._Loudon,1,32.0
31,Elizabeth_Brooke_(1503–1560),Thomas_Wyatt_(poet),1,32.0
56,"Joan_of_Valois,_Countess_of_Hainaut","William_I,_Count_of_Hainaut",1,32.0
58,Iajuddin_Ahmed,Anwara_Begum_(academic),1,32.0
86,"Margaret,_Duchess_of_Norfolk","John_Segrave,_4th_Baron_Segrave",1,32.0
115,Gustaf_Gründgens,Erika_Mann,1,32.0
142,Adam_Kazimierz_Czartoryski,Izabela_Czartoryska,1,32.0
151,Parveen_Sultana_Diti,Ilias_Kanchan,1,32.0
158,Leilani_Jones_(actress),Larry_Wilmore,1,32.0
200,Magnus_Gabriel_De_la_Gardie,Countess_Palatine_Maria_Eufrosyne_of_Zweibrücken,1,32.0
27,Princess_Elisabeth_of_Savoy,Archduke_Rainer_Joseph_of_Austria,1,32.5
39,Pauline_Yates,Donald_Churchill,1,32.5
83,Angela_Scoular,Leslie_Phillips,1,32.5
110,Chloe_Steele,Cameron_%22Buck%22_Williams,1,32.5
121,Chris_Hemsworth,Elsa_Pataky,1,32.5
181,Richard_Kerry,Rosemary_Forbes_Kerry,1,32.5
30,Dawn_Steel,Charles_Roven,1,33.0
49,Percy_Spender,Jean_Spender,1,33.0
50,"Alexei_Petrovich,_Tsarevich_of_Russia",Charlotte_Christine_of_Brunswick-Lüneburg,1,33.0
79,Philip_of_Castile,Leonor_Rodríguez_de_Castro,1,33.0
136,Elly_Beinhorn,Bernd_Rosemeyer,1,33.0
164,Archduchess_Marie_Valerie_of_Austria,Archduke_Franz_Salvator_of_Austria,1,33.0
171,Princess_Henriette_of_Schönaich-Carolath,Prince_Karl_Franz_of_Prussia,1,33.0
190,Prince_Frederick_William_of_Hesse-Kassel,Grand_Duchess_Alexandra_Nikolaevna_of_Russia,1,33.0
195,Kenichi_Suzumura,Maaya_Sakamoto,1,33.0
59,Nancy_Kelly,Fred_Jackman,1,33.5
64,Fahmida_Mirza,Zulfiqar_Mirza,1,33.5
109,Mike_Holm,Virginia_Paul_Holm,1,33.5
77,Begum_Abida_Ahmed,Fakhruddin_Ali_Ahmed,1,34.0
20,"Thomas_Dacre,_6th_Baron_Dacre",Philippa_de_Neville,1,34.5
38,David_Sharpe_(actor),Gertrude_Messinger,1,34.5
122,"Henry_Julius,_Duke_of_Brunswick-Lüneburg",Dorothea_of_Saxony,1,34.5
94,"Amadeus_III,_Count_of_Savoy",Mahaut_of_Albon,1,35.0
157,Tara_Dawn_Holland,Jon_Lynn_Christensen,1,35.0
12,Suzanne_Danielle,Sam_Torrance,1,35.5
47,Jenny_Boyd,Mick_Fleetwood,1,35.5
143,Josh_Evans_(film_producer),Roxy_Saint,1,35.5
191,Robin_Denniston,Rosa_Beddington,1,35.5
14,"Prince_Leopold,_Duke_of_Albany",Princess_Helena_of_Waldeck_and_Pyrmont,1,36.0
52,Princess_Anastasia_of_Montenegro,"George_Maximilianovich,_6th_Duke_of_Leuchtenberg",1,36.0
169,Amancio_Ortega,Rosalía_Mera,1,36.0
1,Polly_Draper,Michael_Wolff,1,36.5
57,Sofia_Coppola,Thomas_Mars,1,36.5
90,Ida_Lupino,Howard_Duff,1,36.5
102,Ruth_Peetoom,René_Paas,1,36.5
135,Tostig_Godwinson,"Judith_of_Flanders,_Countess_of_Northumbria",1,36.5
22,Olusegun_Obasanjo,Mojisola_Adekunle-Obasanjo,1,37.0
40,Frank_White_(bishop),Alison_White_(bishop),1,37.0
108,Madeleine_Astor,John_Jacob_Astor_IV,1,37.0
159,Prince_Franz_of_Bavaria,Princess_Isabella_Antonie_of_Croÿ,1,37.0
11,Dehra_Parker,Robert_Chichester,1,38.0
21,Maputeoa,Maria_Eutokia_Toaputeitou,1,38.0
37,Cyd_Charisse,Tony_Martin_(American_singer),1,38.0
67,"Philipp_Albrecht,_Duke_of_Württemberg",Archduchess_Rosa_of_Austria,1,38.0
51,David_Hemmings,Gayle_Hunnicutt,1,38.5
116,Bohemond_V_of_Antioch,Alice_of_Champagne,1,39.0
117,Jackie_Siegel,David_A._Siegel,1,39.5
19,Henry_III_of_Castile,Catherine_of_Lancaster,1,40.0
167,Rita_Chowdhury,Chandra_Mohan_Patowary,1,40.0
177,Stephanie_Herseth_Sandlin,Max_Sandlin,1,40.0
179,Steve_Kramer_(actor),Melora_Harte,1,40.0
48,Joseph_C._Wilson,Valerie_Plame,1,41.0
69,Carmela_Soprano,Tony_Soprano,1,42.0
119,Dulce_of_Aragon,Sancho_I_of_Portugal,1,42.0
148,Henry_VII_of_England,Elizabeth_of_York,1,42.0
160,"Anne_Knollys,_Baroness_De_La_Warr","Thomas_West,_2nd_Baron_De_La_Warr",1,42.5
198,"Elizabeth_Smith-Stanley,_Countess_of_Derby","Edward_Smith-Stanley,_12th_Earl_of_Derby",1,42.5
29,Kathryn_Layng,David_Henry_Hwang,1,43.0
85,"Princess_Anne,_Duchess_of_Calabria","Infante_Carlos,_Duke_of_Calabria",1,43.0
123,Tarja_Halonen,Pentti_Arajärvi,1,43.5
