Thiri_Maha_Sanda_Dewi_of_Toungoo,Mingyi_Nyo
Devi_(Ashoka's_wife),Ashoka
Mary_Fedden,Julian_Trevelyan
Marianna_Török,Abbas_II_of_Egypt
"Thomas_of_Lancaster,_1st_Duke_of_Clarence","Margaret_Holland,_Duchess_of_Clarence"
Martha_Washington,Daniel_Parke_Custis
"Charles,_Prince_of_Soubise",Landgravine_Victoria_of_Hesse-Rotenburg
"Margaret_Audley,_Duchess_of_Norfolk","Thomas_Howard,_4th_Duke_of_Norfolk"
Verna_Harrah,William_F._Harrah
Ayden_Callaghan,Sarah-Jane_Honeywell
Lau_Kar-leung,Mary_Jean_Reimer
Naysum_Saravanamuttu,Ratnasothy_Saravanamuttu
Margaret_Brown,James_Joseph_Brown
Anna_Lindh,Bo_Holmberg
Cathee_Dahmen,Alan_Merrill
Princess_Tatiana_of_Greece_and_Denmark,Prince_Nikolaos_of_Greece_and_Denmark
Maureen_McTeer,Joe_Clark
Pain_fitzJohn,Sybil_(wife_of_Pain_fitzJohn)
Verdicenan_Kadın,Abdülmecid_I
Carmen_Serano,Greg_Serano
Luc_Besson,Maïwenn
Mick_Miller_(Aboriginal_statesman),Pat_O'Shane
"Charles_Lennox,_4th_Duke_of_Richmond","Charlotte_Lennox,_Duchess_of_Richmond"
Robert_II_of_Scotland,Elizabeth_Mure
"Margaret_Graham,_Countess_of_Menteith","Robert_Stewart,_Duke_of_Albany"
Ecaterina_Cercheza,Vasile_Lupu
Soni_Razdan,Mahesh_Bhatt
Lady_Elizabeth_Percy,"Ralph_Neville,_2nd_Earl_of_Westmorland"
Tony_Almeida,Michelle_Dessler
Fernando_Lamas,Esther_Williams
Emperor_Taizu_of_Song,Empress_Song_(Song_dynasty)
Leonora_Carrington,Renato_Leduc
Edward_St_Aubyn,Nicola_Shulman
John_Deans_(pioneer),Jane_Deans
Goldie_Hawn,Gus_Trikonis
Yaza_Datu_Kalaya,Natshinnaung
"Maria_of_Portugal,_Queen_of_Castile",Alfonso_XI_of_Castile
Karen_Linder,James_Linder
Catherine_of_Alençon,"Louis_VII,_Duke_of_Bavaria"
Inger_McCabe_Elliott,Osborn_Elliott
Phoebe_Anna_Traquair,Ramsay_Traquair
James_Colgate_Cleveland,Hilary_Cleveland
Margaret_of_Brandenburg_(1410–1465),"Louis_VIII,_Duke_of_Bavaria"
Tim_Kelleher_(actor),Billie_Livingston
Debraj_Ray_(actor),Anuradha_Ray
Archduchess_Marie_Caroline_of_Austria,Frederick_Augustus_II_of_Saxony
Dhruvadevi,Chandragupta_II
P._Indra_Reddy,Sabitha_Indra_Reddy
Rahul_Ravindran,Chinmayi
Mustafa_III,Mihrişah_Sultan
Maud_Gonne,John_MacBride
Lal_Bahadur_Shastri,Lalita_Shastri
Bob_Thiele,Jane_Harvey
Susan_Lynch,Craig_Parkinson
Dalia_Ibelhauptaitė,Dexter_Fletcher
Princess_Eugénie_of_Greece_and_Denmark,"Raimundo,_2nd_Duke_of_Castel_Duino"
Mildred_Cooke,"William_Cecil,_1st_Baron_Burghley"
Christie_Hefner,William_A._Marovitz
Kim_Haugen,Nadia_Hasnaoui
Risa_Hirako,Eisaku_Yoshida
Anna_Reynolds_(singer),Jean_Cox
Tiberius,Vipsania_Agrippina
Joan_Allen,Peter_Friedman
Ailsa_Piper,Peter_Curtin
"Christian,_Prince-Elect_of_Denmark",Magdalene_Sibylle_of_Saxony
Arnold_Rüütel,Ingrid_Rüütel
Princess_Märtha_of_Sweden,Olav_V_of_Norway
David_Oyelowo,Jessica_Oyelowo
Michael_Lohan,Dina_Lohan
Victor_Emmanuel_III_of_Italy,Elena_of_Montenegro
Nils_Ole_Oftebro,Anette_Hoff
Russ_Meyer,Eve_Meyer
Doris_Blackburn,Maurice_Blackburn
Masoumeh_Ebtekar,Mohammad_Hashemi
Benay_Venuta,Armand_Deutsch
Rhonda_Fleming,Hall_Bartlett
Thawun_Nge,Saw_Sala_of_Toungoo
Sibylle_of_Jülich-Cleves-Berg,"Charles,_Margrave_of_Burgau"
Space_Ghost,Björk
Ricardo_Cortez,Alma_Rubens
Catherine_of_Valois,Owen_Tudor
Bella_Kocharyan,Robert_Kocharyan
"Louis_Antoine,_Duke_of_Enghien",Charlotte_Louise_de_Rohan
David_Hasselhoff,Pamela_Bach
Charlie_Eppes,Amita_Ramanujan
Olive_Carey,Harry_Carey_(actor)
Fereshteh_Sadre_Orafaee,Kambuzia_Partovi
Landgravine_Amalie_of_Hesse-Homburg,"Frederick,_Hereditary_Prince_of_Anhalt-Dessau"
David_Lean,Kay_Walsh
Nina_Carter,Rick_Wakeman
Eric_Nenninger,Angel_Parker
Éamon_de_Valera,Sinéad_de_Valera
Predslava_of_Kiev,Álmos_(duke)
Devayani_(actress),Rajakumaran_(director)
Fujiwara_no_Saneko,Emperor_Kameyama
Gary_Morton,Susan_Morrow
Lynda_Obst,David_Obst
Richard_G._Olson,Deborah_K._Jones
Henry_Jaglom,Tanna_Frederick
Helen_Shaver,Steven_Reuther
Helvis_of_Brunswick-Grubenhagen,James_I_of_Cyprus
Uncle_Henry_(Oz),Aunt_Em
"Birger,_King_of_Sweden",Martha_of_Denmark
Eric_V_of_Denmark,Agnes_of_Brandenburg
Humayun,Bega_Begum
Dick_Haymes,Nora_Eddington
Hermann_Vezin,Jane_Vezin
Frederick_William_I_of_Prussia,Sophia_Dorothea_of_Hanover
Yevgenia_Bosch,Georgy_Pyatakov
Angela_Schijf,Tom_Van_Landuyt
Ursula_von_der_Leyen,Heiko_von_der_Leyen
Ina_Chan_Un_Chan,Stanley_Ho
Julio_César_Turbay_Ayala,Nydia_Quintero_Turbay
Princess_Louise_Amelie_of_Baden,"Gustav,_Prince_of_Vasa"
Empress_Li_(Taizong),Emperor_Taizong_of_Song
Goharshad_Begum,Shahrukh_Mirza
Bob_Rae,Arlene_Perly_Rae
Bolesław_II_the_Generous,Wyszesława_of_Kiev
Muhammadu_Buhari,Aisha_Buhari
Scott_McKinsey,Nancy_Bates
Mazhar_Zaidi,Meenu_Gaur
Teresa_Cheung_(actress),Kenny_Bee
Ikbal_Ali_Shah,Saira_Elizabeth_Luiza_Shah
Heraclius_II_of_Georgia,Darejan_Dadiani
Louis-Bernard_Guyton_de_Morveau,Claudine_Picardet
George_Hamilton_(actor),Alana_Stewart
Françoise_Madeleine_d'Orléans,"Charles_Emmanuel_II,_Duke_of_Savoy"
Guru_Dutt,Geeta_Dutt
"Catherine_Hyde,_Duchess_of_Queensberry","Charles_Douglas,_3rd_Duke_of_Queensberry"
Béatrice_Schönberg,Jean-Louis_Borloo
Martín_De_León,Patricia_de_la_Garza_De_León
Tlacaelel,Maquiztzin
John_Bercow,Sally_Bercow
Amity_Shlaes,Seth_Lipsky
Halfdan_the_Black,Ragnhild_Sigurdsdotter
Şah_Sultan_(daughter_of_Selim_I),Lütfi_Pasha
Nikita_Khrushchev,Nina_Petrovna_Khrushcheva
Sol_Kerzner,Anneline_Kriel
