Peter_Hoagland,Jon_Lynn_Christensen
David_Paterson,Eliot_Spitzer
"Philip_Cunliffe-Lister,_1st_Earl_of_Swinton",Alec_Douglas-Home
James_Kilfedder,Gerry_Fitt
Nadira_Banu_Begum,Aurangzeb
"Marie_of_France,_Countess_of_Champagne",Louis_VII_of_France
Alexander_Graham_Bell,David_Fairchild
Namal_Rajapaksa,Shiranthi_Rajapaksa
Sean_Lien,Lien_Chan
Hetephernebti,Khasekhemwy
Mitchell_A._Wilson,Victoria_Wilson
Aurangzeb,Mumtaz_Mahal
Candy_DeRouge,Thomas_Anders
"Balthasar,_Duke_of_Mecklenburg","Magnus_II,_Duke_of_Mecklenburg"
Penn_Nouth,Norodom_Sihanouk
Babruvahana,Arjuna
Maureen_Cusack,Sorcha_Cusack
Józef_Piłsudski,Walery_Sławek
Thomas_Hardy,Philip_Larkin
Beverley_O'Connor,Jim_Wilson_(sports_journalist)
Bogdan_Borusewicz,Lech_Kaczyński
Tribhuvan_of_Nepal,Prithvi_of_Nepal
Antiochus_II_Theos,Seleucus_II_Callinicus
Chris_Schenkel,Curt_Gowdy
Margaret_Truman,Bess_Truman
Chuck_Harmony_production_discography,Janet_Jackson
Charles_I_of_England,"Mary,_Princess_Royal_and_Princess_of_Orange"
Asri_Muda,Tan_Chee_Khoon
Jefferson–Hemings_controversy,James_Madison
Chris_Stainton,David_Gilmour
Pietro_Badoglio,Victor_Emmanuel_III_of_Italy
René_Préval,Jean-Bertrand_Aristide
Aurangzeb,Aurangabadi_Mahal
Nandita_Berry,Rick_Perry
Natalya_Naryshkina,Peter_the_Great
Richard_Callaway,Daniel_Boone
Prince_Welf_Henry_of_Hanover,"Ernest_Augustus,_Duke_of_Brunswick"
Konstanty_Jacek_Lubomirski,Stanisław_Lubomirski_(1583–1649)
Géza_I_of_Hungary,Ladislaus_I_of_Hungary
"Joseph_II,_Holy_Roman_Emperor",Maria_Theresa
Andrew_D._Hurwitz,Barack_Obama
Bilawal_Bhutto_Zardari,Benazir_Bhutto
Hasan_Tawfiq,Gamal_Abdel_Nasser
Chung_Sye-kyun,Kim_Geun-tae
"George_Villiers,_2nd_Duke_of_Buckingham","Katherine_Villiers,_Duchess_of_Buckingham"
Ginuwine,Aaliyah
Peter_III_of_Aragon,James_I_of_Aragon
William_Graves_Sharp,Woodrow_Wilson
Kangxi_Emperor,Shunzhi_Emperor
Donald_Regan,Ronald_Reagan
"Lindsay_Northover,_Baroness_Northover",David_Cameron
Colin_Bryan,Vera_Bryan
Alfred_Józef_Potocki,Franz_Joseph_I_of_Austria
Michael_Henderson,Miles_Davis
"William_Ernest,_Grand_Duke_of_Saxe-Weimar-Eisenach",Princess_Sophie_of_Saxe-Weimar-Eisenach_(1911–1988)
"Zaifeng,_Prince_Chun",Puyi
Donald_Trump,Ivanka_Trump
Stephen_Adams_(politician),Jefferson_Davis
Ira_Coleman,Sting_(musician)
George_IV_of_the_United_Kingdom,Charlotte_of_Mecklenburg-Strelitz
William_Miller_Jenkins,William_McKinley
William_Kneass,John_Quincy_Adams
"Prince_Philippe,_Count_of_Flanders",Prince_Baudouin_of_Belgium
"Pavlos,_Crown_Prince_of_Greece",Princess_Maria-Olympia_of_Greece_and_Denmark
Half-Sack_Epps,Kurt_Sutter
Elliot_Richardson,Elizabeth_II
Early_life_and_career_of_Thomas_Jefferson,William_Short_(American_ambassador)
Don_Beyer,Douglas_Wilder
Cameron_Munter,Mary_Burce_Warlick
Vespasian,Domitian
Anthony_Marx,Carolyn_Martin
"Frances_Grey,_Duchess_of_Suffolk",Lady_Jane_Grey
Nanda_Bayin,Nyaungyan_Min
Kálmán_Széll,Kálmán_Tisza
Prakash_Javadekar,Veerappa_Moily
Michele_Ferrero,Pietro_Ferrero
"Ferdinand_III,_Holy_Roman_Emperor","Leopold_I,_Holy_Roman_Emperor"
Anne_of_Austria,Marie_de'_Medici
Mary_of_Teck,"Prince_Henry,_Duke_of_Gloucester"
Ramon_Lopez_(businessman),Rodrigo_Duterte
1999–2000_Tottenham_Hotspur_F.C._season__Peter_Crouch__1,Peter_Crouch
René-Édouard_Caron,"Frederick_Hamilton-Temple-Blackwood,_1st_Marquess_of_Dufferin_and_Ava"
Margaret_Scobey,George_W._Bush
Frank_Hogan,Robert_F._Kennedy
Alexander_Hamilton,George_Washington
Hugh_Martin,Judy_Garland
Tevfik_Rüştü_Aras,İsmet_İnönü
Ash_Carter,Stephen_Hadley
"Princess_Gabriella,_Countess_of_Carladès","Charlene,_Princess_of_Monaco"
Marie_Anne_de_Bourbon_(1689–1720),Marie_Thérèse_de_Bourbon
James_A._Garfield,Eliza_Garfield
Princess_Irene_of_Greece_and_Denmark,Paul_of_Greece
Kung_Yan-sum,Teddy_Wang
Antonina_Czartoryska,Izabela_Czartoryska
William_Dudley_Ward,Cecil_Beck
Harry_E._Claiborne,Jimmy_Carter
Clarence_Thomas,Ronald_Reagan
James_Madison,Albert_Gallatin
Wenceslaus_I_of_Bohemia,Ottokar_I_of_Bohemia
Anna_Kinberg_Batra,Fredrik_Reinfeldt
Kamanawa_II,Kapaakea
Charles_B._Kornmann,Bill_Clinton
Celâl_Bayar,İsmet_İnönü
Mian_Muhammad_Azhar,Imran_Khan
Empress_Xiaoquancheng,Empress_Xiaoshencheng
Mark_Everson,George_W._Bush
Richard_Asher,Jane_Asher
Liao_Liou-yi,Ma_Ying-jeou
Warren_G._Harding,Calvin_Coolidge
Barry_Grint,Prince_(musician)
Aleksander_August_Zamoyski,Andrzej_Zamoyski
Didymus_Mutasa,Morgan_Tsvangirai
Yvette_Cooper,Chief_Secretary_to_the_Treasury
Udhayanidhi_Stalin,M._K._Stalin
Fernando_Poe_Jr.,Loren_Legarda
Sonam_Dechan_Wangchuck,Jigme_Singye_Wangchuck
"Margaret,_Countess_of_Blois",Alix_of_France
Taung_Pyinthe_(Narathu),Min_Aung_Myat
Manmohan_Singh,A._P._J._Abdul_Kalam
"Judith_of_Flanders,_Countess_of_Northumbria","Henry_IX,_Duke_of_Bavaria"
Reginald_of_Burgundy,Joanna_of_Burgundy
Seymour_Papert,Terry_Winograd
Kristen_Silverberg,George_W._Bush
Philip_IV_of_Spain,Maria_Theresa_of_Spain
Stanislav_Gross,Václav_Klaus
"Robert_Spencer,_2nd_Earl_of_Sunderland",James_II_of_England
William_Phillips_(diplomat),Franklin_D._Roosevelt
William_McKell,Robert_Menzies
Muhammad_Safdar_Awan,Nawaz_Sharif
Josef_Motzfeldt,Nukaaka_Coster-Waldau
Shaan_Shahid,Riaz_Shahid
Alice_of_Namur,"Godfrey_I,_Count_of_Namur"
Dirk_Kempthorne,Larry_Craig
David_Gooding,Michael_Faraday
"William,_Prince_of_Hohenzollern","Franz_Joseph,_Prince_of_Hohenzollern-Emden"
Subhadra,Vasudeva
Mostowfi_ol-Mamalek,Reza_Shah
Derio_Gambaro,Fred_Kratky
Raúl_Alberto_Lastiri,Juan_Perón
Henry_VII_of_England,Henry_VIII_of_England
Lü_Jihong,Jin_Tielin
Diana_Ross,Evan_Ross
Frederick_IV_of_Denmark,Christian_V_of_Denmark
David_Truman,Elizabeth_Topham_Kennan
Prince_August_of_Saxe-Coburg_and_Gotha,Prince_Philipp_of_Saxe-Coburg_and_Gotha
Princess_Helena_of_Waldeck_and_Pyrmont_(1899–1948),Princess_Bathildis_of_Schaumburg-Lippe
"Robert_Allan,_Baron_Allan_of_Kilmahew",Somerset_de_Chair
William_Draper_(MP),Charles_Fleetwood
Tricia_Leigh_Fisher,Eddie_Fisher_(singer)
Adam_Nimoy,Leonard_Nimoy
Princess_Urraca_of_Bourbon-Two_Sicilies,Princess_Maria_Ludwiga_Theresia_of_Bavaria
Archduchess_Maria_Anna_of_Austria_(governor),Elisabeth_Christine_of_Brunswick-Wolfenbüttel
Marcie_Berman_Ries,"John_L._Withers,_II"
George_Turner_(Australian_politician),Chris_Watson
"Eberhard_II,_Duke_of_Württemberg","Eberhard_I,_Duke_of_Württemberg"
Lingeer_Fatim_Beye,Lingeer_Ndoye_Demba
"Mary,_Princess_Royal_and_Princess_of_Orange",Charles_I_of_England
Friedrich_Wilhelm_Joseph_Schelling,Carl_Jung
Khadija_bint_Khuwaylid,Qasim_ibn_Muhammad
Shi_Yan_Ming,Rosie_Perez
Gerphil_Flores,David_Foster
Joseph_P._Kennedy_Sr.,Jean_Kennedy_Smith
Thiri_Yaza_Dewi,Laygyun_Mibaya
Alfonso_López_Michelsen,Carlos_Lleras_Restrepo
Tony_Luchetti,Ben_Chifley
Sibylle_of_Cleves,"Johann_Wilhelm,_Duke_of_Saxe-Weimar"
Melanie_Johnson,Tony_Blair
Stevie_Salas,Rod_Stewart
Carter_Kane,Ramesses_II
Stephen_Marglin,John_Maynard_Keynes
George_II_of_Bulgaria,Theodore_Svetoslav_of_Bulgaria
Cyrus_Vance,Jimmy_Carter
Richard_J._F._Day,Michel_Foucault
Mark_Ledford,Faith_Evans
Bob_Gibbs_(Australian_politician),Jo-Ann_Miller
Ferdinand_Marcos,Cesar_Virata
Gulzarilal_Nanda,Indira_Gandhi
Ethan_A._Hitchcock_(Interior),Theodore_Roosevelt
Michael_Fabricant,David_Cameron
"Louis_I,_Duke_of_Bourbon","Peter_I,_Duke_of_Bourbon"
Otto_Abetz,Adolf_Hitler
Astyages,Cyrus_the_Great
Otto_Lang,Bryce_Mackasey
Isabella_of_Austria,Joanna_of_Castile
Eliseo_Mendoza_Berrueto,José_de_las_Fuentes_Rodríguez
Henrique_de_Barros_Gomes,Carlos_I_of_Portugal
"George_Christian,_Landgrave_of_Hesse-Homburg",Margaret_Elisabeth_of_Leiningen-Westerburg
Bob_Kerrey,Charles_Thone
Michael_Sata,Rupiah_Banda
Anwar_Nusseibeh,Sari_Nusseibeh
Philip_Basset,"Hugh_le_Despencer,_1st_Baron_le_Despencer"
Jean-Jacques_Willmar,William_III_of_the_Netherlands
Archduke_Ludwig_Salvator_of_Austria,"Leopold_II,_Grand_Duke_of_Tuscany"
Humaira_Begum,Muhammed_Nadir_Khan
Mashonda,Swizz_Beatz
Princess_Anna_Maria_of_Sweden,Gustav_I_of_Sweden
Rana_Bahadur_Shah,Rajendra_Rajya_Laxmi_Devi
Henryk_IV_Probus,Leszek_II_the_Black
Napoleon,Louis_XVIII_of_France
Athinkhaya,Thihathu
Terry_Stratton,Brian_Mulroney
Peter_Asher,James_Taylor
Amitabh_Bachchan,Harivansh_Rai_Bachchan
David_Hurley,Marie_Bashir
Allen_Dulles,John_F._Kennedy
Wen_Jiabao,Zeng_Qinghong
Sten_Sture_the_Elder,Charles_VIII_of_Sweden
André_Breton,Leon_Trotsky
Edmund_Barton,Henry_Copeland_(Australian_politician)
Emperor_Gaozong_of_Tang,Li_Shangjin
Linda_Lewis,Rod_Stewart
