"Sydney_Buxton,_1st_Earl_Buxton",Prince_Arthur_of_Connaught
William_R._Rivkin,Robert_S._Rivkin
"Marie_de_Bourbon,_Countess_of_Soissons","Emmanuel_Philibert,_Prince_of_Carignano"
Charles_Arbuthnot,Edmond_Alexander_MacNaghten
"Alfonso_III_d'Este,_Duke_of_Modena","Francesco_I_d'Este,_Duke_of_Modena"
Kyle_Townsend,Celine_Dion
Adisaya_Suriyabha,Chulalongkorn
"Philip_II,_Duke_of_Savoy",Louise_of_Savoy
Max_Born,Bertha_Swirles
Mary_Leakey,Jonathan_Leakey
Colin_Powell,John_Negroponte
Cal_Lampley,Miles_Davis
Tom_Tancredo,Mike_Coffman
Peter_III_of_Aragon,James_II_of_Aragon
Gertrude_of_Süpplingenburg,"Lothair_II,_Holy_Roman_Emperor"
Paul_Volcker,Alan_Greenspan
Chlothar_I,Chram
Thado_Minbya,Soe_Min_Kodawgyi
Carmela_Corleone,Michael_Corleone
Sheila_Dikshit,Nikhil_Kumar
Hassan_Rouhani,Akbar_Hashemi_Rafsanjani
Hjalmar_Branting,Gustaf_V_of_Sweden
Najib_Razak,Abdul_Razak_Hussein
Alfonso_XIII_of_Spain,"Alfonso,_Prince_of_Asturias_(1907–1938)"
Elisa_Bonaparte,Letizia_Ramolino
"Frederick_Francis_II,_Grand_Duke_of_Mecklenburg-Schwerin","Frederick_Francis_III,_Grand_Duke_of_Mecklenburg-Schwerin"
"Rudolf_I,_Margrave_of_Baden-Baden","Rudolf_II,_Margrave_of_Baden-Baden"
Kim_Jong-un,Kim_Jong-il
Princess_Nobuko_Asaka,Emperor_Meiji
"Thomas_Grey,_1st_Marquess_of_Dorset",Eleanor_Grey
Mary_Margaret_Blanchard,Evil_Queen_(Disney)
Gustav_I_of_Sweden,John_III_of_Sweden
Michael_Cullen_(politician),Helen_Clark
Judy_Agnew,Richard_Nixon
Wale_(rapper),Mark_Ronson
"John_Frederick,_Margrave_of_Brandenburg-Ansbach","Albert_II,_Margrave_of_Brandenburg-Ansbach"
Bill_Clinton,George_H._W._Bush
Balša_II,Ruđina_Balšić
Shirley_Hufstedler,Lyndon_B._Johnson
Margaret_of_Brandenburg,"Albert_III,_Margrave_of_Brandenburg-Salzwedel"
"Frances_Grey,_Duchess_of_Suffolk",Lady_Catherine_Grey
Seeley_Booth,Hart_Hanson
Prince_Francis_Xavier_of_Saxony,Maria_Josepha_of_Austria
Philip_I_of_France,Henry_I_of_France
Peter_Robinson_(Northern_Ireland_politician),Naomi_Long
Milt_Raskin,Tommy_Dorsey
"Frederick_II,_Elector_of_Saxony","Albert_III,_Duke_of_Saxony"
Jim_Garner_(American_politician),Kathleen_Sebelius
Steele_Hall,David_Boundy
Tracie_Spencer,Shanice
Greg_Hands,Theresa_May
Saw_Hnit_of_Toungoo,Saw_Sala_of_Toungoo
Kin_Moy_(diplomat),Barack_Obama
Samuel_Smith_(Connecticut_politician),John_Belding
Muhammed_bin_Saud_Al_Saud,Ibn_Saud
Ruth_Lynden-Bell,Jennifer_Barnes
Maud_of_Normandy,Gunnora
Glenn_Rhee,Charlie_Adlard
Neil_Hamilton_(politician),Diane_James
Demetrios_Doukas_Komnenos_Koutroules,Michael_II_Komnenos_Doukas
Jayne_Marie_Mansfield,Jayne_Mansfield
Jimmy_Radcliffe,Aretha_Franklin
Trevor_Manuel,Jeff_Radebe
"George_Spencer,_4th_Duke_of_Marlborough","William_Cavendish,_4th_Duke_of_Devonshire"
Tim_Hitchens,Tony_Blair
David_Lange,Geoffrey_Palmer_(politician)
Sa'id_of_Egypt,Isma'il_Pasha
Hermann_Jónasson,Ásgeir_Ásgeirsson
"Charles_of_Saxony,_Duke_of_Courland",Princess_Maria_Christina_of_Saxony_(1770–1851)
"Constance_of_Sicily,_Queen_of_Aragon",Violant_of_Hungary
Diosdado_Macapagal,Ferdinand_Marcos
"Charles_Pelham,_4th_Earl_of_Yarborough","Robert_St_Clair-Erskine,_4th_Earl_of_Rosslyn"
Paul_Bremer,Jalal_Talabani
"Henry_the_Middle,_Duke_of_Brunswick-Lüneburg",Anna_of_Nassau-Dillenburg
"Thomas_Howard,_2nd_Duke_of_Norfolk","John_Howard,_1st_Duke_of_Norfolk"
"Margaret_Holland,_Duchess_of_Clarence","Thomas_Holland,_2nd_Earl_of_Kent"
Walter_Folger_Brown,Herbert_Hoover
Bogusław_Radziwiłł,Ludwika_Karolina_Radziwiłł
"Julius_Henry,_Duke_of_Saxe-Lauenburg",Maria_of_Brunswick-Lüneburg
Princess_Elena_of_Romania,Princess_Margareta_of_Romania
William_Calle,Ollanta_Humala
Thado_Minbya,Thado_Hsinhtein_of_Tagaung
Johanna_Magdalene_of_Saxe-Weissenfels,Benigna_Gottlieb_von_Trotha_gt_Treyden
Mamie_Eisenhower,Jacqueline_Kennedy_Onassis
Sian_Elias,Michael_Hardie_Boys
"Matilda_of_Savoy,_Queen_of_Portugal","Amadeus_III,_Count_of_Savoy"
John_Thomas_Dunlop,Gerald_Ford
Kim_Booth,Nick_McKim
