Terry_Rhoads,Lise_Simms
Marnie_Andrews,Jeff_Jacobson_(photographer)
Rukmani_Devi,Eddie_Jayamanne
Princess_Romanework,Beyene_Merid
Mel_Levine,Connie_Bruck
John_Davis_Lodge,Francesca_Braggiotti
Joris_Ivens,Marceline_Loridan-Ivens
Mallika_Sukumaran,Sukumaran
Coral_Lansbury,George_Edwards_(actor)
Diane_Cilento,Anthony_Shaffer_(writer)
Karin_Dor,Harald_Reinl
Jerry_A._Shields,Carol_Shields_(ophthalmologist)
Mehmed_the_Conqueror,Emine_Gülbahar_Hatun
Mina_Fonda_Ochtman,Leonard_Ochtman
"Helena_of_Serbia,_Queen_of_Hungary",Béla_II_of_Hungary
William_V._Roth_Jr.,Jane_Richards_Roth
John_Glenn,Annie_Glenn
Wenceslaus_I_of_Bohemia,Kunigunde_of_Hohenstaufen
David_Brian,Lorna_Gray
Sarah-Jane_Potts,Joseph_Millson
Ermesinda_of_Bigorre,Ramiro_I_of_Aragon
Rajesh_Sharma_(actor),Sudipta_Chakraborty
Anne_Fine,Kit_Fine
Alice_M._Batchelder,William_G._Batchelder
Alysia_Reiner,David_Alan_Basche
"William_FitzClarence,_2nd_Earl_of_Munster","Wilhelmina_FitzClarence,_Countess_of_Munster"
Ursula_of_Brandenburg,"Henry_V,_Duke_of_Mecklenburg"
Grand_Duke_Michael_Nikolaevich_of_Russia,Olga_Feodorovna_of_Baden
Janine_Lindemulder,Jesse_James_(customizer)
Manjula_Vijayakumar,Vijayakumar_(actor)
Ragnhild_Sigurdsdotter,Halfdan_the_Black
Clark_Gable,Sylvia_Ashley
Ruslana,Oleksandr_Ksenofontov
Bettina_Moissi,Heinz_Berggruen
"William_Cavendish-Bentinck,_3rd_Duke_of_Portland","Dorothy_Bentinck,_Duchess_of_Portland"
Bill_Henrickson,Barbara_Henrickson
Peter_Sellers,"Miranda,_Countess_of_Stockton"
Grand_Duke_Andrei_Vladimirovich_of_Russia,Mathilde_Kschessinska
June_Helm,Richard_MacNeish
Christopher_Britton_(actor),Gwynyth_Walsh
Vakhtang_I_of_Iberia,Balendukht
"Princess_Charlotte,_Duchess_of_Valentinois","Prince_Pierre,_Duke_of_Valentinois"
Kamehameha_IV,Queen_Emma_of_Hawaii
Bramwell_Booth,Florence_Eleanor_Soper
Eduardo_Palomo,Carina_Ricco
Edie_Parker,Jack_Kerouac
"Henry_Richardson_Labouisse,_Jr.",Ève_Curie
Michael_Zaslow,Joanne_Dorian
Countess_Charlotte_of_Dohna-Leistenau,Prince_Karl_Anton_August_of_Schleswig-Holstein-Sonderburg-Beck
Jorge_Gutierrez_(animator),Sandra_Equihua
Dana_Reeve,Christopher_Reeve
Ralph_Bellamy,Ethel_Smith_(organist)
James_Flavin,Lucile_Browne
Susan_Ward,David_C._Robinson
"Maria_Vladimirovna,_Grand_Duchess_of_Russia",Prince_Franz_Wilhelm_of_Prussia
Princess_Mathilde_Sophie_of_Oettingen-Oettingen_and_Oettingen-Spielberg,"Maximilian_Karl,_6th_Prince_of_Thurn_and_Taxis"
Adolf_III_of_the_Marck,Margaret_of_Jülich
Yoshimitsu_Shimoyama,Satomi_Arai
Ann_Augustine,Jomon_T._John
Dimple_Yadav,Akhilesh_Yadav
Guru_Gobind_Singh,Mata_Jito
Jacques_Vergès,Djamila_Bouhired
Walter_Capps,Lois_Capps
Gábor_Csupó,Arlene_Klasky
Anna_Maria_Komorowska,Patrick_d'Udekem_d'Acoz
Coral_Lansbury,Malcolm_Turnbull
Albert_Gore_Sr.,Pauline_LaFon_Gore
Charles_Langlois_(politician),Edna_O'Brien
Mécia_Lopes_de_Haro,Álvaro_Pérez_de_Castro
Ngapoi_Ngawang_Jigme,Ngapoi_Cedain_Zhoigar
"John_II,_Duke_of_Saxe-Lauenburg",Elizabeth_of_Holstein-Rendsburg
Julia_Campbell,Jay_Karnes
Karen_Young_(actress),Tom_Noonan
Charles_Brabin,Theda_Bara
Salka_Viertel,Berthold_Viertel
"Sydney,_Lady_Morgan",Thomas_Charles_Morgan
John_Gray_(director),Melissa_Jo_Peltier
May_Booth_Talmage,James_E._Talmage
Maximilian_Schell,Iva_Mihanovic
"Hariot_Hamilton-Temple-Blackwood,_Marchioness_of_Dufferin_and_Ava","Frederick_Hamilton-Temple-Blackwood,_1st_Marquess_of_Dufferin_and_Ava"
Olwyn_Enright,Joe_McHugh
Justin_Hartley,Lindsay_Hartley
Narjis,Hasan_al-Askari
Mahitab_Kadın,Abdülmecid_I
Albert_Brewer,Martha_Farmer_Brewer
Christine_Baranski,Matthew_Cowles
"Conrad,_Margrave_of_Brandenburg-Stendal",Constance_of_Greater_Poland
Dorothy_Quincy,John_Hancock
Mina_Swaminathan,M._S._Swaminathan
"Miguel,_Duke_of_Braganza",Princess_Elisabeth_of_Thurn_and_Taxis
Helen_Lynd,Robert_Staughton_Lynd
Ingeborg_of_Sweden_(1263–1292),"Gerhard_II,_Count_of_Holstein-Plön"
Nigar_Sultana_(actress),K._Asif
Jane_Pauley,Garry_Trudeau
Lynd_Ward,May_McNeer
"John_I,_Duke_of_Brabant","Margaret_of_France,_Duchess_of_Brabant"
Grace_Vanderbilt,Cornelius_Vanderbilt_III
Kane_Richmond,Marion_Burns
Leonard_Sachs,Eleanor_Summerfield
Agnès_of_Navarre,"Gaston_III,_Count_of_Foix"
Ian_Carmichael,Kate_Fenton
Tod_Williams_(filmmaker),Famke_Janssen
Ingrid_van_Houten-Groeneveld,Cornelis_Johannes_van_Houten
Merlyn_Mantle,Mickey_Mantle
Lucy_Torres,Richard_Gomez
"Robert_II,_Duke_of_Burgundy","Agnes_of_France,_Duchess_of_Burgundy"
Millicent_Martin,Norman_Eshley
Ekaterina_Gubareva,Pavel_Gubarev
Jan_Němec,Ester_Krumbachová
Sharon_Thomas,Christopher_Cain
Roger_Michell,Kate_Buffery
John_Trivers,Liz_Myers
Princess_Auguste_of_Bavaria_(1875–1964),Archduke_Joseph_August_of_Austria
Edvard_Grieg,Nina_Grieg
Eugene_Pallette,Phyllis_Gordon
Allan_Gotlieb,Sondra_Gotlieb
Keiran_Lee,Puma_Swede
Vladimir_Putin,Lyudmila_Putina
Catharina_of_Württemberg,Jérôme_Bonaparte
Frederick_I_of_Württemberg,Duchess_Augusta_of_Brunswick-Wolfenbüttel
Diana_Hoddinott,Harry_Towb
Philip_III_of_Navarre,Joan_II_of_Navarre
Jeanne_Moreau,William_Friedkin
Martina_Colombari,Alessandro_Costacurta
Matt_Besser,Danielle_Schneider
Maria_Dobroniega_of_Kiev,Casimir_I_the_Restorer
Marga_López,Arturo_de_Córdova
Stephen_Edward_Smith,Jean_Kennedy_Smith
Cindy_Sherman,Michel_Auder
Kanako_Higuchi,Shigesato_Itoi
Countess_Palatine_Maria_Franziska_of_Sulzbach,"Frederick_Michael,_Count_Palatine_of_Zweibrücken"
Joby_Baker,Joan_Blackman
Silvia_Pinal,Gustavo_Alatriste
Toni_Ribas,Asa_Akira
Osmund_de_Silva,Ena_de_Silva
Cathleen_Nesbitt,Cecil_Beresford_Ramage
Chan_Parker,Charlie_Parker
Nicolette_Grant,Bill_Henrickson
Jack_Clayton,Haya_Harareet
Gail_O'Grady,Jeffrey_Byron
Felicity_Huffman,William_H._Macy
Azlan_Shah_of_Perak,Tuanku_Bainun
Mercedes_Ruehl,David_Geiser
Cyndy_Garvey,Steve_Garvey
Elizabeth_A._Fenn,Peter_H._Wood
Richeza_of_Berg,"Vladislaus_I,_Duke_of_Bohemia"
Jean-Louis_Barrault,Madeleine_Renaud
Joanna_Lumley,Stephen_Barlow_(conductor)
Theodore_Dwight_Weld,Angelina_Grimké
Duchess_Marie_of_Mecklenburg-Schwerin,Grand_Duke_Vladimir_Alexandrovich_of_Russia
Andrew_Jackson_Donelson,Emily_Donelson
Konstantin_Dejanović,Eudokia_of_Trebizond
Hans_Heinrich_Thyssen-Bornemisza,Carmen_Cervera
Sreenath_Sreenivasan,Roopa_Unnikrishnan
Kim_Kardashian,The_Underdogs_(production_team)
Franklin_Clarence_Mars,Ethel_V._Mars
Alana_Stewart,Rod_Stewart
"Nobuhito,_Prince_Takamatsu","Kikuko,_Princess_Takamatsu"
Ossie_Davis,Ruby_Dee
V._T._Sambanthan,Uma_Sambanthan
Mary_Philips,Kenneth_MacKenna
Bessie_Loo,Richard_Loo
Frank_Wilczek,Betsy_Devine
Norman_Godman,Trish_Godman
Scott_Campbell_(tattoo_artist),Lake_Bell
Brian_Mulroney,Mila_Mulroney
Bayezid_I,Hafsa_Hatun
Lara_Pulver,Raza_Jaffrey
Shiva_Ayyadurai,Fran_Drescher
Kirk_Acevedo,Kiersten_Warren
Elizabeth_Franz,Edward_Binns
Sean_Penn,Robin_Wright
Anita_Louise,Buddy_Adler
David_Butler_(screenwriter),Norma_Ronald
Princess_Franziska_of_Hohenlohe-Waldenburg-Schillingsfürst,Archduke_Maximilian_Eugen_of_Austria
William_A._Brady,Grace_George
"Nancy_Astor,_Viscountess_Astor","Waldorf_Astor,_2nd_Viscount_Astor"
Phillip_Terry,Joan_Crawford
Bill_Hunter_(actor),Pat_Bishop
Nachiket_Dighe,Rucha_Dighe
Nadia_Tass,David_Parker_(director)
Brian_Murphy_(actor),Linda_Regan
José_Mujica,Lucía_Topolansky
Khentkaus_III,Neferefre
"Julius,_Duke_of_Brunswick-Lüneburg","Hedwig_of_Brandenburg,_Duchess_of_Brunswick-Wolfenbüttel"
Lisa_Trusel,David_Wallace_(actor)
Natanael_Beskow,Elsa_Beskow
"Isabella_of_Portugal,_Duchess_of_Burgundy",Philip_the_Good
Anoma_Gamage,Daya_Gamage
Prince_Ernst_August_of_Hanover_(born_1954),Chantal_Hochuli
Princess_Ulrike_Friederike_Wilhelmine_of_Hesse-Kassel,"Frederick_August_I,_Duke_of_Oldenburg"
Michael_Paré,Lisa_Katselas
"Robert_I,_Duke_of_Burgundy","Ermengarde_of_Anjou,_Duchess_of_Burgundy"
Nadia_Tueni,Ghassan_Tueni
Rhett_Butler,Scarlett_O'Hara
Maneka_Gandhi,Sanjay_Gandhi
Xu_Fan,Feng_Xiaogang
Warren_Vanders,Dawn_Bender
Yumi_Shirakawa,Hideaki_Nitani
Wilma_Tisch,Laurence_Tisch
Patrick_Holt,Sandra_Dorne
Guido_Santi,Tina_Mascara
"Pier_Luigi_Farnese,_Duke_of_Parma",Gerolama_Orsini
Avril_Elgar,James_Maxwell_(actor)
Susan_Downey,Robert_Downey_Jr.
Mark_DeCarlo,Yeni_Álvarez
Gisela_Agnes_of_Anhalt-Köthen,"Leopold_II,_Prince_of_Anhalt-Dessau"
Bing_Crosby,Dixie_Lee
Geoffrey_Arend,Christina_Hendricks
Lurline_Matson_Roth,William_M._Roth
Joanna_of_Flanders,John_of_Montfort
Ferenc_Mádl,Dalma_Mádl
Kanako_Mitsuhashi,Kōji_Yusa
Constance_of_Burgundy,Alfonso_VI_of_León_and_Castile
Zahra_Rahnavard,Mir-Hossein_Mousavi
Neelo,Riaz_Shahid
Stephen_Citron,Anne_Edwards
"Louise,_Princess_Royal","Alexander_Duff,_1st_Duke_of_Fife"
Martine_Beswick,John_Richardson_(actor)
Takanori_Nishikawa,Yumi_Yoshimura
Mika_Kikuchi,Yūji_Kishi
Joyce_Aryee,Charles_Wereko-Brobby
Mercy_Ravi,Vayalar_Ravi
"Niccolò_III_d'Este,_Marquis_of_Ferrara",Parisina_Malatesta
Elizabeth_Banks,Max_Handelman
Mahnaz_Afkhami,Gholam_Reza_Afkhami
Jeffrey_Stone,Barbara_Lawrence
Mahatma_Gandhi,Kasturba_Gandhi
Xiomara_Castro,Manuel_Zelaya
Zhang_Youyi,Xu_Zhimo
Talia_Balsam,George_Clooney
Robert_Z._Leonard,Gertrude_Olmstead
Thomas_Oliphant,Susan_Spencer
Joi_Lansing,Lance_Fuller
Manuel_of_Castile,"Constance_of_Aragon,_Lady_of_Villena"
Billy_Hughes,Mary_Hughes
Julia_Bodmer,Walter_Bodmer
Mikhail_Kalinin,Ekaterina_Kalinina
Giulia_Gonzaga,Vespasiano_Colonna
Leopoldine_Marie_of_Anhalt-Dessau,"Frederick_Henry,_Margrave_of_Brandenburg-Schwedt"
Presidency_of_Fidel_Ramos,Amelita_Ramos
Rusudan_of_Circassia,Vakhtang_VI_of_Kartli
Alice_Dunbar_Nelson,Paul_Laurence_Dunbar
Julia_Roberts,Lyle_Lovett
Wisutkasat,Mahathammarachathirat_(king_of_Ayutthaya)
Deborah_Kapule,Kealiiahonui
Raymond_Aubrac,Lucie_Aubrac
Regina_Russell_Banali,Frankie_Banali
Chlothar_I,Radegund
Marguerite_Nichols,Hal_Roach
Eunice_Kennedy_Shriver,Sargent_Shriver
Joan_Didion,John_Gregory_Dunne
Marie_Antoinette,Louis_XVI_of_France
Bruce_Babbitt,Harriet_C._Babbitt
Olivia_Newton-John,Matt_Lattanzi
William_Wyler,Margaret_Tallichet
Clovis_Cornillac,Caroline_Proust
Mary_Fedden,Julian_Trevelyan
Margaret_Sullavan,William_Wyler
Nadya_Hutagalung,Desmond_Koh
Bart_Johnson,Robyn_Lively
Robert_J._Cotter,Catherine_Clarke_Fenselau
Clive_Donner,Jocelyn_Rickards
Fredrik_Reinfeldt,Filippa_Reinfeldt
Conrad_Hall,Katharine_Ross
Sanda_Dewi,Minkhaung_of_Prome
"Albert_V,_Duke_of_Bavaria",Archduchess_Anna_of_Austria
Iris_Weinshall,Chuck_Schumer
Max_Reinhardt_(publisher),Margaret_Leighton
Rick_Dees,Julie_McWhirter
Liz_Torres,Peter_Locke_(producer)
Francis_Coleman,Ann_Beach
"Prince_Augustus_Frederick,_Duke_of_Sussex",Lady_Augusta_Murray
Lesley-Anne_Down,Don_E._Fauntleroy
Louise_Fazenda,Hal_B._Wallis
Yorozuya_Kinnosuke,Keiko_Awaji
"Rosalind_Hamilton,_Duchess_of_Abercorn","James_Hamilton,_3rd_Duke_of_Abercorn"
Alice_Liddell,Reginald_Hargreaves
"Francis,_Duke_of_Saxe-Coburg-Saalfeld",Princess_Sophie_of_Saxe-Hildburghausen
Luluk_Purwanto,Rene_van_Helsdingen
Wenceslaus_II_of_Bohemia,Judith_of_Habsburg
Ralph_Forbes,Ruth_Chatterton
Ellen_Goldsmith-Vein,Jon_F._Vein
Ben_Nicholson,Winifred_Nicholson
Len_Sassaman,Meredith_L._Patterson
Catulle_Mendès,Judith_Gautier
"Henri,_Prince_of_Condé_(1588–1646)",Charlotte_Marguerite_de_Montmorency
Cécile_DeWitt-Morette,Bryce_DeWitt
Auberon_Waugh,Lady_Teresa_Waugh
Anne_Marie_Ottersen,Lasse_Lindtner
Rosa_Beddington,Robin_Denniston
Mark_Salzman,Jessica_Yu
"Theodoric_I,_Margrave_of_Meissen",Jutta_of_Thuringia
Wallace_McCain,Margaret_McCain
Kabir_Bedi,Nikki_Bedi
"Susan_de_Vere,_Countess_of_Montgomery","Philip_Herbert,_4th_Earl_of_Pembroke"
Princess_Mabereng_Seeiso_of_Lesotho,Prince_Seeiso_of_Lesotho
Urraca_of_León,Alfonso_the_Battler
Yusaku_Matsuda,Miyuki_Matsuda
Lucille_P._Markey,Gene_Markey
Jennifer_Rubin_(actress),Elias_Koteas
Julian_Ovenden,Kate_Royal
Marcell_Siahaan,Rima_Melati_Adams
Luma_de_Oliveira,Eike_Batista
Kalākua_Kaheiheimālie,Kamehameha_I
Bruce_Abbott,Linda_Hamilton
James_O'Loghlin,Lucy_Bell
Peter_Bergman_(comedian),Maryedith_Burrell
"Margaret_Stewart,_Dauphine_of_France",Louis_XI_of_France
Daniel_Lapaine,Fay_Ripley
Prince_Henry_of_Prussia_(1862–1929),Princess_Irene_of_Hesse_and_by_Rhine
Emperor_Kanmu,Fujiwara_no_Otomuro
"Mateo_de_Toro_Zambrano,_1st_Count_of_La_Conquista",Nicolasa_Valdés
Ginger_Zee,Ben_Aaron
Ben_Carson,Candy_Carson
David_Jeremiah_Barron,Juliette_Kayyem
Louise_Huebner,Mentor_Huebner
Chen_Hong_(actress),Chen_Kaige
"Leopold_II,_Grand_Duke_of_Tuscany",Princess_Maria_Antonia_of_the_Two_Sicilies
Alfred_Jensen,Regina_Bogat
Bella_Akhmadulina,Yuri_Nagibin
Claire_Dux,Hans_Albers
Margarida_Cordeiro,António_Reis
Rainn_Wilson,Holiday_Reinhorn
Juliana_of_Stolberg,"William_I,_Count_of_Nassau-Dillenburg"
Sudipta_Chakraborty,Rajesh_Sharma_(actor)
Leonie_Sandercock,John_Friedmann
Rhea_Pillai,Leander_Paes
Tiye,Amenhotep_III
Sally_Eilers,Hoot_Gibson
Lydia_Hearst,Chris_Hardwick
Pippa_Scott,Lee_Rich
Prince_Pedro_Henrique_of_Orléans-Braganza,Princess_Maria_Elisabeth_of_Bavaria
Frederick_William_IV_of_Prussia,Elisabeth_Ludovika_of_Bavaria
Bodhi_Elfman,Jenna_Elfman
Jon_Rubinstein,Karen_Richardson
"William_FitzAlan,_Lord_of_Oswestry",Isabella_de_Say
Parvathamma_Rajkumar,Rajkumar_(actor)
Susan_Blanchard_(socialite),Richard_Widmark
"Sophia_Jagiellon,_Margravine_of_Brandenburg-Ansbach","Frederick_I,_Margrave_of_Brandenburg-Ansbach"
Lü_Liping,Zhang_Fengyi
Wu_Zuguang,Xin_Fengxia
Tauese_Sunia,Fagaoalii_Satele_Sunia
Mahesh_Bhatt,Soni_Razdan
Egon_von_Fürstenberg,Diane_von_Fürstenberg
Tom_Baldwin_(The_4400),Alana_Mareva
Princess_Louise_of_Denmark_(1726–1756),"Ernest_Frederick_III,_Duke_of_Saxe-Hildburghausen"
Jack_Nance,Kelly_Jean_Van_Dyke
Emily_Nussbaum,Clive_Thompson_(journalist)
Janet_Maslin,Benjamin_Cheever
John_W._Blodgett,Minnie_Cumnock_Blodgett
Kelley_Menighan_Hensley,Jon_Hensley
"Marie_of_Prussia,_Margravine_of_Brandenburg-Bayreuth","Christian,_Margrave_of_Brandenburg-Bayreuth"
"John_Devereux,_1st_Baron_Devereux",Margaret_de_Vere
Avi_Lewis,Naomi_Klein
"René_II,_Duke_of_Lorraine",Philippa_of_Guelders
Shirley_Knight,John_Hopkins_(writer)
Helle_Fagralid,Ole_Bornedal
Kasi_Lemmons,Vondie_Curtis-Hall
Matthias_Corvinus,Beatrice_of_Naples
Sabina_Franklyn,John_Challis
Melissa_Miles_McCarter,William_Matthew_McCarter
Sibylla_of_Anhalt,"Frederick_I,_Duke_of_Württemberg"
Luisella_Boni,Daniele_D'Anza
Anna_Porter,Julian_Porter
Robert_Fisk,Lara_Marlowe
Prince_Yamashina_Akira,Princess_Sumiko
Amy_Ashwood_Garvey,Marcus_Garvey
Mildred_Gale,Lawrence_Washington_(1659–1698)
Frank_Faylen,Carol_Hughes_(actress)
Michael_Denison,Dulcie_Gray
Radama_I,Ranavalona_I
Kim_Zolciak,Kroy_Biermann
Liam_Neeson,Natasha_Richardson
Mark_Canton,Wendy_Finerman
"Leopold_IV,_Duke_of_Austria",Catherine_of_Burgundy
Hugh_Sinclair_(actor),Rosalie_Williams
Fanny_Brice,Nicky_Arnstein
Ann_Goldstein_(curator),Christopher_Williams_(American_artist)
Patricia_Gibson,Kenneth_Gibson_(Scottish_politician)
Ermentrude_de_Roucy,"Otto-William,_Count_of_Burgundy"
Eva_Aeppli,Jean_Tinguely
John_Ladenburg,Connie_Ladenburg
Elizabeth_Rees-Williams,Richard_Harris
Bonita_Granville,Jack_Wrather
Ghatotkacha,Ahilawati
Pixodarus,Idrieus
John_Mollo,Ann_Mollo
"Charles_II,_Margrave_of_Baden-Durlach",Anna_of_Veldenz
Humaira_Begum,Mohammed_Zahir_Shah
Billy_Rose,Fanny_Brice
"Maximilian_de_Beauharnais,_3rd_Duke_of_Leuchtenberg",Grand_Duchess_Maria_Nikolaevna_of_Russia_(1819–1876)
Beverly_Byron,Goodloe_Byron
Stanley_Wojcicki,Esther_Wojcicki
Mariah_O'Brien,Giovanni_Ribisi
Suriya,Jyothika
"John_Hastings,_3rd_Earl_of_Pembroke","Elizabeth_of_Lancaster,_Duchess_of_Exeter"
Lisa_Chess,Michael_Pressman
Elisabeth_Charlotte_of_Anhalt-Harzgerode,"Augustus,_Duke_of_Schleswig-Holstein-Sonderburg-Plön-Norburg"
Ferdinand_Marcos,Imelda_Marcos
Katharina_von_Bora,Martin_Luther
Mary_Ure,John_Osborne
Duchess_Jutta_of_Mecklenburg-Strelitz,"Danilo,_Crown_Prince_of_Montenegro"
Paul_Wong_(musician),Athena_Chu
John_Wayne,Esperanza_Baur
Ashlee_Simpson,Evan_Ross
Bob_Crane,Sigrid_Valdis
Mitzi_Martin,Josh_Todd
Patrick_Nielsen_Hayden,Teresa_Nielsen_Hayden
Tiger_Prabhakar,Anju_(actress)
Kyansittha,Khin_Tan
"Johann_II,_Duke_of_Saxe-Weimar",Dorothea_Maria_of_Anhalt
Hugh_Parker_Guiler,Anaïs_Nin
Blossom_Seeley,Rube_Marquard
Dehra_Parker,Robert_Chichester
Nahienaena,Kamehameha_III
Dan_Hicks_(sportscaster),Hannah_Storm
Constance_Lloyd,Oscar_Wilde
Hedwig_of_Saxony,Hugh_the_Great
Raimondo_Del_Balzo_Orsini,Mary_of_Enghien
Emanuel_S._Clenlans,Ophelia_Clenlans
Przemysław_Sadowski,Agnieszka_Warchulska
Laura_San_Giacomo,Cameron_Dye
Dewi_Sukarno,Sukarno
Helen_Vinson,Fred_Perry
Gloria_Bejarano_Almada,Rafael_Ángel_Calderón_Fournier
Beth_Rudin_DeWoody,James_DeWoody
Yvonne_Clays_Spoelders,Rafael_Ángel_Calderón_Guardia
Cindy_Crawford,Richard_Gere
Jehanne_d'Alcy,Georges_Méliès
Louise_Elisabeth_of_Württemberg-Oels,"Philipp,_Duke_of_Saxe-Merseburg-Lauchstädt"
Jemima_Goldsmith,Imran_Khan
Aurangzeb,Dilras_Banu_Begum
Tammy_Faye_Messner,Jim_Bakker
Loretta_Young,Grant_Withers
Ellen_Kushner,Delia_Sherman
Blanca_de_La_Cerda_y_Lara,"Juan_Manuel,_Prince_of_Villena"
Anu_Prabhakar,Raghu_Mukherjee
Enid_Hammerman,William_R._Rivkin
Susan_Bayh,Evan_Bayh
Frederika_Louisa_of_Hesse-Darmstadt,Frederick_William_II_of_Prussia
Parag_Tyagi,Shefali_Zariwala
Prince_Hermann_of_Saxe-Weimar-Eisenach_(1825–1901),Princess_Augusta_of_Württemberg
Kay_Laurell,Winfield_Sheehan
Subhalekha_Sudhakar,S._P._Sailaja
Anna_of_Tyrol,"Matthias,_Holy_Roman_Emperor"
Charles_Stewart_Parnell,Katharine_O'Shea
Mary_of_Baux-Orange,John_III_of_Chalon-Arlay
Wendy_Cope,Lachlan_Mackinnon
Tom_Hayden,Jane_Fonda
Tracey_Holmes,Stan_Grant_(journalist)
Jacki_Weaver,Derryn_Hinch
Anthea_Sylbert,Richard_Romanus
Nusrat_Imrose_Tisha,Mostofa_Sarwar_Farooki
Empress_Suiko,Emperor_Bidatsu
Ava_Helen_Pauling,Linus_Pauling
Francisco_Gattorno,Cynthia_Klitbo
Arnon_Milchan,Amanda_Coetzer
Satomi_Kōrogi,Shigeru_Nakahara
David_VIII_of_Georgia,Oljath
Louise_Stanley,Dennis_O'Keefe
Dilip_Kumar,Saira_Banu
Tessa_Jowell,Roger_Jowell
Felicity_Lott,Gabriel_Woolf
Frank_Fay_(American_actor),Barbara_Stanwyck
Patricia_Duff,Mike_Medavoy
Shannon_Stubbs,Shayne_Saskiw
Sudeshna,Virata
Meisa_Kuroki,Jin_Akanishi
Ed_McGowin,Claudia_DeMonte
Ricky_Groves,Hannah_Waterman
Jessica_Drake,Evan_Stone
George_W._Collins,Cardiss_Collins
June_Diane_Raphael,Paul_Scheer
Johannes_B._Kerner,Britta_Becker
Peter_Halliday,Simone_Lovell
Eskinder_Nega,Serkalem_Fasil
"Ulrika_Eleonora,_Queen_of_Sweden",Frederick_I_of_Sweden
Kamakaimoku,Kalaninuiamamao
Harry_Lehrer,Anne_T._Hill
Nick_Coleman,Deborah_Howell
Veronica_Lario,Silvio_Berlusconi
Peter_Copley,Pamela_Brown_(actress)
Fredericka_Elisabeth_of_Saxe-Eisenach,"Johann_Georg,_Duke_of_Saxe-Weissenfels"
Éva_Viczay,Pál_Esterházy_(1587–1645)
Tom_Bates,Loni_Hancock
Emma_Darwin,Charles_Darwin
Kathy_Acker,Peter_Gordon_(composer)
Mrs_Patrick_Campbell,George_Cornwallis-West
Flor_Silvestre,Antonio_Aguilar
Robert_Wells_(songwriter),Lisa_Kirk
Vikram_Krishna,Sriya_Reddy
Tony_Blair,Cherie_Blair
John_Clark_(actor),Lynn_Redgrave
Christina_Kirk,John_Hamburg
Frances_Shand_Kydd,Peter_Shand_Kydd
Olive_Osmond,George_Osmond
Waltrude_Schleyer,Hanns_Martin_Schleyer
Francesca_Buller,Ben_Browder
Emilio_Estevez,Paula_Abdul
Mutsu_Hirokichi,Iso_Mutsu
Kanwar_Arsalan,Fatima_Effendi
Arundhati_Devi,Tapan_Sinha
La_La_Anthony,Carmelo_Anthony
Juergen_Teller,Sadie_Coles
Kate_Gerbeau,Pierre-Yves_Gerbeau
Gianluca_Crisafi,Perla_Liberatori
Manav_Gohil,Shweta_Kawatra
Svetlana_Alliluyeva,Yuri_Zhdanov
Henry_Bilson-Legge,"Mary_Hill,_Countess_of_Hillsborough"
Marguerite_Florence_Laura_Jarvis,Caradoc_Evans
Yōichi_Kotabe,Reiko_Okuyama
Khairul_Khalil,Princess_Majeedah_Bolkiah
Aguas_Santas_Ocaña_Navarro,Ricardo_Maduro
William_%22Bill%22_Walker,Peggy_Cartwright
Ilene_Woods,Ed_Shaughnessy
Margaret_Lawrence_(actress),Wallace_Eddinger
Virginia_Cherrill,Cary_Grant
Vic_Sotto,Pauleen_Luna
Ola_Rapace,Noomi_Rapace
Jan_Rubeš,Susan_Douglas_Rubes
Rose_Doudou_Guéï,Robert_Guéï
Phyllis_Coates,Richard_L._Bare
Terry_Duggan,Anna_Karen
