Imperial_Noble_Consort_Zhuangjing,Xianfeng_Emperor
Lorne_Michaels,Rosie_Shuster
"Constance_of_Sicily,_Queen_of_Cyprus",John_of_Lusignan
Robert_Viharo,Jeane_Manson
John_Stride,Virginia_Stride
Julia_V._Taft,William_Howard_Taft_IV
Brendan_Byrne,Jean_Byrne
Bradford_Tatum,Stacy_Haiduk
Assumpta_Serna,Scott_Cleverdon
Jake_La_Botz,Abby_Brammell
Hannah_Milhous_Nixon,Francis_A._Nixon
Duchess_Marie_Gabrielle_in_Bavaria,"Rupprecht,_Crown_Prince_of_Bavaria"
Kashibai,Bajirao_I
Lex_Lang,Sandy_Fox
Jane_Morgan,Jerry_Weintraub
Terence_De_Marney,Beryl_Measor
Sanell_Aggenbach,Brett_Murray
"Otto,_Count_of_Ballenstedt",Eilika_of_Saxony
Martin_I_of_Sicily,Blanche_I_of_Navarre
Elizabeth_Chifley,Ben_Chifley
Bae_Yong-joon,Park_Soo-jin
Kay_Robertson,Phil_Robertson
George_Fox,Margaret_Fell
"Jean_I,_Duke_of_Alençon","Marie_of_Brittany,_Lady_of_La_Guerche"
"Afonso_I,_Duke_of_Braganza",Beatriz_Pereira_de_Alvim
Edward_Albert,Katherine_Woodville_(actress)
Sakthi_Saravanan,Sangita_Madhavan_Nair
"Elizabeth_of_Hungary,_Queen_of_Serbia",Zavis_of_Falkenstein
Marek_Sobieski,Jadwiga_Snopkowska
Moti_Lal_Bohora,Mithila_Sharma
Mustafa_Pultar,Gönül_Pultar
Marta_Suplicy,Luis_Favre
Ashley_Hamilton,Angie_Everhart
Mary_Hyde,Simeon_Lord
"Frederica_Mildmay,_Countess_of_Mértola","Benjamin_Mildmay,_1st_Earl_FitzWalter"
Jill_Esmond,Laurence_Olivier
Eustace_fitz_John,Beatrix_de_Vesci
Jane_Fonda,Ted_Turner
Ingelger,Adelais_of_Amboise
"Susan_de_Vere,_Countess_of_Montgomery","Philip_Herbert,_4th_Earl_of_Pembroke"
Ulupi,Arjuna
Atula_Sanda_Dewi_of_Pinya,Kyawswa_I_of_Pinya
Princess_Marie_of_Prussia_(1855–1888),Prince_Albert_of_Saxe-Altenburg
Marek_Perepeczko,Agnieszka_Perepeczko
Alice_Heine,"Albert_I,_Prince_of_Monaco"
Milos_Milos,Cynthia_Bouron
Elizabeth_Taylor,Michael_Wilding_(actor)
John_Minnis,Karen_Minnis
Mehmed_V,Dilfirib_Kadın
Jaya_Bachchan,Amitabh_Bachchan
Concino_Concini,Leonora_Dori
Naomi_Bennett,Sam_Bennett_(Private_Practice)
Kate_Garner,Emit_Bloch
Anita_Yuen,Julian_Cheung
Sophia_Dorothea_of_Celle,George_I_of_Great_Britain
Patriarch_Philaret_of_Moscow,Xenia_Shestova
Margarita_Fischer,Harry_A._Pollard
Adoniram_Judson,Emily_Chubbuck
John_Owen_Dominis,Liliuokalani
Wang_Guangmei,Liu_Shaoqi
Laxmikant_Berde,Priya_Arun
John_Cramer_(Australian_politician),Mary_Cramer
Ghislaine_Dommanget,"Louis_II,_Prince_of_Monaco"
Clementina_Teti-Tomassi,Tony_Tomassi
"Princess_Pauline,_Duchess_of_Sagan","Friedrich_Hermann_Otto,_Prince_of_Hohenzollern-Hechingen"
Carlos_Thompson,Lilli_Palmer
Marc_Maron,Mishna_Wolff
Norodom_Kanviman_Norleak_Tevi,Sisowath_Monivong
Effie_Gray,John_Ruskin
Elisabeth_Murdoch_(philanthropist),Keith_Murdoch
Slim_Keith,"Kenneth_Keith,_Baron_Keith_of_Castleacre"
Yaza_Dewi_of_Pegu,Bayinnaung
Princess_Amalie_Zephyrine_of_Salm-Kyrburg,"Anton_Aloys,_Prince_of_Hohenzollern-Sigmaringen"
Dev_Anand,Kalpana_Kartik
Arkan,Ceca_(singer)
Saw_Hnit,Pwa_Saw_of_Thitmahti
Philip_V_of_Spain,Maria_Luisa_of_Savoy
Mark_Rosenberg,Paula_Weinstein
Olwen_Wymark,Patrick_Wymark
Vernon_Kay,Tess_Daly
Serge_Segay,Ry_Nikonova
Jack_Layton,Olivia_Chow
Bruce_Babbitt,Harriet_C._Babbitt
Myriam_Ullens,Guy_Ullens
Tyrone_Power,Linda_Christian
Emma_Eames,Emilio_de_Gogorza
Joko_Widodo,Iriana_Joko_Widodo
Kelvin_Thomson,Marsha_Thomson
Ericka_Huggins,John_Huggins
Alexandre-Athenase_Noghès,"Princess_Antoinette,_Baroness_of_Massy"
Anna_of_Mecklenburg,Gotthard_Kettler
Maisie_Ward,Frank_Sheed
Klaus_Iohannis,Carmen_Iohannis
William_E._Stevenson,Sarah_Clotworthy_Stevenson
"William_IV,_Grand_Duke_of_Luxembourg",Infanta_Marie_Anne_of_Portugal
Wanda_Nara,Mauro_Icardi
Anne_Gust,Jerry_Brown
Kalinikia,Radu_I_of_Wallachia
Friedrich_Schiller,Charlotte_von_Lengefeld
Bernard_J._Ridder,Georgia_B._Ridder
Dwaine_Caraway,Barbara_Mallory_Caraway
Son_Tae-young,Kwon_Sang-woo
Grand_Duke_Dmitri_Pavlovich_of_Russia,Audrey_Emery
Sukarno,Fatmawati
Pu_Shunqing,Hou_Yao
Adam_in_Islam,Eve
Antonio_Lamer,Danièle_Tremblay-Lamer
Ned_Manning,Bronwyn_Bancroft
Sun-Yung_Alice_Chang,Paul_C._Yang
"Adolphe,_Grand_Duke_of_Luxembourg",Grand_Duchess_Elizabeth_Mikhailovna_of_Russia
Jason_Francisco,Melisa_Cantiveros
Addie_McPhail,Roscoe_Arbuckle
Julie_Cobb,James_Cromwell
Inese_Šlesere,Ainārs_Šlesers
Ernest_Jones,Morfydd_Llwyn_Owen
Magnus_Minniskiöld,Ingrid_Ylva
Michael_Halliday,Ruqaiya_Hasan
Álvaro_Colom,Sandra_Torres_(politician)
Countess_Amalie_Elisabeth_of_Hanau-Münzenberg,"William_V,_Landgrave_of_Hesse-Kassel"
Maria_Caroline_Gibert_de_Lametz,"Florestan_I,_Prince_of_Monaco"
Lidija_Vukićević,Mitar_Mrkela
"Matilda_of_Savoy,_Queen_of_Portugal",Afonso_I_of_Portugal
Zoe_Helene,Chris_Kilham
Judy_Parfitt,Tony_Steedman
Elizabeth_Paulet,Henry_Ughtred
Carlotta_Freeman,Harry_Lawrence_Freeman
José_María_Mata,Melchor_Ocampo
Dagobert_I,Nanthild
Maria_Josepha_of_Austria,Augustus_III_of_Poland
Maurizio_Gucci,Patrizia_Reggiani
Princess_Alexandrine_of_Prussia_(1842–1906),Duke_William_of_Mecklenburg-Schwerin
Phillip_Burton,Sala_Burton
"Frederick_II,_Landgrave_of_Hesse-Homburg",Louise_Elisabeth_of_Courland
Mary_Sachs,Ernest_Sachs
Sophie_of_Mecklenburg-Güstrow,Frederick_II_of_Denmark
Wertha_Pendleton_Cole,Robert_MacFarlan_Cole_III
Radama_I,Ranavalona_I
Beorhtric_of_Wessex,Eadburh
Countess_Emilie_Juliane_of_Barby-Mühlingen,"Albert_Anton,_Prince_of_Schwarzburg-Rudolstadt"
Patty_Judge,John_Judge
Sancho_Ramírez,Felicia_of_Roucy
Chris_Valletta,Liliana_Gil_Valletta
Jennifer_Grant,Randy_Zisk
Debbie_Goad,Jim_Goad
So_Yoo-jin,Baek_Jong-won
Winifred_Nicholson,Ben_Nicholson
Paulo_Betti,Eliane_Giardini
Florence_Harding,Warren_G._Harding
Pankaj_Kapur,Supriya_Pathak
Abdul_Ghafur_Muhiuddin_Shah_of_Pahang,Saiful_Rijal
Janet_Abu-Lughod,Ibrahim_Abu-Lughod
Ken_Goldberg,Tiffany_Shlain
Beatrice_of_Savoy,"Ramon_Berenguer_IV,_Count_of_Provence"
Elizabeth_of_Serbia,"Stephen_I,_Ban_of_Bosnia"
Lynden_Pindling,Marguerite_Pindling
Tomoko_Ikuta,Masashi_Nakayama
Jacques_Natteau,Yvonne_Furneaux
Devayani_(actress),Rajakumaran_(director)
Tammy_Irons,Curley_Hallman
Sarah_Watt,William_McInnes
Helena_Rojo,Juan_Ferrara
Caroline_Harker,Anthony_Calf
Janette_Scott,Mel_Tormé
Tiffany_Granath,Brad_Norton
Eugene_O'Neill,Agnes_Boulton
Jack_Straw,Alice_Perkins
Amy_Ashwood_Garvey,Marcus_Garvey
Kris_Zimmerman,Patric_Zimmerman
George_Marcus,Patricia_Seed
Martin_Melcher,Doris_Day
Cornelia_Cole_Fairbanks,Charles_W._Fairbanks
Juliana_of_the_Netherlands,Prince_Bernhard_of_Lippe-Biesterfeld
Leslie_Caron,Michael_Laughlin
Eliza_Lynch,Francisco_Solano_López
Mehmed_the_Conqueror,Sittişah_Hatun
"Barnim_XI,_Duke_of_Pomerania",Anna_of_Brunswick-Lüneburg_(1502–1568)
Guan_Hu,Liang_Jing
"Baldwin_II,_Count_of_Boulogne",Adelina_of_Holland
"Louis_IV,_Landgrave_of_Thuringia",Elizabeth_of_Hungary
Wu_Sangui,Chen_Yuanyuan
Gauriram_Gupta,Pyari_Devi
George_V_of_Hanover,Marie_of_Saxe-Altenburg
Stephen_F._Cohen,Katrina_vanden_Heuvel
Gary_Collins_(actor),Mary_Ann_Mobley
C._D._Deshmukh,Durgabai_Deshmukh
Hamish_Linklater,Jessica_Goldberg
Olga_Baclanova,Nicholas_Soussanin
Isabella_of_Bourbon,Charles_the_Bold
Tia_Carrere,Simon_Wakelin
Benito_Juárez,Margarita_Maza
Marisa_Pavan,Jean-Pierre_Aumont
Sandalj_Hranić,Hrvoje_Vukčić_Hrvatinić
Joanne_Dru,John_Ireland_(actor)
Ida_de_Tosny,"Roger_Bigod,_2nd_Earl_of_Norfolk"
John_Maddox,Brenda_Maddox
Lilleba_Lund_Kvandal,Johan_Kvandal
Charles_Lederer,Anne_Shirley_(actress)
Jean_Medawar,Peter_Medawar
Wellington_Webb,Wilma_Webb
Jackson_Avery,April_Kepner
Ryan_Butler,Chris_Sgro
Fariborz_Arabnia,Ateneh_Faghih_Nasiri
Anna_Maria_of_Brandenburg-Ansbach,"Christoph,_Duke_of_Württemberg"
Penelope_Mortimer,John_Mortimer
"Franz_Joseph,_9th_Prince_of_Thurn_and_Taxis",Princess_Isabel_Maria_of_Braganza
Elizabeth_Edwards,John_Edwards
Peter_Lyons_(musician),James_William_Webb-Jones
Minnie_Bruce_Pratt,Leslie_Feinberg
Mildred_Gale,Lawrence_Washington_(1659–1698)
Charles_Laughton,Elsa_Lanchester
Helen_Westcott,Don_Gordon_(actor)
Nofret,Prince_Rahotep
Jelena_Nelipić,Hrvoje_Vukčić_Hrvatinić
"John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld",Sophie_Hedwig_of_Saxe-Merseburg
Princess_Elisabeth_of_Savoy,Archduke_Rainer_Joseph_of_Austria
Jack_Benny,Mary_Livingstone
Saw_Omma_of_Pinya,Nga_Nu
May_Lo,Jacky_Cheung
Siri_Hustvedt,Paul_Auster
Simon_Le_Bon,Yasmin_Le_Bon
Harry_d'Abbadie_d'Arrast,Eleanor_Boardman
Lola_Albright,Jack_Carson
Barbara_Sukowa,Robert_Longo
Princess_Marie_of_Waldeck_and_Pyrmont,William_II_of_Württemberg
Princess_Maria_of_Greece_and_Denmark,Perikles_Ioannidis
Jack_Garfein,Carroll_Baker
Gleisi_Hoffmann,Paulo_Bernardo
Fredric_March,Florence_Eldridge
Emma_of_Waldeck_and_Pyrmont,William_III_of_the_Netherlands
Diane_Cilento,Anthony_Shaffer_(writer)
Evelyn_Baghtcheban,Samin_Baghtcheban
Carlos_Menem,Cecilia_Bolocco
"Louis_I,_Duke_of_Bourbon",Mary_of_Avesnes
Georgianne_Walken,Christopher_Walken
Emily_Thornberry,Christopher_Nugee
C._L._Franklin,Barbara_Siggers_Franklin
George_IV_of_the_United_Kingdom,Caroline_of_Brunswick
Emperor_Daizong_of_Tang,Consort_Dugu
Patricia_Heaton,David_Hunt_(actor)
Riddhi_Dogra,Raqesh_Vashisth
Ida_Straus,Isidor_Straus
"Karl_Theodor,_Duke_in_Bavaria",Infanta_Maria_Josepha_of_Portugal
Darryl_F._Zanuck,Virginia_Fox
Phyllis_Logan,Kevin_McNally
"George_Curzon,_1st_Marquess_Curzon_of_Kedleston","Grace_Curzon,_Marchioness_Curzon_of_Kedleston"
Brett_Cullen,Michele_Little
Sheila_Darcy,Preston_Foster
Butch_Otter,Lori_Otter
Emperor_Shenzong_of_Song,Empress_Xiang
"Thomas_Howard,_4th_Duke_of_Norfolk",Elizabeth_Leyburne
Charles_I_of_Austria,Zita_of_Bourbon-Parma
Humphrey_Bogart,Mary_Philips
Alana_Stewart,George_Hamilton_(actor)
Raymon_Kim,Kim_Ji-woo
James_Warburg,Kay_Swift
Joan_Cooper,Arthur_Lowe
Jennifer_Holt,William_Bakewell
John_Ambler,"Princess_Margaretha,_Mrs._Ambler"
Bonita_Friedericy,John_Billingsley
"Henrietta_Ponsonby,_Countess_of_Bessborough","Frederick_Ponsonby,_3rd_Earl_of_Bessborough"
Sammy_Davis_Sr.,Elvera_Sanchez
Lili_Damita,Errol_Flynn
Carolina_Kuhlman,Gustav_Åbergsson
Gerald_W._Abrams,Carol_Ann_Abrams
Mark_Duplass,Katie_Aselton
Adolf_of_Germany,Imagina_of_Isenburg-Limburg
Gerald_Schatten,Irene_Fonseca
Queen_Saleha_of_Brunei,Hassanal_Bolkiah
Patti_Hansen,Keith_Richards
"Johann_II,_Duke_of_Saxe-Weimar",Dorothea_Maria_of_Anhalt
Robert_B._Meyner,Helen_Stevenson_Meyner
Virginia_Wetherell,Ralph_Bates
Leah_Ayres,Bruce_Kalish
Adele_Astaire,Kingman_Douglass
Tippi_Hedren,Noel_Marshall
Empress_Dowager_Longyu,Guangxu_Emperor
Pakhi_Tyrewala,Abbas_Tyrewala
Elaine_Barrie,John_Barrymore
Catharine_Littlefield_Greene,Nathanael_Greene
Robin_Swicord,Nicholas_Kazan
Eisaku_Yoshida,Risa_Hirako
Michael_Sabatino,Crystal_Chappell
Alois_Hitler,Klara_Hitler
"Matilda_of_Germany,_Countess_Palatine_of_Lotharingia","Ezzo,_Count_Palatine_of_Lotharingia"
Saw_Omma_of_Pinya,Thado_Minbya
Rajiv_Gandhi,Sonia_Gandhi
John_de_Vesci,Isabella_de_Vesci
Barbara_New,Michael_Barrington
Jose_de_Venecia_Jr.,Gina_de_Venecia
Len_Beurton,Ursula_Kuczynski
Anne_Eleonore_of_Hesse-Darmstadt,"George,_Duke_of_Brunswick-Lüneburg"
Paul_Greenwood,Diane_Keen
Shera_Danese,Peter_Falk
Mona_Bruns,Frank_M._Thomas
