Robert_Z._Leonard,Mae_Murray
Paula_Wessely,Attila_Hörbiger
Jean-Marie_Serreau,Geneviève_Serreau
Slavica_Ecclestone,Bernie_Ecclestone
"Frederick_I,_Duke_of_Anhalt",Princess_Antoinette_of_Saxe-Altenburg
Jane_Hading,Victor_Koning
"Leopold_II,_Prince_of_Anhalt-Dessau",Gisela_Agnes_of_Anhalt-Köthen
Avinash_Sachdev,Shalmalee_Desai
Lady_Ann_Cunningham,"James_Hamilton,_2nd_Marquess_of_Hamilton"
Paul_Antony-Barber,Glynis_Barber
Eva_Aeppli,Jean_Tinguely
Michael_Simkins,Julia_Deakin
Claudia_Felicitas_of_Austria,"Leopold_I,_Holy_Roman_Emperor"
Daniel_R._Gernatt_Sr.,Flavia_C._Gernatt
Kate_Carnell,Ian_Carnell
Joseph_Highmore,Susanna_Highmore
Prince_Joachim_of_Prussia,Princess_Marie-Auguste_of_Anhalt
Countess_Sophie_Henriette_of_Waldeck,"Ernest,_Duke_of_Saxe-Hildburghausen"
Sean_Casey_(Canadian_politician),Kathleen_Casey
Thursday_October_Christian_II,Mary_%22Polly%22_Young
Lin_Shaye,Clayton_Landey
Leelawati_Bhaskar_Bhagwat,Bhaskar_Ramachandra_Bhagwat
John_Huggins,Ericka_Huggins
Leonard_Bosack,Sandy_Lerner
Chan_Parker,Phil_Woods
Ambika_(Mahabharata),Vichitravirya
Alexander_Korda,Merle_Oberon
Roger_Needham,Karen_Spärck_Jones
"Marie,_Countess_of_Harcourt","Antoine,_Count_of_Vaudémont"
Albia_Dominica,Valens
Wendy_Hughes,Sean_Scully_(actor)
"William_I,_Margrave_of_Meissen",Elisabeth_of_Moravia
Guy_Krohg,Sossen_Krohg
Helena_Guergis,Rahim_Jaffer
Sophie_Hedwig_of_Saxe-Merseburg,"John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld"
"Maria_Teresa_Cybo-Malaspina,_Duchess_of_Massa","Ercole_III_d'Este,_Duke_of_Modena"
"William_Astor,_4th_Viscount_Astor","Annabel_Astor,_Viscountess_Astor"
Robin_Day_(designer),Lucienne_Day
Scott_Bakula,Chelsea_Field
Frank_Grillo,Wendy_Moniz
"Ermesinde_of_Luxembourg,_Countess_of_Namur","Godfrey_I,_Count_of_Namur"
Pierre_Curzi,Marie_Tifo
Herbert_Marshall,Boots_Mallory
Larry_Smith_(editor),Piper_Kerman
Ariane_de_Rothschild,Benjamin_de_Rothschild
Satoshi_Tsumabuki,Maiko_(actress)
Anny_Ondra,Max_Schmeling
Robert_Redford,Lola_Van_Wagenen
Erin_McNaught,Example_(musician)
Bayinnaung,Sanda_Dewi
Alvira_Khan_Agnihotri,Atul_Agnihotri
Gülfem_Hatun,Suleiman_the_Magnificent
Bhagwati_Charan_Vohra,Durgawati_Devi
Cauã_Reymond,Grazi_Massafera
Cheryl_Benard,Zalmay_Khalilzad
Margaret_de_Vere,Sir_Nicholas_de_Loveyne
Lee_Eung-kyung,Lee_Jin-woo_(actor)
Eilís_Dillon,Vivian_Mercier
Dora_Bryan,Bill_Lawton
Bill_Gates,Melinda_Gates
Thomas_Hager,Lauren_Kessler
Bob_Hawke,Blanche_d'Alpuget
Christian_Campbell,America_Olivo
Jane_Lapotaire,Roland_Joffé
Anna_Torv,Mark_Valley
Yaza_Dewi_of_Pagan,Kyaswa
Charlene_Tilton,Johnny_Lee_(singer)
Amelia_Heinle,Michael_Weatherly
Wallace_L._W._Sargent,Anneila_Sargent
Carol_Judge,Thomas_Lee_Judge
Princess_Louise_Caroline_of_Hesse-Kassel,"Friedrich_Wilhelm,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg"
Vicente_Fox,Marta_Sahagún_de_Fox
Louise_Nicholson,Nicholas_Wapshott
Ma_Xisheng,Lady_Yang_(Ma_Xisheng's_wife)
Naglaa_Fathi,Hamdi_Qandil
Nina_Leopold_Bradley,Charles_C._Bradley
Eudokia_Ingerina,Basil_I
Jens_Stoltenberg,Ingrid_Schulerud
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel,Prince_Frederick_Augustus_of_Anhalt-Dessau
Dorothy_Schiff,Ted_Thackrey
Haile_Selassie,Menen_Asfaw
Melissa_Joan_Hart,Mark_Wilkerson
"James_Hamilton,_3rd_Duke_of_Abercorn","Rosalind_Hamilton,_Duchess_of_Abercorn"
Mitchell_Hurwitz,Mary_Jo_Keenen
Gene_Saks,Bea_Arthur
Abdul_Hamid_II,Bidar_Kadın
Eric_Foner,Lynn_Garafola
Jiang_Qing,Tang_Na
Ailsa_Piper,Peter_Curtin
Judy_Finnigan,Richard_Madeley
Rachel_Lambert_Mellon,"Stacy_Barcroft_Lloyd,_Jr."
Adelaide_of_Aquitaine,Hugh_Capet
Jacob_Zuma,Nkosazana_Dlamini-Zuma
"Amadeus_II,_Count_of_Savoy",Joan_of_Geneva
Georges_Vanier,Pauline_Vanier
"Sophie_of_Saxony,_Duchess_of_Pomerania","Francis,_Duke_of_Pomerania"
J._William_Fulbright,Harriet_Mayor_Fulbright
Gemini_Ganesan,Pushpavalli
Katherine_LaNasa,French_Stewart
Queen_Myeongseong,Hyeonjong_of_Joseon
José_Ferrer,Phyllis_Hill
Cece_Bell,Tom_Angleberger
Saddam_Hussein,Samira_Shahbandar
Arie_Belldegrun,Rebecka_Belldegrun
Gloria_Hope,Lloyd_Hughes
Samuel_L._Jackson,LaTanya_Richardson
Elsa_Beskow,Natanael_Beskow
John_Spender,Carla_Zampatti
Liu_Bei,Lady_Sun
Queen_Inyeol,Injo_of_Joseon
John_Judge,Patty_Judge
Jacques_Natteau,Yvonne_Furneaux
Olga_Schoberová,Brad_Harris
Emperor_Wen_of_Sui,Dugu_Qieluo
Sally_Eilers,Hoot_Gibson
George_H._W._Bush,Barbara_Bush
Anne_Marie_DeLuise,Peter_DeLuise
Anna_Plöchl,Archduke_John_of_Austria
Lady_Mary_Fox,Charles_Richard_Fox
John_Carroll_(actor),Steffi_Duna
He_Qinglian,Cheng_Xiaonong
Virginia_Bourbon_del_Monte,Edoardo_Agnelli_(industrialist)
Yasuo_Fukuda,Kiyoko_Fukuda_(First_Lady)
Anna-Karin_Hatt,Ola_Alterå
Emilie_of_Saxony,"George,_Margrave_of_Brandenburg-Ansbach"
Richard_Fraser_(actor),Ann_Gillis
Donnelly_Rhodes,Martha_Henry
"Arthur_Wellesley,_2nd_Duke_of_Wellington","Elizabeth_Wellesley,_Duchess_of_Wellington"
Helge_Krog,Tordis_Maurstad
Eva_Braun,Adolf_Hitler
Robin_Scherbatsky,Barney_Stinson
Regelinda,"Herman_I,_Margrave_of_Meissen"
Mary_Leakey,Louis_Leakey
Esther_Szekeres,George_Szekeres
Leilani_Sarelle,Miguel_Ferrer
Thomas_Downey,Carol_Browner
Margie_Abbott,Tony_Abbott
Bertha_Hernández_Fernández,Mariano_Ospina_Pérez
Tricia_Nixon_Cox,Edward_F._Cox
Shuchanda,Zahir_Raihan
Tehmina_Durrani,Ghulam_Mustafa_Khar
Javed_Iqbal_(judge),Nasira_Iqbal
Ingrid_Thulin,Harry_Schein
Chabi,Kublai_Khan
Boris_Barnet,Alla_Kazanskaya
Tim_Owen_(barrister),Jemma_Redgrave
Marg_Helgenberger,Alan_Rosenberg
Heinrich_Schweiger,Ursula_Stenzel
Sarama_(Ramayana),Vibhishana
Don_Hewitt,Marilyn_Berger
Donna_Deegan,Dan_Hicken
Edwin_Samuel_Montagu,Venetia_Stanley_(1887–1948)
Alice_Hathaway_Lee_Roosevelt,Theodore_Roosevelt
Louis_Lentin,Ronit_Lentin
"Elisabeth_of_Brunswick-Wolfenbüttel,_Duchess_of_Saxe-Altenburg",August_of_Saxony
"Frances_Newton,_Baroness_Cobham","William_Brooke,_10th_Baron_Cobham"
Wang_Zhenfeng,Emperor_Ming_of_Liu_Song
Odette_Annable,Dave_Annable
Gertrude_Comfort_Morrow,Irving_Morrow
Françoise_de_Langlade,Oscar_de_la_Renta
Count_Dracula,Brides_of_Dracula
Hani_Mohsin,Tiara_Jacquelina
Aaron_Elkins,Charlotte_Elkins
Irving_Penn,Lisa_Fonssagrives
Gunnar_Myrdal,Alva_Myrdal
Kimberly_Rosen,Richard_Rosen
Robert_Hays,Cherie_Currie
Norman_Podhoretz,Midge_Decter
Martha_Lloyd,Francis_Austen
Vladimir_Naumov,Natalya_Belokhvostikova
Sonja_Ziemann,Charles_Regnier
Tim_Turner,Patricia_Plunkett
Katrina_Bowden,Ben_Jorgensen
Andrea_De_Cruz,Pierre_Png
R._Kelly,Andrea_Kelly_(actress)
Joan_Greenwood,André_Morell
Alfonso_López_Michelsen,Cecilia_Caballero_Blanco
Tanya_Plibersek,Michael_Coutts-Trotter
Aladdin_(Disney_character),Princess_Jasmine
Beatriz_Batarda,Bernardo_Sassetti
Glenn_Ford,Eleanor_Powell
Guido_Santi,Tina_Mascara
"Ferdinand_II,_Holy_Roman_Emperor",Maria_Anna_of_Bavaria_(1574–1616)
Duane_Martin,Tisha_Campbell-Martin
Debbe_Dunning,Steve_Timmons
Faye_Wong,Dou_Wei
Pat_Myne,Alektra_Blue
Kyle_Secor,Kari_Coleman
Tathagata_Mukherjee,Debolina_Dutta
Britney_Spears,Kevin_Federline
Daniel_D._T._Farnsworth,Mary_Ireland_Farnsworth
Regina_Ongsiako_Reyes,Hermilando_Mandanas
Gratien_Gélinas,Huguette_Oligny
Soamsawali,Vajiralongkorn
Herman_Wedel_Jarlsberg,Karen_Wedel-Jarlsberg
Clara_Kimball_Young,James_Young_(director)
Gregory_Hoblit,Debrah_Farentino
Lupita_Tovar,Paul_Kohner
Mark_Cheng,Yukari_Oshima
Claude_Weston,Agnes_Louisa_Weston
Frederuna,Charles_the_Simple
Miriam_A._Ferguson,James_E._Ferguson
Growth_of_Pedro_II_of_Brazil,Teresa_Cristina_of_the_Two_Sicilies
Genevieve_Naylor,Misha_Reznikoff
Gladys_Mills_Phipps,Henry_Carnegie_Phipps
Richard_D._Zanuck,Lili_Gentle
Trista_Sutter,Ryan_Sutter
Harris_Yulin,Gwen_Welles
Isaac_Deutscher,Tamara_Deutscher
Donna_Frye,Skip_Frye
Hussein_Onn,Suhaila_Noah
Doris_Matsui,Bob_Matsui
Jim_Bakker,Tammy_Faye_Messner
Todd_S._Purdum,Dee_Dee_Myers
Justin_Deas,Margaret_Colin
Janet_Auchincloss_Rutherfurd,Lewis_Polk_Rutherfurd
Lili_Bech,Victor_Sjöström
John_Charles_Watts-Russell,Elizabeth_Watts-Russell
"Henry_Petty-Fitzmaurice,_5th_Marquess_of_Lansdowne","Maud_Petty-Fitzmaurice,_Marchioness_of_Lansdowne"
Peverell_Marley,Lina_Basquette
Inga_Jacobi,Henrik_Grevenor
Princess_Pauline_of_Saxe-Weimar-Eisenach,"Charles_Augustus,_Hereditary_Grand_Duke_of_Saxe-Weimar-Eisenach_(1844–1894)"
Rafiath_Rashid_Mithila,Tahsan_Rahman_Khan
Begum_Om_Habibeh_Aga_Khan,Aga_Khan_III
Rick_Perry,Anita_Thigpen_Perry
Alan_Billings,Veronica_Hardstaff
Danielle_Steel,Thomas_Perkins_(businessman)
Teriitaria_II,Pōmare_II
Ida_May_Park,Joseph_De_Grasse
Martha_Stewart_(actress),George_O'Hanlon
Athaliah,Jehoram_of_Judah
Infanta_Eulalia_of_Spain,"Infante_Antonio,_Duke_of_Galliera"
George_Georgiou,Vanessa_Winship
Neil_Kinnock,"Glenys_Kinnock,_Baroness_Kinnock_of_Holyhead"
Shammi_Kapoor,Geeta_Bali
Charles_Wesley,Sarah_Wesley
Gian_Galeazzo_Visconti,Caterina_Visconti
"Catherine_Brandon,_Duchess_of_Suffolk","Charles_Brandon,_1st_Duke_of_Suffolk"
Lee_Hall_(playwright),Beeban_Kidron
Peter_I_of_Serbia,Princess_Zorka_of_Montenegro
Ann_Cryer,Bob_Cryer
Marni_Hodgkin,Alan_Lloyd_Hodgkin
Bebe_Buell,Coyote_Shivers
Jerzy_Antczak,Jadwiga_Barańska
Sinem_Kobal,Kenan_İmirzalıoğlu
Anne_of_Bohemia_and_Hungary,"Ferdinand_I,_Holy_Roman_Emperor"
"Kikuko,_Princess_Takamatsu","Nobuhito,_Prince_Takamatsu"
Florencia_Bertotti,Guido_Kaczka
Princess_Louise_of_Saxe-Hildburghausen,"William,_Duke_of_Nassau"
"Diana_Eccles,_Viscountess_Eccles","John_Eccles,_2nd_Viscount_Eccles"
Princess_Theresa_of_Liechtenstein,Prince_Arnulf_of_Bavaria
Chris_Cunningham,Jenny_Lee_Lindberg
Amy_Brenneman,Brad_Silberling
Edwyn_Burnaby_(courtier),Anne_Caroline_Salisbury
Ned_Balbo,Jane_Satterfield
Jane_Hylton,Euan_Lloyd
Kim_Spalding,Jeanne_Cagney
Amalric_of_Jerusalem,Agnes_of_Courtenay
Terri_Garber,Frank_Howson
Liu_Chi-chun,Yen_Chia-kan
Princess_Marie_Alexandrine_of_Saxe-Weimar-Eisenach,"Heinrich_VII,_Prince_Reuss_of_Köstritz"
Jack_Webb,Julie_London
Kay_Francis,Kenneth_MacKenna
"Frederick_VII,_Margrave_of_Baden-Durlach",Augusta_Marie_of_Holstein-Gottorp
C._J._Cherryh,Jane_Fancher
Princess_Karoline_Mathilde_of_Schleswig-Holstein-Sonderburg-Augustenburg,"Friedrich_Ferdinand,_Duke_of_Schleswig-Holstein"
Anna_of_Russia,"Frederick_William,_Duke_of_Courland"
Phoebe_Hearst,George_Hearst
Lily_Safra,Edmond_Safra
Bathsheba,Uriah_the_Hittite
Marjorie_Daw_(actress),Myron_Selznick
Selene_(Underworld),Michael_Corvin
Lysette_Anthony,Luc_Leestemaker
Cao_Rui,Empress_Mao_(Ming)
Stephen_Edward_Smith,Jean_Kennedy_Smith
Kamala_Devi_(actress),Chuck_Connors
"Valerie,_Margravine_of_Baden","Maximilian,_Margrave_of_Baden"
Charles_Ingalls,Caroline_Ingalls
Hyozo_Omori,Annie_Shepley_Omori
Maria_Klementyna_Sanguszko,Alfred_Józef_Potocki
Derek_Estlin_Purvis,Aija_Terauda
Ordoño_IV_of_León,Urraca_Fernández
Kirsty_Sword_Gusmão,Xanana_Gusmão
"François,_Prince_of_Soubise",Anne_de_Rohan-Chabot
Marie-Anne_Horthemels,Nicolas-Henri_Tardieu
Anna_Gunn,Alastair_Duncan_(actor)
Jeremy_Lloyd,Joanna_Lumley
Jonny_Lee_Miller,Michele_Hicks
Khojaste_Bagherzadeh,Ali_Khamenei
Pedro_I_of_Brazil,Maria_Leopoldina_of_Austria
William_McGregor_Paxton,Elizabeth_Okie_Paxton
Melek_Tourhan,Hussein_Kamel_of_Egypt
Myauk_Pyinthe_II_(Sithu_II),Narapatisithu
John_de_Mol_Jr.,Willeke_Alberti
García_Ramírez_of_Navarre,"Urraca_of_Castile,_Queen_of_Navarre"
James_Dunn_(actor),Frances_Gifford
Jessica_Yu,Mark_Salzman
Jacques_Bergerac,Ginger_Rogers
Betty_Chew,Lim_Guan_Eng
Vanessa_Marshall,Andrew_Kishino
Paul_Michael_Glaser,Elizabeth_Glaser
Marta_Traba,Ángel_Rama
Pamela_Ropner,Thomas_Stuttaford
Silvina_Moschini,Alex_Konanykhin
Flor_Silvestre,Antonio_Aguilar
Charles_Montague_Cooke,Anna_Rice_Cooke
Roxane_Wilson,Grant_Bowler
Nicolle_Wallace,Mark_Wallace
Kaya_Scodelario,Benjamin_Walker_(actor)
Tuun_K'ab'_Hix,Ix_Ek'_Naah
"Thomas_Holland,_1st_Earl_of_Kent",Joan_of_Kent
Anne_of_Austria,Louis_XIII_of_France
Flora_Zabelle_Hitchcock,Raymond_Hitchcock_(actor)
Ingrid_Tarrant,Chris_Tarrant
Isabella_I_of_Castile,Ferdinand_II_of_Aragon
Mallika_Sengupta,Subodh_Sarkar
Konrad_Wolf,Christel_Bodenstein
Patricia_Heaton,David_Hunt_(actor)
Viliami_Tungī_Mailefihi,Sālote_Tupou_III
Jenji_Kohan,Christopher_Noxon
Đurađ_II_Balšić,Jelena_Balšić
Masayoshi_Haneda,Hitomi_(singer)
T.I.,Tameka_Cottle
"Hector_Og_Maclean,_13th_Chief","Archibald_Campbell,_4th_Earl_of_Argyll"
Belinda_Carroll,Michael_Cochrane
"Philip_William,_Elector_Palatine",Anna_Catherine_Constance_Vasa
Antony_Beevor,Artemis_Cooper
Meldrim_Thomson_Jr.,Gale_Thomson
Juliette_Kayyem,David_Jeremiah_Barron
Matilda_of_Savoy,"Louis_III,_Elector_Palatine"
Ivana_Trump,Donald_Trump
Florence_Reed,Malcolm_Williams_(actor)
S._A._Wickramasinghe,Doreen_Young_Wickremasinghe
Astrid_of_Sweden,Leopold_III_of_Belgium
"Bogusław_I,_Duke_of_Pomerania",Anastasia_of_Greater_Poland
Christiana_of_Schleswig-Holstein-Sonderburg-Glücksburg,"Christian_I,_Duke_of_Saxe-Merseburg"
Marcelo_Torcuato_de_Alvear,Regina_Pacini
Teresa_Cristina_of_the_Two_Sicilies,Pedro_II_of_Brazil
Guidobaldo_da_Montefeltro,Elisabetta_Gonzaga
Ryan_Sutter,Trista_Sutter
Paulene_Stone,Laurence_Harvey
Victor_Frankenstein,Elizabeth_Lavenza
"Henry_Raspe,_Landgrave_of_Thuringia",Beatrice_of_Brabant
Rebecca_Welles,Don_Weis
Shruti_(actress),S._Mahendar
Nasiruddin_Yousuff,Shimul_Yousuf
Queen_Gonghye,Seongjong_of_Joseon
Jimmy_Iovine,Liberty_Ross
Miho_Kanno,Masato_Sakai
Connie_Sellecca,John_Tesh
Ivan_Craig,"Princess_Lilian,_Duchess_of_Halland"
Shayne_Saskiw,Shannon_Stubbs
Princess_Shōshi_(1027–1105),Emperor_Go-Reizei
Alva_Myrdal,Gunnar_Myrdal
Vayalar_Ravi,Mercy_Ravi
"Heinrich_XXVII,_Prince_Reuss_Younger_Line",Princess_Elise_of_Hohenlohe-Langenburg
Michał_Wołodyjowski,Barbara_Jeziorkowska
"Albert_II,_Duke_of_Mecklenburg",Euphemia_of_Sweden
"Frederick,_Duke_of_Mecklenburg-Grabow",Christine_Wilhelmine_of_Hesse-Homburg
Agnes_of_Beaujeu,Theobald_I_of_Navarre
Teresa_Lisbon,Patrick_Jane
Kirk_Caldwell,Donna_Tanoue
Ieva_Ilves,Toomas_Hendrik_Ilves
Nancy_Makri,Martin_Gruebele
George_V_of_Hanover,Marie_of_Saxe-Altenburg
Madhu_Dandavate,Pramila_Dandavate
Leo_I_the_Thracian,Verina
Julie_Dawn_Cole,Nick_Wilton
Kate_del_Castillo,Aarón_Díaz
Wilhelmine_Amalia_of_Brunswick-Lüneburg,"Joseph_I,_Holy_Roman_Emperor"
Eleonore_of_Löwenstein-Wertheim,"Ernest_Leopold,_Landgrave_of_Hesse-Rotenburg"
Eddie_Cibrian,Brandi_Glanville
Elsie_Clews_Parsons,Herbert_Parsons
Jack_Webb,Jackie_Loughery
"Ingeborg_of_Denmark,_Duchess_of_Mecklenburg","Henry_III,_Duke_of_Mecklenburg"
Henry_de_Beaumont,"Alice_Comyn,_Countess_of_Buchan"
Felipe_de_Alba,Zsa_Zsa_Gabor
Garson_Kanin,Ruth_Gordon
Callista_Gingrich,Newt_Gingrich
Maria_Enriquez_de_Luna,"Giovanni_Borgia,_2nd_Duke_of_Gandia"
Tranquillina,Gordian_III
Cleopatra_Tucker,Donald_Kofi_Tucker
Shelley_Martel,Howard_Hampton
Edward_Aleksander_Raczyński,Maria_Beatrix_Krasińska
Esmat_Dowlatshahi,Mohsen_Rais
William_Friedkin,Kelly_Lange
Wallace_McCain,Margaret_McCain
Bayezid_I,Devlet_Hatun
Gloria_Foster,Clarence_Williams_III
Catherine_Siachoque,Miguel_Varoni
Ilene_Woods,Ed_Shaughnessy
Chandrika_Kumaratunga,Vijaya_Kumaranatunga
Joseph_Fry_(tea_merchant),Elizabeth_Fry
Robert_Amadas,Elizabeth_Amadas
David_T._Kennedy,Rosario_Kennedy
L._Vijayalakshmi,Surajit_Kumar_De_Datta
Viva_Birkett,Philip_Merivale
Princess_Luisa_Carlotta_of_Naples_and_Sicily,Infante_Francisco_de_Paula_of_Spain
Britt_Allcroft,Angus_Wright_(producer)
Nosiviwe_Mapisa-Nqakula,Charles_Nqakula
Christel_Bodenstein,Konrad_Wolf
Simon_Bradstreet,Anne_Bradstreet
Bidhya_Devi_Bhandari,Madan_Bhandari
Radama_II,Ranavalona_II
Carmen_Giménez_Smith,Evan_Lavender-Smith
Seongjong_of_Joseon,Deposed_Queen_Lady_Yun
Mimi_Smith,George_Toogood_Smith
Stephen_Elliott_(actor),Alice_Hirson
Richard_Kollmar,Anne_Fogarty
Syed_Shamsul_Haque,Anwara_Syed_Haq
John_Slattery,Talia_Balsam
