sid,sub,obj,class
1,Warren_G._Harding,Florence_Harding,1
2,Calvin_Coolidge,Grace_Coolidge,1
3,Herbert_Hoover,Lou_Henry_Hoover,1
4,Franklin_D._Roosevelt,Eleanor_Roosevelt,1
5,Harry_S._Truman,Bess_Truman,1
6,Dwight_D._Eisenhower,Mamie_Eisenhower,1
7,John_F._Kennedy,Jacqueline_Kennedy_Onassis,1
8,Lyndon_B._Johnson,Lady_Bird_Johnson,1
9,Richard_Nixon,Pat_Nixon,1
10,Gerald_Ford,Betty_Ford,1
11,Jimmy_Carter,Rosalynn_Carter,1
12,Ronald_Reagan,Nancy_Reagan,1
13,George_H._W._Bush,Barbara_Bush,1
14,Bill_Clinton,Hillary_Clinton,1
15,George_W._Bush,Laura_Bush,1
16,Barack_Obama,Michelle_Obama,1
17,Harry_S._Truman,Nancy_Reagan,0
18,Calvin_Coolidge,Rosalynn_Carter,0
19,Franklin_D._Roosevelt,Betty_Ford,0
20,Dwight_D._Eisenhower,Florence_Harding,0
21,Barack_Obama,Florence_Harding,0
22,Dwight_D._Eisenhower,Pat_Nixon,0
23,Gerald_Ford,Eleanor_Roosevelt,0
24,George_H._W._Bush,Nancy_Reagan,0
25,John_F._Kennedy,Lady_Bird_Johnson,0
26,George_W._Bush,Pat_Nixon,0
27,Dwight_D._Eisenhower,Bess_Truman,0
28,Calvin_Coolidge,Pat_Nixon,0
29,Lyndon_B._Johnson,Michelle_Obama,0
30,John_F._Kennedy,Florence_Harding,0
31,Gerald_Ford,Hillary_Clinton,0
32,George_H._W._Bush,Lady_Bird_Johnson,0
