0.4  negspouse(1 ,A ,B)  :-  president(C ,B)   ,  region(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(2 ,A ,B)  :-  birthPlace(A ,C)   ,  country(D ,C)   ,  almaMater(B ,D).
0.39  negspouse(3 ,A ,B)  :-  country(B ,C)   ,  country(D ,C)   ,  birthPlace(A ,D).
0.4  negspouse(4 ,A ,B)  :-  activeYearsStartYear(A ,C)   ,  activeYearsEndYear(A ,C)   ,  parent(B ,A).
0.39  negspouse(5 ,A ,B)  :-  successor(C ,B)   ,  president(A ,D)   ,  C=D.
0.4  negspouse(6 ,A ,B)  :-  birthPlace(A ,C)   ,  region(D ,C)   ,  president(D ,B).
0.4  negspouse(7 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(C ,D)   ,  successor(A ,D).
0.4  negspouse(8 ,A ,B)  :-  successor(C ,A)   ,  successor(D ,C)   ,  predecessor(D ,B).
0.39  negspouse(9 ,A ,B)  :-  successor(A ,C)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(11 ,A ,B)  :-  successor(B ,C)   ,  successor(A ,C)   ,  predecessor(C ,A).
0.4  negspouse(13 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  president(D ,B).
0.4  negspouse(14 ,A ,B)  :-  activeYearsEndYear(B ,C)   ,  activeYearsEndYear(D ,C)   ,  parent(A ,D).
0.4  negspouse(15 ,A ,B)  :-  successor(A ,B)   ,  activeYearsStartYear(B ,C)   ,  activeYearsEndYear(A ,C).
0.4  negspouse(16 ,A ,B)  :-  successor(B ,A)   ,  deathPlace(B ,C)   ,  birthPlace(A ,C).
0.4  negspouse(17 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(A ,C)   ,  predecessor(B ,A).
0.4  negspouse(18 ,A ,B)  :-  spouse(A ,C)   ,  parent(B ,C).
0.4  negspouse(19 ,A ,B)  :-  successor(C ,B)   ,  predecessor(C ,B)   ,  predecessor(B ,A).
0.39  negspouse(20 ,A ,B)  :-  parent(B ,C)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(21 ,A ,B)  :-  successor(B ,C)   ,  president(C ,D)   ,  successor(A ,D).
0.39  negspouse(22 ,A ,B)  :-  successor(A ,C)   ,  president(B ,D)   ,  C=D.
0.4  negspouse(23 ,A ,B)  :-  successor(C ,B)   ,  predecessor(B ,C)   ,  successor(A ,B).
0.4  negspouse(24 ,A ,B)  :-  president(C ,B)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(25 ,A ,B)  :-  successor(B ,C)   ,  primeMinister(C ,D)   ,  successor(A ,D).
0.39  negspouse(26 ,A ,B)  :-  commander(C ,A)   ,  place(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(27 ,A ,B)  :-  president(B ,C)   ,  termPeriod(A ,D)   ,  D=C.
0.4  negspouse(28 ,A ,B)  :-  predecessor(C ,A)   ,  successor(C ,D)   ,  successor(D ,B).
0.4  negspouse(29 ,A ,B)  :-  successor(C ,B)   ,  predecessor(B ,C)   ,  parent(A ,B).
0.4  negspouse(30 ,A ,B)  :-  successor(A ,C)   ,  president(B ,C).
0.4  negspouse(31 ,A ,B)  :-  spouse(C ,B)   ,  successor(C ,D)   ,  spouse(D ,A).
0.4  negspouse(32 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(B ,C)   ,  parent(A ,B).
0.4  negspouse(33 ,A ,B)  :-  office(A ,C)   ,  office(B ,C)   ,  successor(B ,A).
0.4  negspouse(34 ,A ,B)  :-  successor(B ,C)   ,  successor(C ,D)   ,  predecessor(A ,D).
0.4  negspouse(35 ,A ,B)  :-  primeMinister(A ,C)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(36 ,A ,B)  :-  birthPlace(A ,C)   ,  headquarter(D ,C)   ,  party(B ,D).
0.4  negspouse(37 ,A ,B)  :-  successor(B ,C)   ,  predecessor(B ,C)   ,  successor(B ,A).
0.4  negspouse(38 ,A ,B)  :-  spouse(B ,C)   ,  parent(A ,C).
0.4  negspouse(39 ,A ,B)  :-  successor(A ,C)   ,  parent(C ,A)   ,  parent(B ,A).
0.4  negspouse(40 ,A ,B)  :-  parent(C ,A)   ,  child(B ,D)   ,  C=D.
0.4  negspouse(41 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(D ,C)   ,  successor(A ,D).
0.4  negspouse(42 ,A ,B)  :-  child(C ,B)   ,  parent(D ,C)   ,  parent(D ,A).
0.4  negspouse(43 ,A ,B)  :-  successor(A ,C)   ,  president(D ,C)   ,  successor(B ,D).
0.4  negspouse(44 ,A ,B)  :-  successor(C ,B)   ,  predecessor(A ,C).
0.4  negspouse(45 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(D ,C)   ,  successor(B ,D).
0.4  negspouse(47 ,A ,B)  :-  predecessor(A ,C)   ,  successor(C ,D)   ,  successor(B ,D).
0.39  negspouse(48 ,A ,B)  :-  parent(C ,B)   ,  title(C ,D)   ,  title(A ,D).
0.4  negspouse(49 ,A ,B)  :-  office(A ,C)   ,  office(B ,C).
0.4  negspouse(50 ,A ,B)  :-  successor(C ,B)   ,  president(D ,C)   ,  successor(A ,D).
0.4  negspouse(51 ,A ,B)  :-  commander(C ,A)   ,  commander(C ,D)   ,  successor(B ,D).
0.39  negspouse(52 ,A ,B)  :-  president(A ,C)   ,  party(C ,D)   ,  party(B ,D).
0.39  negspouse(53 ,A ,B)  :-  activeYearsStartYear(A ,C)   ,  activeYearsEndYear(B ,C).
0.38  negspouse(54 ,A ,B)  :-  parent(A ,C)   ,  deathPlace(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(55 ,A ,B)  :-  relative(C ,A)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(56 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  primeMinister(B ,D).
0.4  negspouse(57 ,A ,B)  :-  nationality(A ,C)   ,  birthPlace(D ,C)   ,  successor(D ,B).
0.4  negspouse(58 ,A ,B)  :-  predecessor(A ,B)   ,  spouse(C ,B)   ,  parent(A ,C).
0.4  negspouse(59 ,A ,B)  :-  predecessor(B ,C)   ,  office(C ,D)   ,  office(A ,D).
0.39  negspouse(60 ,A ,B)  :-  monarch(C ,B)   ,  parent(D ,A)   ,  C=D.
0.4  negspouse(61 ,A ,B)  :-  religion(B ,C)   ,  religion(D ,C)   ,  president(A ,D).
0.4  negspouse(62 ,A ,B)  :-  successor(C ,A)   ,  nationality(C ,D)   ,  nationality(B ,D).
0.4  negspouse(63 ,A ,B)  :-  successor(B ,C)   ,  president(A ,C).
0.4  negspouse(64 ,A ,B)  :-  successor(C ,B)   ,  primeMinister(D ,C)   ,  successor(A ,D).
0.4  negspouse(65 ,A ,B)  :-  successor(B ,C)   ,  predecessor(D ,C)   ,  predecessor(A ,D).
0.39  negspouse(66 ,A ,B)  :-  religion(A ,C)   ,  religion(D ,C)   ,  successor(B ,D).
0.4  negspouse(67 ,A ,B)  :-  successor(B ,A)   ,  orderInOffice(B ,C)   ,  C=C.
0.4  negspouse(68 ,A ,B)  :-  activeYearsEndDate(A ,C)   ,  deathDate(B ,D)   ,  C>D.
0.4  negspouse(69 ,A ,B)  :-  successor(C ,B)   ,  successor(D ,C)   ,  successor(D ,A).
0.4  negspouse(70 ,A ,B)  :-  party(B ,C)   ,  headquarter(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(71 ,A ,B)  :-  predecessor(C ,B)   ,  primeMinister(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(72 ,A ,B)  :-  termPeriod(A ,C)   ,  office(C ,D)   ,  office(B ,D).
0.4  negspouse(73 ,A ,B)  :-  predecessor(A ,B)   ,  successor(C ,B)   ,  successor(B ,C).
0.39  negspouse(74 ,A ,B)  :-  deathPlace(B ,C)   ,  birthPlace(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(75 ,A ,B)  :-  successor(C ,B)   ,  successor(D ,C)   ,  predecessor(A ,D).
0.39  negspouse(76 ,A ,B)  :-  residence(B ,C)   ,  termPeriod(A ,D)   ,  D=C.
0.4  negspouse(77 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  parent(A ,B).
0.4  negspouse(78 ,A ,B)  :-  office(B ,C)   ,  office(D ,C)   ,  predecessor(A ,D).
0.39  negspouse(79 ,A ,B)  :-  president(A ,C)   ,  successor(D ,B)   ,  C=D.
0.39  negspouse(81 ,A ,B)  :-  almaMater(A ,C)   ,  city(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(82 ,A ,B)  :-  relative(C ,B)   ,  child(A ,C).
0.39  negspouse(83 ,A ,B)  :-  predecessor(C ,A)   ,  birthPlace(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(84 ,A ,B)  :-  predecessor(A ,B)   ,  successor(B ,A)   ,  predecessor(B ,A).
0.39  negspouse(85 ,A ,B)  :-  predecessor(A ,C)   ,  child(B ,D)   ,  D=C.
0.4  negspouse(86 ,A ,B)  :-  parent(A ,C)   ,  activeYearsStartYear(C ,D)   ,  activeYearsStartYear(B ,D).
0.4  negspouse(87 ,A ,B)  :-  almaMater(B ,C)   ,  almaMater(D ,C)   ,  successor(A ,D).
0.4  negspouse(88 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,A)   ,  predecessor(B ,A).
0.4  negspouse(89 ,A ,B)  :-  office(B ,C)   ,  office(A ,C)   ,  C=C.
0.4  negspouse(90 ,A ,B)  :-  commander(C ,B)   ,  commander(C ,D)   ,  predecessor(A ,D).
0.4  negspouse(91 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(C ,D)   ,  predecessor(D ,A).
0.4  negspouse(92 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  child(D ,B).
0.4  negspouse(93 ,A ,B)  :-  spouse(C ,B)   ,  predecessor(D ,C)   ,  spouse(D ,A).
0.4  negspouse(94 ,A ,B)  :-  successor(A ,C)   ,  successor(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(95 ,A ,B)  :-  associatedMusicalArtist(C ,B)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(96 ,A ,B)  :-  primeMinister(A ,C)   ,  spouse(B ,D)   ,  C=D.
0.4  negspouse(97 ,A ,B)  :-  predecessor(C ,B)   ,  successor(C ,D)   ,  successor(A ,D).
0.4  negspouse(98 ,A ,B)  :-  predecessor(B ,C)   ,  almaMater(C ,D)   ,  almaMater(A ,D).
0.4  negspouse(99 ,A ,B)  :-  predecessor(C ,A)   ,  parent(C ,A)   ,  successor(B ,A).
0.39  negspouse(100 ,A ,B)  :-  president(A ,C)   ,  successor(B ,D)   ,  D=C.
0.4  negspouse(101 ,A ,B)  :-  successor(A ,C)   ,  parent(C ,A)   ,  successor(B ,A).
0.4  negspouse(102 ,A ,B)  :-  successor(B ,C)   ,  successor(C ,D)   ,  successor(D ,A).
0.4  negspouse(103 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,D)   ,  successor(D ,B).
0.4  negspouse(104 ,A ,B)  :-  successor(C ,A)   ,  predecessor(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(105 ,A ,B)  :-  relative(C ,B)   ,  relative(D ,A)   ,  D=C.
0.4  negspouse(106 ,A ,B)  :-  almaMater(B ,C)   ,  country(C ,D)   ,  deathPlace(A ,D).
0.39  negspouse(107 ,A ,B)  :-  relative(C ,A)   ,  relative(B ,D)   ,  D=C.
0.4  negspouse(108 ,A ,B)  :-  successor(A ,C)   ,  president(C ,D)   ,  president(B ,D).
0.4  negspouse(109 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,D)   ,  predecessor(B ,D).
0.38  negspouse(110 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(D ,A)   ,  D=C.
0.39  negspouse(111 ,A ,B)  :-  termPeriod(A ,C)   ,  child(B ,D)   ,  C=D.
