sub,obj,class,sid
John_Stockton,Utah_Jazz,1,2734002.0
Tim_Duncan,San_Antonio_Spurs,1,5140024.0
Reggie_Miller,Indiana_Pacers,1,4319468.0
John_Havlicek,Boston_Celtics,1,2710736.0
Tony_Parker,San_Antonio_Spurs,1,5189779.0
Joe_Dumars,Detroit_Pistons,1,2673918.0
Satch_Sanders,Boston_Celtics,1,4596365.0
Fred_Brown_(basketball),Seattle_SuperSonics,1,1940481.0
Alvan_Adams,Phoenix_Suns,1,494082.0
Larry_Bird,Boston_Celtics,1,3069278.0
Nick_Collison,Seattle_SuperSonics,1,3793584.0
Kevin_McHale_(basketball),Boston_Celtics,1,2941718.0
Isiah_Thomas,Detroit_Pistons,1,2486139.0
Sam_Jones_(basketball),Boston_Celtics,1,4553008.0
Michael_Cooper,Los_Angeles_Lakers,1,3520968.0
James_Worthy,Los_Angeles_Lakers,1,2570038.0
Nate_McMillan,Seattle_SuperSonics,1,3736393.0
Rik_Smits,Indiana_Pacers,1,4374354.0
Mark_Eaton_(basketball),Utah_Jazz,1,3391697.0
Willis_Reed,New_York_Knicks,1,5528006.0
Tom_Boerwinkle,Chicago_Bulls,1,5163211.0
Allen_Leavell,Houston_Rockets,1,482030.0
Darrell_Griffith,Utah_Jazz,1,1397869.0
