sid,sub,obj,class,score
275,Bill_Granger_(author),DePaul_University,0,46.5
218,Richard_Kent,Appalachian_State_University,0,47.0
236,Garth_Pollonais,Greenville_Lions,0,47.0
294,Caren_Kaplan,Georgetown_University,0,47.0
306,Ed_Blaine,Green_Bay_Packers,0,47.0
356,Charlie_Cole_(lawyer),Stanford_University,0,47.0
370,Richard_Peters_(American_football),Southern_Methodist_University,0,47.0
227,J._P._Parisé,New_York_Islanders,0,47.5
230,Jeff_George,Minnesota_Vikings,0,47.5
244,Nathan_Palmer,Miami_Dolphins,0,47.5
328,Nate_Byham,New_England_Patriots,0,47.5
385,Armen_Gilliam,Independence_Community_College,0,47.5
272,Chuck_Commiskey,New_Orleans_Saints,0,48.0
313,Brandon_Pettigrew,Detroit_Lions,0,48.0
333,Hugh_McElhenny,Washington_Preparatory_High_School,0,48.0
382,Ruan_Dreyer,University_of_Johannesburg,0,48.0
383,Charles_H._Mason,Brown_University,0,48.0
226,Mark_Grieb,Foothill_College,0,48.5
310,David_Oliver_(ice_hockey),Guildford_Flames,0,48.5
319,Jeremy_England,Stanford_University,0,48.5
347,Evsey_Domar,University_of_Michigan,0,48.5
265,Jeff_Driskel,San_Francisco_49ers,0,49.0
262,George_Barker_(Virginia_politician),Harvard_University,0,49.5
267,Frank_D._Yuengling,Princeton_University,0,49.5
276,Malcolm_Brown_(American_football),Los_Angeles_Rams,0,49.5
285,Andrew_McKenna,University_of_Notre_Dame,0,49.5
400,Melvin_Sanders,Panellinios_B.C.,0,49.5
286,Sammie_Smith,Denver_Broncos,0,50.0
239,Brandon_Boykin,Philadelphia_Eagles,0,51.0
321,Lenny_Dunlap,University_of_North_Texas,0,51.0
367,Dan_Spencer,Tacoma_Community_College,0,51.0
273,Brent_Gretzky,Hershey_Bears,0,51.5
291,Haskell_Curry,Harvard_University,0,51.5
318,Selin_Sayek_Böke,Duke_University,0,51.5
344,Rodney_McCray_(basketball),Houston_Rockets,0,51.5
263,Harrison_B._Tordoff,University_of_Michigan,0,52.0
366,Zac_Dalpe,Vancouver_Canucks,0,52.0
220,Francis_Dawson-Paul,Royal_Air_Force,0,52.5
254,Mark_J._Poznansky,McGill_University,0,52.5
292,David_Mumford,Brown_University,0,52.5
217,José_Luis_Loreto,CD_Ebro,0,53.0
261,Yuriy_Voynov,FC_Metalist_Kharkiv,0,53.0
295,Emílio_Peixe,Portugal_Olympic_football_team,0,53.0
330,Glenn_Hall,Detroit_Red_Wings,0,53.0
375,Marc_Colombo,Chicago_Bears,0,53.0
260,Brian_Stanbridge,Royal_Air_Force,0,53.5
332,Koro_Issa_Ahmed_Koné,MSV_Duisburg,0,53.5
355,Charles_Scriver,McGill_University,0,53.5
205,Britt_Hager,University_of_Texas_at_Austin,0,54.0
216,Michael_Frontzeck,Alemannia_Aachen,0,54.0
274,Takeo_Miki,Meiji_University,0,54.0
314,Joël_Lightbound,McGill_University,0,54.0
297,Andrew_Yao,Stanford_University,0,55.5
352,Brett_Reed_(basketball),Lehigh_Mountain_Hawks,0,55.5
394,John_Maitland_(Royal_Navy_officer),Royal_Navy,0,55.5
233,David_W._Ogden,University_of_Pennsylvania,0,56.0
258,Asa_Hartford,Macclesfield_Town_F.C.,0,56.0
298,Donald_C._Pogue,Yale_University,0,56.0
384,Raimondo_Ponte,SC_Young_Fellows_Juventus,0,56.0
237,Gerald_Brown_(basketball),Baloncesto_Fuenlabrada,0,56.5
253,Isaac_Curtis,San_Diego_State_University,0,56.5
224,Douglas_Macfadyen,Royal_Air_Force,0,57.5
397,José_Maria_Pedroto,Vitória_F.C.,0,57.5
221,Todor_Veselinović,Ethnikos_Piraeus_F.C.,0,58.0
269,Richard_Olney,Brown_University,0,59.0
398,Craig_Brewster,Crawley_Town_F.C.,0,59.5
336,John_Vane,Yale_University,0,61.0
246,Roberto_Abrussezze,Deportivo_Municipal,0,62.0
202,Ndamukong_Suh,"Grant_High_School_(Portland,_Oregon)",0,62.5
371,Prince_Fielder,Milwaukee_Brewers,0,62.5
368,Kurt_Coleman,Carolina_Panthers,0,63.0
279,Eddie_Erdelatz,Saint_Mary's_College_of_California,0,65.0
212,Ted_Schreiber,New_York_Mets,0,65.5
309,Inejiro_Asanuma,Waseda_University,0,66.0
311,Heikko_Glöde,VfL_Wolfsburg,0,66.0
386,Lord_Clarence_Paget,Royal_Navy,0,66.0
392,Josh_Zeid,Houston_Astros,0,70.5
201,Thomas_Brown_(rugby),London_Welsh_RFC,0,72.5
250,Eninho,Changchun_Yatai_F.C.,0,74.0
278,Lindsay_Thomas_(politician),University_of_Georgia,0,75.0
338,Jim_Eschen,Cleveland_Indians,0,75.5
391,Percival_Wilkinson,Harlequin_F.C.,0,75.5
351,Michael_Mayhew_(rugby_union),London_Irish,0,77.5
223,Kahn_Fotuali'i,Ospreys_(rugby_team),0,84.5
259,Mehmet_Güven,Turkey_national_under-19_football_team,0,86.0
387,Ricky_Sbragia,Scotland_national_under-17_football_team,0,89.0
247,Derrell_Griffith,Los_Angeles_Dodgers,0,96.0
323,Clay_Tucker,Real_Madrid_Baloncesto,0,96.0
335,Mike_Brumley_(infielder),Chicago_Cubs,0,96.0
312,Leon_Hooten,Oakland_Athletics,0,96.5
348,Jerry_Tarkanian,Pasadena_City_College,0,97.5
256,Marty_Guerin,South_Carolina_Stingrays,0,99.0
284,Harry_Felix,Philadelphia_Phillies,0,101.5
240,Teddy_Da_Costa,Hokki,0,106.5
331,Terrell_Wade,Atlanta_Braves,0,110.0
364,Fernando_Valenzuela,Los_Angeles_Dodgers,0,110.0
342,Jarret_Zukiwsky,Idaho_Steelheads,0,111.0
264,Ralph_Glaze,Boston_Red_Sox,0,151.5
372,2013–14_Viborg_FF_season,Esbjerg_fB,0,210.5
