sid,sub,obj,class,score
275,Bill_Granger_(author),DePaul_University,0,93
218,Richard_Kent,Appalachian_State_University,0,94
236,Garth_Pollonais,Greenville_Lions,0,94
294,Caren_Kaplan,Georgetown_University,0,94
306,Ed_Blaine,Green_Bay_Packers,0,94
356,Charlie_Cole_(lawyer),Stanford_University,0,94
370,Richard_Peters_(American_football),Southern_Methodist_University,0,94
227,J._P._Parisé,New_York_Islanders,0,95
230,Jeff_George,Minnesota_Vikings,0,95
244,Nathan_Palmer,Miami_Dolphins,0,95
328,Nate_Byham,New_England_Patriots,0,95
385,Armen_Gilliam,Independence_Community_College,0,95
272,Chuck_Commiskey,New_Orleans_Saints,0,96
313,Brandon_Pettigrew,Detroit_Lions,0,96
333,Hugh_McElhenny,Washington_Preparatory_High_School,0,96
382,Ruan_Dreyer,University_of_Johannesburg,0,96
383,Charles_H._Mason,Brown_University,0,96
226,Mark_Grieb,Foothill_College,0,97
310,David_Oliver_(ice_hockey),Guildford_Flames,0,97
319,Jeremy_England,Stanford_University,0,97
347,Evsey_Domar,University_of_Michigan,0,97
265,Jeff_Driskel,San_Francisco_49ers,0,98
262,George_Barker_(Virginia_politician),Harvard_University,0,99
267,Frank_D._Yuengling,Princeton_University,0,99
276,Malcolm_Brown_(American_football),Los_Angeles_Rams,0,99
285,Andrew_McKenna,University_of_Notre_Dame,0,99
400,Melvin_Sanders,Panellinios_B.C.,0,99
286,Sammie_Smith,Denver_Broncos,0,100
239,Brandon_Boykin,Philadelphia_Eagles,0,102
321,Lenny_Dunlap,University_of_North_Texas,0,102
367,Dan_Spencer,Tacoma_Community_College,0,102
273,Brent_Gretzky,Hershey_Bears,0,103
291,Haskell_Curry,Harvard_University,0,103
318,Selin_Sayek_Böke,Duke_University,0,103
344,Rodney_McCray_(basketball),Houston_Rockets,0,103
263,Harrison_B._Tordoff,University_of_Michigan,0,104
366,Zac_Dalpe,Vancouver_Canucks,0,104
220,Francis_Dawson-Paul,Royal_Air_Force,0,105
254,Mark_J._Poznansky,McGill_University,0,105
292,David_Mumford,Brown_University,0,105
217,José_Luis_Loreto,CD_Ebro,0,106
261,Yuriy_Voynov,FC_Metalist_Kharkiv,0,106
295,Emílio_Peixe,Portugal_Olympic_football_team,0,106
330,Glenn_Hall,Detroit_Red_Wings,0,106
375,Marc_Colombo,Chicago_Bears,0,106
260,Brian_Stanbridge,Royal_Air_Force,0,107
332,Koro_Issa_Ahmed_Koné,MSV_Duisburg,0,107
355,Charles_Scriver,McGill_University,0,107
205,Britt_Hager,University_of_Texas_at_Austin,0,108
216,Michael_Frontzeck,Alemannia_Aachen,0,108
274,Takeo_Miki,Meiji_University,0,108
314,Joël_Lightbound,McGill_University,0,108
297,Andrew_Yao,Stanford_University,0,111
352,Brett_Reed_(basketball),Lehigh_Mountain_Hawks,0,111
394,John_Maitland_(Royal_Navy_officer),Royal_Navy,0,111
233,David_W._Ogden,University_of_Pennsylvania,0,112
258,Asa_Hartford,Macclesfield_Town_F.C.,0,112
298,Donald_C._Pogue,Yale_University,0,112
384,Raimondo_Ponte,SC_Young_Fellows_Juventus,0,112
237,Gerald_Brown_(basketball),Baloncesto_Fuenlabrada,0,113
253,Isaac_Curtis,San_Diego_State_University,0,113
224,Douglas_Macfadyen,Royal_Air_Force,0,115
397,José_Maria_Pedroto,Vitória_F.C.,0,115
221,Todor_Veselinović,Ethnikos_Piraeus_F.C.,0,116
269,Richard_Olney,Brown_University,0,118
398,Craig_Brewster,Crawley_Town_F.C.,0,119
336,John_Vane,Yale_University,0,122
246,Roberto_Abrussezze,Deportivo_Municipal,0,124
202,Ndamukong_Suh,"Grant_High_School_(Portland,_Oregon)",0,125
371,Prince_Fielder,Milwaukee_Brewers,0,125
368,Kurt_Coleman,Carolina_Panthers,0,126
279,Eddie_Erdelatz,Saint_Mary's_College_of_California,0,130
212,Ted_Schreiber,New_York_Mets,0,131
309,Inejiro_Asanuma,Waseda_University,0,132
311,Heikko_Glöde,VfL_Wolfsburg,0,132
386,Lord_Clarence_Paget,Royal_Navy,0,132
392,Josh_Zeid,Houston_Astros,0,141
201,Thomas_Brown_(rugby),London_Welsh_RFC,0,145
250,Eninho,Changchun_Yatai_F.C.,0,148
278,Lindsay_Thomas_(politician),University_of_Georgia,0,150
338,Jim_Eschen,Cleveland_Indians,0,151
391,Percival_Wilkinson,Harlequin_F.C.,0,151
351,Michael_Mayhew_(rugby_union),London_Irish,0,155
223,Kahn_Fotuali'i,Ospreys_(rugby_team),0,169
259,Mehmet_Güven,Turkey_national_under-19_football_team,0,172
387,Ricky_Sbragia,Scotland_national_under-17_football_team,0,178
247,Derrell_Griffith,Los_Angeles_Dodgers,0,192
323,Clay_Tucker,Real_Madrid_Baloncesto,0,192
335,Mike_Brumley_(infielder),Chicago_Cubs,0,192
312,Leon_Hooten,Oakland_Athletics,0,193
348,Jerry_Tarkanian,Pasadena_City_College,0,195
256,Marty_Guerin,South_Carolina_Stingrays,0,198
284,Harry_Felix,Philadelphia_Phillies,0,203
240,Teddy_Da_Costa,Hokki,0,213
331,Terrell_Wade,Atlanta_Braves,0,220
364,Fernando_Valenzuela,Los_Angeles_Dodgers,0,220
342,Jarret_Zukiwsky,Idaho_Steelheads,0,222
264,Ralph_Glaze,Boston_Red_Sox,0,303
372,2013–14_Viborg_FF_season,Esbjerg_fB,0,421
243,Viktor_Fischer,Denmark_national_football_team,0,545
