Matt_Estrada,Northern_Arizona_University
Terry_Johnson_(ice_hockey),St._Louis_Blues
Jim_Lacy,Loyola_Blakefield
John_da_Silva_Antao,Seton_Hall_University
Stefano_Di_Chiara,A.S._Viterbese_Calcio
Shaone_Morrisonn,Boston_Bruins
Kenneth_Davis_(American_football),Buffalo_Bills
Benn_Konsynski,Emory_University
Albert_Prince-Cox,Gloucester_City_A.F.C.
David_Poisson_(alpine_skier),Salomon_Group
Shing-Tung_Yau,"University_of_California,_Berkeley"
Joanne_Grant,Syracuse_University
Jack_Schmidt,Boston_Bruins
Vojo_Gardašević,La_Passe_FC
Rich_Barcelo,"University_of_Nevada,_Reno"
Lori_A._Clarke,University_of_Massachusetts_Amherst
Gregor_Baumgartner,Dallas_Stars
Roddy_Collins,Waterford_United_F.C.
Sena_Acolatse,American_Hockey_League
Aaron_Pettrey,Cincinnati_Bengals
Juan_Mujica,Deportes_Tolima
Dan_LaCosta,UNB_Varsity_Reds
Timo_Liekoski,Finland_national_under-17_football_team
Cindy_Jackson,Ohio_State_University
Worakorn_Wichanarong,Bangkok_United_F.C.
Richard_McNally,University_of_Illinois_at_Chicago
Mike_Connelly,Los_Angeles_Rams
Austin_McHenry,St._Louis_Cardinals
Miljan_Rakić,Falco_KC_Szombathely
Fran_Pavley,"California_State_University,_Northridge"
Vladimir_Dergach,FC_Baltika_Kaliningrad
Michael_Roney,University_of_Michigan
Dexter_Jackson_(wide_receiver),New_York_Jets
Yevhen_Kanana,Ukrainian_Premier_League
Lee_Nystrom,Macalester_College
Brian_Hernandez,Saskatchewan_Roughriders
Jonathan_Forte,Barbados_national_football_team
Alexander_Selivanov,Philadelphia_Flyers
Cílio_André_Souza,Oliveira_do_Bairro_S.C.
Mohamad_Hachad,Montreal_Matrix
Ņikita_Koļesņikovs,GET-ligaen
Pontus_Åberg,Djurgårdens_IF_Hockey
Ed_Romero,Milwaukee_Brewers
Walter_Koppisch,New_York_Giants
Richard_Blaze,Worcester_Warriors
Igor_Boldin,HPK
Joel_Santana,Brasiliense_Futebol_Clube
Lai_Chiu-han_Linda,New_York_University
"Gerald_Legge,_9th_Earl_of_Dartmouth",Eton_College
Andrew_Rosenthal,University_of_Denver
Carey_Davis,Washington_Redskins
Jeff_Fager,Colgate_University
Ivona_Bogoje,WBFAL
Voise_Winters,Oyak_Renault
Oscar_Reed,Atlanta_Falcons
Nikolai_Gosudarenkov,FC_Sheksna_Cherepovets
Mikko_Mäenpää,JYP_Jyväskylä
Vladimir_Petrov_(ice_hockey),SKA_Saint_Petersburg
Papalau_Awele,Papua_New_Guinea_national_football_team
Steve_Ferrughelli,Montreal_Alouettes
Javier_Ortega_Desio,San_Isidro_Club
Frank_Haith,Penn_State_Nittany_Lions
John_Woodall_(British_Army_officer),British_Army
Danny_aus_den_Birken,Adler_Mannheim
Kim_Pan-gon,Gyeongnam_FC
Constantin_Cernăianu,Romania_national_under-21_football_team
Kim_Hirschovits,Jokerit
Brian_Williams_(cornerback),Minnesota_Vikings
Eric_Wilbur,Toronto_Argonauts
Ben_Cohen_(rugby_union),Northampton_Saints
Alpheus_Felch,Bowdoin_College
Benardrick_McKinney,Houston_Texans
Tore_Vikingstad,St._Louis_Blues
