sid,sub,obj,class,score
54,FC_Smena_Komsomolsk-na-Amure__Aleksei_Buznyakov__1,FC_Smena_Komsomolsk-na-Amure,1,40
63,Deportivo_Nueva_Concepción__José_Peraza__1,Deportivo_Nueva_Concepción,1,40
197,FC_Piter_Saint_Petersburg__Aleksandr_Salmanovich__1,FC_Piter_Saint_Petersburg,1,40
58,Alki_Oroklini__Kiriakos_Stratilatis__1,Alki_Oroklini,1,41
73,Umeå_Södra_FF__Hanna_Folkesson__1,Umeå_Södra_FF,1,41
170,Brothers_Union__Rabea__1,Brothers_Union,1,41
180,Al_Neel_SC_(Al-Hasahisa)__Nor_Alden_Antar__1,Al_Neel_SC_(Al-Hasahisa),1,43
82,NMMU_F.C.__Onke_Matomela__1,NMMU_F.C.,1,44
109,Saltney_Town_F.C.__Evan_Wright__1,Saltney_Town_F.C.,1,45
184,Hamilton_Steelers_(1981–92)__George_Serakinis__1,Hamilton_Steelers_(1981–92),1,46
194,Persibangga_Purbalingga__Inggit_Prayitno__1,Persibangga_Purbalingga,1,46
96,Cape_Coast_Ebusua_Dwarfs__Stephen_Sowu__1,Cape_Coast_Ebusua_Dwarfs,1,48
181,Berekum_Chelsea_F.C.__Brimah_Mohammed__1,Berekum_Chelsea_F.C.,1,48
15,FC_Santa_Claus__Eero_Paukku__1,FC_Santa_Claus,1,49
130,Llanrwst_United_F.C.__Joe_Prichard__1,Llanrwst_United_F.C.,1,49
57,KF_Hajvalia__Lulzim_Neziri__1,KF_Hajvalia,1,51
61,FC_Nosta_Novotroitsk__Dmitri_Shchendrygin__1,FC_Nosta_Novotroitsk,1,51
68,FC_Nosta_Novotroitsk__Konstantin_Maltsev__1,FC_Nosta_Novotroitsk,1,51
85,G.D._Fabril__Catarino__1,G.D._Fabril,1,51
97,Tasisat_Daryaei_FSC__Hamid_Ahmadi__1,Tasisat_Daryaei_FSC,1,51
125,Beylerbeyi_S.K.__İlker_Cihan__1,Beylerbeyi_S.K.,1,51
131,FC_San_Marcos__Gonzalo_Molina__1,FC_San_Marcos,1,52
152,Pogoń_Szczecin_(women)__Marlena_Kowalik__1,Pogoń_Szczecin_(women),1,52
168,FC_Dornbirn_1913__Pierce_Lange__1,FC_Dornbirn_1913,1,52
102,MŠK_Fomat_Martin__Lukáš_Turčina__1,MŠK_Fomat_Martin,1,53
78,FC_Luch_Minsk_(2012)__Andrey_Arkhipov__1,FC_Luch_Minsk_(2012),1,54
156,Roy_Messing,New_York_Arrows,1,54
164,FCF_Hénin-Beaumont__Aurélie_Desmaretz__1,FCF_Hénin-Beaumont,1,54
74,HNK_Šibenik__Luka_Fuštin__1,HNK_Šibenik,1,55
115,R.O.C._de_Charleroi-Marchienne__Lokman_Atasever__1,R.O.C._de_Charleroi-Marchienne,1,55
5,Sergei_Shchigorev,FC_Tambov,1,56
185,FC_Locomotive_Tbilisi__Luka_Sherozia__1,FC_Locomotive_Tbilisi,1,56
36,S.C._Damash_Gilan__Milad_Ghorbanzadeh__1,S.C._Damash_Gilan,1,57
92,FK_Makedonija_Gjorče_Petrov__Angel_Rashikj__1,FK_Makedonija_Gjorče_Petrov,1,57
