sid,sub,obj,class,score
167,Vital_Valadzyankow,FC_Naftan_Novopolotsk,1,44.5
94,"Valeri_Frolov_(footballer,_born_1970)",FC_Spartak_Kostroma,1,45.0
199,Goran_Grkinić,FK_Senica,1,45.0
18,Hugo_Gomes,A.D._Pontassolense,1,45.5
40,Marios_Elia,Ethnikos_Achna_FC,1,45.5
42,Darren_Anderson_(footballer),Slough_Town_F.C.,1,45.5
80,Sergio_Castaño_Ortega,Arroyo_CP,1,45.5
111,Aleksei_Zhitnikov,FC_Avangard_Kursk,1,45.5
165,Anthony_Tokpah,Atlanta_Silverbacks,1,45.5
72,Ihor_Korol,FC_Baltika_Kaliningrad,1,46.0
86,"Robert_Walker_(footballer,_born_1884)",Northampton_Town_F.C.,1,46.0
120,Matty_Pearson,Lincoln_City_F.C.,1,46.0
127,Matt_Joseph,Canvey_Island_F.C.,1,46.0
117,Juan_José_Jayo,José_Gálvez_FBC,1,46.5
25,Joe_Fagan,Nelson_F.C.,1,47.0
53,Artem_Favorov,FC_Zirka_Kropyvnytskyi,1,47.0
147,Fabián_Assmann,Club_Atlético_Independiente,1,47.5
145,"Pascal_Schmidt_(footballer,_born_1992)",Arminia_Bielefeld,1,48.0
198,Beto_Acosta,Brasiliense_Futebol_Clube,1,48.0
64,Saulo_Decarli,FC_Chiasso,1,48.5
107,Dan_Săndulescu,CS_Mioveni,1,48.5
133,Matt_Read,Philadelphia_Flyers,1,49.0
177,"Michael_Byrne_(footballer,_born_1880)",Southampton_F.C.,1,49.0
190,Yussuf_Saleh,IK_Sirius_Fotboll,1,50.0
41,Manuel_Gavilán_(Spanish_footballer),SV_Ried,1,50.5
13,Mario_Castellazzi,A.S._Livorno_Calcio,1,51.0
47,Ken_Oman,St_Patrick's_Athletic_F.C.,1,51.0
169,"Jock_Wallace,_Jr.",Airdrieonians_F.C._(1878),1,51.0
161,"Luke_Williams_(footballer,_born_1993)",Peterborough_United_F.C.,1,51.5
1,Josemir_Lujambio,Newell's_Old_Boys,1,52.0
79,Ramón_Osni_Moreira_Lage,FC_Krylia_Sovetov_Samara,1,52.0
116,"Luís_Alberto_(footballer,_born_1983)",Associação_Desportiva_São_Caetano,1,52.0
118,Karl_Joseph,Oakland_Raiders,1,52.0
162,Rafael_Lopes,Vitória_F.C.,1,52.0
179,Koray_Çölgeçen,Kayserispor,1,52.0
110,Frédéric_Arpinon,Nîmes_Olympique,1,52.5
126,S.S._Lazio__Emiliano_Ilari__1,S.S._Lazio,1,52.5
9,Ákos_Buzsáky,Plymouth_Argyle_F.C.,1,53.0
27,"Tom_White_(footballer,_born_1976)",Yeovil_Town_F.C.,1,53.0
95,Paul_Edmunds_(footballer),Burton_Albion_F.C.,1,53.0
139,Charlie_Petrie,Southampton_F.C.,1,53.0
2,Arsenal_F.C.__Mesut_Özil__1,Arsenal_F.C.,1,53.5
119,Patrick_Cregg,Shamrock_Rovers_F.C.,1,53.5
176,Jacobo_Campos,Celta_de_Vigo_B,1,53.5
4,Zachary_Bell,Team_SmartStop,1,54.0
81,Stefan_Šćepović,F.C._Ashdod,1,54.0
65,Carlos_Lampe,Huachipato,1,54.5
112,"Peter_Hall_(footballer,_born_1939)",Yeovil_Town_F.C.,1,54.5
137,Marko_Milić_(footballer),FK_Novi_Pazar,1,54.5
144,Alberto_Rivera_Pizarro,Real_Madrid_C,1,54.5
75,"Oscar_Fox,_Jr.",Sheffield_Wednesday_F.C.,1,56.0
101,José_Ilson_dos_Santos,Sociedade_Esportiva_River_Plate,1,57.0
67,Thibault_Giresse,Toulouse_FC,1,57.5
43,Mauricio_Pellegrino,Club_Atlético_Vélez_Sarsfield,1,59.5
128,Arsenio_Iglesias,Albacete_Balompié,1,59.5
154,Paul_Willis_(Scottish_footballer),Dunfermline_Athletic_F.C.,1,59.5
35,Doug_Collins_(footballer),Rochdale_A.F.C.,1,60.0
138,Arron_Jameson,Bradford_City_A.F.C.,1,60.5
