sid,sub,obj,class,score
167,Vital_Valadzyankow,FC_Naftan_Novopolotsk,1,89
94,"Valeri_Frolov_(footballer,_born_1970)",FC_Spartak_Kostroma,1,90
199,Goran_Grkinić,FK_Senica,1,90
18,Hugo_Gomes,A.D._Pontassolense,1,91
40,Marios_Elia,Ethnikos_Achna_FC,1,91
42,Darren_Anderson_(footballer),Slough_Town_F.C.,1,91
80,Sergio_Castaño_Ortega,Arroyo_CP,1,91
111,Aleksei_Zhitnikov,FC_Avangard_Kursk,1,91
165,Anthony_Tokpah,Atlanta_Silverbacks,1,91
72,Ihor_Korol,FC_Baltika_Kaliningrad,1,92
86,"Robert_Walker_(footballer,_born_1884)",Northampton_Town_F.C.,1,92
120,Matty_Pearson,Lincoln_City_F.C.,1,92
127,Matt_Joseph,Canvey_Island_F.C.,1,92
117,Juan_José_Jayo,José_Gálvez_FBC,1,93
25,Joe_Fagan,Nelson_F.C.,1,94
53,Artem_Favorov,FC_Zirka_Kropyvnytskyi,1,94
147,Fabián_Assmann,Club_Atlético_Independiente,1,95
145,"Pascal_Schmidt_(footballer,_born_1992)",Arminia_Bielefeld,1,96
198,Beto_Acosta,Brasiliense_Futebol_Clube,1,96
64,Saulo_Decarli,FC_Chiasso,1,97
107,Dan_Săndulescu,CS_Mioveni,1,97
133,Matt_Read,Philadelphia_Flyers,1,98
177,"Michael_Byrne_(footballer,_born_1880)",Southampton_F.C.,1,98
190,Yussuf_Saleh,IK_Sirius_Fotboll,1,100
41,Manuel_Gavilán_(Spanish_footballer),SV_Ried,1,101
13,Mario_Castellazzi,A.S._Livorno_Calcio,1,102
47,Ken_Oman,St_Patrick's_Athletic_F.C.,1,102
169,"Jock_Wallace,_Jr.",Airdrieonians_F.C._(1878),1,102
161,"Luke_Williams_(footballer,_born_1993)",Peterborough_United_F.C.,1,103
1,Josemir_Lujambio,Newell's_Old_Boys,1,104
79,Ramón_Osni_Moreira_Lage,FC_Krylia_Sovetov_Samara,1,104
116,"Luís_Alberto_(footballer,_born_1983)",Associação_Desportiva_São_Caetano,1,104
118,Karl_Joseph,Oakland_Raiders,1,104
162,Rafael_Lopes,Vitória_F.C.,1,104
179,Koray_Çölgeçen,Kayserispor,1,104
110,Frédéric_Arpinon,Nîmes_Olympique,1,105
126,S.S._Lazio__Emiliano_Ilari__1,S.S._Lazio,1,105
9,Ákos_Buzsáky,Plymouth_Argyle_F.C.,1,106
27,"Tom_White_(footballer,_born_1976)",Yeovil_Town_F.C.,1,106
95,Paul_Edmunds_(footballer),Burton_Albion_F.C.,1,106
139,Charlie_Petrie,Southampton_F.C.,1,106
2,Arsenal_F.C.__Mesut_Özil__1,Arsenal_F.C.,1,107
119,Patrick_Cregg,Shamrock_Rovers_F.C.,1,107
176,Jacobo_Campos,Celta_de_Vigo_B,1,107
4,Zachary_Bell,Team_SmartStop,1,108
81,Stefan_Šćepović,F.C._Ashdod,1,108
65,Carlos_Lampe,Huachipato,1,109
112,"Peter_Hall_(footballer,_born_1939)",Yeovil_Town_F.C.,1,109
137,Marko_Milić_(footballer),FK_Novi_Pazar,1,109
144,Alberto_Rivera_Pizarro,Real_Madrid_C,1,109
75,"Oscar_Fox,_Jr.",Sheffield_Wednesday_F.C.,1,112
101,José_Ilson_dos_Santos,Sociedade_Esportiva_River_Plate,1,114
67,Thibault_Giresse,Toulouse_FC,1,115
43,Mauricio_Pellegrino,Club_Atlético_Vélez_Sarsfield,1,119
128,Arsenio_Iglesias,Albacete_Balompié,1,119
154,Paul_Willis_(Scottish_footballer),Dunfermline_Athletic_F.C.,1,119
35,Doug_Collins_(footballer),Rochdale_A.F.C.,1,120
138,Arron_Jameson,Bradford_City_A.F.C.,1,121
30,"Craig_Reid_(footballer,_born_1985)",Newport_County_A.F.C.,1,122
91,Dalibor_Teinović,FK_Borac_Banja_Luka,1,123
114,Luigi_Martinelli,Torino_F.C.,1,124
108,Éric_Marester,AS_Monaco_FC,1,125
200,"Jardel_(footballer,_born_1986)",S.L._Benfica_B,1,126
77,Thibaut_Courtois,K.R.C._Genk,1,128
38,Vernon_De_Marco_Morlacchi,ŠK_Slovan_Bratislava,1,129
89,Rui_Esteves,C.F._Os_Belenenses,1,130
104,Marcel_Augusto_Ortolan,S.L._Benfica,1,130
129,Carlos_Villagra,Deportivo_Pasto,1,133
151,"Alex_Bruce_(footballer,_born_1984)",Oldham_Athletic_A.F.C.,1,134
8,Pablo_Nascimento_Castro,Grêmio_Foot-Ball_Porto_Alegrense,1,135
22,Simon_Ford,Bristol_Rovers_F.C.,1,135
132,Andrejs_Perepļotkins,R.S.C._Anderlecht,1,135
142,Mikhail_Zhabkin,Russia_national_under-17_football_team,1,135
83,Stan_Charlesworth,Grimsby_Town_F.C.,1,136
106,Mahir_Sağlık,Vasas_SC,1,141
157,Gabriele_Ambrosetti,Brescia_Calcio,1,143
178,Gus_Caesar,Colchester_United_F.C.,1,146
31,Brandon_Kaufman,Gold_Coast_Football_Club,1,151
141,Bobby_Roberts_(footballer),Leicester_City_F.C.,1,151
105,William_Ashmole,Watford_F.C.,1,152
14,Jeremain_Lens,Netherlands_national_under-19_football_team,1,159
46,Michael_Nonni,FC_Edmonton,1,160
66,Nicolai_Lorenzoni,FC_Basel,1,160
12,Alan_Miller_(footballer),West_Bromwich_Albion_F.C.,1,167
11,Karl_Ouimette,Jacksonville_Armada_FC,1,191
23,Alfredo_Morelos,Colombia_national_under-17_football_team,1,205
174,Alexandre_Ludovic,Portugal_national_under-21_football_team,1,205
87,Frank_Feltscher,Switzerland_national_under-21_football_team,1,244
196,Malang_Sarr,France_national_under-17_football_team,1,247
160,Luke_O'Neill,England_national_under-17_football_team,1,248
37,Pokklaw_Anan,Thailand_national_under-20_football_team,1,262
182,Vojtěch_Schulmeister,Czech_Republic_national_under-21_football_team,1,266
121,Somen_Tchoyi,Cameroon_national_football_team,1,335
34,Mohamed_Yattara,Guinea_national_football_team,1,364
51,Giannelli_Imbula,France_national_under-21_football_team,1,430
44,Ergün_Penbe,Turkey_national_football_team,1,484
172,Édouard_Cissé,Olympique_de_Marseille,1,497
90,József_Horváth_(footballer),Hungary_national_football_team,1,506
19,Neil_Covone,United_States_men's_national_soccer_team,1,591
55,Paulo_Bento,Portugal_national_football_team,1,610
